Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,17.45,16.31,17.56,15.54,12.82,2.11,M
23/02/2022,17.09,17.6,18.05,16.98,8.15,-2.34,M
22/02/2022,17.5,18.56,18.6,17.38,13.28,-4.63,M
21/02/2022,18.35,19.15,19.18,18.2,7.56,-4.23,M
18/02/2022,19.16,19.34,19.57,18.99,6.46,-0.93,M
17/02/2022,19.34,20.13,20.21,19.28,7.13,-3.59,M
16/02/2022,20.06,19.95,20.41,19.64,9.01,1.47,M
15/02/2022,19.77,19.03,19.97,18.88,9.87,4.77,M
14/02/2022,18.87,19.07,19.45,18.7,7.64,-0.89,M
11/02/2022,19.04,20.01,20.17,18.82,9.74,-4.51,M
10/02/2022,19.94,20.09,20.53,19.66,8.84,-0.7,M
09/02/2022,20.08,19.34,20.19,19.31,9.51,3.67,M
08/02/2022,19.37,19.17,19.55,18.88,7.33,0.89,M
07/02/2022,19.2,18.9,19.48,18.65,8.88,1.21,M
04/02/2022,18.97,19.12,19.21,18.6,8.83,-0.78,M
03/02/2022,19.12,20.07,20.23,19.02,13.57,-4.35,M
02/02/2022,19.99,20.71,20.85,19.73,9.18,-3.34,M
01/02/2022,20.68,20.23,21.2,20.23,13.11,1.82,M
31/01/2022,20.31,19.9,20.44,19.6,8.28,2.52,M
28/01/2022,19.81,19.95,19.97,19.19,11.78,-1.3,M
27/01/2022,20.07,20.49,20.75,19.91,10.32,-1.28,M
26/01/2022,20.33,21.14,21.23,20.17,10.14,-2.07,M
25/01/2022,20.76,20.65,20.95,20.16,9.62,0.58,M
24/01/2022,20.64,20.75,21.54,19.93,16.56,0.54,M
21/01/2022,20.53,20.96,21.12,20.45,8.22,-2.33,M
20/01/2022,21.02,20.82,21.62,20.68,10.6,2.14,M
19/01/2022,20.58,21.44,21.47,20.55,11.58,-2.79,M
18/01/2022,21.17,21.47,21.77,20.81,7.88,-1.76,M
17/01/2022,21.55,21.88,22.11,21.43,3.88,-2.09,M
14/01/2022,22.01,22.01,22.15,21.38,9.68,-0.59,M
13/01/2022,22.14,23.01,23.09,22.06,13.11,-4.2,M
12/01/2022,23.11,23.64,23.85,23.11,8.11,-1.58,M
11/01/2022,23.48,23.74,24.18,23.35,7.14,-1.1,M
10/01/2022,23.74,23.92,24.37,23.44,7.03,-1.37,M
07/01/2022,24.07,23.71,24.57,23.27,8.92,0.84,M
06/01/2022,23.87,23.76,24.07,23.01,13.75,0.63,M
05/01/2022,23.72,24.95,25.08,23.6,12.83,-5.95,M
04/01/2022,25.22,25.4,25.5,24.81,10.27,-0.08,M
03/01/2022,25.24,24.82,25.62,24.46,15.12,1.69,M
30/12/2021,24.82,24.43,25.11,24.41,9.09,1.64,M
29/12/2021,24.42,24.45,24.83,24.32,5.04,-0.29,M
28/12/2021,24.49,24.46,24.78,24.29,5.04,0.2,M
27/12/2021,24.44,24.28,24.68,23.94,7.97,0.37,M
23/12/2021,24.35,23.7,24.56,23.56,10.33,3.18,M
22/12/2021,23.6,23.1,24.03,22.89,16.74,2.16,M
21/12/2021,23.1,22.95,23.5,22.04,34.61,16.02,M
20/12/2021,19.91,19.93,20.1,19.31,8.83,-2.4,M
17/12/2021,20.4,20.31,21.04,19.88,14.53,-0.83,M
16/12/2021,20.57,20.94,21.09,20.45,5.07,-0.72,M
15/12/2021,20.72,20.48,20.95,20.06,7.92,0.44,M
14/12/2021,20.63,20.83,21.0,20.19,6.12,-0.05,M
13/12/2021,20.64,21.51,21.81,20.5,8.15,-3.64,M
10/12/2021,21.42,21.16,21.62,21.01,7.22,3.18,M
09/12/2021,20.76,21.15,21.16,20.51,6.43,-2.54,M
08/12/2021,21.3,20.23,21.85,20.23,16.08,4.93,M
07/12/2021,20.3,20.72,20.81,20.15,6.8,0.35,M
06/12/2021,20.23,19.5,20.46,19.28,7.83,5.64,M
03/12/2021,19.15,19.42,20.01,18.89,9.67,-1.08,M
02/12/2021,19.36,18.51,19.5,18.28,9.48,5.79,M
01/12/2021,18.3,19.8,19.96,18.14,11.89,-4.39,M
30/11/2021,19.14,19.66,19.71,18.72,11.19,-3.09,M
29/11/2021,19.75,19.83,20.16,19.45,7.6,2.49,M
26/11/2021,19.27,19.99,20.1,18.76,12.52,-8.41,M
25/11/2021,21.04,20.7,21.33,20.66,4.55,2.14,M
24/11/2021,20.6,20.4,20.8,20.01,5.5,0.05,M
23/11/2021,20.59,20.53,20.78,20.01,7.27,1.08,M
22/11/2021,20.37,20.65,21.08,20.28,9.69,-1.69,M
19/11/2021,20.72,20.97,21.25,20.53,7.98,-1.61,M
18/11/2021,21.06,20.96,21.3,20.68,6.6,0.53,M
17/11/2021,20.95,21.86,21.95,20.56,17.45,-2.56,M
16/11/2021,21.5,22.51,23.29,21.42,14.43,-2.14,M
12/11/2021,21.97,22.83,23.11,21.05,18.73,-4.44,M
11/11/2021,22.99,23.0,23.67,22.75,8.67,1.55,M
10/11/2021,22.64,23.26,23.4,22.6,7.6,-3.12,M
09/11/2021,23.37,22.8,23.73,22.75,6.4,2.14,M
08/11/2021,22.88,23.06,23.5,22.53,8.06,-1.0,M
05/11/2021,23.11,22.41,23.18,22.06,11.14,6.45,M
04/11/2021,21.71,22.23,22.45,21.18,7.55,-2.86,M
03/11/2021,22.35,22.07,22.62,21.61,9.56,0.09,M
01/11/2021,22.33,22.09,22.68,22.02,7.26,1.82,M
29/10/2021,21.93,22.62,22.7,21.69,7.88,-1.97,M
28/10/2021,22.37,22.22,22.85,21.81,9.33,-0.53,M
27/10/2021,22.49,23.21,23.4,22.36,6.61,-2.93,M
26/10/2021,23.17,23.91,23.98,23.07,11.57,-3.94,M
25/10/2021,24.12,24.4,24.86,23.92,7.64,-0.54,M
22/10/2021,24.25,23.83,24.59,23.12,14.91,0.5,M
21/10/2021,24.13,24.2,25.0,23.7,12.2,-2.11,M
20/10/2021,24.65,25.26,25.45,24.46,5.68,-1.16,M
19/10/2021,24.94,25.7,25.9,24.9,8.09,-2.81,M
18/10/2021,25.66,25.54,26.08,25.07,5.67,-0.08,M
15/10/2021,25.68,26.2,26.43,25.63,5.39,-1.42,M
14/10/2021,26.05,26.05,26.35,25.42,6.99,0.58,M
13/10/2021,25.9,26.19,26.6,25.76,10.29,-0.23,M
11/10/2021,25.96,25.21,26.31,24.82,13.51,4.89,M
08/10/2021,24.75,24.26,25.14,24.04,9.94,2.74,M
07/10/2021,24.09,23.54,24.4,23.28,9.45,3.04,M
06/10/2021,23.38,22.71,23.54,21.51,16.27,1.83,M
05/10/2021,22.96,24.14,24.19,22.84,8.14,-4.53,M
04/10/2021,24.05,24.64,24.98,23.85,14.82,-0.91,M
01/10/2021,24.27,23.35,24.37,23.24,10.98,4.93,M
30/09/2021,23.13,23.71,23.85,23.13,6.97,-1.87,M
29/09/2021,23.57,23.35,23.94,23.05,8.57,2.17,M
28/09/2021,23.07,23.68,24.44,22.91,13.3,-1.95,M
27/09/2021,23.53,23.78,24.49,23.37,9.08,-1.38,M
24/09/2021,23.86,23.82,24.66,23.3,15.07,-0.13,M
23/09/2021,23.89,21.99,23.97,21.97,24.34,12.16,M
22/09/2021,21.3,20.5,21.6,20.35,9.74,5.39,M
21/09/2021,20.21,20.41,20.93,20.17,10.31,-0.74,M
20/09/2021,20.36,20.43,20.6,19.96,8.63,-2.49,M
17/09/2021,20.88,21.09,21.72,20.88,16.0,-1.74,M
16/09/2021,21.25,21.25,21.44,21.03,4.98,-0.89,M
15/09/2021,21.44,21.27,21.64,21.17,5.93,0.52,M
14/09/2021,21.33,22.09,22.09,21.29,7.09,-2.47,M
13/09/2021,21.87,21.64,22.19,21.29,9.1,3.26,M
10/09/2021,21.18,21.98,22.19,21.05,9.01,-2.08,M
09/09/2021,21.63,21.0,21.9,21.0,10.76,2.66,M
08/09/2021,21.07,21.36,22.1,20.92,16.73,-2.23,M
06/09/2021,21.55,21.57,21.95,21.35,4.97,-0.97,M
03/09/2021,21.76,22.81,23.2,21.75,25.15,-4.48,M
02/09/2021,22.78,22.86,23.62,22.72,12.38,-0.65,M
01/09/2021,22.93,23.6,24.03,22.82,9.55,-2.09,M
31/08/2021,23.42,23.07,23.72,22.89,12.28,1.17,M
30/08/2021,23.15,23.6,23.83,22.86,7.93,-2.24,M
27/08/2021,23.68,23.12,23.79,22.9,9.7,2.42,M
26/08/2021,23.12,23.2,23.85,23.06,12.24,-0.94,M
25/08/2021,23.34,22.57,23.46,22.24,20.74,3.18,M
24/08/2021,22.62,20.86,22.74,20.86,20.38,8.13,M
23/08/2021,20.92,19.88,21.15,19.76,15.4,5.28,M
20/08/2021,19.87,19.27,19.95,19.14,9.73,1.58,M
19/08/2021,19.56,18.45,19.72,18.28,13.35,3.88,M
18/08/2021,18.83,18.31,19.38,18.08,21.42,3.69,M
17/08/2021,18.16,19.27,19.27,17.84,21.16,-6.63,M
16/08/2021,19.45,20.76,20.9,19.34,15.16,-6.45,M
13/08/2021,20.79,19.93,20.85,19.84,20.33,7.28,M
12/08/2021,19.38,19.94,20.17,19.3,7.48,-2.76,M
11/08/2021,19.93,19.59,19.97,19.18,11.12,1.68,M
10/08/2021,19.6,19.2,19.84,19.08,16.26,3.27,M
09/08/2021,18.98,19.06,19.2,18.69,5.29,-1.3,M
06/08/2021,19.23,18.55,19.37,18.55,6.96,3.28,M
05/08/2021,18.62,18.5,18.94,18.45,7.68,1.64,M
04/08/2021,18.32,18.91,19.1,18.26,8.08,-3.17,M
03/08/2021,18.92,18.86,19.03,17.96,11.46,0.16,M
02/08/2021,18.89,18.79,19.68,18.6,12.34,1.61,M
30/07/2021,18.59,19.25,19.46,18.42,10.32,-4.27,M
29/07/2021,19.42,19.37,19.63,19.15,10.09,0.26,M
28/07/2021,19.37,19.09,19.39,18.86,11.33,2.38,M
27/07/2021,18.92,19.09,19.3,18.58,10.61,-1.25,M
26/07/2021,19.16,18.48,19.42,18.35,10.26,3.51,M
23/07/2021,18.51,18.7,19.0,18.5,5.96,-1.02,M
22/07/2021,18.7,18.87,19.24,18.49,7.04,-0.9,M
21/07/2021,18.87,18.37,19.17,18.26,10.79,3.0,M
20/07/2021,18.32,17.44,18.43,17.31,11.25,5.9,M
19/07/2021,17.3,17.32,17.32,16.72,14.57,-1.37,M
16/07/2021,17.54,18.4,18.47,17.44,10.34,-4.0,M
15/07/2021,18.27,18.7,18.78,18.05,6.41,-1.93,M
14/07/2021,18.63,19.25,19.36,18.51,10.33,-2.56,M
13/07/2021,19.12,19.73,19.92,19.06,10.02,-2.94,M
12/07/2021,19.7,18.57,19.72,18.38,17.53,8.18,M
08/07/2021,18.21,18.27,18.58,18.0,5.75,-2.57,M
07/07/2021,18.69,18.82,19.11,18.38,6.97,0.0,M
06/07/2021,18.69,18.95,19.09,18.61,4.16,-1.53,M
05/07/2021,18.98,18.8,19.45,18.74,4.95,0.16,M
02/07/2021,18.95,18.84,19.21,18.6,5.21,1.12,M
01/07/2021,18.74,18.99,19.1,18.56,4.89,-0.69,M
30/06/2021,18.87,18.55,19.02,18.36,6.05,1.4,M
29/06/2021,18.61,18.98,19.06,18.4,7.44,-2.0,M
28/06/2021,18.99,19.06,19.21,18.71,5.93,-0.58,M
25/06/2021,19.1,19.8,19.85,18.83,9.65,-2.6,M
24/06/2021,19.61,19.76,20.02,19.48,8.66,-0.25,M
23/06/2021,19.66,20.17,20.44,19.55,9.36,-2.09,M
22/06/2021,20.08,20.35,20.45,19.66,8.3,-1.33,M
21/06/2021,20.35,20.05,20.35,19.83,5.1,1.75,M
18/06/2021,20.0,20.2,20.48,19.65,11.78,-1.14,M
17/06/2021,20.23,20.34,20.63,19.97,8.78,-1.03,M
16/06/2021,20.44,21.3,21.3,20.16,15.82,-4.4,M
15/06/2021,21.38,21.06,21.56,20.71,11.61,1.47,M
14/06/2021,21.07,21.15,21.5,20.86,13.65,0.24,M
11/06/2021,21.02,20.47,21.29,20.28,27.54,5.1,M
10/06/2021,20.0,19.6,20.0,19.15,38.44,15.61,M
09/06/2021,17.3,17.61,17.67,17.23,5.94,-1.42,M
08/06/2021,17.55,17.57,18.1,17.4,8.02,0.4,M
07/06/2021,17.48,17.33,17.5,17.15,7.56,1.27,M
04/06/2021,17.26,17.82,17.84,17.25,8.25,-3.14,M
02/06/2021,17.82,18.05,18.15,17.66,7.2,-0.89,M
01/06/2021,17.98,17.79,18.55,17.77,14.66,4.05,M
31/05/2021,17.28,17.4,17.43,17.15,2.87,-0.86,M
28/05/2021,17.43,17.91,18.03,17.08,9.53,-2.46,M
27/05/2021,17.87,17.05,18.0,17.05,19.36,6.05,M
26/05/2021,16.85,17.4,17.65,16.76,10.2,-2.43,M
25/05/2021,17.27,17.14,17.79,17.1,13.29,1.29,M
24/05/2021,17.05,16.74,17.09,16.51,7.53,2.34,M
21/05/2021,16.66,16.2,16.76,15.91,11.5,3.16,M
20/05/2021,16.15,15.92,16.17,15.67,7.95,1.64,M
19/05/2021,15.89,16.17,16.17,15.6,12.15,-3.23,M
18/05/2021,16.42,16.08,16.64,15.88,9.08,1.99,M
17/05/2021,16.1,15.95,16.1,15.68,5.71,0.69,M
14/05/2021,15.99,15.8,16.22,15.66,7.1,2.96,M
13/05/2021,15.53,15.69,16.01,15.26,13.72,-0.26,M
12/05/2021,15.57,16.46,16.5,15.34,19.34,-5.29,M
11/05/2021,16.44,16.41,16.69,15.92,9.9,-0.78,M
10/05/2021,16.57,16.98,17.18,16.48,8.53,-2.47,M
07/05/2021,16.99,15.83,16.99,15.79,13.02,7.4,M
06/05/2021,15.82,15.79,16.17,15.43,9.02,0.7,M
05/05/2021,15.71,16.07,16.09,15.62,5.84,-1.26,M
04/05/2021,15.91,15.92,16.16,15.62,9.96,-0.31,M
03/05/2021,15.96,15.22,15.96,15.14,9.56,3.64,M
30/04/2021,15.4,15.12,15.43,14.9,8.84,1.99,M
29/04/2021,15.1,15.58,15.89,15.03,9.12,-4.31,M
28/04/2021,15.78,15.96,16.02,15.68,5.34,-0.94,M
27/04/2021,15.93,16.19,16.48,15.63,9.51,-0.99,M
26/04/2021,16.09,15.74,16.1,15.59,9.15,3.74,M
23/04/2021,15.51,15.28,15.65,15.22,8.01,2.11,M
22/04/2021,15.19,15.24,15.45,15.01,9.13,0.73,M
20/04/2021,15.08,15.42,15.61,14.6,22.75,-2.27,M
19/04/2021,15.43,15.83,15.87,15.41,9.13,-2.4,M
16/04/2021,15.81,15.98,16.04,15.69,6.71,-0.94,M
15/04/2021,15.96,16.29,16.4,15.78,11.01,-1.12,M
14/04/2021,16.14,15.77,16.55,15.77,12.55,2.41,M
13/04/2021,15.76,16.0,16.17,15.52,12.28,-1.81,M
12/04/2021,16.05,16.05,16.2,15.69,12.83,0.56,M
09/04/2021,15.96,15.89,16.05,15.61,14.44,-0.75,M
08/04/2021,16.08,14.8,16.08,14.7,24.97,8.8,M
07/04/2021,14.78,14.46,14.8,14.32,11.03,2.21,M
06/04/2021,14.46,14.66,14.83,14.41,8.72,-1.36,M
05/04/2021,14.66,14.09,14.8,14.04,16.04,5.47,M
01/04/2021,13.9,14.18,14.63,13.86,12.5,-0.79,M
31/03/2021,14.01,14.29,14.33,13.92,11.09,-2.3,M
30/03/2021,14.34,13.05,14.4,13.05,22.61,9.3,M
29/03/2021,13.12,13.02,13.46,13.02,12.69,-0.61,M
26/03/2021,13.2,13.23,13.6,12.99,15.22,0.08,M
25/03/2021,13.19,13.15,13.43,12.69,17.57,0.69,M
24/03/2021,13.1,13.41,13.9,13.06,15.24,-1.87,M
23/03/2021,13.35,13.43,14.25,13.24,20.4,-0.6,M
22/03/2021,13.43,14.39,14.45,13.25,26.34,-7.44,M
19/03/2021,14.51,14.08,14.78,13.21,31.43,4.01,M
18/03/2021,13.95,14.44,14.64,13.81,11.64,-3.26,M
17/03/2021,14.42,13.99,14.45,13.85,12.47,3.07,M
16/03/2021,13.99,14.7,14.82,13.73,15.95,-4.77,M
15/03/2021,14.69,14.25,15.04,14.13,18.0,2.01,M
12/03/2021,14.4,13.69,14.52,13.67,20.21,4.8,M
11/03/2021,13.74,13.84,13.93,13.4,17.26,-0.58,M
10/03/2021,13.82,12.38,13.82,12.24,22.79,11.99,M
09/03/2021,12.34,12.21,12.53,12.0,12.88,0.9,M
08/03/2021,12.23,12.59,13.1,12.14,15.31,-4.6,M
05/03/2021,12.82,12.45,12.89,11.94,17.28,3.39,M
04/03/2021,12.4,12.5,12.94,12.15,18.13,-0.24,M
03/03/2021,12.43,12.35,12.56,11.96,18.42,0.08,M
02/03/2021,12.42,12.13,12.56,11.49,16.94,1.72,M
01/03/2021,12.21,12.53,12.7,12.15,14.28,-0.16,M
26/02/2021,12.23,12.31,12.42,11.79,17.92,-0.33,M
25/02/2021,12.27,13.07,13.22,12.21,21.11,-6.34,M
24/02/2021,13.1,12.44,13.33,12.2,25.17,6.07,M
23/02/2021,12.35,12.68,12.68,11.67,21.37,-1.04,M
22/02/2021,12.48,11.2,12.77,11.11,36.29,7.4,M
19/02/2021,11.62,11.28,11.73,10.99,15.22,2.83,M
18/02/2021,11.3,11.59,12.37,11.17,33.7,-1.74,M
17/02/2021,11.5,11.01,11.58,10.74,37.14,14.09,M
12/02/2021,10.08,10.1,10.25,9.89,15.3,0.6,M
