Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,17.28,16.65,17.39,16.53,2.41,4.1,M
23/02/2022,16.6,16.1,16.94,16.06,1.97,3.36,M
22/02/2022,16.06,16.76,16.94,16.02,1.23,-2.01,M
21/02/2022,16.39,16.56,16.9,16.34,816.0,-1.21,K
18/02/2022,16.59,16.5,16.74,16.27,1.35,0.48,M
17/02/2022,16.51,16.03,16.63,16.0,2.07,2.55,M
16/02/2022,16.1,16.1,16.43,16.02,1.24,1.0,M
15/02/2022,15.94,16.1,16.13,15.76,1.24,-2.51,M
14/02/2022,16.35,16.31,16.7,16.11,1.39,-0.37,M
11/02/2022,16.41,16.05,16.72,15.94,1.92,3.14,M
10/02/2022,15.91,15.64,16.33,15.62,1.87,2.05,M
09/02/2022,15.59,15.32,15.83,15.11,1.11,1.7,M
08/02/2022,15.33,15.63,15.66,15.28,1.21,-2.11,M
07/02/2022,15.66,15.77,15.94,15.55,1.02,-0.45,M
04/02/2022,15.73,15.57,15.98,15.45,1.69,1.16,M
03/02/2022,15.55,15.56,15.64,15.19,1.39,0.32,M
02/02/2022,15.5,15.31,15.76,15.31,1.54,1.64,M
01/02/2022,15.25,15.28,15.4,14.87,1.49,-0.07,M
31/01/2022,15.26,15.47,15.68,14.97,1.69,-0.39,M
28/01/2022,15.32,15.12,15.46,15.09,1.31,1.06,M
27/01/2022,15.16,14.76,15.3,14.76,1.52,2.92,M
26/01/2022,14.73,14.76,14.98,14.56,1.35,0.82,M
25/01/2022,14.61,14.03,14.72,13.98,1.17,3.54,M
24/01/2022,14.11,13.99,14.22,13.81,889.0,0.21,K
21/01/2022,14.08,14.25,14.36,13.97,902.3,-2.22,K
20/01/2022,14.4,14.2,14.54,13.94,999.3,1.34,K
19/01/2022,14.21,14.1,14.37,13.97,1.62,1.94,M
18/01/2022,13.94,13.93,14.42,13.76,1.37,0.43,M
17/01/2022,13.88,13.8,14.0,13.75,544.2,0.07,K
14/01/2022,13.87,13.13,13.98,13.05,1.28,5.8,M
13/01/2022,13.11,13.23,13.95,13.1,2.33,-3.1,M
12/01/2022,13.53,13.21,13.69,13.18,1.07,1.81,M
11/01/2022,13.29,13.13,13.4,12.91,1.39,1.76,M
