Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,21.13,21.11,21.32,20.83,2.25,-0.66,M
23/02/2022,21.27,21.16,21.57,21.16,2.6,0.52,M
22/02/2022,21.16,21.04,21.37,20.93,3.7,0.76,M
21/02/2022,21.0,21.5,21.53,20.97,2.96,-2.33,M
18/02/2022,21.5,21.24,22.04,21.23,4.57,1.9,M
17/02/2022,21.1,20.96,21.22,20.74,5.14,3.63,M
16/02/2022,20.36,20.38,20.44,20.22,4.59,0.2,M
15/02/2022,20.32,20.34,20.62,20.22,3.06,0.64,M
14/02/2022,20.19,20.11,20.33,19.98,3.32,0.4,M
11/02/2022,20.11,20.34,20.42,20.07,2.47,-0.64,M
10/02/2022,20.24,20.33,20.36,20.06,2.31,-0.2,M
09/02/2022,20.28,20.58,20.71,20.19,3.35,-1.41,M
08/02/2022,20.57,20.81,20.86,20.55,2.48,-1.34,M
07/02/2022,20.85,20.9,21.02,20.66,3.49,-0.29,M
04/02/2022,20.91,21.18,21.2,20.88,2.58,-1.41,M
03/02/2022,21.21,21.01,21.32,20.84,3.31,0.9,M
02/02/2022,21.02,21.3,21.3,20.97,2.55,-1.31,M
01/02/2022,21.3,21.5,21.68,21.19,2.71,-0.65,M
31/01/2022,21.44,21.49,21.69,21.26,3.53,-0.14,M
28/01/2022,21.47,21.34,21.63,21.3,3.03,0.51,M
27/01/2022,21.36,21.23,21.65,21.19,3.79,0.71,M
26/01/2022,21.21,21.5,21.73,21.0,4.77,-1.12,M
25/01/2022,21.45,21.11,21.52,20.98,3.39,1.27,M
24/01/2022,21.18,21.24,21.6,21.16,3.22,-0.47,M
21/01/2022,21.28,21.4,21.43,21.09,3.65,-0.56,M
20/01/2022,21.4,21.7,21.87,21.4,3.73,-1.11,M
19/01/2022,21.64,21.21,22.04,21.09,7.06,2.37,M
18/01/2022,21.14,21.09,21.16,20.9,3.35,0.28,M
17/01/2022,21.08,20.65,21.42,20.64,4.24,1.35,M
14/01/2022,20.8,20.48,20.92,20.4,3.74,1.56,M
13/01/2022,20.48,20.56,20.77,20.25,3.62,0.05,M
12/01/2022,20.47,19.95,20.55,19.81,3.64,2.76,M
11/01/2022,19.92,19.72,19.99,19.6,2.94,1.01,M
10/01/2022,19.72,19.59,19.83,19.49,5.18,-0.05,M
07/01/2022,19.73,19.53,19.77,19.3,3.9,0.46,M
06/01/2022,19.64,19.72,19.85,19.48,2.79,-0.91,M
05/01/2022,19.82,19.93,20.18,19.63,4.24,-4.34,M
04/01/2022,20.72,20.86,21.06,20.57,4.85,-0.1,M
03/01/2022,20.74,21.01,21.19,20.56,3.48,-0.96,M
30/12/2021,20.94,20.65,20.98,20.51,4.29,2.25,M
29/12/2021,20.48,20.73,20.82,20.37,1.82,-1.68,M
28/12/2021,20.83,20.82,21.03,20.69,1.37,-0.29,M
27/12/2021,20.89,20.67,20.94,20.67,1.47,0.53,M
23/12/2021,20.78,20.77,21.05,20.6,1.99,0.39,M
22/12/2021,20.7,20.62,20.82,20.51,2.24,0.05,M
21/12/2021,20.69,20.85,20.89,20.6,2.81,-1.0,M
20/12/2021,20.9,20.86,21.04,20.73,3.02,-0.76,M
17/12/2021,21.06,20.68,21.26,20.58,4.64,1.01,M
16/12/2021,20.85,21.11,21.23,20.7,3.28,-0.95,M
15/12/2021,21.05,21.23,21.24,20.85,3.71,-0.75,M
14/12/2021,21.21,21.54,21.7,21.19,3.15,-0.56,M
13/12/2021,21.33,21.14,21.68,21.12,2.59,0.85,M
10/12/2021,21.15,21.16,21.34,21.05,2.29,0.24,M
09/12/2021,21.1,21.4,21.45,20.94,2.37,-1.36,M
08/12/2021,21.39,21.31,21.53,21.19,1.76,0.61,M
07/12/2021,21.26,21.53,21.62,20.98,2.73,-0.79,M
06/12/2021,21.43,21.56,21.76,21.25,1.97,0.0,M
03/12/2021,21.43,21.43,21.7,21.21,3.21,0.05,M
02/12/2021,21.42,21.34,21.58,21.26,5.12,1.04,M
01/12/2021,21.2,21.46,21.67,21.12,6.36,-0.93,M
30/11/2021,21.4,21.44,21.68,21.2,5.87,0.05,M
29/11/2021,21.39,21.32,21.63,21.32,3.61,1.47,M
26/11/2021,21.08,20.87,21.3,20.82,3.39,-1.08,M
25/11/2021,21.31,21.28,21.65,21.15,2.25,0.9,M
24/11/2021,21.12,20.83,21.36,20.76,3.34,1.0,M
23/11/2021,20.91,20.83,21.03,20.64,4.21,0.82,M
22/11/2021,20.74,21.06,21.13,20.63,2.78,-0.86,M
19/11/2021,20.92,20.6,21.13,20.6,2.31,1.55,M
18/11/2021,20.6,20.71,20.9,20.51,3.07,0.34,M
17/11/2021,20.53,20.81,20.98,20.45,3.47,-1.25,M
16/11/2021,20.79,21.15,21.18,20.71,2.79,-1.24,M
12/11/2021,21.05,21.14,21.38,20.93,2.58,-0.71,M
11/11/2021,21.2,20.95,21.47,20.87,4.88,2.51,M
10/11/2021,20.68,20.26,20.81,20.24,4.2,2.33,M
