Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.56,12.99,13.86,12.85,5.51,0.97,M
23/02/2022,13.43,13.6,13.85,13.43,5.39,-1.18,M
22/02/2022,13.59,13.6,13.9,13.55,3.32,1.49,M
21/02/2022,13.39,13.64,13.87,13.39,2.35,-1.98,M
18/02/2022,13.66,13.98,14.03,13.66,4.36,-1.59,M
17/02/2022,13.88,13.94,14.08,13.73,4.76,-0.93,M
16/02/2022,14.01,13.68,14.13,13.63,9.31,2.41,M
15/02/2022,13.68,13.36,13.76,13.36,4.51,2.4,M
14/02/2022,13.36,13.45,13.65,13.24,6.34,-0.37,M
11/02/2022,13.41,13.47,13.7,13.24,6.22,-0.45,M
10/02/2022,13.47,13.47,13.61,13.14,6.98,0.07,M
09/02/2022,13.46,13.32,13.61,13.22,7.43,2.91,M
08/02/2022,13.08,13.07,13.38,13.0,4.81,0.08,M
07/02/2022,13.07,13.16,13.29,12.98,6.64,-1.95,M
04/02/2022,13.33,13.36,13.51,12.95,7.62,-0.22,M
03/02/2022,13.36,13.23,13.51,12.87,6.53,1.06,M
02/02/2022,13.22,13.24,13.64,13.0,14.2,-0.3,M
01/02/2022,13.26,13.16,13.4,12.83,10.51,0.38,M
31/01/2022,13.21,12.54,13.42,12.43,10.66,4.26,M
28/01/2022,12.67,13.22,13.22,12.57,13.67,-4.02,M
27/01/2022,13.2,13.3,13.4,13.01,8.57,0.99,M
26/01/2022,13.07,13.01,13.4,12.97,7.41,1.4,M
25/01/2022,12.89,12.52,13.05,12.47,8.28,1.1,M
24/01/2022,12.75,13.03,13.08,12.65,4.48,-1.39,M
21/01/2022,12.93,12.89,13.09,12.65,5.27,-0.08,M
20/01/2022,12.94,12.99,13.31,12.83,5.04,0.23,M
19/01/2022,12.91,12.66,13.23,12.6,4.62,2.87,M
18/01/2022,12.55,12.48,12.72,12.43,5.51,-0.48,M
17/01/2022,12.61,12.67,12.9,12.5,4.2,-0.24,M
14/01/2022,12.64,12.09,12.87,12.0,7.72,3.86,M
13/01/2022,12.17,12.54,12.63,12.14,6.54,-2.72,M
12/01/2022,12.51,12.17,12.55,11.97,6.32,3.22,M
11/01/2022,12.12,11.92,12.27,11.77,6.49,1.34,M
10/01/2022,11.96,11.82,12.01,11.45,6.66,0.25,M
07/01/2022,11.93,12.14,12.26,11.88,6.83,-2.29,M
06/01/2022,12.21,12.4,12.52,12.08,7.21,-1.53,M
05/01/2022,12.4,12.83,12.92,12.3,7.41,-3.95,M
04/01/2022,12.91,13.5,13.58,12.8,8.75,-3.94,M
03/01/2022,13.44,14.1,14.32,13.32,9.85,-5.02,M
30/12/2021,14.15,14.18,14.35,14.06,5.3,0.43,M
29/12/2021,14.09,14.27,14.3,14.0,4.27,-0.7,M
28/12/2021,14.19,14.31,14.31,13.92,2.99,-0.21,M
27/12/2021,14.22,14.1,14.37,14.01,5.14,1.21,M
23/12/2021,14.05,14.49,14.49,13.96,4.43,-2.29,M
22/12/2021,14.38,14.58,14.64,14.15,5.77,-0.55,M
21/12/2021,14.46,14.12,14.75,13.91,8.68,2.34,M
20/12/2021,14.13,13.88,14.37,13.73,8.54,1.29,M
17/12/2021,13.95,13.9,14.74,13.9,11.81,-2.31,M
16/12/2021,14.28,14.78,14.78,14.18,5.37,-2.53,M
15/12/2021,14.65,15.0,15.29,14.57,7.68,1.67,M
14/12/2021,14.41,14.73,15.02,14.3,3.48,-1.71,M
13/12/2021,14.66,14.72,15.0,14.54,4.22,-1.15,M
10/12/2021,14.83,15.15,15.4,14.83,2.69,0.0,M
09/12/2021,14.83,14.89,15.25,14.63,2.66,-0.87,M
08/12/2021,14.96,14.76,15.3,14.75,5.79,1.98,M
07/12/2021,14.67,14.72,14.89,14.58,2.38,0.62,M
06/12/2021,14.58,14.61,14.84,14.47,7.17,0.34,M
03/12/2021,14.53,14.17,14.78,14.12,6.3,3.64,M
02/12/2021,14.02,13.9,14.39,13.8,7.96,1.96,M
01/12/2021,13.75,14.17,14.45,13.7,7.02,-1.43,M
30/11/2021,13.95,14.21,14.35,13.55,10.64,-2.17,M
29/11/2021,14.26,14.51,14.69,14.23,5.65,-0.7,M
26/11/2021,14.36,14.62,14.82,14.33,4.39,-3.49,M
25/11/2021,14.88,14.89,15.14,14.77,2.64,-0.07,M
24/11/2021,14.89,14.83,15.14,14.67,3.76,-0.8,M
23/11/2021,15.01,15.14,15.19,14.7,3.3,-0.13,M
22/11/2021,15.03,15.59,15.64,14.95,4.12,-3.03,M
19/11/2021,15.5,15.31,16.05,15.27,5.77,1.84,M
18/11/2021,15.22,15.09,15.39,15.01,3.22,1.4,M
17/11/2021,15.01,15.15,15.34,14.81,3.72,-0.27,M
16/11/2021,15.05,15.5,15.54,15.0,3.88,-2.02,M
12/11/2021,15.36,15.61,15.85,15.26,4.44,-1.03,M
11/11/2021,15.52,15.58,15.8,15.43,4.4,0.65,M
10/11/2021,15.42,15.53,15.72,15.37,3.83,-0.71,M
09/11/2021,15.53,15.25,15.71,15.19,3.57,2.1,M
08/11/2021,15.21,15.14,15.42,15.11,4.59,-1.17,M
05/11/2021,15.39,15.13,15.64,15.04,9.63,3.43,M
04/11/2021,14.88,14.75,15.2,14.7,4.94,0.4,M
03/11/2021,14.82,14.22,15.05,14.16,7.51,3.2,M
01/11/2021,14.36,14.53,14.71,14.2,4.74,-0.28,M
29/10/2021,14.4,14.52,14.73,14.27,8.47,0.21,M
28/10/2021,14.37,14.49,14.74,14.3,3.73,-1.03,M
27/10/2021,14.52,14.25,14.97,14.2,12.42,3.2,M
26/10/2021,14.07,14.15,14.53,14.07,4.73,-3.5,M
25/10/2021,14.58,14.05,14.75,13.99,6.16,4.14,M
