Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,43.66,43.67,43.67,42.61,1.87,-1.04,M
23/02/2022,44.12,44.22,45.01,43.86,1.89,-0.29,M
22/02/2022,44.25,43.89,44.55,43.47,1.6,1.49,M
21/02/2022,43.6,43.71,44.25,43.3,1.4,-0.52,M
18/02/2022,43.83,43.64,44.11,43.32,2.1,0.55,M
17/02/2022,43.59,43.41,44.08,42.85,2.75,-0.05,M
16/02/2022,43.61,43.51,43.7,42.99,1.95,0.23,M
15/02/2022,43.51,43.24,43.78,42.86,2.07,0.62,M
14/02/2022,43.24,43.37,43.66,42.73,1.22,0.79,M
11/02/2022,42.9,43.12,43.6,42.5,2.06,-0.6,M
10/02/2022,43.16,42.86,43.33,42.39,1.38,0.84,M
09/02/2022,42.8,43.12,43.72,42.59,2.0,-0.26,M
08/02/2022,42.91,43.2,43.54,42.76,1.25,-0.88,M
07/02/2022,43.29,43.36,43.69,42.6,4.3,-0.16,M
04/02/2022,43.36,43.84,43.97,42.92,1.2,-1.41,M
03/02/2022,43.98,43.63,44.11,43.34,3.26,1.1,M
02/02/2022,43.5,43.67,43.91,43.3,851.3,-0.53,K
01/02/2022,43.73,43.58,44.46,43.51,3.5,0.18,M
31/01/2022,43.65,43.15,44.15,42.45,2.15,1.44,M
28/01/2022,43.03,42.74,43.17,42.37,917.8,0.75,K
27/01/2022,42.71,42.84,43.07,42.3,1.33,1.11,M
26/01/2022,42.24,42.48,43.22,42.1,1.26,0.24,M
25/01/2022,42.14,41.24,42.31,40.83,1.81,2.58,M
24/01/2022,41.08,41.03,41.54,40.84,1.34,-0.39,M
21/01/2022,41.24,41.01,41.39,40.31,1.84,0.05,M
20/01/2022,41.22,41.38,41.75,40.51,1.8,-0.22,M
19/01/2022,41.31,41.66,41.68,40.88,2.85,0.07,M
18/01/2022,41.28,41.04,41.52,40.57,1.35,0.68,M
17/01/2022,41.0,40.81,41.29,40.72,558.6,0.07,K
14/01/2022,40.97,40.78,41.23,40.41,874.7,0.44,K
13/01/2022,40.79,40.91,41.33,40.48,1.62,-0.29,M
12/01/2022,40.91,39.81,41.66,39.5,1.95,2.69,M
11/01/2022,39.84,39.04,39.9,39.03,1.43,1.63,M
10/01/2022,39.2,39.2,39.31,38.66,1.06,-0.33,M
07/01/2022,39.33,39.17,39.63,38.79,1.3,-0.76,M
06/01/2022,39.63,39.95,39.95,39.11,1.95,-0.75,M
05/01/2022,39.93,40.0,40.57,39.65,2.02,-0.57,M
04/01/2022,40.16,40.35,40.36,39.24,1.41,-0.54,M
03/01/2022,40.38,41.69,42.52,40.12,2.91,-8.99,M
30/12/2021,44.37,44.06,44.38,43.63,1.86,1.28,M
29/12/2021,43.81,44.86,44.86,43.66,1.22,-1.77,M
28/12/2021,44.6,44.53,44.88,44.12,1.16,0.45,M
27/12/2021,44.4,44.2,44.86,43.96,1.69,0.59,M
23/12/2021,44.14,44.61,44.69,43.85,895.4,-0.43,K
22/12/2021,44.33,44.49,44.84,43.85,1.38,0.5,M
21/12/2021,44.11,44.34,44.7,43.53,1.07,-1.65,M
20/12/2021,44.85,45.54,45.54,43.83,1.67,-1.71,M
17/12/2021,45.63,45.63,45.68,44.91,1.89,0.13,M
16/12/2021,45.57,46.15,46.27,44.83,1.68,-1.02,M
15/12/2021,46.04,46.49,46.64,45.79,1.96,-0.54,M
14/12/2021,46.29,46.03,47.0,45.77,1.78,0.63,M
13/12/2021,46.0,46.73,47.45,46.0,1.55,-0.84,M
10/12/2021,46.39,45.86,46.99,45.64,2.05,1.2,M
09/12/2021,45.84,46.28,46.28,44.8,1.96,0.02,M
08/12/2021,45.83,45.52,46.37,45.41,1.14,0.46,M
07/12/2021,45.62,46.62,46.65,45.22,1.76,-1.36,M
06/12/2021,46.25,46.98,47.47,46.03,1.86,-0.88,M
03/12/2021,46.66,46.36,47.38,46.03,3.17,0.58,M
02/12/2021,46.39,46.43,48.03,45.87,2.88,1.75,M
01/12/2021,45.59,46.1,46.5,44.91,4.33,0.22,M
30/11/2021,45.49,45.05,45.64,44.55,3.97,0.2,M
29/11/2021,45.4,44.68,47.5,44.46,4.43,1.93,M
26/11/2021,44.54,44.73,44.73,43.76,2.34,-1.48,M
25/11/2021,45.21,44.84,45.73,44.42,2.27,1.82,M
24/11/2021,44.4,43.57,44.82,43.55,3.12,0.61,M
23/11/2021,44.13,43.05,44.31,42.57,2.57,3.13,M
22/11/2021,42.79,43.01,43.32,42.62,1.4,-0.28,M
19/11/2021,42.91,42.4,43.43,42.29,1.06,1.06,M
18/11/2021,42.46,42.43,43.15,42.01,1.55,1.31,M
17/11/2021,41.91,43.54,43.73,41.88,1.9,-3.1,M
16/11/2021,43.25,43.91,44.46,42.98,2.34,-0.41,M
12/11/2021,43.43,42.77,43.95,42.61,2.0,1.28,M
11/11/2021,42.88,42.37,43.64,42.36,2.06,1.35,M
10/11/2021,42.31,40.48,42.66,40.48,2.07,3.68,M
09/11/2021,40.81,40.3,41.49,40.27,1.2,1.27,M
08/11/2021,40.3,40.07,41.35,40.07,1.24,-0.79,M
05/11/2021,40.62,40.08,41.11,40.08,1.57,1.52,M
04/11/2021,40.01,41.14,41.29,39.84,1.47,-3.03,M
03/11/2021,41.26,40.0,41.86,39.68,2.9,2.36,M
01/11/2021,40.31,40.34,41.25,40.0,2.16,1.74,M
29/10/2021,39.62,39.2,40.21,39.2,2.64,0.87,M
28/10/2021,39.28,40.62,40.74,38.73,8.56,-4.24,M
27/10/2021,41.02,40.58,41.69,40.49,1.38,1.48,M
26/10/2021,40.42,41.75,41.9,40.1,2.95,-4.38,M
25/10/2021,42.27,41.82,42.35,40.86,2.13,1.73,M
22/10/2021,41.55,41.96,42.31,39.91,3.73,-3.42,M
21/10/2021,43.02,43.38,43.8,41.95,2.17,-2.8,M
20/10/2021,44.26,44.2,44.6,43.59,1.19,0.34,M
19/10/2021,44.11,45.83,45.89,43.5,2.53,-4.21,M
18/10/2021,46.05,45.45,46.47,45.31,1.18,0.33,M
15/10/2021,45.9,46.26,46.7,45.52,1.19,-0.54,M
14/10/2021,46.15,46.02,46.42,45.63,1.25,0.33,M
13/10/2021,46.0,45.49,46.28,45.13,1.74,1.55,M
11/10/2021,45.3,44.05,45.38,43.97,1.79,1.75,M
08/10/2021,44.52,43.5,44.94,43.35,2.46,2.79,M
07/10/2021,43.31,42.31,43.74,42.07,2.14,0.93,M
06/10/2021,42.91,43.35,43.7,41.71,1.88,-2.21,M
05/10/2021,43.88,44.18,44.43,43.68,1.88,-0.52,M
04/10/2021,44.11,44.2,44.48,43.7,1.28,-0.7,M
01/10/2021,44.42,43.98,44.95,43.98,1.0,1.16,M
30/09/2021,43.91,43.55,44.79,43.39,1.95,0.16,M
29/09/2021,43.84,42.63,44.31,42.07,2.38,3.4,M
28/09/2021,42.4,42.7,42.9,42.2,1.41,-1.21,M
27/09/2021,42.92,43.4,43.41,42.36,1.13,-1.22,M
24/09/2021,43.45,43.38,43.71,43.21,962.5,-0.93,K
23/09/2021,43.86,43.72,43.93,43.36,1.07,0.3,M
22/09/2021,43.73,43.53,44.03,43.28,1.22,0.46,M
21/09/2021,43.53,42.57,44.01,42.52,1.63,2.18,M
20/09/2021,42.6,43.51,43.71,42.43,964.1,-1.3,K
17/09/2021,43.16,43.21,43.55,42.95,2.69,-0.14,M
16/09/2021,43.22,42.96,43.47,42.68,1.88,0.09,M
15/09/2021,43.18,43.56,43.61,42.55,1.53,-0.62,M
14/09/2021,43.45,43.35,43.82,43.1,1.36,0.0,M
13/09/2021,43.45,43.98,43.98,43.3,1.01,0.67,M
10/09/2021,43.16,44.55,44.93,42.89,2.37,-2.49,M
09/09/2021,44.26,43.02,44.56,42.78,2.34,2.86,M
08/09/2021,43.03,44.28,44.67,42.7,2.0,-2.74,M
06/09/2021,44.24,43.48,44.24,43.48,597.3,0.98,K
03/09/2021,43.81,44.72,44.72,43.47,2.51,-1.28,M
02/09/2021,44.38,44.85,44.96,44.04,1.65,-1.86,M
01/09/2021,45.22,44.63,45.37,44.39,1.44,1.92,M
31/08/2021,44.37,44.53,44.91,44.06,2.49,-0.36,M
30/08/2021,44.53,44.5,44.6,43.76,1.14,0.0,M
27/08/2021,44.53,44.19,44.66,43.37,1.83,0.86,M
26/08/2021,44.15,45.15,45.47,44.15,1.01,-2.28,M
25/08/2021,45.18,44.51,45.18,44.48,2.03,0.29,M
24/08/2021,45.05,44.12,45.17,43.76,1.7,2.69,M
23/08/2021,43.87,44.25,44.41,43.26,1.07,-0.86,M
20/08/2021,44.25,43.02,44.52,43.02,2.02,1.42,M
19/08/2021,43.63,42.01,43.91,41.79,2.59,3.07,M
18/08/2021,42.33,42.7,42.98,42.04,1.63,-2.38,M
17/08/2021,43.36,43.38,43.87,42.65,2.22,-0.64,M
16/08/2021,43.64,43.21,43.68,42.55,2.13,0.67,M
13/08/2021,43.35,41.3,43.45,41.24,2.84,5.35,M
12/08/2021,41.15,41.14,41.67,40.83,1.11,-0.94,M
