Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.0,2.8,3.05,2.65,4.32,1.35,M
23/02/2022,2.96,2.87,3.15,2.85,4.81,3.5,M
22/02/2022,2.86,2.79,2.93,2.68,3.53,4.0,M
21/02/2022,2.75,3.06,3.06,2.75,2.39,-9.24,M
18/02/2022,3.03,3.11,3.13,3.0,1.62,-2.88,M
17/02/2022,3.12,3.1,3.18,3.05,1.5,0.0,M
16/02/2022,3.12,3.12,3.14,3.03,1.28,0.65,M
15/02/2022,3.1,2.96,3.14,2.96,2.27,6.16,M
14/02/2022,2.92,2.98,3.05,2.91,1.31,-3.31,M
11/02/2022,3.02,3.02,3.1,2.93,3.59,1.68,M
10/02/2022,2.97,3.14,3.22,2.96,2.52,-5.41,M
09/02/2022,3.14,3.09,3.25,3.08,1.6,1.29,M
08/02/2022,3.1,2.87,3.1,2.84,2.39,7.64,M
07/02/2022,2.88,2.92,2.94,2.85,1.06,-1.37,M
04/02/2022,2.92,2.95,2.97,2.8,1.92,-1.02,M
03/02/2022,2.95,2.98,3.07,2.88,1.61,-1.01,M
02/02/2022,2.98,3.09,3.23,2.98,2.15,-3.25,M
01/02/2022,3.08,3.14,3.18,3.03,2.07,-1.91,M
31/01/2022,3.14,2.91,3.17,2.9,3.0,8.28,M
28/01/2022,2.9,2.92,2.99,2.83,1.34,-1.02,M
27/01/2022,2.93,2.9,3.04,2.85,2.24,1.74,M
26/01/2022,2.88,2.9,3.03,2.82,3.54,0.35,M
25/01/2022,2.87,2.68,2.87,2.68,1.79,4.74,M
24/01/2022,2.74,2.85,2.86,2.69,1.75,-4.53,M
21/01/2022,2.87,2.76,2.87,2.69,2.23,3.24,M
20/01/2022,2.78,2.58,2.82,2.58,2.57,8.17,M
19/01/2022,2.57,2.48,2.63,2.47,1.81,5.33,M
18/01/2022,2.44,2.59,2.62,2.44,1.34,-6.15,M
17/01/2022,2.6,2.69,2.76,2.6,804.1,-3.7,K
14/01/2022,2.7,2.64,2.76,2.6,2.84,3.05,M
13/01/2022,2.62,2.86,2.9,2.6,5.09,-8.39,M
12/01/2022,2.86,2.48,2.86,2.47,5.67,16.26,M
11/01/2022,2.46,2.49,2.63,2.38,6.76,5.13,M
10/01/2022,2.34,2.44,2.44,2.31,1.77,-4.1,M
07/01/2022,2.44,2.33,2.54,2.26,3.04,3.83,M
06/01/2022,2.35,2.35,2.45,2.3,1.76,0.0,M
05/01/2022,2.35,2.55,2.59,2.35,3.06,-6.75,M
04/01/2022,2.52,2.73,2.75,2.52,1.76,-5.97,M
03/01/2022,2.68,2.88,2.94,2.68,2.32,-5.96,M
30/12/2021,2.85,2.89,2.95,2.81,3.21,1.06,M
29/12/2021,2.82,2.95,3.0,2.81,2.12,-4.41,M
28/12/2021,2.95,3.03,3.05,2.92,1.63,-1.01,M
27/12/2021,2.98,3.05,3.14,2.98,3.21,-2.3,M
23/12/2021,3.05,3.12,3.14,2.98,1.48,-2.24,M
22/12/2021,3.12,3.11,3.15,3.01,939.8,1.3,K
21/12/2021,3.08,3.15,3.21,3.07,2.36,-1.28,M
20/12/2021,3.12,3.0,3.29,2.97,3.26,1.63,M
17/12/2021,3.07,3.05,3.19,2.97,2.37,0.66,M
16/12/2021,3.05,3.2,3.24,3.01,3.52,-3.79,M
15/12/2021,3.17,3.21,3.29,2.97,6.69,0.63,M
14/12/2021,3.15,3.75,3.75,3.1,8.41,-17.11,M
13/12/2021,3.8,3.19,3.95,3.15,7.65,21.02,M
10/12/2021,3.14,3.26,3.31,3.09,2.92,2.28,M
09/12/2021,3.07,3.3,3.36,3.06,2.08,-9.17,M
08/12/2021,3.38,3.24,3.42,3.05,3.79,3.36,M
07/12/2021,3.27,3.51,3.54,3.21,3.54,-6.84,M
06/12/2021,3.51,3.19,3.51,3.1,2.87,10.38,M
03/12/2021,3.18,2.91,3.19,2.91,2.66,9.66,M
02/12/2021,2.9,2.84,3.14,2.84,2.74,2.84,M
01/12/2021,2.82,3.01,3.05,2.81,2.62,-2.42,M
30/11/2021,2.89,3.18,3.19,2.89,2.51,-9.12,M
29/11/2021,3.18,3.29,3.36,3.15,1.23,-1.55,M
26/11/2021,3.23,3.39,3.45,3.23,1.58,-9.01,M
25/11/2021,3.55,3.32,3.55,3.32,1.69,7.25,M
24/11/2021,3.31,3.29,3.49,3.29,1.72,-1.19,M
23/11/2021,3.35,3.36,3.44,3.25,2.64,0.6,M
22/11/2021,3.33,3.5,3.63,3.3,2.1,-3.76,M
19/11/2021,3.46,3.52,3.73,3.46,2.26,-1.7,M
18/11/2021,3.52,3.68,3.8,3.48,1.84,-3.56,M
17/11/2021,3.65,3.72,3.76,3.53,2.49,0.27,M
16/11/2021,3.64,3.95,4.07,3.56,4.17,-8.54,M
12/11/2021,3.98,4.36,4.5,3.96,2.78,-8.92,M
11/11/2021,4.37,4.41,4.61,4.32,1.58,0.0,M
10/11/2021,4.37,4.12,4.41,4.08,2.08,6.07,M
09/11/2021,4.12,4.03,4.26,4.03,2.31,3.0,M
08/11/2021,4.0,4.04,4.09,3.93,1.79,-1.48,M
05/11/2021,4.06,4.14,4.33,4.06,1.92,-1.22,M
04/11/2021,4.11,4.26,4.42,4.04,2.29,-3.97,M
03/11/2021,4.28,4.28,4.54,4.22,2.97,-2.73,M
01/11/2021,4.4,4.01,4.47,3.98,2.73,10.0,M
29/10/2021,4.0,4.3,4.38,3.98,2.13,-6.54,M
28/10/2021,4.28,4.4,4.59,4.28,1.73,-2.73,M
27/10/2021,4.4,4.53,4.63,4.4,2.25,-2.65,M
26/10/2021,4.52,4.78,5.04,4.5,2.97,-6.03,M
25/10/2021,4.81,4.79,5.09,4.62,2.8,2.34,M
22/10/2021,4.7,4.62,4.76,4.35,3.49,0.0,M
21/10/2021,4.7,4.99,5.1,4.52,3.56,-6.37,M
20/10/2021,5.02,5.19,5.35,5.02,2.28,-4.02,M
19/10/2021,5.23,5.47,5.59,5.21,2.26,-5.25,M
18/10/2021,5.52,5.82,5.89,5.46,4.63,-8.15,M
15/10/2021,6.01,6.11,6.24,5.72,3.58,-1.64,M
14/10/2021,6.11,5.58,6.24,5.44,3.2,9.89,M
13/10/2021,5.56,5.3,5.56,5.15,1.93,5.9,M
