Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,25.62,24.88,25.78,24.71,11.82,0.87,M
23/02/2022,25.4,24.93,25.73,24.93,9.25,1.11,M
22/02/2022,25.12,24.68,25.2,24.45,6.27,2.95,M
21/02/2022,24.4,25.18,25.18,24.38,6.48,-2.28,M
18/02/2022,24.97,24.83,25.21,24.74,4.61,0.93,M
17/02/2022,24.74,24.72,25.0,24.51,6.0,0.0,M
16/02/2022,24.74,24.48,24.91,24.44,7.56,0.65,M
15/02/2022,24.58,24.01,24.7,23.79,9.52,2.97,M
14/02/2022,23.87,23.83,24.18,23.79,7.98,0.38,M
11/02/2022,23.78,24.03,24.6,23.65,21.94,-0.79,M
10/02/2022,23.97,23.93,24.11,23.52,8.55,-0.13,M
09/02/2022,24.0,23.84,24.16,23.53,17.33,1.01,M
08/02/2022,23.76,23.73,23.94,23.49,7.35,-1.0,M
07/02/2022,24.0,23.89,24.94,23.79,10.34,0.17,M
04/02/2022,23.96,23.25,23.97,23.05,11.57,2.48,M
03/02/2022,23.38,23.11,23.65,22.92,7.37,1.96,M
02/02/2022,22.93,23.0,23.42,22.86,5.05,-0.09,M
01/02/2022,22.95,22.97,23.24,22.85,5.81,-0.04,M
31/01/2022,22.96,22.64,23.18,22.42,6.52,1.37,M
28/01/2022,22.65,22.17,22.69,22.11,3.23,1.12,M
27/01/2022,22.4,22.4,22.55,22.03,8.4,1.08,M
26/01/2022,22.16,22.41,22.87,22.06,10.16,-0.09,M
25/01/2022,22.18,21.72,22.33,21.56,5.61,1.93,M
24/01/2022,21.76,22.01,22.37,21.71,6.44,-1.72,M
21/01/2022,22.14,22.26,22.28,21.84,6.58,-0.54,M
20/01/2022,22.26,22.11,22.68,22.11,5.05,0.27,M
19/01/2022,22.2,21.94,22.24,21.61,6.07,1.65,M
18/01/2022,21.84,22.2,22.33,21.36,8.04,-2.02,M
17/01/2022,22.29,22.65,22.65,22.22,3.7,-1.46,M
14/01/2022,22.62,22.66,22.78,22.32,12.28,0.13,M
13/01/2022,22.59,22.5,23.0,22.49,4.38,-0.7,M
12/01/2022,22.75,22.07,22.9,22.01,7.31,2.43,M
11/01/2022,22.21,21.72,22.29,21.57,8.13,2.26,M
10/01/2022,21.72,21.23,21.88,21.04,7.6,1.73,M
07/01/2022,21.35,21.22,21.69,21.12,4.46,-0.23,M
06/01/2022,21.4,21.64,21.7,21.22,4.42,-0.83,M
05/01/2022,21.58,21.9,22.14,21.44,8.49,-1.33,M
04/01/2022,21.87,22.0,22.18,21.62,5.21,-0.91,M
03/01/2022,22.07,22.3,22.81,21.81,6.34,-2.39,M
30/12/2021,22.61,22.55,22.66,22.35,4.49,0.67,M
29/12/2021,22.46,22.72,22.74,22.3,3.14,-1.58,M
28/12/2021,22.82,22.84,22.84,22.45,2.08,0.04,M
27/12/2021,22.81,22.83,22.85,22.37,4.08,0.71,M
23/12/2021,22.65,22.88,22.88,22.48,2.53,-0.96,M
22/12/2021,22.87,22.81,22.9,22.57,3.58,-0.13,M
21/12/2021,22.9,22.9,23.11,22.71,5.55,-0.95,M
20/12/2021,23.12,23.49,23.56,22.93,3.05,-1.78,M
17/12/2021,23.54,23.29,23.78,23.07,7.61,0.77,M
16/12/2021,23.36,23.88,23.94,23.13,4.54,-1.72,M
15/12/2021,23.77,23.95,24.07,23.61,4.77,-0.92,M
14/12/2021,23.99,24.0,24.27,23.77,3.62,0.25,M
13/12/2021,23.93,23.91,24.39,23.68,6.43,0.08,M
10/12/2021,23.91,24.09,24.28,23.83,6.53,0.04,M
09/12/2021,23.9,23.71,24.3,23.61,10.79,1.27,M
08/12/2021,23.6,23.43,23.88,23.29,3.97,1.07,M
07/12/2021,23.35,23.51,23.55,23.25,5.05,0.13,M
06/12/2021,23.32,23.56,23.84,23.32,4.6,-1.02,M
03/12/2021,23.56,23.28,23.94,23.22,7.85,1.42,M
02/12/2021,23.23,22.88,23.44,22.72,7.76,2.56,M
01/12/2021,22.65,22.62,22.92,22.38,9.02,0.35,M
30/11/2021,22.57,22.63,22.91,22.24,10.95,-0.92,M
29/11/2021,22.78,22.91,23.0,22.59,7.05,0.04,M
26/11/2021,22.77,22.87,23.02,22.55,7.52,-1.64,M
25/11/2021,23.15,23.22,23.52,22.97,6.29,-0.3,M
24/11/2021,23.22,23.07,23.45,22.87,6.82,-0.98,M
23/11/2021,23.45,23.0,23.61,22.68,11.14,2.09,M
22/11/2021,22.97,23.56,23.67,22.83,5.55,-2.09,M
19/11/2021,23.46,23.6,24.01,23.39,4.92,-0.3,M
18/11/2021,23.53,23.72,24.09,23.34,5.39,-0.21,M
17/11/2021,23.58,24.1,24.32,23.45,4.88,-1.79,M
16/11/2021,24.01,24.27,24.45,23.58,3.88,-1.03,M
12/11/2021,24.26,24.77,25.23,24.2,4.51,-2.02,M
11/11/2021,24.76,24.35,25.2,24.23,7.9,2.78,M
10/11/2021,24.09,23.26,24.57,23.15,12.09,3.52,M
09/11/2021,23.27,22.65,23.67,22.62,6.8,2.15,M
08/11/2021,22.78,22.64,23.12,22.6,3.84,-0.57,M
05/11/2021,22.91,22.7,23.2,22.66,5.78,1.37,M
04/11/2021,22.6,22.91,23.0,22.28,9.11,-1.61,M
03/11/2021,22.97,22.72,23.22,22.39,13.61,-0.04,M
01/11/2021,22.98,23.01,23.25,22.68,10.98,0.44,M
29/10/2021,22.88,23.5,23.94,22.71,15.28,-2.39,M
28/10/2021,23.44,24.31,24.63,22.26,13.07,-3.9,M
27/10/2021,24.39,23.95,24.84,23.95,9.9,2.01,M
26/10/2021,23.91,23.4,24.54,23.27,8.62,-0.42,M
25/10/2021,24.01,23.39,24.29,23.1,11.26,3.76,M
22/10/2021,23.14,23.6,23.61,22.45,10.89,-2.94,M
21/10/2021,23.84,23.65,24.04,23.11,10.51,-0.67,M
20/10/2021,24.0,24.15,24.66,23.62,7.47,-0.99,M
19/10/2021,24.24,24.52,24.73,24.09,5.6,-2.14,M
18/10/2021,24.77,24.55,24.99,24.28,3.32,0.41,M
15/10/2021,24.67,24.92,25.2,24.52,5.55,-1.08,M
14/10/2021,24.94,24.86,25.21,24.57,5.88,0.4,M
13/10/2021,24.84,24.6,25.17,24.43,8.07,1.39,M
11/10/2021,24.5,24.54,24.7,24.19,3.83,-0.49,M
08/10/2021,24.62,24.48,25.06,24.39,5.89,1.4,M
07/10/2021,24.28,24.14,24.55,23.85,6.58,0.54,M
06/10/2021,24.15,24.25,24.48,23.76,6.43,-1.19,M
05/10/2021,24.44,24.88,24.94,24.19,5.58,-1.65,M
04/10/2021,24.85,25.31,25.44,24.63,5.42,-3.04,M
01/10/2021,25.63,25.36,25.75,25.26,4.13,1.1,M
30/09/2021,25.35,25.65,25.86,25.35,4.41,-1.36,M
29/09/2021,25.7,25.74,26.17,25.45,5.35,1.22,M
28/09/2021,25.39,25.67,25.74,25.3,4.32,-0.86,M
27/09/2021,25.61,25.55,25.99,25.26,2.96,-0.35,M
24/09/2021,25.7,25.59,25.77,25.47,3.12,-0.7,M
23/09/2021,25.88,25.81,26.2,25.58,5.28,0.78,M
22/09/2021,25.68,25.9,26.05,25.66,6.0,-0.16,M
21/09/2021,25.72,25.45,26.12,25.31,6.28,0.94,M
20/09/2021,25.48,25.56,26.07,25.31,5.93,-1.13,M
17/09/2021,25.77,25.52,25.99,25.51,8.56,0.47,M
16/09/2021,25.65,25.18,25.77,25.11,5.52,1.18,M
15/09/2021,25.35,25.48,25.55,24.66,6.76,0.28,M
14/09/2021,25.28,25.38,25.64,25.14,6.91,-0.04,M
13/09/2021,25.29,25.29,25.81,25.1,6.06,1.77,M
10/09/2021,24.85,24.76,25.3,24.58,5.45,-0.52,M
09/09/2021,24.98,24.61,25.34,24.36,5.62,1.34,M
08/09/2021,24.65,25.36,25.4,24.43,8.62,-2.95,M
06/09/2021,25.4,25.59,25.64,25.16,3.15,-0.97,M
03/09/2021,25.65,26.2,26.37,24.84,18.34,-1.42,M
02/09/2021,26.02,26.22,26.39,25.71,7.7,-1.1,M
01/09/2021,26.31,25.9,26.68,25.63,16.9,3.38,M
31/08/2021,25.45,25.31,25.55,24.9,9.21,0.47,M
30/08/2021,25.33,25.2,25.38,24.98,3.28,0.12,M
27/08/2021,25.3,25.62,25.62,24.99,3.29,-0.39,M
26/08/2021,25.4,25.53,25.71,25.3,5.15,-1.17,M
25/08/2021,25.7,25.19,26.01,25.16,6.23,0.94,M
24/08/2021,25.46,24.96,25.85,24.74,9.15,2.45,M
23/08/2021,24.85,25.49,25.49,24.66,6.36,-1.7,M
20/08/2021,25.28,24.0,25.53,24.0,10.38,3.9,M
19/08/2021,24.33,23.01,24.49,22.89,14.77,4.51,M
18/08/2021,23.28,23.28,23.67,23.13,9.42,-0.89,M
17/08/2021,23.49,23.86,24.1,23.25,9.51,-2.04,M
16/08/2021,23.98,24.19,24.47,23.84,6.16,-0.87,M
13/08/2021,24.19,24.27,24.37,23.93,3.21,-0.04,M
12/08/2021,24.2,24.3,24.57,24.11,8.89,-0.25,M
