Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,17.88,17.69,18.2,17.21,3.41,-0.83,M
23/02/2022,18.03,18.59,18.82,18.03,2.12,-2.12,M
22/02/2022,18.42,18.27,18.83,18.23,2.64,1.71,M
21/02/2022,18.11,18.86,18.98,18.11,2.22,-4.23,M
18/02/2022,18.91,19.08,19.31,18.74,2.67,0.05,M
17/02/2022,18.9,19.62,20.05,18.9,2.01,-4.3,M
16/02/2022,19.75,19.6,19.95,19.3,1.81,1.23,M
15/02/2022,19.51,18.51,19.52,18.51,2.17,6.15,M
14/02/2022,18.38,18.43,18.73,18.15,2.1,0.0,M
11/02/2022,18.38,18.54,19.26,18.2,3.8,-0.43,M
10/02/2022,18.46,18.8,19.16,18.27,6.05,-1.81,M
09/02/2022,18.8,18.84,19.29,18.48,2.29,-0.16,M
08/02/2022,18.83,19.0,19.19,18.75,1.85,-1.57,M
07/02/2022,19.13,19.06,19.33,18.9,1.22,-0.05,M
04/02/2022,19.14,20.38,20.52,19.14,2.64,-6.41,M
03/02/2022,20.45,20.75,21.21,20.39,1.4,-0.58,M
02/02/2022,20.57,21.12,21.51,20.5,1.38,-2.19,M
01/02/2022,21.03,21.43,21.79,20.92,2.21,-1.64,M
31/01/2022,21.38,21.44,21.95,21.23,1.92,-0.37,M
28/01/2022,21.46,21.41,21.8,21.21,1.78,-0.6,M
27/01/2022,21.59,21.54,21.99,21.42,1.79,1.7,M
26/01/2022,21.23,20.85,21.81,20.85,3.24,2.81,M
25/01/2022,20.65,19.64,20.76,19.5,3.15,4.35,M
24/01/2022,19.79,20.47,20.64,19.65,1.92,-3.51,M
21/01/2022,20.51,19.77,20.85,19.59,2.6,3.17,M
20/01/2022,19.88,19.03,20.43,19.03,2.73,5.19,M
19/01/2022,18.9,17.83,19.07,17.83,3.21,6.42,M
18/01/2022,17.76,18.46,18.48,17.66,2.41,-4.0,M
17/01/2022,18.5,19.2,19.23,18.04,2.3,-0.59,M
14/01/2022,18.61,18.34,18.86,18.28,2.19,1.64,M
13/01/2022,18.31,18.23,18.43,17.93,1.6,-0.27,M
12/01/2022,18.36,17.92,18.74,17.87,1.93,2.86,M
11/01/2022,17.85,17.56,18.12,17.5,1.44,1.42,M
10/01/2022,17.6,17.9,18.11,17.55,2.49,-2.38,M
07/01/2022,18.03,18.07,18.6,17.63,1.94,-0.77,M
06/01/2022,18.17,18.01,18.28,17.67,2.4,1.0,M
05/01/2022,17.99,18.68,18.83,17.88,2.78,-4.1,M
04/01/2022,18.76,19.4,19.47,18.71,1.71,-3.3,M
03/01/2022,19.4,20.65,20.66,19.1,2.32,-5.13,M
30/12/2021,20.45,20.09,20.62,19.94,1.49,2.45,M
29/12/2021,19.96,20.31,20.61,19.68,1.01,-1.67,M
28/12/2021,20.3,20.16,20.48,20.02,1.01,0.59,M
27/12/2021,20.18,20.05,20.79,20.02,1.17,0.75,M
23/12/2021,20.03,20.06,20.24,19.67,1.12,-0.4,M
22/12/2021,20.11,20.26,20.53,19.8,1.36,-1.13,M
21/12/2021,20.34,20.72,20.79,19.99,1.54,-1.12,M
20/12/2021,20.57,20.37,20.9,20.21,1.93,-1.58,M
17/12/2021,20.9,20.23,21.09,20.09,3.61,2.7,M
16/12/2021,20.35,20.98,21.12,20.11,2.07,-2.02,M
15/12/2021,20.77,20.03,20.82,19.83,2.29,3.28,M
14/12/2021,20.11,20.81,21.1,19.69,3.33,-2.71,M
13/12/2021,20.67,21.56,21.56,20.6,2.02,-4.17,M
10/12/2021,21.57,20.18,21.75,20.18,4.92,8.99,M
09/12/2021,19.79,20.64,20.82,19.6,2.14,-4.95,M
08/12/2021,20.82,19.59,20.98,19.54,2.9,6.44,M
07/12/2021,19.56,20.69,20.92,19.41,2.07,-4.35,M
06/12/2021,20.45,19.83,20.59,19.69,2.38,3.23,M
