Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,42.7,39.03,43.02,39.03,509.7,3.89,K
23/02/2022,41.1,42.6,42.8,40.88,657.6,-3.45,K
22/02/2022,42.57,42.94,43.0,41.75,380.5,0.07,K
21/02/2022,42.54,43.72,44.0,42.5,409.5,-2.23,K
18/02/2022,43.51,44.62,45.0,43.51,314.8,-2.27,K
17/02/2022,44.52,45.47,45.55,44.1,393.8,-1.79,K
16/02/2022,45.33,46.05,46.82,45.05,306.9,-1.46,K
15/02/2022,46.0,47.31,47.6,45.81,345.8,-2.81,K
14/02/2022,47.33,45.47,47.63,45.11,510.2,4.02,K
11/02/2022,45.5,47.66,47.72,45.07,425.9,-4.17,K
10/02/2022,47.48,47.91,48.23,46.99,297.6,-0.69,K
09/02/2022,47.81,48.76,49.83,47.5,245.6,-1.61,K
08/02/2022,48.59,47.71,49.15,47.18,325.0,1.63,K
07/02/2022,47.81,47.88,48.8,47.12,220.2,-0.08,K
04/02/2022,47.85,47.37,47.92,46.22,248.7,1.06,K
03/02/2022,47.35,48.9,49.13,46.97,321.8,-3.01,K
02/02/2022,48.82,49.03,49.87,48.0,456.7,-0.37,K
01/02/2022,49.0,46.44,49.45,46.26,547.8,5.49,K
31/01/2022,46.45,46.3,47.17,45.71,447.3,0.58,K
28/01/2022,46.18,45.56,46.56,44.77,348.8,1.61,K
27/01/2022,45.45,45.14,45.45,43.8,370.0,1.47,K
26/01/2022,44.79,45.35,46.38,44.48,330.4,-0.04,K
25/01/2022,44.81,45.12,45.78,44.35,439.7,-1.41,K
24/01/2022,45.45,45.09,45.81,43.16,443.2,1.36,K
21/01/2022,44.84,46.94,46.94,44.53,540.8,-4.96,K
20/01/2022,47.18,47.17,47.95,46.47,374.1,1.33,K
19/01/2022,46.56,46.17,47.62,45.87,465.4,1.55,K
18/01/2022,45.85,45.77,46.96,44.8,448.1,0.15,K
17/01/2022,45.78,45.55,46.55,44.7,413.1,-0.26,K
14/01/2022,45.9,46.93,47.12,45.35,378.3,-2.84,K
13/01/2022,47.24,49.1,49.62,46.99,328.9,-4.37,K
12/01/2022,49.4,47.83,50.45,47.64,632.9,4.0,K
11/01/2022,47.5,46.47,47.94,45.95,305.0,2.15,K
10/01/2022,46.5,46.79,47.41,45.17,398.5,-0.81,K
07/01/2022,46.88,45.02,47.22,44.8,464.0,3.6,K
06/01/2022,45.25,45.62,46.5,44.78,519.3,-0.59,K
05/01/2022,45.52,47.58,47.65,45.36,358.5,-4.31,K
04/01/2022,47.57,48.38,49.74,47.33,536.3,-1.8,K
03/01/2022,48.44,49.05,49.61,47.78,509.6,-0.78,K
30/12/2021,48.82,51.4,52.21,48.82,752.7,-4.31,K
29/12/2021,51.02,51.0,51.8,50.43,328.3,0.16,K
28/12/2021,50.94,50.1,51.48,49.63,369.0,1.03,K
27/12/2021,50.42,48.48,50.42,48.45,640.1,4.07,K
23/12/2021,48.45,49.37,50.8,48.45,523.8,-0.7,K
22/12/2021,48.79,48.88,49.72,48.35,373.4,0.6,K
21/12/2021,48.5,48.75,49.39,47.6,465.9,0.73,K
20/12/2021,48.15,48.78,49.09,46.53,636.6,-3.25,K
17/12/2021,49.77,50.93,50.94,48.51,642.8,-1.83,K
16/12/2021,50.7,52.41,52.69,49.78,463.0,-0.53,K
15/12/2021,50.97,50.74,50.97,48.77,609.2,0.45,K
14/12/2021,50.74,53.19,54.24,49.7,1.07,-4.16,M
13/12/2021,52.94,49.37,53.27,49.01,939.3,8.82,K
10/12/2021,48.65,50.0,50.98,48.02,414.7,-2.52,K
09/12/2021,49.91,48.73,50.49,48.01,560.2,1.4,K
08/12/2021,49.22,49.22,50.83,48.52,527.2,-0.36,K
07/12/2021,49.4,48.01,49.9,48.01,574.8,4.95,K
06/12/2021,47.07,44.37,47.38,43.81,580.4,6.25,K
03/12/2021,44.3,45.18,47.65,43.91,546.3,-1.42,K
02/12/2021,44.94,44.36,45.79,43.61,538.3,2.32,K
01/12/2021,43.92,44.16,45.52,43.41,801.0,1.06,K
30/11/2021,43.46,44.18,46.47,43.12,747.8,-2.18,K
29/11/2021,44.43,44.32,45.74,44.06,409.2,2.37,K
26/11/2021,43.4,43.6,43.96,42.71,476.8,-3.19,K
25/11/2021,44.83,43.73,45.38,42.86,455.3,2.59,K
24/11/2021,43.7,45.66,46.65,43.28,1.07,-3.53,M
23/11/2021,45.3,49.3,50.7,45.3,716.9,-6.81,K
22/11/2021,48.61,47.69,50.04,47.2,672.9,4.07,K
19/11/2021,46.71,46.98,48.66,46.39,360.3,-0.11,K
18/11/2021,46.76,46.56,47.69,45.6,557.0,0.43,K
17/11/2021,46.56,47.44,48.68,45.9,466.5,-1.85,K
16/11/2021,47.44,49.1,49.25,46.25,531.4,-2.77,K
12/11/2021,48.79,50.4,51.5,48.79,582.8,-3.1,K
11/11/2021,50.35,46.92,51.41,46.8,918.2,8.61,K
10/11/2021,46.36,47.39,47.95,45.75,588.7,-2.3,K
09/11/2021,47.45,48.0,48.29,46.77,396.2,-0.11,K
08/11/2021,47.5,46.15,48.99,45.96,318.6,2.93,K
05/11/2021,46.15,46.11,47.6,45.55,520.9,-0.26,K
04/11/2021,46.27,46.16,46.86,45.32,539.5,0.0,K
03/11/2021,46.27,47.47,47.93,45.76,511.7,-3.4,K
01/11/2021,47.9,47.45,48.7,46.81,341.5,1.05,K
29/10/2021,47.4,48.85,49.02,47.22,686.2,-2.93,K
28/10/2021,48.83,50.01,50.2,48.74,466.3,-2.63,K
27/10/2021,50.15,54.31,54.31,50.15,803.2,-7.18,K
26/10/2021,54.03,53.24,54.95,53.24,446.6,0.61,K
25/10/2021,53.7,51.78,54.4,51.72,477.7,4.6,K
22/10/2021,51.34,51.5,52.57,49.62,528.9,-1.31,K
21/10/2021,52.02,51.8,52.24,50.6,405.2,-0.9,K
20/10/2021,52.49,54.02,54.36,51.6,520.3,-2.81,K
19/10/2021,54.01,54.99,55.6,53.15,522.1,-1.21,K
18/10/2021,54.67,54.58,55.98,54.04,420.7,-0.85,K
15/10/2021,55.14,54.35,55.68,54.03,342.5,1.49,K
14/10/2021,54.33,54.76,55.36,53.81,305.1,-0.31,K
13/10/2021,54.5,55.6,55.61,54.5,419.1,-2.61,K
11/10/2021,55.96,53.48,56.29,53.05,1.05,6.61,M
08/10/2021,52.49,51.56,52.69,50.75,433.8,4.06,K
07/10/2021,50.44,50.06,51.02,49.57,525.0,1.49,K
06/10/2021,49.7,50.0,50.49,48.86,626.1,-2.36,K
05/10/2021,50.9,52.59,53.21,50.9,466.3,-2.55,K
04/10/2021,52.23,54.33,55.68,52.23,481.9,-5.16,K
01/10/2021,55.07,56.03,56.48,54.26,616.3,-1.73,K
30/09/2021,56.04,55.12,57.27,55.0,780.8,2.67,K
29/09/2021,54.58,52.65,55.08,52.25,550.5,4.46,K
28/09/2021,52.25,55.48,55.54,51.35,753.3,-6.13,K
27/09/2021,55.66,55.77,56.3,54.54,479.7,0.29,K
24/09/2021,55.5,53.48,55.5,52.1,564.1,3.53,K
23/09/2021,53.61,51.14,54.51,50.43,713.0,5.24,K
22/09/2021,50.94,51.95,52.5,50.83,682.8,1.6,K
21/09/2021,50.14,50.5,51.31,48.4,975.1,0.3,K
20/09/2021,49.99,52.02,52.65,49.17,1.2,-6.93,M
17/09/2021,53.71,56.08,56.5,53.71,2.14,-4.23,M
16/09/2021,56.08,58.99,60.3,55.57,1.02,-5.11,M
15/09/2021,59.1,54.63,59.46,54.39,1.61,6.54,M
14/09/2021,55.47,52.11,56.19,52.1,842.2,6.9,K
13/09/2021,51.89,51.9,53.78,50.95,560.9,0.27,K
10/09/2021,51.75,52.13,53.2,51.56,392.5,0.72,K
09/09/2021,51.38,50.66,51.8,49.78,476.6,1.12,K
08/09/2021,50.81,51.15,52.93,50.46,694.2,-1.42,K
06/09/2021,51.54,51.81,52.82,50.52,534.3,-2.18,K
03/09/2021,52.69,53.72,54.66,51.47,907.2,0.23,K
02/09/2021,52.57,55.48,56.14,52.22,800.2,-3.98,K
01/09/2021,54.75,55.78,56.3,53.97,413.2,-1.86,K
31/08/2021,55.79,56.53,57.2,55.3,835.6,-0.55,K
30/08/2021,56.1,53.39,56.88,53.25,984.5,5.77,K
27/08/2021,53.04,51.96,53.8,51.55,463.5,2.99,K
26/08/2021,51.5,52.01,52.69,51.31,322.0,-0.96,K
25/08/2021,52.0,51.6,52.88,51.55,445.3,0.78,K
24/08/2021,51.6,50.02,52.15,50.02,537.7,3.84,K
23/08/2021,49.69,47.68,50.15,47.22,749.1,5.95,K
20/08/2021,46.9,45.75,47.01,45.2,449.3,2.63,K
19/08/2021,45.7,46.85,46.85,45.06,650.3,-3.79,K
18/08/2021,47.5,45.91,48.02,45.32,516.7,2.3,K
17/08/2021,46.43,47.83,47.83,44.53,1.03,-4.6,M
16/08/2021,48.67,51.94,51.94,47.17,953.1,-6.6,K
13/08/2021,52.11,52.88,54.2,52.11,783.9,-1.68,K
12/08/2021,53.0,52.4,53.99,52.38,498.7,1.44,K
11/08/2021,52.25,51.9,52.73,51.2,516.0,0.11,K
10/08/2021,52.19,52.78,53.41,51.71,470.4,-0.55,K
09/08/2021,52.48,52.0,52.58,50.92,368.6,0.27,K
06/08/2021,52.34,52.49,53.0,51.46,293.5,-0.15,K
05/08/2021,52.42,53.44,53.44,51.74,307.3,-0.59,K
04/08/2021,52.73,53.54,54.29,52.07,378.1,-0.92,K
03/08/2021,53.22,53.51,54.36,49.65,625.3,-0.49,K
02/08/2021,53.48,52.0,54.15,51.81,638.2,3.42,K
30/07/2021,51.71,52.15,53.1,51.54,638.1,-0.67,K
29/07/2021,52.06,52.66,53.8,52.03,651.5,0.25,K
28/07/2021,51.93,51.07,52.29,50.71,466.8,3.57,K
27/07/2021,50.14,52.14,52.14,48.78,531.8,-3.84,K
26/07/2021,52.14,51.13,52.87,51.05,474.5,2.1,K
23/07/2021,51.07,51.7,51.86,51.03,251.9,-1.22,K
22/07/2021,51.7,51.9,52.38,50.9,486.5,0.35,K
21/07/2021,51.52,50.89,52.3,50.68,689.6,2.94,K
20/07/2021,50.05,49.12,50.65,48.65,457.1,2.35,K
19/07/2021,48.9,49.24,49.79,48.0,506.6,-0.95,K
16/07/2021,49.37,49.28,49.95,48.66,455.5,0.71,K
15/07/2021,49.02,46.93,49.3,46.92,693.8,4.48,K
14/07/2021,46.92,46.1,47.88,45.8,902.5,3.12,K
13/07/2021,45.5,46.1,46.33,44.24,461.3,-1.17,K
12/07/2021,46.04,46.56,46.84,45.03,472.4,0.66,K
08/07/2021,45.74,45.1,45.95,43.75,336.6,-0.57,K
07/07/2021,46.0,45.71,46.78,45.51,204.9,0.66,K
06/07/2021,45.7,46.48,46.6,45.09,310.2,-0.44,K
05/07/2021,45.9,44.55,47.11,44.51,696.3,3.26,K
02/07/2021,44.45,43.95,44.63,43.57,258.6,2.07,K
01/07/2021,43.55,44.39,44.79,43.3,364.2,-1.78,K
30/06/2021,44.34,42.75,45.0,41.51,744.0,3.5,K
29/06/2021,42.84,43.07,43.84,42.68,303.5,-0.88,K
28/06/2021,43.22,42.9,43.9,42.21,232.2,0.86,K
25/06/2021,42.85,43.54,44.31,42.13,513.6,-1.36,K
24/06/2021,43.44,42.9,43.72,42.01,424.1,2.19,K
23/06/2021,42.51,41.78,43.2,41.46,426.8,1.77,K
22/06/2021,41.77,40.75,42.21,40.08,327.9,2.88,K
21/06/2021,40.6,39.84,41.15,38.85,406.0,0.32,K
18/06/2021,40.47,38.0,40.47,37.01,609.8,5.56,K
17/06/2021,38.34,41.28,41.3,38.34,624.1,-7.61,K
16/06/2021,41.5,42.5,42.76,40.35,517.5,-2.35,K
15/06/2021,42.5,42.05,42.5,41.1,361.3,1.19,K
14/06/2021,42.0,40.79,42.88,40.79,640.5,3.68,K
11/06/2021,40.51,39.7,40.78,38.86,487.3,2.48,K
10/06/2021,39.53,39.9,40.23,38.58,321.7,0.1,K
09/06/2021,39.49,38.83,39.57,37.68,401.6,2.07,K
08/06/2021,38.69,39.01,39.31,36.78,557.9,-0.39,K
07/06/2021,38.84,40.4,40.55,38.34,551.3,-4.55,K
04/06/2021,40.69,40.2,41.75,40.2,472.0,1.32,K
02/06/2021,40.16,40.91,40.95,39.5,415.6,-0.54,K
01/06/2021,40.38,41.0,41.77,40.26,912.9,1.89,K
31/05/2021,39.63,36.73,40.4,36.73,1.02,7.9,M
28/05/2021,36.73,36.29,37.05,35.74,259.6,0.63,K
27/05/2021,36.5,36.71,37.6,35.86,470.1,0.25,K
26/05/2021,36.41,34.82,36.62,34.25,645.1,4.54,K
25/05/2021,34.83,35.85,35.86,33.96,742.0,-2.57,K
