Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.26,3.2,3.29,3.18,681.9,-1.21,K
23/02/2022,3.3,3.31,3.37,3.26,813.6,-0.3,K
22/02/2022,3.31,3.27,3.35,3.23,546.2,1.53,K
21/02/2022,3.26,3.35,3.39,3.25,625.0,-2.69,K
18/02/2022,3.35,3.36,3.4,3.26,683.4,-0.3,K
17/02/2022,3.36,3.29,3.36,3.25,587.1,2.44,K
16/02/2022,3.28,3.32,3.34,3.27,608.9,-1.5,K
15/02/2022,3.33,3.26,3.34,3.26,422.9,1.83,K
14/02/2022,3.27,3.22,3.31,3.22,355.5,0.31,K
11/02/2022,3.26,3.28,3.32,3.23,669.0,-0.61,K
10/02/2022,3.28,3.3,3.33,3.22,869.6,0.31,K
09/02/2022,3.27,3.22,3.29,3.22,635.7,0.93,K
08/02/2022,3.24,3.28,3.28,3.18,476.9,-0.92,K
07/02/2022,3.27,3.3,3.34,3.22,518.7,-0.61,K
04/02/2022,3.29,3.22,3.32,3.15,961.3,2.17,K
03/02/2022,3.22,3.29,3.32,3.21,650.4,-2.13,K
02/02/2022,3.29,3.39,3.43,3.29,627.3,-4.08,K
01/02/2022,3.43,3.28,3.43,3.28,800.5,4.57,K
31/01/2022,3.28,3.35,3.37,3.25,1.19,0.31,M
28/01/2022,3.27,3.23,3.28,3.17,796.2,1.24,K
27/01/2022,3.23,3.25,3.3,3.18,1.09,-0.31,M
26/01/2022,3.24,3.24,3.33,3.21,1.12,0.0,M
25/01/2022,3.24,3.22,3.27,3.12,901.0,1.57,K
24/01/2022,3.19,3.39,3.39,3.13,1.26,-5.9,M
21/01/2022,3.39,3.4,3.55,3.35,1.84,-12.85,M
20/01/2022,3.89,3.93,3.96,3.88,1.3,-0.51,M
19/01/2022,3.91,3.88,3.93,3.85,849.1,2.09,K
18/01/2022,3.83,3.9,4.0,3.73,1.65,-2.3,M
17/01/2022,3.92,3.76,3.98,3.76,1.39,5.09,M
14/01/2022,3.73,3.66,3.75,3.61,545.0,1.36,K
13/01/2022,3.68,3.63,3.69,3.6,530.4,0.27,K
12/01/2022,3.67,3.57,3.69,3.57,438.6,2.23,K
11/01/2022,3.59,3.51,3.6,3.51,535.9,2.87,K
10/01/2022,3.49,3.64,3.64,3.48,798.6,-2.79,K
07/01/2022,3.59,3.6,3.62,3.54,563.0,1.41,K
06/01/2022,3.54,3.67,3.67,3.54,652.9,-0.84,K
05/01/2022,3.57,3.74,3.74,3.57,834.4,-3.51,K
04/01/2022,3.7,3.88,3.92,3.68,1.04,-4.64,M
03/01/2022,3.88,3.86,3.93,3.75,995.0,0.78,K
30/12/2021,3.85,3.7,3.85,3.66,5.9,5.48,M
29/12/2021,3.65,3.82,3.82,3.64,1.14,-3.44,M
28/12/2021,3.78,3.78,3.93,3.65,1.48,0.8,M
27/12/2021,3.75,3.9,3.98,3.72,1.62,-1.83,M
23/12/2021,3.82,4.0,4.4,3.78,5.12,-5.91,M
22/12/2021,4.06,3.46,4.26,3.42,3.88,23.4,M
21/12/2021,3.29,3.36,3.41,3.23,577.5,-1.2,K
20/12/2021,3.33,3.4,3.46,3.33,510.6,-2.06,K
17/12/2021,3.4,3.63,3.66,3.4,793.6,-6.08,K
16/12/2021,3.62,3.81,3.85,3.62,802.7,-4.74,K
15/12/2021,3.8,3.79,3.85,3.64,799.8,1.06,K
14/12/2021,3.76,3.8,3.87,3.69,1.1,-2.59,M
13/12/2021,3.86,3.9,3.98,3.79,812.7,-1.03,K
10/12/2021,3.9,3.82,3.91,3.79,554.8,2.63,K
09/12/2021,3.8,3.84,3.88,3.74,775.2,-1.04,K
08/12/2021,3.84,3.99,3.99,3.8,875.5,-3.76,K
07/12/2021,3.99,3.85,4.08,3.79,825.7,4.72,K
06/12/2021,3.81,3.82,3.97,3.78,722.0,-0.52,K
03/12/2021,3.83,3.78,3.9,3.73,2.54,0.79,M
02/12/2021,3.8,3.84,3.85,3.62,2.39,0.0,M
01/12/2021,3.8,3.84,3.85,3.7,2.93,0.0,M
30/11/2021,3.8,3.7,3.86,3.59,1.92,0.8,M
29/11/2021,3.77,3.45,3.83,3.39,2.97,11.21,M
26/11/2021,3.39,3.48,3.5,3.27,952.7,-5.57,K
25/11/2021,3.59,3.62,3.7,3.53,647.8,-0.28,K
24/11/2021,3.6,3.69,3.7,3.52,957.0,-1.37,K
23/11/2021,3.65,3.62,3.73,3.44,909.2,-0.27,K
22/11/2021,3.66,3.8,3.85,3.52,887.2,-2.92,K
19/11/2021,3.77,3.8,4.0,3.69,1.46,-0.53,M
18/11/2021,3.79,3.88,3.95,3.7,1.89,-3.32,M
17/11/2021,3.92,4.23,4.25,3.72,3.25,-5.77,M
16/11/2021,4.16,4.58,4.58,4.16,1.29,-8.57,M
12/11/2021,4.55,4.65,4.69,4.41,1.52,-2.78,M
11/11/2021,4.68,4.6,4.74,4.52,817.9,2.41,K
10/11/2021,4.57,4.71,4.71,4.46,852.9,-2.14,K
09/11/2021,4.67,4.69,4.74,4.55,1.67,-0.43,M
08/11/2021,4.69,4.64,4.8,4.47,1.29,1.52,M
05/11/2021,4.62,4.59,4.95,4.57,2.08,0.65,M
04/11/2021,4.59,4.36,4.79,4.3,2.66,5.28,M
03/11/2021,4.36,4.4,4.76,4.3,2.97,-3.33,M
01/11/2021,4.51,4.41,4.62,4.23,2.54,3.44,M
29/10/2021,4.36,4.71,4.8,4.3,2.77,-6.24,M
28/10/2021,4.65,5.0,5.02,4.64,3.74,-6.63,M
27/10/2021,4.98,5.3,5.58,4.92,4.58,-4.41,M
26/10/2021,5.21,5.54,5.57,5.13,3.58,-7.79,M
25/10/2021,5.65,6.0,6.15,5.53,4.01,-0.18,M
22/10/2021,5.66,6.6,6.6,5.1,8.44,-15.52,M
21/10/2021,6.7,8.62,9.16,6.6,6.13,-19.76,M
20/10/2021,8.35,9.1,11.3,7.99,5.37,-8.24,M
19/10/2021,9.1,8.08,9.98,7.84,4.95,17.88,M
