Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,24.28,23.69,24.61,23.08,21.06,-1.1,M
23/02/2022,24.55,25.5,25.7,24.34,21.67,-3.35,M
22/02/2022,25.4,25.68,25.82,25.12,10.67,0.63,M
21/02/2022,25.24,25.7,25.89,25.16,6.05,-1.17,M
18/02/2022,25.54,26.2,26.24,25.48,7.86,-1.73,M
17/02/2022,25.99,27.31,27.31,25.96,20.9,-5.32,M
16/02/2022,27.45,27.76,28.09,27.32,9.31,-0.8,M
15/02/2022,27.67,27.52,27.88,27.02,7.34,-0.4,M
14/02/2022,27.78,28.0,28.25,27.46,8.5,-1.1,M
11/02/2022,28.09,28.92,28.94,27.86,22.12,-2.47,M
10/02/2022,28.8,29.19,29.59,28.73,19.9,-0.83,M
09/02/2022,29.04,28.75,29.36,28.44,7.52,0.48,M
08/02/2022,28.9,29.2,29.24,28.37,9.41,-1.03,M
07/02/2022,29.2,28.93,29.37,28.67,8.56,1.46,M
04/02/2022,28.78,28.46,28.88,28.31,7.4,0.17,M
03/02/2022,28.73,29.09,29.32,28.5,6.92,-0.76,M
02/02/2022,28.95,28.68,29.12,28.57,6.92,0.77,M
01/02/2022,28.73,27.89,28.93,27.55,8.3,3.2,M
31/01/2022,27.84,27.8,28.22,27.71,10.24,-0.82,M
28/01/2022,28.07,28.32,28.55,27.7,9.65,0.39,M
27/01/2022,27.96,28.19,28.34,27.78,8.22,0.29,M
26/01/2022,27.88,27.73,28.39,27.5,12.56,1.79,M
25/01/2022,27.39,27.75,27.9,27.05,12.34,-1.47,M
24/01/2022,27.8,27.37,27.97,26.58,13.12,1.24,M
21/01/2022,27.46,28.49,28.59,27.41,11.05,-4.09,M
20/01/2022,28.63,29.36,29.39,28.55,8.77,-1.41,M
19/01/2022,29.04,29.3,29.42,28.84,9.44,1.54,M
18/01/2022,28.6,27.67,28.71,27.56,9.98,3.4,M
17/01/2022,27.66,28.19,28.35,27.66,5.81,-2.19,M
14/01/2022,28.28,28.11,28.52,28.11,4.98,0.04,M
13/01/2022,28.27,28.54,28.99,28.17,10.29,-2.01,M
12/01/2022,28.85,28.47,29.26,28.36,13.99,2.3,M
11/01/2022,28.2,27.59,28.47,27.44,12.25,2.25,M
10/01/2022,27.58,26.78,27.98,26.78,6.65,0.55,M
07/01/2022,27.43,27.19,27.49,26.81,6.96,0.88,M
06/01/2022,27.19,27.35,27.91,27.07,7.64,0.04,M
05/01/2022,27.18,27.73,28.15,27.18,14.8,-1.66,M
