Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.39,15.0,15.39,14.81,2.62,-0.84,M
23/02/2022,15.52,15.72,16.14,15.52,618.7,-0.89,K
22/02/2022,15.66,15.5,16.12,15.35,1.05,2.02,M
21/02/2022,15.35,16.28,16.63,15.28,1.81,-7.25,M
18/02/2022,16.55,15.46,16.83,15.32,1.88,7.82,M
17/02/2022,15.35,15.63,15.7,15.31,854.9,-2.17,K
16/02/2022,15.69,15.76,15.92,15.56,639.2,-1.26,K
15/02/2022,15.89,15.99,16.17,15.66,2.13,0.89,M
14/02/2022,15.75,15.53,16.28,15.53,404.1,2.21,K
11/02/2022,15.41,15.7,15.95,15.41,623.9,-2.78,K
10/02/2022,15.85,15.88,15.9,15.59,380.1,0.57,K
09/02/2022,15.76,15.75,16.17,15.62,327.8,0.83,K
08/02/2022,15.63,15.59,15.77,15.49,806.6,-0.13,K
07/02/2022,15.65,15.59,15.82,15.5,470.1,-0.13,K
04/02/2022,15.67,15.98,15.98,14.98,768.8,-0.25,K
03/02/2022,15.71,16.35,16.45,15.71,405.2,-4.09,K
02/02/2022,16.38,17.0,17.0,16.38,576.2,-3.93,K
01/02/2022,17.05,17.01,17.16,16.67,1.02,-0.29,M
31/01/2022,17.1,15.81,17.1,15.81,974.1,6.67,K
28/01/2022,16.03,15.94,16.08,15.47,1.84,0.06,M
27/01/2022,16.02,15.15,16.18,14.89,1.3,7.09,M
26/01/2022,14.96,14.59,15.19,14.47,973.6,3.46,K
25/01/2022,14.46,13.9,14.49,13.78,458.7,2.77,K
24/01/2022,14.07,14.1,14.18,13.7,884.5,-0.57,K
21/01/2022,14.15,14.14,14.29,13.95,660.8,-0.77,K
20/01/2022,14.26,14.13,14.64,14.08,917.1,0.92,K
19/01/2022,14.13,14.28,14.37,13.82,981.1,-0.84,K
18/01/2022,14.25,14.61,14.61,14.05,874.8,-2.26,K
17/01/2022,14.58,14.93,15.09,14.53,616.3,-3.95,K
14/01/2022,15.18,14.92,15.18,14.6,706.2,1.74,K
13/01/2022,14.92,14.77,15.25,14.36,789.2,1.29,K
12/01/2022,14.73,14.29,14.75,14.09,602.3,3.08,K
11/01/2022,14.29,13.37,14.29,13.3,736.9,5.23,K
10/01/2022,13.58,13.77,13.77,13.09,1.4,-2.23,M
07/01/2022,13.89,13.73,14.28,13.46,888.7,0.58,K
06/01/2022,13.81,14.15,14.15,13.64,1.29,-1.57,M
05/01/2022,14.03,14.7,14.73,13.95,464.4,-5.14,K
04/01/2022,14.79,15.32,15.39,14.79,1.13,-2.63,M
03/01/2022,15.19,16.19,16.19,15.0,532.3,-4.28,K
30/12/2021,15.87,15.63,15.87,15.4,964.0,2.26,K
29/12/2021,15.52,16.07,16.07,15.44,421.7,-2.45,K
28/12/2021,15.91,16.28,16.28,15.76,856.8,-0.56,K
27/12/2021,16.0,16.29,16.29,15.93,703.1,-0.74,K
23/12/2021,16.12,16.03,16.2,15.76,439.8,0.62,K
22/12/2021,16.02,16.19,16.23,15.76,898.6,-1.11,K
21/12/2021,16.2,16.39,16.39,15.9,633.1,-1.16,K
20/12/2021,16.39,16.7,16.7,16.14,1.58,-2.67,M
17/12/2021,16.84,16.82,17.25,16.69,19.12,-1.52,M
16/12/2021,17.1,17.4,17.56,16.88,2.39,-1.21,M
15/12/2021,17.31,16.96,17.52,16.96,1.83,1.11,M
14/12/2021,17.12,17.4,17.62,17.05,1.12,-1.61,M
13/12/2021,17.4,17.31,18.01,17.16,1.63,0.52,M
10/12/2021,17.31,17.19,17.53,16.71,4.47,2.73,M
09/12/2021,16.85,16.88,17.29,16.69,2.16,-0.53,M
08/12/2021,16.94,16.59,17.51,16.39,1.54,2.98,M
07/12/2021,16.45,16.46,16.74,16.07,1.28,1.54,M
06/12/2021,16.2,15.58,16.48,15.3,1.86,3.85,M
03/12/2021,15.6,14.3,16.12,14.3,1.55,7.66,M
02/12/2021,14.49,14.36,14.9,14.16,1.39,3.8,M
01/12/2021,13.96,14.66,15.04,13.85,1.79,-3.79,M
30/11/2021,14.51,14.56,14.99,13.92,8.5,-2.36,M
29/11/2021,14.86,15.16,15.58,14.86,1.15,-1.52,M
26/11/2021,15.09,15.21,15.39,14.62,2.34,-4.73,M
25/11/2021,15.84,14.7,15.97,14.7,1.46,6.67,M
24/11/2021,14.85,14.25,15.02,14.2,2.09,2.06,M
23/11/2021,14.55,15.17,15.2,14.45,900.6,-3.13,K
22/11/2021,15.02,15.75,15.97,14.99,1.26,-4.03,M
19/11/2021,15.65,15.6,16.07,15.38,1.18,0.71,M
18/11/2021,15.54,15.58,15.8,15.25,784.7,0.06,K
17/11/2021,15.53,16.64,16.64,15.45,1.1,-6.61,M
16/11/2021,16.63,16.98,17.01,16.57,1.7,-1.01,M
12/11/2021,16.8,16.91,17.09,16.64,703.8,-0.83,K
11/11/2021,16.94,17.23,17.23,16.71,932.6,-0.12,K
10/11/2021,16.96,16.6,17.34,16.5,1.12,2.35,M
09/11/2021,16.57,16.69,16.96,16.38,957.5,-2.53,K
08/11/2021,17.0,16.57,17.05,16.17,920.8,1.43,K
05/11/2021,16.76,17.29,17.74,16.3,3.39,-2.33,M
