Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.87,5.65,5.9,5.5,5.27,-0.51,M
23/02/2022,5.9,5.76,5.98,5.76,4.54,2.43,M
22/02/2022,5.76,5.78,5.94,5.71,4.01,0.52,M
21/02/2022,5.73,5.89,5.89,5.71,1.32,-2.39,M
18/02/2022,5.87,5.98,5.98,5.8,2.48,-0.84,M
17/02/2022,5.92,5.94,5.99,5.84,2.79,-0.5,M
16/02/2022,5.95,5.86,6.03,5.82,3.84,1.71,M
15/02/2022,5.85,5.77,5.87,5.73,2.64,1.56,M
14/02/2022,5.76,5.63,5.8,5.62,2.21,2.31,M
11/02/2022,5.63,5.81,5.81,5.59,5.51,-2.6,M
10/02/2022,5.78,5.7,5.78,5.65,2.81,1.94,M
09/02/2022,5.67,5.66,5.78,5.64,2.62,0.35,M
08/02/2022,5.65,5.63,5.71,5.56,3.03,0.18,M
07/02/2022,5.64,5.71,5.78,5.6,3.2,-1.05,M
04/02/2022,5.7,5.62,5.71,5.51,5.33,1.06,M
03/02/2022,5.64,5.93,5.99,5.6,13.84,-4.73,M
02/02/2022,5.92,6.03,6.09,5.87,3.73,-1.82,M
01/02/2022,6.03,6.09,6.16,6.01,2.12,-1.31,M
31/01/2022,6.11,6.23,6.26,6.04,10.38,-2.08,M
28/01/2022,6.24,6.14,6.25,6.09,2.94,1.3,M
27/01/2022,6.16,6.05,6.19,6.01,3.48,2.84,M
26/01/2022,5.99,5.96,6.14,5.9,5.79,0.67,M
25/01/2022,5.95,5.88,5.95,5.79,3.45,0.17,M
24/01/2022,5.94,5.89,6.0,5.72,4.51,0.51,M
21/01/2022,5.91,5.84,6.01,5.79,2.68,0.68,M
20/01/2022,5.87,5.65,5.9,5.6,4.32,3.89,M
19/01/2022,5.65,5.58,5.73,5.58,3.17,1.8,M
18/01/2022,5.55,5.62,5.64,5.51,3.83,-1.25,M
17/01/2022,5.62,5.71,5.74,5.59,2.6,-2.43,M
14/01/2022,5.76,5.85,5.88,5.7,2.73,-1.54,M
13/01/2022,5.85,5.78,5.85,5.7,3.29,1.21,M
12/01/2022,5.78,5.66,5.79,5.6,2.34,2.66,M
11/01/2022,5.63,5.52,5.66,5.46,2.99,1.99,M
10/01/2022,5.52,5.7,5.7,5.46,4.02,-3.16,M
07/01/2022,5.7,5.65,5.83,5.58,4.31,0.18,M
06/01/2022,5.69,5.72,5.83,5.58,3.2,0.35,M
05/01/2022,5.67,5.82,5.87,5.67,2.52,-2.58,M
04/01/2022,5.82,5.85,5.88,5.74,4.24,0.17,M
03/01/2022,5.81,6.08,6.08,5.76,3.09,-3.65,M
30/12/2021,6.03,5.97,6.12,5.94,3.69,1.01,M
29/12/2021,5.97,6.05,6.07,5.92,2.0,-1.49,M
28/12/2021,6.06,6.12,6.13,6.04,1.94,-0.66,M
27/12/2021,6.1,5.98,6.1,5.94,2.75,2.18,M
23/12/2021,5.97,6.03,6.07,5.93,1.62,-1.0,M
22/12/2021,6.03,5.98,6.05,5.9,5.42,-0.33,M
21/12/2021,6.05,6.15,6.18,5.94,2.67,-1.31,M
20/12/2021,6.13,6.18,6.26,6.01,6.9,-3.46,M
17/12/2021,6.35,6.01,6.36,5.97,12.38,4.27,M
16/12/2021,6.09,6.13,6.19,6.04,4.01,-0.49,M
15/12/2021,6.12,6.19,6.22,6.02,3.49,-0.97,M
14/12/2021,6.18,6.15,6.22,6.02,3.36,1.48,M
13/12/2021,6.09,6.21,6.24,6.08,2.9,-1.14,M
10/12/2021,6.16,6.13,6.22,6.05,3.3,1.65,M
09/12/2021,6.06,6.25,6.26,6.04,1.99,-3.81,M
08/12/2021,6.3,6.29,6.41,6.22,4.59,0.16,M
07/12/2021,6.29,6.2,6.35,6.15,6.31,3.11,M
06/12/2021,6.1,5.95,6.2,5.9,8.76,3.57,M
03/12/2021,5.89,5.81,5.97,5.79,6.8,2.43,M
02/12/2021,5.75,5.72,5.8,5.58,6.84,1.05,M
01/12/2021,5.69,5.92,5.92,5.63,5.87,-2.9,M
30/11/2021,5.86,5.99,5.99,5.75,6.26,-1.84,M
29/11/2021,5.97,6.16,6.16,5.94,5.35,-1.49,M
26/11/2021,6.06,6.1,6.18,6.01,3.61,-3.04,M
25/11/2021,6.25,6.24,6.32,6.2,4.0,0.16,M
24/11/2021,6.24,6.31,6.39,6.19,6.42,-2.19,M
23/11/2021,6.38,6.44,6.45,6.22,5.7,-0.47,M
22/11/2021,6.41,6.64,6.64,6.41,4.04,-2.88,M
19/11/2021,6.6,6.71,6.81,6.59,4.15,-1.05,M
18/11/2021,6.67,6.7,6.83,6.63,3.65,0.15,M
17/11/2021,6.66,6.89,6.95,6.63,3.38,-2.77,M
16/11/2021,6.85,7.25,7.25,6.83,3.37,-4.6,M
12/11/2021,7.18,7.3,7.43,7.08,4.97,-2.45,M
11/11/2021,7.36,7.3,7.39,7.22,1.9,1.94,M
10/11/2021,7.22,7.2,7.33,7.17,2.99,0.14,M
09/11/2021,7.21,7.23,7.23,7.1,4.58,0.56,M
08/11/2021,7.17,7.15,7.22,7.08,3.26,-0.28,M
05/11/2021,7.19,7.19,7.26,7.06,5.41,0.7,M
04/11/2021,7.14,7.25,7.35,7.1,5.35,-1.52,M
03/11/2021,7.25,7.15,7.36,7.08,4.83,0.28,M
01/11/2021,7.23,7.18,7.23,7.03,3.15,1.4,M
29/10/2021,7.13,7.26,7.36,7.11,4.53,-1.93,M
28/10/2021,7.27,7.37,7.43,7.22,7.39,-2.42,M
27/10/2021,7.45,7.55,7.68,7.38,7.51,-0.93,M
26/10/2021,7.52,7.64,7.7,7.47,3.45,-2.34,M
25/10/2021,7.7,7.72,7.8,7.6,7.0,0.39,M
22/10/2021,7.67,7.87,7.89,7.46,7.05,-3.52,M
21/10/2021,7.95,8.01,8.09,7.78,6.7,-2.33,M
20/10/2021,8.14,8.05,8.18,7.98,6.89,2.01,M
19/10/2021,7.98,8.15,8.2,7.94,6.8,-2.09,M
18/10/2021,8.15,8.28,8.28,8.07,6.34,-1.57,M
15/10/2021,8.28,8.0,8.35,7.95,9.5,3.63,M
14/10/2021,7.99,8.09,8.09,7.91,3.39,0.0,M
13/10/2021,7.99,7.82,8.14,7.81,5.06,2.04,M
11/10/2021,7.83,7.96,8.03,7.79,4.12,-1.76,M
08/10/2021,7.97,7.9,8.05,7.87,6.44,1.53,M
07/10/2021,7.85,7.81,7.95,7.72,5.04,0.77,M
06/10/2021,7.79,7.59,7.84,7.5,7.45,1.3,M
05/10/2021,7.69,7.47,7.81,7.41,10.53,3.36,M
04/10/2021,7.44,7.62,7.62,7.38,4.01,-2.62,M
01/10/2021,7.64,7.54,7.66,7.52,6.39,0.26,M
30/09/2021,7.62,7.35,7.72,7.34,13.36,4.38,M
29/09/2021,7.3,7.01,7.38,6.92,16.54,6.57,M
28/09/2021,6.85,7.06,7.06,6.84,5.01,-3.39,M
27/09/2021,7.09,7.17,7.17,7.0,3.81,-1.12,M
24/09/2021,7.17,7.19,7.24,7.06,3.17,-0.97,M
23/09/2021,7.24,7.08,7.25,7.06,6.08,2.26,M
22/09/2021,7.08,7.06,7.12,6.91,5.73,0.57,M
21/09/2021,7.04,6.65,7.04,6.65,14.46,6.34,M
20/09/2021,6.62,6.6,6.69,6.5,7.51,-1.34,M
17/09/2021,6.71,6.63,6.71,6.51,8.2,0.75,M
16/09/2021,6.66,6.78,6.8,6.62,3.95,-1.77,M
15/09/2021,6.78,6.72,6.78,6.61,2.82,1.04,M
14/09/2021,6.71,6.9,6.93,6.68,4.51,-2.04,M
13/09/2021,6.85,6.89,6.92,6.76,3.76,0.74,M
10/09/2021,6.8,6.81,6.96,6.7,3.98,0.89,M
09/09/2021,6.74,6.67,6.79,6.56,4.78,1.05,M
08/09/2021,6.67,6.82,6.85,6.64,3.76,-2.77,M
06/09/2021,6.86,6.97,7.03,6.86,4.08,-1.72,M
03/09/2021,6.98,7.04,7.05,6.91,1.81,-0.43,M
02/09/2021,7.01,7.08,7.13,6.98,6.02,-0.99,M
01/09/2021,7.08,7.19,7.21,7.08,3.84,-0.7,M
31/08/2021,7.13,7.46,7.49,7.13,6.4,-4.3,M
30/08/2021,7.45,7.46,7.52,7.37,1.84,-0.4,M
27/08/2021,7.48,7.52,7.55,7.43,2.44,-0.53,M
26/08/2021,7.52,7.69,7.69,7.52,2.77,-1.96,M
25/08/2021,7.67,7.68,7.71,7.6,5.33,-0.13,M
24/08/2021,7.68,7.71,7.75,7.59,2.74,0.92,M
23/08/2021,7.61,7.6,7.77,7.53,4.31,0.0,M
20/08/2021,7.61,7.34,7.67,7.33,20.21,2.28,M
19/08/2021,7.44,6.93,7.44,6.92,5.14,6.29,M
18/08/2021,7.0,7.06,7.07,6.9,5.43,-0.43,M
17/08/2021,7.03,6.95,7.07,6.83,8.5,0.72,M
16/08/2021,6.98,7.15,7.17,6.95,5.82,-2.38,M
13/08/2021,7.15,7.39,7.41,7.09,4.83,-2.99,M
12/08/2021,7.37,7.36,7.42,7.29,1.85,-0.54,M
11/08/2021,7.41,7.38,7.44,7.28,2.43,0.41,M
10/08/2021,7.38,7.3,7.42,7.25,2.92,1.1,M
09/08/2021,7.3,7.37,7.48,7.3,2.94,-1.22,M
06/08/2021,7.39,7.48,7.54,7.36,8.27,-1.2,M
05/08/2021,7.48,7.56,7.61,7.38,3.97,-1.06,M
04/08/2021,7.56,7.1,7.56,7.07,7.59,5.73,M
03/08/2021,7.15,7.24,7.24,6.98,9.37,-0.69,M
02/08/2021,7.2,7.25,7.26,7.16,5.56,0.42,M
30/07/2021,7.17,7.44,7.44,7.15,5.25,-3.5,M
29/07/2021,7.43,7.48,7.51,7.3,4.81,-0.27,M
28/07/2021,7.45,7.59,7.59,7.38,5.76,-1.84,M
27/07/2021,7.59,7.57,7.61,7.47,2.49,0.13,M
26/07/2021,7.58,7.8,7.8,7.58,2.95,-2.82,M
23/07/2021,7.8,7.8,7.8,7.65,2.52,0.0,M
22/07/2021,7.8,7.76,7.91,7.66,4.29,0.26,M
21/07/2021,7.78,7.66,7.78,7.57,4.3,1.57,M
20/07/2021,7.66,7.53,7.66,7.48,2.95,1.86,M
19/07/2021,7.52,7.54,7.59,7.45,2.83,-1.05,M
16/07/2021,7.6,7.75,7.77,7.6,3.17,-1.68,M
15/07/2021,7.73,7.67,7.76,7.62,3.29,0.91,M
14/07/2021,7.66,7.64,7.67,7.56,4.45,0.79,M
13/07/2021,7.6,7.45,7.65,7.44,6.61,1.88,M
12/07/2021,7.46,7.52,7.55,7.38,6.29,-0.4,M
08/07/2021,7.49,7.4,7.49,7.38,4.02,0.0,M
07/07/2021,7.49,7.53,7.58,7.42,5.78,-0.53,M
06/07/2021,7.53,7.58,7.6,7.4,5.91,-0.92,M
05/07/2021,7.6,7.76,7.76,7.51,6.04,-2.06,M
02/07/2021,7.76,7.8,7.84,7.65,5.94,-0.39,M
01/07/2021,7.79,7.94,7.97,7.7,6.62,-1.64,M
30/06/2021,7.92,7.91,7.92,7.77,4.65,0.0,M
29/06/2021,7.92,7.82,7.92,7.7,1.93,1.8,M
28/06/2021,7.78,7.81,7.86,7.69,4.83,-0.38,M
25/06/2021,7.81,8.07,8.07,7.81,3.84,-3.1,M
24/06/2021,8.06,8.01,8.06,7.91,3.15,0.62,M
23/06/2021,8.01,7.92,8.09,7.9,2.5,0.5,M
22/06/2021,7.97,7.84,7.97,7.76,2.04,1.53,M
21/06/2021,7.85,7.73,7.85,7.69,3.8,3.02,M
18/06/2021,7.62,7.84,8.03,7.62,19.07,-2.68,M
17/06/2021,7.83,7.92,7.92,7.75,3.53,-0.76,M
16/06/2021,7.89,7.89,7.94,7.84,2.53,0.13,M
15/06/2021,7.88,7.9,7.99,7.84,2.62,0.0,M
14/06/2021,7.88,8.04,8.04,7.88,5.99,-1.38,M
11/06/2021,7.99,8.02,8.09,7.93,1.85,-0.5,M
10/06/2021,8.03,7.94,8.06,7.92,2.34,1.39,M
09/06/2021,7.92,7.93,7.95,7.88,1.63,-0.13,M
08/06/2021,7.93,7.95,8.01,7.85,3.64,0.13,M
07/06/2021,7.92,8.05,8.15,7.87,7.55,-1.37,M
04/06/2021,8.03,8.1,8.2,8.01,4.93,-0.74,M
02/06/2021,8.09,8.2,8.25,7.96,4.43,-1.34,M
01/06/2021,8.2,8.17,8.28,8.09,2.9,0.61,M
31/05/2021,8.15,8.1,8.16,7.98,1.94,0.62,M
28/05/2021,8.1,8.12,8.17,8.03,2.67,0.0,M
27/05/2021,8.1,7.95,8.2,7.94,13.47,2.27,M
26/05/2021,7.92,8.03,8.13,7.87,3.19,-0.88,M
25/05/2021,7.99,7.96,8.08,7.94,3.69,0.88,M
24/05/2021,7.92,7.78,8.0,7.76,3.99,1.54,M
21/05/2021,7.8,7.65,7.8,7.59,3.54,2.09,M
20/05/2021,7.64,7.7,7.73,7.55,4.6,-0.65,M
19/05/2021,7.69,7.66,7.74,7.63,1.64,-0.13,M
18/05/2021,7.7,7.82,7.85,7.7,2.1,-0.9,M
17/05/2021,7.77,7.83,7.89,7.76,2.81,-0.89,M
14/05/2021,7.84,7.76,7.84,7.66,3.35,2.89,M
13/05/2021,7.62,7.5,7.66,7.49,4.15,2.42,M
12/05/2021,7.44,7.67,7.73,7.4,5.38,-3.12,M
11/05/2021,7.68,7.76,7.79,7.63,4.15,-1.79,M
10/05/2021,7.82,7.85,7.95,7.73,3.84,-0.26,M
07/05/2021,7.84,7.82,7.88,7.72,5.68,0.77,M
06/05/2021,7.78,8.07,8.07,7.67,6.82,-3.23,M
05/05/2021,8.04,8.08,8.17,8.0,2.31,-0.12,M
04/05/2021,8.05,8.1,8.17,7.95,4.02,-0.49,M
03/05/2021,8.09,8.15,8.19,8.01,7.06,-0.74,M
30/04/2021,8.15,8.0,8.15,7.96,7.21,1.87,M
29/04/2021,8.0,7.88,8.03,7.8,2.94,2.56,M
28/04/2021,7.8,7.85,7.96,7.78,3.18,-0.13,M
27/04/2021,7.81,7.79,7.87,7.71,2.59,0.26,M
26/04/2021,7.79,7.91,7.94,7.76,4.7,-1.39,M
23/04/2021,7.9,7.75,7.92,7.69,4.39,2.46,M
22/04/2021,7.71,7.95,7.98,7.71,4.71,-3.02,M
20/04/2021,7.95,7.78,7.95,7.76,2.87,1.92,M
19/04/2021,7.8,7.79,7.85,7.67,3.23,0.0,M
16/04/2021,7.8,7.71,7.86,7.56,8.75,-0.13,M
15/04/2021,7.81,8.05,8.12,7.81,7.83,-2.74,M
14/04/2021,8.03,8.28,8.33,8.03,3.98,-3.14,M
13/04/2021,8.29,8.3,8.35,8.23,5.89,-0.12,M
12/04/2021,8.3,8.25,8.43,8.13,3.25,1.72,M
09/04/2021,8.16,8.37,8.37,8.08,4.1,-2.74,M
08/04/2021,8.39,8.3,8.49,8.2,4.22,1.7,M
07/04/2021,8.25,8.66,8.68,8.25,6.81,-4.62,M
06/04/2021,8.65,8.58,8.72,8.49,4.25,0.46,M
05/04/2021,8.61,8.5,8.61,8.4,3.15,3.24,M
01/04/2021,8.34,8.28,8.49,8.16,5.69,1.71,M
31/03/2021,8.2,7.88,8.2,7.75,6.89,4.06,M
30/03/2021,7.88,7.54,7.88,7.5,4.43,4.37,M
29/03/2021,7.55,7.76,7.76,7.46,5.11,-2.58,M
26/03/2021,7.75,7.91,8.04,7.6,5.53,-2.02,M
25/03/2021,7.91,7.61,8.0,7.42,10.54,8.5,M
24/03/2021,7.29,7.45,7.54,7.2,5.3,-2.8,M
23/03/2021,7.5,7.33,7.56,7.32,3.46,2.04,M
22/03/2021,7.35,7.48,7.58,7.35,2.46,-2.13,M
19/03/2021,7.51,7.39,7.51,7.23,4.13,2.18,M
18/03/2021,7.35,7.51,7.53,7.27,2.4,-2.13,M
17/03/2021,7.51,7.49,7.56,7.41,1.58,0.13,M
16/03/2021,7.5,7.5,7.58,7.35,3.52,0.13,M
15/03/2021,7.49,7.61,7.68,7.38,3.31,-2.6,M
12/03/2021,7.69,7.55,7.69,7.35,4.04,1.59,M
11/03/2021,7.57,7.38,7.65,7.27,3.9,3.84,M
10/03/2021,7.29,7.54,7.6,7.17,6.85,-1.75,M
09/03/2021,7.42,7.62,7.78,7.4,6.21,-1.33,M
08/03/2021,7.52,8.13,8.14,7.4,5.12,-9.51,M
05/03/2021,8.31,7.81,8.39,7.39,13.08,6.54,M
04/03/2021,7.8,7.9,7.98,7.69,2.66,-0.89,M
03/03/2021,7.87,7.98,7.98,7.64,7.83,-1.38,M
02/03/2021,7.98,7.8,7.98,7.58,2.48,2.31,M
01/03/2021,7.8,8.0,8.09,7.8,2.17,-1.52,M
26/02/2021,7.92,8.33,8.35,7.92,2.83,-4.81,M
25/02/2021,8.32,8.4,8.4,8.12,2.4,-0.95,M
24/02/2021,8.4,8.5,8.51,8.26,1.6,-1.18,M
23/02/2021,8.5,8.35,8.54,8.3,2.38,2.16,M
22/02/2021,8.32,8.23,8.46,8.04,3.21,-0.36,M
19/02/2021,8.35,8.4,8.48,8.3,2.4,-0.71,M
18/02/2021,8.41,8.42,8.49,8.3,2.28,0.0,M
17/02/2021,8.41,8.6,8.64,8.36,1.46,-1.75,M
12/02/2021,8.56,8.49,8.56,8.42,1.14,0.82,M
11/02/2021,8.49,8.26,8.55,8.26,2.26,2.91,M
10/02/2021,8.25,8.35,8.41,8.2,1.98,-1.67,M
09/02/2021,8.39,8.32,8.39,8.22,2.57,0.72,M
08/02/2021,8.33,8.56,8.57,8.23,2.49,-2.69,M
05/02/2021,8.56,8.64,8.7,8.47,2.28,-0.58,M
04/02/2021,8.61,8.46,8.68,8.35,3.36,2.62,M
03/02/2021,8.39,8.38,8.5,8.38,3.38,0.36,M
02/02/2021,8.36,8.49,8.63,8.36,4.28,-0.83,M
01/02/2021,8.43,8.55,8.56,8.31,2.42,0.0,M
29/01/2021,8.43,8.64,8.64,8.43,3.85,-2.99,M
28/01/2021,8.69,8.7,8.75,8.57,3.95,-0.11,M
27/01/2021,8.7,8.93,8.94,8.6,3.46,-2.9,M
26/01/2021,8.96,8.89,9.0,8.76,2.56,0.9,M
22/01/2021,8.88,8.63,8.9,8.5,2.2,1.95,M
21/01/2021,8.71,8.87,8.95,8.6,1.7,-1.8,M
20/01/2021,8.87,8.94,9.0,8.81,3.65,-0.45,M
19/01/2021,8.91,8.95,8.98,8.8,1.3,0.11,M
18/01/2021,8.9,8.9,9.07,8.82,2.18,0.56,M
15/01/2021,8.85,8.96,9.05,8.72,2.94,-1.67,M
14/01/2021,9.0,8.63,9.0,8.61,3.66,4.53,M
13/01/2021,8.61,8.58,8.71,8.46,4.59,0.23,M
12/01/2021,8.59,8.64,8.69,8.43,7.53,0.0,M
11/01/2021,8.59,8.78,8.93,8.58,5.23,-2.94,M
08/01/2021,8.85,8.35,8.85,8.27,5.72,5.99,M
07/01/2021,8.35,8.21,8.35,8.17,2.59,2.08,M
06/01/2021,8.18,8.35,8.45,8.14,5.62,-2.04,M
05/01/2021,8.35,8.35,8.35,8.13,3.42,0.0,M
04/01/2021,8.35,8.37,8.44,8.15,3.37,-0.12,M
30/12/2020,8.36,8.34,8.45,8.26,3.01,0.48,M
29/12/2020,8.32,8.31,8.4,8.27,2.62,0.24,M
28/12/2020,8.3,8.36,8.4,8.25,3.47,-0.24,M
23/12/2020,8.32,8.3,8.36,8.23,1.4,0.36,M
22/12/2020,8.29,8.22,8.3,8.16,2.41,1.1,M
21/12/2020,8.2,8.12,8.24,7.95,3.13,-1.32,M
18/12/2020,8.31,8.27,8.32,8.15,1.99,0.36,M
17/12/2020,8.28,8.26,8.29,8.03,2.23,0.49,M
16/12/2020,8.24,7.91,8.26,7.89,6.54,4.57,M
15/12/2020,7.88,7.85,7.96,7.75,3.6,0.51,M
14/12/2020,7.84,7.86,7.86,7.7,3.25,1.55,M
11/12/2020,7.72,7.55,7.81,7.53,5.8,0.39,M
10/12/2020,7.69,7.99,8.0,7.69,8.54,-2.66,M
09/12/2020,7.9,8.18,8.24,7.79,8.84,-3.42,M
08/12/2020,8.18,8.33,8.37,8.02,5.46,-2.27,M
07/12/2020,8.37,8.34,8.45,8.29,9.31,0.36,M
04/12/2020,8.34,8.27,8.4,8.19,3.43,0.97,M
03/12/2020,8.26,8.12,8.28,8.08,3.45,1.98,M
02/12/2020,8.1,8.12,8.16,8.04,2.01,0.0,M
01/12/2020,8.1,8.32,8.4,8.1,2.53,-1.7,M
30/11/2020,8.24,8.46,8.54,8.24,1.91,-2.6,M
27/11/2020,8.46,8.48,8.69,8.41,4.82,0.71,M
26/11/2020,8.4,8.42,8.48,8.38,1.46,-0.12,M
25/11/2020,8.41,8.48,8.58,8.41,2.12,-0.94,M
24/11/2020,8.49,8.62,8.62,8.42,2.27,-0.24,M
23/11/2020,8.51,8.71,8.81,8.51,3.57,-1.96,M
20/11/2020,8.68,8.75,8.84,8.68,2.77,-0.12,M
19/11/2020,8.69,8.7,8.84,8.61,4.71,1.76,M
18/11/2020,8.54,8.57,8.73,8.5,3.13,0.47,M
17/11/2020,8.5,8.38,8.63,8.34,3.51,1.19,M
16/11/2020,8.4,8.12,8.68,8.12,5.3,4.09,M
13/11/2020,8.07,8.0,8.12,7.93,9.17,1.89,M
12/11/2020,7.92,8.25,8.34,7.88,14.08,-1.0,M
11/11/2020,8.0,7.9,8.1,7.88,8.33,1.52,M
10/11/2020,7.88,7.96,7.98,7.7,4.43,0.38,M
09/11/2020,7.85,8.14,8.24,7.81,9.46,-1.88,M
06/11/2020,8.0,8.0,8.02,7.85,9.21,-0.25,M
05/11/2020,8.02,8.07,8.14,7.82,8.6,0.38,M
04/11/2020,7.99,7.9,7.99,7.8,5.79,1.27,M
03/11/2020,7.89,7.88,7.94,7.68,9.59,1.15,M
30/10/2020,7.8,7.9,7.9,7.5,5.14,-1.14,M
29/10/2020,7.89,7.8,7.96,7.67,4.11,0.64,M
28/10/2020,7.84,8.09,8.09,7.71,6.06,-3.21,M
27/10/2020,8.1,8.0,8.22,8.0,6.5,1.5,M
26/10/2020,7.98,7.95,8.06,7.87,4.56,-0.25,M
23/10/2020,8.0,8.24,8.25,8.0,6.26,-2.68,M
22/10/2020,8.22,8.32,8.38,7.92,11.63,-0.96,M
21/10/2020,8.3,8.41,8.46,8.2,4.41,-0.6,M
20/10/2020,8.35,8.34,8.43,8.2,9.0,1.83,M
19/10/2020,8.2,8.16,8.54,8.08,23.15,-4.09,M
16/10/2020,8.55,8.97,8.97,8.55,13.17,-3.93,M
15/10/2020,8.9,8.89,8.97,8.62,18.03,-0.78,M
14/10/2020,8.97,8.95,9.03,8.85,11.19,0.34,M
