Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
11/02/2022,66.95,67.6,69.69,66.3,33.46,0.0,M
10/02/2022,66.95,66.21,67.85,64.89,4.46,0.68,M
09/02/2022,66.5,66.8,67.85,65.8,4.41,1.42,M
08/02/2022,65.57,67.53,67.55,64.51,7.18,-3.15,M
07/02/2022,67.7,66.06,68.05,65.75,15.72,-4.67,M
04/02/2022,71.02,71.98,71.98,69.39,4.24,-0.66,M
03/02/2022,71.49,70.96,72.0,69.75,4.36,0.89,M
02/02/2022,70.86,71.44,71.6,70.17,6.26,0.08,M
01/02/2022,70.8,70.91,71.87,70.01,3.44,-0.56,M
31/01/2022,71.2,69.29,71.65,69.22,6.83,2.45,M
28/01/2022,69.5,68.0,70.15,67.99,11.46,1.61,M
27/01/2022,68.4,69.0,69.28,67.11,28.43,-4.7,M
26/01/2022,71.77,69.51,72.7,69.51,6.73,3.56,M
25/01/2022,69.3,65.84,70.18,65.05,5.16,5.0,M
24/01/2022,66.0,67.34,68.82,64.97,7.06,-2.27,M
21/01/2022,67.53,65.43,68.6,65.01,5.1,3.43,M
20/01/2022,65.29,63.26,66.37,62.74,4.94,2.43,M
19/01/2022,63.74,61.88,64.0,61.32,2.91,3.64,M
18/01/2022,61.5,60.77,62.38,60.18,2.92,0.03,M
17/01/2022,61.48,60.47,63.04,59.16,4.28,1.67,M
14/01/2022,60.47,58.84,61.19,58.03,3.03,1.6,M
13/01/2022,59.52,60.5,60.81,58.68,2.59,-2.41,M
12/01/2022,60.99,58.51,61.89,57.81,5.25,4.24,M
11/01/2022,58.51,55.35,59.1,55.0,5.03,5.37,M
10/01/2022,55.53,57.91,58.12,54.89,5.31,-4.52,M
07/01/2022,58.16,56.77,59.9,56.77,3.18,1.1,M
06/01/2022,57.53,55.12,58.39,55.06,5.76,3.68,M
05/01/2022,55.49,58.28,58.55,55.33,5.86,-5.0,M
04/01/2022,58.41,59.32,59.56,56.98,4.49,-0.58,M
03/01/2022,58.75,59.7,60.88,57.27,3.96,-2.65,M
30/12/2021,60.35,58.05,60.39,57.98,2.43,4.05,M
29/12/2021,58.0,59.41,59.66,57.71,2.49,-2.23,M
28/12/2021,59.32,61.54,61.7,58.41,3.29,-2.99,M
27/12/2021,61.15,61.45,62.15,60.5,1.9,-0.49,M
23/12/2021,61.45,63.84,63.84,60.95,2.33,-3.24,M
22/12/2021,63.51,65.16,66.14,63.11,2.24,-2.53,M
21/12/2021,65.16,64.62,66.1,64.5,2.13,0.84,M
20/12/2021,64.62,64.27,65.28,63.18,2.55,-0.89,M
17/12/2021,65.2,65.5,65.99,63.77,7.37,-1.26,M
16/12/2021,66.03,71.0,71.96,65.24,13.41,3.17,M
15/12/2021,64.0,64.04,64.71,62.33,2.68,0.09,M
14/12/2021,63.94,66.41,66.78,63.69,6.21,-2.63,M
13/12/2021,65.67,64.24,67.61,63.59,6.52,3.01,M
