Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.04,9.79,10.16,9.68,12.26,-0.79,M
23/02/2022,10.12,10.64,10.66,10.1,15.46,-3.71,M
22/02/2022,10.51,10.52,10.63,10.41,7.23,0.67,M
21/02/2022,10.44,10.62,10.72,10.43,6.58,-0.85,M
18/02/2022,10.53,10.81,10.83,10.53,8.37,-1.59,M
17/02/2022,10.7,11.25,11.25,10.7,12.7,-5.39,M
16/02/2022,11.31,11.48,11.58,11.27,7.97,-0.7,M
15/02/2022,11.39,11.42,11.5,11.23,8.66,-0.87,M
14/02/2022,11.49,11.6,11.74,11.45,5.31,-1.37,M
11/02/2022,11.65,12.03,12.04,11.61,9.72,-2.92,M
10/02/2022,12.0,12.03,12.22,11.94,5.82,0.08,M
09/02/2022,11.99,11.83,12.15,11.78,6.02,0.67,M
08/02/2022,11.91,12.04,12.04,11.59,11.32,-0.58,M
07/02/2022,11.98,11.8,12.06,11.77,7.28,1.53,M
04/02/2022,11.8,11.8,11.88,11.65,4.95,-0.17,M
03/02/2022,11.82,11.99,12.02,11.78,6.71,-0.51,M
02/02/2022,11.88,11.87,12.01,11.81,5.57,-0.08,M
01/02/2022,11.89,11.58,11.97,11.51,10.4,2.77,M
31/01/2022,11.57,11.64,11.76,11.53,5.14,-1.03,M
28/01/2022,11.69,11.77,11.91,11.6,5.31,-0.09,M
27/01/2022,11.7,11.73,11.76,11.54,6.68,0.78,M
26/01/2022,11.61,11.59,11.81,11.52,6.76,1.22,M
25/01/2022,11.47,11.51,11.61,11.3,6.96,-0.52,M
24/01/2022,11.53,11.28,11.61,11.06,8.79,0.52,M
21/01/2022,11.47,11.86,11.89,11.47,8.88,-3.61,M
20/01/2022,11.9,12.17,12.29,11.9,6.25,-1.73,M
19/01/2022,12.11,11.99,12.16,11.98,6.82,2.45,M
18/01/2022,11.82,11.58,11.86,11.44,6.75,2.34,M
17/01/2022,11.55,11.7,11.75,11.55,5.31,-1.62,M
