Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,17.45,16.55,17.61,16.41,7.61,-2.57,M
23/02/2022,17.91,18.69,18.87,17.89,4.96,-2.82,M
22/02/2022,18.43,18.31,18.8,18.2,3.76,0.88,M
21/02/2022,18.27,18.98,18.98,18.19,3.1,-3.49,M
18/02/2022,18.93,19.2,19.33,18.72,6.03,-0.37,M
17/02/2022,19.0,19.7,19.8,19.0,4.47,-3.6,M
16/02/2022,19.71,19.66,19.92,19.23,4.72,0.77,M
15/02/2022,19.56,18.5,19.66,18.43,10.93,7.41,M
14/02/2022,18.21,17.68,18.49,17.61,6.33,2.59,M
11/02/2022,17.75,18.68,18.89,17.51,6.85,-4.83,M
10/02/2022,18.65,18.49,18.98,18.06,6.07,1.97,M
09/02/2022,18.29,17.64,18.44,17.43,7.08,4.22,M
08/02/2022,17.55,17.31,17.72,17.11,3.6,1.98,M
07/02/2022,17.21,17.48,17.6,17.01,5.17,0.88,M
04/02/2022,17.06,17.77,17.79,16.94,4.18,-3.56,M
03/02/2022,17.69,17.86,18.12,17.46,3.76,-1.01,M
02/02/2022,17.87,18.39,18.73,17.77,3.26,-2.51,M
01/02/2022,18.33,18.24,18.55,18.01,3.49,0.22,M
31/01/2022,18.29,16.99,18.4,16.8,5.73,7.52,M
28/01/2022,17.01,17.43,17.52,16.76,5.74,-3.41,M
27/01/2022,17.61,17.31,18.12,17.27,6.71,2.74,M
26/01/2022,17.14,17.07,17.7,16.93,7.79,1.78,M
25/01/2022,16.84,16.16,16.9,16.11,4.23,2.56,M
24/01/2022,16.42,17.0,17.16,16.05,6.63,-3.75,M
21/01/2022,17.06,16.84,17.19,16.72,3.62,0.29,M
20/01/2022,17.01,16.4,17.38,16.38,6.93,3.4,M
19/01/2022,16.45,16.55,17.34,16.32,5.93,0.43,M
18/01/2022,16.38,16.62,16.83,16.28,3.63,-2.33,M
17/01/2022,16.77,16.85,17.05,16.53,1.87,-0.95,M
14/01/2022,16.93,16.66,16.93,16.43,2.75,1.07,M
13/01/2022,16.75,16.5,17.13,16.36,4.44,0.3,M
12/01/2022,16.7,16.17,16.7,16.02,4.46,3.28,M
11/01/2022,16.17,15.73,16.29,15.57,3.98,2.99,M
10/01/2022,15.7,15.75,15.77,15.34,4.62,-0.44,M
07/01/2022,15.77,15.27,15.99,15.1,3.77,1.74,M
06/01/2022,15.5,15.39,15.65,14.86,4.7,1.77,M
05/01/2022,15.23,16.11,16.19,15.23,5.17,-6.79,M
04/01/2022,16.34,16.96,16.99,16.25,3.14,-2.39,M
03/01/2022,16.74,17.21,17.47,16.58,5.54,-1.7,M
30/12/2021,17.03,16.98,17.32,16.82,5.5,2.22,M
29/12/2021,16.66,17.76,17.88,16.66,4.43,-6.72,M
28/12/2021,17.86,18.1,18.19,17.75,3.1,-1.0,M
27/12/2021,18.04,18.24,18.62,17.95,3.57,-2.12,M
23/12/2021,18.43,18.72,18.86,18.26,3.46,-1.29,M
22/12/2021,18.67,18.29,18.9,17.95,4.86,2.02,M
21/12/2021,18.3,17.8,18.5,17.25,5.45,5.11,M
20/12/2021,17.41,17.45,17.93,17.2,3.51,-4.24,M
