Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,8.08,7.93,8.14,7.77,1.37,-0.12,M
23/02/2022,8.09,8.09,8.3,8.09,909.3,-0.12,K
22/02/2022,8.1,8.13,8.32,8.06,1.09,0.5,M
21/02/2022,8.06,8.31,8.33,7.95,1.02,-3.01,M
18/02/2022,8.31,8.36,8.43,8.3,668.0,0.12,K
17/02/2022,8.3,8.53,8.64,8.3,2.06,-2.81,M
16/02/2022,8.54,8.73,8.78,8.51,1.29,-1.95,M
15/02/2022,8.71,8.53,8.79,8.53,625.0,2.71,K
14/02/2022,8.48,8.32,8.6,8.27,668.1,1.8,K
11/02/2022,8.33,8.45,8.59,8.31,1.54,-0.95,M
10/02/2022,8.41,8.56,8.64,8.41,440.9,-1.41,K
09/02/2022,8.53,8.43,8.69,8.43,712.6,1.31,K
08/02/2022,8.42,8.46,8.54,8.32,960.7,-0.59,K
07/02/2022,8.47,8.43,8.58,8.41,936.9,0.24,K
04/02/2022,8.45,8.56,8.56,8.12,1.63,-1.63,M
03/02/2022,8.59,9.04,9.17,8.52,1.95,-4.98,M
02/02/2022,9.04,9.15,9.23,9.01,1.59,-1.42,M
01/02/2022,9.17,9.06,9.22,8.99,1.91,1.1,M
31/01/2022,9.07,8.89,9.16,8.83,1.83,1.91,M
28/01/2022,8.9,8.87,8.94,8.71,1.4,-0.11,M
27/01/2022,8.91,8.82,8.94,8.66,1.24,2.06,M
26/01/2022,8.73,8.61,8.87,8.53,2.01,2.22,M
25/01/2022,8.54,8.38,8.55,8.24,1.9,1.91,M
24/01/2022,8.38,8.67,8.7,8.32,1.08,-3.57,M
21/01/2022,8.69,8.69,8.77,8.6,2.04,0.12,M
20/01/2022,8.68,8.33,8.78,8.33,2.04,4.2,M
19/01/2022,8.33,8.08,8.37,8.07,1.86,2.84,M
18/01/2022,8.1,8.23,8.28,8.03,1.12,-1.58,M
17/01/2022,8.23,8.25,8.34,8.15,755.3,-0.24,K
14/01/2022,8.25,8.19,8.3,8.07,1.09,0.73,M
13/01/2022,8.19,8.22,8.24,8.06,1.15,-0.36,M
12/01/2022,8.22,7.97,8.28,7.93,1.15,3.92,M
11/01/2022,7.91,7.91,7.98,7.73,1.53,0.13,M
10/01/2022,7.9,7.87,7.92,7.75,1.04,0.38,M
07/01/2022,7.87,7.83,7.96,7.7,1.29,0.77,M
06/01/2022,7.81,7.81,7.92,7.68,2.03,0.13,M
05/01/2022,7.8,7.86,8.02,7.68,4.8,-1.27,M
04/01/2022,7.9,8.15,8.15,7.88,2.78,-2.35,M
03/01/2022,8.09,8.69,8.71,8.09,2.14,-6.47,M
30/12/2021,8.65,8.46,8.67,8.41,1.48,2.37,M
29/12/2021,8.45,8.35,8.5,8.34,939.6,0.36,K
28/12/2021,8.42,8.3,8.47,8.26,482.6,0.96,K
27/12/2021,8.34,8.25,8.4,8.18,843.0,2.08,K
23/12/2021,8.17,8.28,8.29,8.17,845.2,-1.21,K
22/12/2021,8.27,8.21,8.32,8.12,938.2,0.73,K
21/12/2021,8.21,8.34,8.38,8.02,1.95,-1.44,M
20/12/2021,8.33,8.29,8.44,8.19,1.48,-0.24,M
17/12/2021,8.35,8.3,8.36,8.12,1.12,-0.36,M
16/12/2021,8.38,8.54,8.54,8.29,2.21,-1.3,M
15/12/2021,8.49,8.51,8.55,8.22,2.07,0.95,M
14/12/2021,8.41,8.77,8.83,8.34,2.77,-3.78,M
13/12/2021,8.74,8.95,9.0,8.72,1.92,-2.24,M
10/12/2021,8.94,8.92,9.03,8.89,1.08,1.02,M
09/12/2021,8.85,8.92,9.01,8.78,1.49,-1.67,M
08/12/2021,9.0,8.68,9.03,8.56,1.37,3.69,M
07/12/2021,8.68,8.74,8.83,8.6,1.1,0.0,M
06/12/2021,8.68,8.48,8.77,8.46,1.49,2.48,M
03/12/2021,8.47,8.22,8.63,8.22,1.41,3.04,M
02/12/2021,8.22,8.31,8.35,8.1,3.42,-0.12,M
01/12/2021,8.23,8.46,8.54,8.15,2.81,-1.79,M
30/11/2021,8.38,8.35,8.39,8.08,2.17,-0.36,M
29/11/2021,8.41,8.59,8.65,8.35,1.69,-1.18,M
26/11/2021,8.51,8.49,8.55,8.35,1.14,-2.18,M
25/11/2021,8.7,8.6,8.76,8.6,938.4,1.16,K
24/11/2021,8.6,8.62,8.74,8.48,1.24,-0.69,M
23/11/2021,8.66,8.9,8.9,8.56,2.13,-2.7,M
22/11/2021,8.9,8.93,9.01,8.65,2.61,-0.34,M
19/11/2021,8.93,8.84,9.18,8.82,1.02,1.02,M
18/11/2021,8.84,8.7,8.96,8.59,1.28,1.96,M
17/11/2021,8.67,8.84,8.96,8.58,1.64,-1.37,M
16/11/2021,8.79,9.19,9.22,8.74,1.88,-3.41,M
12/11/2021,9.1,9.28,9.46,9.05,1.46,-2.15,M
11/11/2021,9.3,9.56,9.69,9.3,1.91,-1.27,M
10/11/2021,9.42,9.21,9.65,9.17,2.84,2.39,M
09/11/2021,9.2,8.91,9.38,8.91,2.43,3.49,M
08/11/2021,8.89,9.17,9.25,8.89,2.2,-4.41,M
05/11/2021,9.3,9.32,9.59,9.29,1.92,0.54,M
04/11/2021,9.25,9.35,9.6,9.19,2.83,-0.86,M
03/11/2021,9.33,8.85,9.47,8.77,2.88,4.83,M
01/11/2021,8.9,8.68,8.98,8.6,2.5,3.73,M
29/10/2021,8.58,8.75,8.82,8.54,3.09,-1.15,M
28/10/2021,8.68,8.9,9.02,8.68,2.27,-2.47,M
27/10/2021,8.9,8.9,9.01,8.84,1.71,0.45,M
