Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.0,11.7,12.13,11.25,1.41,-2.2,M
23/02/2022,12.27,12.42,12.91,12.18,989.9,-1.05,K
22/02/2022,12.4,12.28,12.74,12.28,1.52,1.97,M
21/02/2022,12.16,12.87,12.97,12.16,1.26,-5.52,M
18/02/2022,12.87,12.7,13.31,12.56,1.52,0.86,M
17/02/2022,12.76,13.21,13.58,12.76,1.52,-3.84,M
16/02/2022,13.27,12.78,13.33,12.55,1.77,3.92,M
15/02/2022,12.77,11.82,12.82,11.81,1.73,9.33,M
14/02/2022,11.68,12.08,12.22,11.57,1.74,-2.99,M
11/02/2022,12.04,12.45,12.7,11.98,1.71,-3.37,M
10/02/2022,12.46,12.75,12.94,12.29,1.37,-2.12,M
09/02/2022,12.73,12.73,13.1,12.67,1.09,0.63,M
08/02/2022,12.65,12.53,12.98,12.36,918.6,0.48,K
07/02/2022,12.59,12.82,13.08,12.51,1.12,-1.87,M
04/02/2022,12.83,12.94,12.96,12.43,1.14,-1.16,M
03/02/2022,12.98,12.82,13.19,12.54,1.34,1.49,M
02/02/2022,12.79,12.78,13.11,12.61,1.33,-0.08,M
01/02/2022,12.8,12.8,12.95,12.6,1.95,0.47,M
31/01/2022,12.74,12.07,12.82,12.07,2.45,5.73,M
28/01/2022,12.05,11.72,12.06,11.58,1.58,2.64,M
27/01/2022,11.74,11.55,11.83,11.49,1.73,2.71,M
26/01/2022,11.43,11.33,11.77,11.25,3.49,1.87,M
25/01/2022,11.22,10.48,11.33,10.25,3.37,6.65,M
24/01/2022,10.52,10.38,10.67,9.89,3.48,3.34,M
21/01/2022,10.18,9.49,10.36,9.45,2.28,6.71,M
20/01/2022,9.54,9.21,10.03,9.21,1.68,3.58,M
19/01/2022,9.21,8.78,9.3,8.78,1.13,5.26,M
18/01/2022,8.75,8.72,8.95,8.66,927.3,-0.91,K
17/01/2022,8.83,8.99,9.04,8.68,930.1,-2.0,K
14/01/2022,9.01,9.16,9.28,8.87,984.3,-1.74,K
13/01/2022,9.17,9.42,9.55,9.15,1.07,-3.98,M
12/01/2022,9.55,8.79,9.57,8.79,1.65,8.03,M
11/01/2022,8.84,8.58,9.06,8.5,1.48,3.03,M
10/01/2022,8.58,8.65,8.89,8.52,1.5,0.0,M
07/01/2022,8.58,8.55,8.81,8.28,1.13,1.06,M
06/01/2022,8.49,8.67,8.81,8.38,1.85,-1.62,M
05/01/2022,8.63,9.13,9.23,8.62,2.9,-5.68,M
04/01/2022,9.15,9.54,9.57,9.1,1.45,-3.28,M
03/01/2022,9.46,10.0,10.07,9.46,715.4,-3.96,K
30/12/2021,9.85,10.03,10.12,9.81,1.08,-0.81,M
29/12/2021,9.93,10.28,10.28,9.85,430.2,-2.74,K
28/12/2021,10.21,10.1,10.32,10.02,273.9,1.09,K
27/12/2021,10.1,10.03,10.25,9.94,565.3,2.23,K
23/12/2021,9.88,9.92,9.94,9.58,919.0,0.0,K
22/12/2021,9.88,10.09,10.18,9.76,1.16,-6.26,M
21/12/2021,10.54,10.44,10.59,10.27,735.1,1.84,K
20/12/2021,10.35,10.26,10.44,10.16,781.2,-0.19,K
17/12/2021,10.37,10.4,10.87,10.37,1.52,-2.17,M
16/12/2021,10.6,10.77,10.92,10.44,778.1,0.19,K
15/12/2021,10.58,10.32,10.61,10.16,698.7,3.73,K
14/12/2021,10.2,10.75,10.8,10.17,558.1,-3.86,K
13/12/2021,10.61,11.13,11.13,10.59,494.7,-3.02,K
10/12/2021,10.94,10.71,11.13,10.66,348.3,3.21,K
09/12/2021,10.6,10.94,10.95,10.45,529.1,-3.11,K
08/12/2021,10.94,10.96,11.14,10.65,991.8,1.58,K
07/12/2021,10.77,10.98,11.09,10.73,880.1,-0.28,K
06/12/2021,10.8,10.17,10.99,10.15,1.1,7.46,M
03/12/2021,10.05,9.87,10.22,9.77,1.52,2.34,M
02/12/2021,9.82,9.92,10.14,9.64,1.16,0.0,M
01/12/2021,9.82,10.41,10.65,9.79,2.18,-3.73,M
30/11/2021,10.2,10.74,10.74,10.01,1.95,-5.03,M
29/11/2021,10.74,11.08,11.19,10.74,540.6,-1.56,K
26/11/2021,10.91,11.19,11.19,10.76,1.17,-4.88,M
25/11/2021,11.47,11.67,11.98,11.41,511.2,-1.38,K
24/11/2021,11.63,11.34,11.78,11.19,796.7,2.2,K
23/11/2021,11.38,11.75,11.85,11.17,1.34,-2.74,M
22/11/2021,11.7,11.9,12.33,11.54,910.2,-1.1,K
19/11/2021,11.83,11.66,12.1,11.39,759.8,2.78,K
18/11/2021,11.51,11.25,11.63,11.11,809.7,2.95,K
17/11/2021,11.18,11.6,11.8,10.9,1.04,-2.44,M
16/11/2021,11.46,12.23,12.37,11.46,702.9,-5.91,K
12/11/2021,12.18,12.68,12.89,12.12,617.2,-4.09,K
11/11/2021,12.7,12.63,13.09,12.61,772.6,2.01,K
10/11/2021,12.45,12.14,12.79,12.07,747.9,2.81,K
09/11/2021,12.11,11.86,12.37,11.86,673.4,2.11,K
08/11/2021,11.86,12.3,12.3,11.78,557.1,-4.2,K
05/11/2021,12.38,11.96,12.56,11.93,988.0,4.74,K
04/11/2021,11.82,12.2,12.47,11.66,1.04,-2.88,M
03/11/2021,12.17,11.31,12.3,11.22,1.18,7.04,M
01/11/2021,11.37,11.07,11.55,11.0,1.15,3.84,M
29/10/2021,10.95,11.48,11.57,10.95,1.1,-4.28,M
28/10/2021,11.44,11.73,11.85,11.39,1.04,-3.46,M
27/10/2021,11.85,11.7,12.19,11.68,438.1,1.63,K
26/10/2021,11.66,12.25,12.28,11.57,649.6,-5.28,K
25/10/2021,12.31,12.0,12.44,11.8,1.03,3.79,M
22/10/2021,11.86,12.17,12.18,11.27,1.45,-3.5,M
21/10/2021,12.29,12.99,12.99,12.13,1.4,-6.47,M
20/10/2021,13.14,13.33,13.53,13.01,1.01,-1.43,M
19/10/2021,13.33,13.97,14.03,13.16,1.58,-6.13,M
18/10/2021,14.2,14.01,14.26,13.7,461.1,1.14,K
15/10/2021,14.04,13.83,14.09,13.72,261.7,2.48,K
14/10/2021,13.7,13.91,14.06,13.42,482.6,-0.58,K
13/10/2021,13.78,13.5,13.91,13.43,373.6,2.07,K
11/10/2021,13.5,13.72,13.81,13.35,386.0,-1.53,K
08/10/2021,13.71,13.3,13.97,13.2,1.03,4.42,M
07/10/2021,13.13,13.35,13.52,13.1,644.7,-0.61,K
06/10/2021,13.21,13.4,13.44,12.75,1.52,-3.51,M
05/10/2021,13.69,13.61,13.9,13.28,742.3,1.11,K
04/10/2021,13.54,14.01,14.1,13.52,440.2,-4.11,K
01/10/2021,14.12,13.63,14.26,13.42,885.2,4.36,K
30/09/2021,13.53,13.94,13.94,13.4,758.3,-2.24,K
29/09/2021,13.84,13.77,13.96,13.54,572.6,1.17,K
28/09/2021,13.68,14.26,14.32,13.59,862.2,-4.13,K
27/09/2021,14.27,14.82,14.9,14.07,812.6,-4.1,K
24/09/2021,14.88,14.64,14.96,14.39,682.9,1.22,K
23/09/2021,14.7,14.3,14.9,14.3,529.2,2.37,K
22/09/2021,14.36,14.35,14.6,14.07,654.8,0.91,K
21/09/2021,14.23,13.93,14.33,13.66,628.7,3.04,K
20/09/2021,13.81,14.0,14.11,13.44,731.3,-3.7,K
17/09/2021,14.34,14.37,14.46,13.94,672.3,-0.28,K
16/09/2021,14.38,14.37,14.63,14.16,422.9,-0.48,K
15/09/2021,14.45,14.69,14.69,14.37,351.9,-1.37,K
14/09/2021,14.65,14.84,15.12,14.47,733.3,-0.81,K
13/09/2021,14.77,14.69,14.87,14.4,483.0,1.86,K
10/09/2021,14.5,14.53,15.12,14.32,742.1,1.26,K
09/09/2021,14.32,14.11,14.45,13.81,581.2,1.85,K
08/09/2021,14.06,14.35,14.44,13.94,715.8,-2.09,K
06/09/2021,14.36,14.33,15.0,14.33,714.8,0.77,K
03/09/2021,14.25,14.74,14.89,14.15,1.42,-2.06,M
02/09/2021,14.55,15.14,15.16,14.49,717.2,-3.9,K
01/09/2021,15.14,15.35,15.53,15.14,504.6,-1.75,K
31/08/2021,15.41,15.62,15.96,15.29,626.2,-1.78,K
30/08/2021,15.69,15.65,15.9,15.4,576.6,-0.06,K
27/08/2021,15.7,15.47,15.75,15.34,778.5,2.35,K
26/08/2021,15.34,15.85,16.03,15.28,1.13,-4.07,M
25/08/2021,15.99,16.05,16.26,15.59,534.8,-0.31,K
24/08/2021,16.04,15.26,16.21,15.26,1.16,4.63,M
23/08/2021,15.33,15.49,15.66,15.29,695.7,-1.79,K
20/08/2021,15.61,15.38,15.75,15.32,778.0,-0.06,K
19/08/2021,15.62,15.15,15.94,15.04,825.3,1.43,K
18/08/2021,15.4,15.88,15.89,15.31,1.04,-2.9,M
17/08/2021,15.86,16.16,16.27,15.51,1.25,-4.23,M
16/08/2021,16.56,17.38,17.41,16.17,1.31,-5.15,M
