Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.05,11.5,12.22,11.28,54.34,-0.41,M
23/02/2022,12.1,12.3,12.55,12.1,27.57,-2.5,M
22/02/2022,12.41,12.13,12.5,11.99,54.3,3.42,M
21/02/2022,12.0,12.11,12.29,11.88,25.7,-1.64,M
18/02/2022,12.2,12.69,12.72,12.1,36.12,-3.4,M
17/02/2022,12.63,12.72,12.79,12.49,25.38,-0.71,M
16/02/2022,12.72,12.78,13.1,12.56,40.56,-0.39,M
15/02/2022,12.77,12.17,12.79,12.11,52.22,4.76,M
14/02/2022,12.19,12.17,12.19,11.71,40.93,2.44,M
11/02/2022,11.9,11.79,12.19,11.61,163.99,1.54,M
10/02/2022,11.72,11.56,11.81,11.23,31.0,1.38,M
09/02/2022,11.56,11.38,11.8,11.38,28.26,1.58,M
08/02/2022,11.38,11.85,11.86,11.32,36.1,-3.97,M
07/02/2022,11.85,11.94,12.02,11.42,66.63,-4.67,M
04/02/2022,12.43,12.71,12.71,12.25,24.46,-1.43,M
03/02/2022,12.61,12.5,12.77,12.29,29.2,0.96,M
02/02/2022,12.49,12.48,12.67,12.41,34.55,0.08,M
01/02/2022,12.48,12.59,12.78,12.28,23.9,-1.42,M
31/01/2022,12.66,12.38,12.74,12.3,37.79,2.1,M
28/01/2022,12.4,12.12,12.52,12.03,57.63,2.31,M
27/01/2022,12.12,12.64,12.64,11.71,67.75,-3.43,M
26/01/2022,12.55,12.2,12.72,12.07,56.18,4.41,M
25/01/2022,12.02,11.26,12.18,11.22,21.96,6.0,M
24/01/2022,11.34,11.8,11.94,11.24,32.08,-2.41,M
21/01/2022,11.62,11.36,11.83,11.18,32.68,3.75,M
20/01/2022,11.2,10.95,11.42,10.82,21.13,2.56,M
19/01/2022,10.92,10.59,11.04,10.53,21.52,3.8,M
18/01/2022,10.52,10.44,10.71,10.32,21.31,0.19,M
17/01/2022,10.5,10.31,10.77,10.1,23.43,1.84,M
14/01/2022,10.31,10.11,10.43,9.88,14.62,1.38,M
13/01/2022,10.17,10.32,10.4,10.01,14.29,-2.21,M
12/01/2022,10.4,9.9,10.62,9.83,34.67,4.42,M
11/01/2022,9.96,9.32,10.09,9.3,31.43,5.96,M
10/01/2022,9.4,9.89,9.9,9.31,26.75,-5.24,M
07/01/2022,9.92,9.61,10.23,9.55,23.86,2.16,M
06/01/2022,9.71,9.45,9.92,9.33,21.87,3.74,M
05/01/2022,9.36,9.86,9.98,9.36,33.7,-5.55,M
04/01/2022,9.91,10.07,10.27,9.8,22.34,-1.39,M
03/01/2022,10.05,10.38,10.45,9.9,18.14,-3.18,M
30/12/2021,10.38,10.2,10.39,10.06,15.55,2.87,M
29/12/2021,10.09,10.31,10.36,9.97,16.96,-2.13,M
28/12/2021,10.31,10.61,10.62,10.09,17.77,-2.64,M
27/12/2021,10.59,10.56,10.79,10.47,9.66,0.0,M
23/12/2021,10.59,11.12,11.12,10.59,16.04,-4.16,M
22/12/2021,11.05,11.49,11.55,10.99,16.71,-3.24,M
21/12/2021,11.42,11.31,11.56,11.2,20.94,1.51,M
20/12/2021,11.25,11.21,11.34,10.97,17.32,-1.06,M
17/12/2021,11.37,11.35,11.48,11.07,19.94,-1.47,M
16/12/2021,11.54,12.4,12.7,11.48,55.6,1.58,M
15/12/2021,11.36,11.34,11.48,10.99,12.24,0.44,M
14/12/2021,11.31,11.6,11.79,11.17,11.08,-2.08,M
13/12/2021,11.55,11.32,11.96,11.22,41.12,3.13,M
10/12/2021,11.2,11.46,11.46,11.2,10.46,-0.09,M
09/12/2021,11.21,11.32,11.47,11.04,17.31,-0.97,M
08/12/2021,11.32,11.26,11.5,11.16,13.13,1.25,M
07/12/2021,11.18,11.37,11.4,11.02,17.59,-0.45,M
06/12/2021,11.23,11.47,11.55,11.23,16.12,-1.75,M
03/12/2021,11.43,10.89,11.64,10.89,23.6,3.72,M
02/12/2021,11.02,10.38,11.02,10.38,18.63,6.68,M
01/12/2021,10.33,10.94,11.07,10.29,17.68,-5.32,M
30/11/2021,10.91,11.39,11.44,10.53,28.78,-4.38,M
29/11/2021,11.41,11.78,11.99,11.41,13.58,-2.14,M
26/11/2021,11.66,12.01,12.32,11.62,17.28,-4.97,M
25/11/2021,12.27,12.53,12.64,12.09,15.88,-2.08,M
24/11/2021,12.53,12.67,12.93,12.46,12.82,-2.41,M
23/11/2021,12.84,12.84,12.91,12.44,12.07,0.55,M
22/11/2021,12.77,13.27,13.27,12.73,12.57,-3.18,M
19/11/2021,13.19,13.1,13.62,13.02,19.94,1.0,M
18/11/2021,13.06,12.57,13.19,12.56,14.09,3.73,M
17/11/2021,12.59,13.13,13.17,12.45,19.41,-2.1,M
16/11/2021,12.86,13.17,13.33,12.66,12.15,-2.58,M
12/11/2021,13.2,13.81,13.89,13.13,20.99,-3.93,M
11/11/2021,13.74,13.3,13.92,12.86,15.37,3.31,M
10/11/2021,13.3,13.47,13.71,13.25,22.08,0.15,M
09/11/2021,13.28,12.76,13.61,12.68,19.2,4.08,M
08/11/2021,12.76,12.5,12.95,12.5,12.32,0.08,M
05/11/2021,12.75,12.25,12.77,12.25,16.1,4.0,M
04/11/2021,12.26,12.28,12.54,12.06,19.68,-0.97,M
03/11/2021,12.38,11.33,12.46,11.33,26.19,5.18,M
01/11/2021,11.77,11.75,11.88,11.49,12.88,1.99,M
29/10/2021,11.54,11.78,11.88,11.38,18.38,-1.62,M
28/10/2021,11.73,11.75,11.98,11.59,17.2,-1.18,M
27/10/2021,11.87,11.57,11.91,11.52,19.75,2.95,M
26/10/2021,11.53,11.52,11.61,11.33,28.2,-2.7,M
25/10/2021,11.85,11.57,11.99,11.36,15.87,2.07,M
22/10/2021,11.61,11.26,11.99,10.94,32.29,0.0,M
21/10/2021,11.61,11.56,11.85,11.28,24.17,-0.85,M
20/10/2021,11.71,12.13,12.27,11.66,34.24,-3.06,M
19/10/2021,12.08,12.5,12.51,11.95,25.91,-4.13,M
18/10/2021,12.6,13.05,13.05,12.53,27.91,-3.15,M
15/10/2021,13.01,12.73,13.07,12.57,16.44,2.2,M
14/10/2021,12.73,12.88,13.05,12.62,17.56,-1.39,M
13/10/2021,12.91,12.95,13.29,12.85,14.03,0.16,M
11/10/2021,12.89,12.77,13.13,12.5,21.07,0.16,M
08/10/2021,12.87,12.69,13.05,12.61,24.57,2.96,M
07/10/2021,12.5,12.55,12.69,12.17,23.87,-0.71,M
06/10/2021,12.59,12.65,12.81,12.34,18.72,-1.87,M
05/10/2021,12.83,12.8,13.09,12.64,21.23,0.08,M
04/10/2021,12.82,13.39,13.42,12.69,39.28,-4.61,M
01/10/2021,13.44,13.53,13.94,13.34,15.55,-1.1,M
30/09/2021,13.59,13.68,13.88,13.44,20.59,-0.07,M
29/09/2021,13.6,13.63,13.81,13.4,13.64,-0.22,M
28/09/2021,13.63,14.1,14.3,13.37,20.81,-5.81,M
27/09/2021,14.47,14.66,14.66,14.18,10.6,-1.83,M
24/09/2021,14.74,14.96,15.1,14.43,9.51,-1.01,M
23/09/2021,14.89,14.55,14.9,14.39,16.02,2.06,M
22/09/2021,14.59,15.3,15.36,14.51,20.31,-3.89,M
21/09/2021,15.18,14.9,15.42,14.85,9.65,2.02,M
20/09/2021,14.88,15.15,15.29,14.77,10.79,-2.43,M
17/09/2021,15.25,15.26,15.28,14.8,13.39,-0.2,M
16/09/2021,15.28,15.3,15.48,15.16,10.43,-0.65,M
15/09/2021,15.38,15.38,15.39,14.96,8.3,0.98,M
14/09/2021,15.23,15.16,15.43,15.07,7.84,0.33,M
13/09/2021,15.18,14.85,15.44,14.8,9.03,3.55,M
10/09/2021,14.66,14.86,15.12,14.66,10.74,-1.35,M
09/09/2021,14.86,14.48,15.14,14.3,9.58,1.99,M
08/09/2021,14.57,15.06,15.13,14.43,9.1,-3.89,M
06/09/2021,15.16,14.86,15.28,14.78,4.33,1.81,M
03/09/2021,14.89,14.79,14.97,14.57,11.34,1.22,M
02/09/2021,14.71,14.77,14.86,14.5,9.61,-1.41,M
01/09/2021,14.92,14.9,14.97,14.57,26.71,1.36,M
31/08/2021,14.72,14.87,15.02,14.6,21.82,-0.61,M
30/08/2021,14.81,14.82,14.97,14.74,10.86,-0.27,M
27/08/2021,14.85,14.95,15.01,14.73,15.05,-0.74,M
26/08/2021,14.96,15.22,15.25,14.88,11.97,-2.09,M
25/08/2021,15.28,15.21,15.3,14.92,15.73,0.0,M
24/08/2021,15.28,15.42,15.52,15.13,9.74,0.53,M
23/08/2021,15.2,15.42,15.42,15.06,14.31,-2.12,M
20/08/2021,15.53,14.7,15.71,14.7,19.64,4.02,M
19/08/2021,14.93,14.5,15.16,14.31,12.67,2.26,M
18/08/2021,14.6,14.72,14.81,14.37,18.41,-0.95,M
17/08/2021,14.74,14.87,15.06,14.55,16.25,-1.93,M
16/08/2021,15.03,15.35,15.46,14.79,14.21,-2.08,M
13/08/2021,15.35,15.01,15.74,15.01,31.06,3.37,M
12/08/2021,14.85,13.82,14.95,13.82,24.47,6.38,M
11/08/2021,13.96,13.8,14.11,13.65,13.92,0.14,M
10/08/2021,13.94,14.19,14.31,13.85,12.88,-1.48,M
09/08/2021,14.15,14.15,14.44,14.1,7.4,-0.77,M
06/08/2021,14.26,14.39,14.43,14.19,7.74,-0.9,M
05/08/2021,14.39,14.4,14.82,14.27,11.52,0.21,M
04/08/2021,14.36,14.41,14.56,14.06,13.92,-0.97,M
03/08/2021,14.5,14.35,14.52,14.04,8.28,0.14,M
02/08/2021,14.48,14.38,14.69,14.26,7.43,1.76,M
30/07/2021,14.23,14.52,14.57,14.18,9.16,-2.93,M
29/07/2021,14.66,14.61,14.75,14.5,7.06,0.34,M
28/07/2021,14.61,14.43,14.73,14.27,10.84,1.81,M
27/07/2021,14.35,14.26,14.35,14.06,9.52,0.35,M
26/07/2021,14.3,14.49,14.56,14.25,12.23,-1.99,M
23/07/2021,14.59,14.59,14.65,14.46,5.98,0.27,M
22/07/2021,14.55,14.47,14.77,14.47,14.3,0.62,M
21/07/2021,14.46,14.78,14.85,14.31,13.65,-1.97,M
20/07/2021,14.75,15.1,15.17,14.72,11.24,-3.02,M
19/07/2021,15.21,15.2,15.4,14.98,9.7,-0.98,M
16/07/2021,15.36,15.33,15.53,15.25,6.65,0.33,M
15/07/2021,15.31,15.38,15.43,15.11,6.05,-0.39,M
14/07/2021,15.37,15.62,15.7,15.25,12.75,-0.71,M
13/07/2021,15.48,15.18,15.48,15.07,5.3,1.24,M
12/07/2021,15.29,15.12,15.3,14.88,5.13,1.93,M
08/07/2021,15.0,15.13,15.18,14.97,4.73,-2.09,M
07/07/2021,15.32,15.17,15.32,14.93,4.6,2.34,M
06/07/2021,14.97,15.01,15.12,14.75,10.66,-0.47,M
05/07/2021,15.04,15.28,15.28,15.03,4.56,-1.57,M
02/07/2021,15.28,15.09,15.3,14.97,7.1,1.93,M
01/07/2021,14.99,15.35,15.42,14.86,8.44,-2.73,M
30/06/2021,15.41,15.46,15.54,15.22,9.13,-1.22,M
29/06/2021,15.6,15.52,15.64,15.28,8.83,0.0,M
28/06/2021,15.6,15.3,15.83,15.29,5.87,1.69,M
25/06/2021,15.34,15.81,15.85,15.22,11.3,-2.79,M
24/06/2021,15.78,15.79,16.12,15.58,5.11,0.7,M
23/06/2021,15.67,15.6,15.87,15.58,5.93,-0.63,M
22/06/2021,15.77,15.41,15.77,15.18,7.62,2.27,M
21/06/2021,15.42,15.54,15.57,15.25,7.21,-0.52,M
18/06/2021,15.5,15.69,15.88,15.45,15.6,-0.77,M
17/06/2021,15.62,15.22,15.7,15.13,6.13,2.09,M
16/06/2021,15.3,15.13,15.43,15.09,10.88,1.12,M
15/06/2021,15.13,15.14,15.34,15.07,13.43,0.07,M
14/06/2021,15.12,15.39,15.39,15.05,9.51,-0.92,M
11/06/2021,15.26,15.5,15.55,15.01,12.51,-2.05,M
10/06/2021,15.58,15.63,15.76,15.36,8.16,-0.13,M
09/06/2021,15.6,15.77,15.78,15.57,5.55,-1.27,M
08/06/2021,15.8,15.69,15.8,15.63,7.85,0.0,M
07/06/2021,15.8,15.69,15.88,15.64,9.04,0.77,M
04/06/2021,15.68,15.76,15.85,15.43,10.79,-0.76,M
02/06/2021,15.8,16.06,16.16,15.56,18.1,-1.25,M
01/06/2021,16.0,15.97,16.25,15.88,11.25,0.0,M
31/05/2021,16.0,15.94,16.05,15.75,6.42,0.31,M
28/05/2021,15.95,15.65,16.03,15.53,5.03,1.21,M
27/05/2021,15.76,15.65,15.87,15.46,11.13,0.0,M
