Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.62,3.65,3.71,3.48,1.42,-2.69,M
23/02/2022,3.72,3.8,3.86,3.72,796.5,-1.33,K
22/02/2022,3.77,3.79,3.87,3.72,1.06,-0.26,M
21/02/2022,3.78,3.93,3.93,3.7,1.24,-3.82,M
18/02/2022,3.93,3.93,3.99,3.93,1.01,0.0,M
17/02/2022,3.93,4.09,4.13,3.89,1.5,-3.91,M
16/02/2022,4.09,4.04,4.17,4.01,939.7,0.99,K
15/02/2022,4.05,3.89,4.05,3.88,1.04,5.19,M
14/02/2022,3.85,3.92,3.94,3.84,1.36,-0.52,M
11/02/2022,3.87,4.02,4.15,3.87,1.56,-3.25,M
10/02/2022,4.0,4.1,4.14,3.96,997.9,-1.48,K
09/02/2022,4.06,4.1,4.19,4.04,1.06,-0.98,M
08/02/2022,4.1,4.13,4.2,4.04,715.0,0.24,K
07/02/2022,4.09,4.12,4.17,4.05,833.6,-0.49,K
04/02/2022,4.11,4.37,4.41,4.05,1.16,-5.52,M
03/02/2022,4.35,4.32,4.43,4.25,1.23,0.93,M
02/02/2022,4.31,4.45,4.49,4.22,1.43,-2.05,M
01/02/2022,4.4,4.3,4.45,4.3,1.14,2.33,M
31/01/2022,4.3,4.18,4.33,4.09,1.6,2.87,M
28/01/2022,4.18,4.33,4.34,4.15,1.01,-3.69,M
27/01/2022,4.34,4.25,4.41,4.25,855.3,2.6,K
26/01/2022,4.23,4.16,4.3,4.16,1.26,2.67,M
25/01/2022,4.12,3.98,4.17,3.97,1.19,3.0,M
24/01/2022,4.0,4.05,4.08,3.91,1.21,-1.23,M
21/01/2022,4.05,4.07,4.14,4.02,1.68,-0.74,M
20/01/2022,4.08,3.89,4.12,3.89,1.79,3.55,M
19/01/2022,3.94,3.88,3.99,3.88,888.5,3.14,K
18/01/2022,3.82,3.9,3.93,3.82,1.05,-2.05,M
17/01/2022,3.9,3.92,3.98,3.9,522.1,-0.51,K
14/01/2022,3.92,4.08,4.1,3.89,845.1,-3.21,K
13/01/2022,4.05,4.11,4.13,4.0,675.2,-2.17,K
12/01/2022,4.14,3.91,4.16,3.91,1.19,5.88,M
11/01/2022,3.91,3.87,3.93,3.79,1.47,1.56,M
