Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.0,2.96,3.04,2.8,3.19,0.33,M
23/02/2022,2.99,3.08,3.14,2.99,3.47,-3.24,M
22/02/2022,3.09,2.92,3.18,2.9,5.66,6.55,M
21/02/2022,2.9,2.97,2.99,2.81,1.94,-2.03,M
18/02/2022,2.96,3.05,3.09,2.96,1.81,-3.27,M
17/02/2022,3.06,3.06,3.13,3.02,3.58,-1.29,M
16/02/2022,3.1,3.02,3.1,2.97,3.52,2.65,M
15/02/2022,3.02,2.82,3.04,2.82,2.54,7.86,M
14/02/2022,2.8,2.83,2.89,2.78,1.29,-1.06,M
11/02/2022,2.83,2.92,2.98,2.78,2.88,-2.75,M
10/02/2022,2.91,2.88,2.94,2.82,1.55,1.04,M
09/02/2022,2.88,2.94,3.04,2.87,1.57,-1.71,M
08/02/2022,2.93,2.8,2.95,2.78,2.98,5.02,M
07/02/2022,2.79,2.8,2.83,2.72,2.19,-0.36,M
04/02/2022,2.8,2.8,2.8,2.69,3.05,0.36,M
03/02/2022,2.79,2.82,2.86,2.76,2.26,-0.71,M
02/02/2022,2.81,2.96,3.0,2.81,2.65,-4.75,M
01/02/2022,2.95,3.15,3.16,2.95,2.93,-5.14,M
31/01/2022,3.11,2.95,3.17,2.89,4.14,5.42,M
28/01/2022,2.95,2.96,3.0,2.86,1.91,-1.34,M
27/01/2022,2.99,2.93,3.04,2.93,2.66,2.05,M
26/01/2022,2.93,2.97,2.99,2.89,3.29,-0.34,M
25/01/2022,2.94,2.83,2.95,2.79,2.06,2.8,M
24/01/2022,2.86,2.99,3.0,2.83,2.35,-5.3,M
21/01/2022,3.02,3.0,3.06,2.95,2.73,0.0,M
20/01/2022,3.02,2.77,3.07,2.75,6.12,9.82,M
19/01/2022,2.75,2.8,2.85,2.75,3.9,-0.36,M
18/01/2022,2.76,2.95,2.95,2.74,6.05,-7.07,M
17/01/2022,2.97,2.93,2.97,2.86,998.5,2.41,K
14/01/2022,2.9,2.91,2.92,2.85,1.4,-0.68,M
13/01/2022,2.92,2.97,2.99,2.86,1.27,-1.35,M
12/01/2022,2.96,2.91,2.98,2.88,4.79,0.34,M
11/01/2022,2.95,2.79,2.95,2.76,3.7,5.73,M
10/01/2022,2.79,2.9,2.9,2.73,3.92,-4.12,M
07/01/2022,2.91,2.9,2.97,2.87,4.06,0.69,M
06/01/2022,2.89,2.99,3.08,2.85,6.92,-1.7,M
05/01/2022,2.94,3.08,3.18,2.94,3.41,-5.47,M
04/01/2022,3.11,3.4,3.43,3.09,4.84,-8.26,M
03/01/2022,3.39,3.5,3.5,3.31,3.14,-1.74,M
30/12/2021,3.45,3.41,3.49,3.36,3.38,0.58,M
29/12/2021,3.43,3.46,3.48,3.38,1.84,-0.87,M
28/12/2021,3.46,3.41,3.48,3.34,2.13,1.47,M
27/12/2021,3.41,3.33,3.43,3.3,2.16,2.4,M
23/12/2021,3.33,3.34,3.37,3.26,1.43,-0.3,M
22/12/2021,3.34,3.34,3.37,3.16,3.05,1.21,M
21/12/2021,3.3,3.3,3.34,3.16,2.46,0.0,M
20/12/2021,3.3,3.21,3.34,3.09,3.33,1.54,M
17/12/2021,3.25,3.0,3.26,3.0,7.26,4.5,M
16/12/2021,3.11,3.05,3.14,3.01,2.91,2.98,M
15/12/2021,3.02,3.06,3.09,2.91,2.47,-0.33,M
14/12/2021,3.03,3.18,3.19,2.97,2.91,-3.5,M
13/12/2021,3.14,3.37,3.46,3.11,3.28,-5.99,M
10/12/2021,3.34,3.09,3.41,3.09,4.26,8.44,M
09/12/2021,3.08,3.09,3.13,2.97,3.74,-0.96,M
08/12/2021,3.11,2.9,3.12,2.86,5.9,6.51,M
07/12/2021,2.92,3.06,3.11,2.9,3.16,-3.63,M
06/12/2021,3.03,3.06,3.14,3.0,2.81,-0.98,M
03/12/2021,3.06,2.69,3.06,2.69,5.46,14.61,M
02/12/2021,2.67,2.66,2.74,2.63,4.02,1.91,M
01/12/2021,2.62,2.79,2.86,2.6,6.23,-3.32,M
30/11/2021,2.71,2.9,2.9,2.68,4.61,-6.55,M
29/11/2021,2.9,3.0,3.05,2.9,2.86,-3.65,M
26/11/2021,3.01,3.05,3.06,2.94,3.4,-6.23,M
25/11/2021,3.21,3.02,3.21,3.0,4.21,6.64,M
24/11/2021,3.01,2.96,3.04,2.88,2.93,1.35,M
23/11/2021,2.97,3.04,3.06,2.88,2.88,-2.3,M
22/11/2021,3.04,3.03,3.11,2.98,4.22,1.0,M
19/11/2021,3.01,2.9,3.05,2.84,3.35,3.79,M
18/11/2021,2.9,2.94,3.01,2.85,3.99,-1.36,M
17/11/2021,2.94,2.94,3.01,2.82,8.08,0.0,M
16/11/2021,2.94,3.16,3.16,2.87,5.76,-6.07,M
12/11/2021,3.13,3.33,3.33,3.1,3.02,-6.01,M
11/11/2021,3.33,3.11,3.36,3.11,4.39,8.47,M
10/11/2021,3.07,3.02,3.11,3.0,5.28,1.99,M
09/11/2021,3.01,2.83,3.09,2.78,11.22,6.74,M
08/11/2021,2.82,2.96,2.96,2.82,5.85,-4.73,M
05/11/2021,2.96,3.09,3.1,2.95,6.89,-2.95,M
04/11/2021,3.05,3.15,3.18,3.03,4.35,-3.17,M
03/11/2021,3.15,3.08,3.21,3.03,5.0,0.96,M
01/11/2021,3.12,3.03,3.13,2.98,2.88,4.7,M
29/10/2021,2.98,3.12,3.17,2.98,3.99,-4.18,M
28/10/2021,3.11,3.26,3.26,3.06,7.1,-4.6,M
27/10/2021,3.26,3.23,3.31,3.18,3.13,1.87,M
26/10/2021,3.2,3.33,3.33,3.14,3.9,-4.48,M
25/10/2021,3.35,3.32,3.41,3.25,2.98,2.13,M
22/10/2021,3.28,3.38,3.38,3.14,7.01,-3.81,M
21/10/2021,3.41,3.61,3.66,3.33,8.47,-6.83,M
20/10/2021,3.66,3.82,3.83,3.64,5.42,-3.43,M
19/10/2021,3.79,4.02,4.02,3.7,6.25,-5.96,M
18/10/2021,4.03,4.16,4.22,4.03,2.49,-3.82,M
15/10/2021,4.19,4.08,4.28,4.05,5.6,3.46,M
14/10/2021,4.05,3.92,4.11,3.92,4.03,3.58,M
13/10/2021,3.91,4.0,4.06,3.89,2.3,-1.76,M
11/10/2021,3.98,4.03,4.11,3.97,2.94,-0.75,M
08/10/2021,4.01,4.04,4.2,3.99,3.09,0.0,M
07/10/2021,4.01,4.0,4.08,3.84,3.83,0.25,M
06/10/2021,4.0,3.89,4.06,3.86,4.26,1.01,M
05/10/2021,3.96,3.82,4.04,3.73,7.96,5.04,M
04/10/2021,3.77,3.89,3.93,3.67,2.86,-2.58,M
01/10/2021,3.87,3.84,3.89,3.76,3.49,1.84,M
30/09/2021,3.8,3.77,3.8,3.72,3.03,1.88,M
29/09/2021,3.73,3.79,3.85,3.7,3.02,-0.53,M
28/09/2021,3.75,3.85,3.87,3.72,4.22,-3.1,M
27/09/2021,3.87,3.93,3.95,3.85,1.46,-1.28,M
24/09/2021,3.92,3.92,3.97,3.81,3.16,-1.26,M
23/09/2021,3.97,4.0,4.11,3.91,2.73,0.0,M
22/09/2021,3.97,3.93,4.04,3.78,6.84,2.32,M
21/09/2021,3.88,3.95,3.95,3.78,6.08,1.31,M
20/09/2021,3.83,4.15,4.15,3.77,7.09,-9.67,M
17/09/2021,4.24,4.33,4.35,4.15,3.19,-3.2,M
16/09/2021,4.38,4.27,4.38,4.21,1.47,2.1,M
15/09/2021,4.29,4.28,4.35,4.21,929.3,0.23,K
14/09/2021,4.28,4.4,4.45,4.28,2.58,-2.28,M
13/09/2021,4.38,4.33,4.47,4.28,1.75,2.34,M
10/09/2021,4.28,4.3,4.38,4.26,3.62,0.71,M
09/09/2021,4.25,4.51,4.51,4.17,5.63,-5.56,M
08/09/2021,4.5,4.7,4.7,4.47,3.34,-4.26,M
06/09/2021,4.7,4.57,4.74,4.49,1.64,2.62,M
03/09/2021,4.58,4.62,4.67,4.46,9.78,0.22,M
02/09/2021,4.57,4.62,4.66,4.46,2.7,-1.72,M
01/09/2021,4.65,4.54,4.65,4.42,7.57,4.73,M
31/08/2021,4.44,4.7,4.75,4.41,3.52,-5.53,M
30/08/2021,4.7,4.73,4.8,4.66,1.9,-0.84,M
27/08/2021,4.74,4.7,4.78,4.62,3.29,1.07,M
26/08/2021,4.69,4.71,4.81,4.55,2.83,-0.42,M
25/08/2021,4.71,4.75,4.83,4.71,2.06,-0.42,M
24/08/2021,4.73,4.63,4.84,4.62,3.05,3.05,M
23/08/2021,4.59,4.77,4.79,4.52,4.27,-3.77,M
20/08/2021,4.77,4.43,4.81,4.41,6.02,6.95,M
19/08/2021,4.46,4.3,4.67,4.24,3.32,2.29,M
18/08/2021,4.36,4.31,4.65,4.18,7.26,1.63,M
17/08/2021,4.29,4.19,4.29,3.93,10.7,4.13,M
16/08/2021,4.12,4.45,4.45,4.09,10.99,-8.24,M
13/08/2021,4.49,4.65,4.71,4.44,5.17,-3.65,M
12/08/2021,4.66,4.7,4.72,4.55,4.46,-1.06,M
11/08/2021,4.71,4.95,4.97,4.65,13.65,-4.66,M
10/08/2021,4.94,5.1,5.12,4.94,2.84,-2.56,M
09/08/2021,5.07,5.17,5.17,4.98,5.87,-1.93,M
06/08/2021,5.17,5.17,5.21,5.05,2.65,-0.39,M
05/08/2021,5.19,5.2,5.27,5.09,2.16,-0.19,M
04/08/2021,5.2,5.3,5.35,5.16,2.71,-1.89,M
03/08/2021,5.3,5.5,5.5,5.29,5.44,-3.28,M
02/08/2021,5.48,5.59,5.65,5.44,2.24,-0.9,M
30/07/2021,5.53,5.52,5.56,5.44,4.0,-0.36,M
29/07/2021,5.55,5.54,5.57,5.43,2.66,0.54,M
28/07/2021,5.52,5.5,5.58,5.38,12.94,-0.18,M
27/07/2021,5.53,5.58,5.59,5.37,6.35,-1.25,M
26/07/2021,5.6,5.76,5.8,5.59,5.91,-4.11,M
23/07/2021,5.84,5.98,6.0,5.79,3.19,-2.34,M
22/07/2021,5.98,6.09,6.09,5.95,2.54,-1.81,M
21/07/2021,6.09,6.13,6.14,6.01,1.96,-0.65,M
20/07/2021,6.13,6.1,6.15,6.05,1.77,-0.49,M
19/07/2021,6.16,6.24,6.26,6.11,3.46,-2.22,M
16/07/2021,6.3,6.26,6.3,6.13,2.85,0.8,M
15/07/2021,6.25,6.45,6.46,6.23,4.31,-3.25,M
14/07/2021,6.46,6.33,6.55,6.33,5.39,2.05,M
13/07/2021,6.33,6.28,6.34,6.22,1.92,0.64,M
12/07/2021,6.29,6.33,6.35,6.22,1.73,0.16,M
08/07/2021,6.28,6.26,6.3,6.16,2.83,-1.41,M
07/07/2021,6.37,6.44,6.44,6.23,2.78,-0.16,M
06/07/2021,6.38,6.5,6.54,6.31,2.62,-2.0,M
05/07/2021,6.51,6.56,6.58,6.5,1.45,-0.46,M
02/07/2021,6.54,6.45,6.56,6.37,2.83,1.24,M
01/07/2021,6.46,6.43,6.48,6.19,7.72,0.47,M
30/06/2021,6.43,6.34,6.44,6.18,5.1,2.55,M
29/06/2021,6.27,6.14,6.35,6.07,4.08,3.13,M
28/06/2021,6.08,6.07,6.12,5.99,1.19,0.5,M
25/06/2021,6.05,6.21,6.22,5.97,3.57,-2.73,M
24/06/2021,6.22,6.3,6.3,6.11,1.85,-0.48,M
23/06/2021,6.25,6.18,6.29,6.18,1.78,1.13,M
22/06/2021,6.18,6.3,6.31,6.15,2.45,-1.28,M
21/06/2021,6.26,6.22,6.31,6.16,2.35,1.29,M
18/06/2021,6.18,6.1,6.21,6.05,1.76,1.48,M
17/06/2021,6.09,6.07,6.11,6.03,3.45,0.66,M
16/06/2021,6.05,6.01,6.09,5.95,6.43,1.0,M
15/06/2021,5.99,6.16,6.17,5.99,4.75,-2.6,M
14/06/2021,6.15,6.06,6.21,6.0,5.49,1.15,M
11/06/2021,6.08,6.19,6.23,6.04,2.68,-2.72,M
10/06/2021,6.25,6.11,6.25,6.09,3.05,2.29,M
09/06/2021,6.11,6.23,6.25,6.0,7.23,-2.86,M
08/06/2021,6.29,6.35,6.38,6.22,3.64,-1.26,M
07/06/2021,6.37,6.48,6.55,6.32,2.18,-2.3,M
