Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,14.47,13.88,14.87,13.75,726.1,0.42,K
23/02/2022,14.41,14.33,14.78,14.21,535.2,2.78,K
22/02/2022,14.02,14.1,14.32,13.69,652.0,5.18,K
21/02/2022,13.33,14.22,14.35,13.33,602.3,-5.99,K
18/02/2022,14.18,14.92,14.94,14.18,291.9,-4.19,K
17/02/2022,14.8,15.01,15.28,14.8,262.8,-1.33,K
16/02/2022,15.0,15.3,15.46,14.87,383.0,-1.7,K
15/02/2022,15.26,15.19,15.74,15.03,1.49,0.93,M
14/02/2022,15.12,15.04,15.67,14.88,671.5,0.87,K
11/02/2022,14.99,15.5,15.5,14.63,1.58,-0.53,M
10/02/2022,15.07,15.21,15.67,14.47,871.2,-0.79,K
09/02/2022,15.19,15.26,15.7,15.05,823.2,-0.59,K
08/02/2022,15.28,15.01,15.6,14.83,5.59,-0.46,M
07/02/2022,15.35,15.2,15.6,14.85,362.5,-0.32,K
04/02/2022,15.4,14.68,15.4,14.52,840.3,2.39,K
03/02/2022,15.04,15.71,16.3,15.02,865.1,-6.29,K
02/02/2022,16.05,15.7,16.26,15.58,597.2,0.38,K
01/02/2022,15.99,15.99,16.44,15.6,676.7,-1.9,K
31/01/2022,16.3,15.27,16.3,15.01,657.6,6.54,K
28/01/2022,15.3,15.0,15.3,14.52,472.4,2.0,K
27/01/2022,15.0,14.88,15.34,14.74,489.2,0.81,K
26/01/2022,14.88,14.65,15.24,14.57,833.3,2.48,K
25/01/2022,14.52,14.67,14.75,14.07,1.61,-1.76,M
24/01/2022,14.78,14.5,14.82,13.69,1.22,-4.58,M
21/01/2022,15.49,15.59,15.77,15.2,425.0,0.13,K
20/01/2022,15.47,14.1,16.68,14.1,700.5,10.11,K
19/01/2022,14.05,13.97,14.69,13.88,638.5,0.57,K
18/01/2022,13.97,15.61,15.61,13.69,863.6,-10.79,K
17/01/2022,15.66,16.56,16.79,15.65,446.7,-6.17,K
14/01/2022,16.69,17.37,17.42,16.69,550.1,-4.57,K
13/01/2022,17.49,17.79,17.8,16.94,621.0,-0.91,K
12/01/2022,17.65,17.2,17.88,16.94,1.28,3.28,M
11/01/2022,17.09,17.05,17.4,16.78,709.7,-0.35,K
10/01/2022,17.15,17.6,17.6,16.68,814.1,-1.89,K
07/01/2022,17.48,17.5,17.75,17.25,631.8,-0.11,K
06/01/2022,17.5,17.48,17.64,16.68,1.41,-1.41,M
05/01/2022,17.75,17.95,18.0,17.1,872.1,-1.39,K
04/01/2022,18.0,17.73,18.0,17.38,1.31,1.12,M
03/01/2022,17.8,17.8,17.8,16.84,1.68,1.71,M
30/12/2021,17.5,17.08,17.69,16.92,4.82,3.24,M
29/12/2021,16.95,16.91,17.25,16.91,869.8,-1.45,K
28/12/2021,17.2,17.25,17.25,16.82,914.5,1.24,K
27/12/2021,16.99,16.8,17.55,16.8,1.3,1.13,M
23/12/2021,16.8,15.76,16.89,15.65,2.08,8.46,M
22/12/2021,15.49,15.89,15.89,15.27,955.0,0.65,K
21/12/2021,15.39,15.49,15.71,14.8,810.4,1.38,K
20/12/2021,15.18,15.54,15.54,14.51,1.42,-2.38,M
17/12/2021,15.55,14.7,15.55,14.34,6.45,2.78,M
16/12/2021,15.13,15.07,15.2,14.46,1.87,-0.46,M
15/12/2021,15.2,15.64,15.64,14.23,2.41,-1.94,M
14/12/2021,15.5,16.98,16.98,15.5,1.11,-8.07,M
13/12/2021,16.86,17.0,17.1,16.43,1.05,0.0,M
10/12/2021,16.86,15.99,16.94,15.99,1.3,5.71,M
09/12/2021,15.95,15.88,16.17,15.6,1.12,-0.25,M
08/12/2021,15.99,15.63,16.1,14.92,1.7,3.83,M
07/12/2021,15.4,15.5,15.95,15.09,1.78,-0.65,M
06/12/2021,15.5,15.0,15.5,14.39,1.44,3.4,M
03/12/2021,14.99,14.7,15.26,14.33,1.74,-0.07,M
02/12/2021,15.0,14.0,15.07,13.87,1.82,1.35,M
01/12/2021,14.8,15.27,15.3,14.56,1.27,2.56,M
30/11/2021,14.43,15.39,15.4,14.43,4.13,-6.3,M
29/11/2021,15.4,15.72,15.96,15.17,1.15,1.32,M
26/11/2021,15.2,15.45,15.62,14.8,1.16,-1.87,M
25/11/2021,15.49,15.23,15.85,14.9,936.1,4.03,K
24/11/2021,14.89,15.16,15.38,14.04,1.29,-2.04,M
23/11/2021,15.2,16.01,16.01,14.64,2.15,-2.94,M
22/11/2021,15.66,16.5,16.69,15.53,1.65,-2.73,M
19/11/2021,16.1,15.5,16.4,15.14,941.3,3.87,K
18/11/2021,15.5,15.35,15.52,14.79,965.0,2.65,K
17/11/2021,15.1,14.75,15.1,14.04,870.0,3.64,K
16/11/2021,14.57,15.6,15.6,14.05,1.98,-6.0,M
12/11/2021,15.5,15.0,15.5,14.69,1.8,6.16,M
11/11/2021,14.6,14.07,14.76,14.03,1.24,3.62,M
10/11/2021,14.09,14.6,14.6,13.8,873.7,-2.15,K
09/11/2021,14.4,14.09,14.65,13.86,579.7,2.2,K
08/11/2021,14.09,13.7,14.19,13.48,708.3,2.25,K
05/11/2021,13.78,13.85,14.06,13.47,561.1,-1.08,K
04/11/2021,13.93,13.88,14.0,13.4,719.8,1.46,K
03/11/2021,13.73,13.52,13.73,12.87,1.35,2.46,M
01/11/2021,13.4,13.31,13.58,12.97,1.24,2.68,M
29/10/2021,13.05,13.48,13.71,12.91,710.6,-3.33,K
28/10/2021,13.5,13.8,14.12,13.37,707.6,-3.57,K
27/10/2021,14.0,14.25,14.25,13.69,903.0,-1.41,K
26/10/2021,14.2,14.13,14.42,13.79,949.9,-2.41,K
25/10/2021,14.55,14.47,14.8,14.05,546.4,1.75,K
22/10/2021,14.3,13.8,14.37,13.02,843.1,2.14,K
21/10/2021,14.0,14.46,14.77,14.0,459.8,-4.76,K
20/10/2021,14.7,14.49,14.92,14.31,785.6,0.34,K
19/10/2021,14.65,14.79,15.22,14.44,454.7,-2.33,K
18/10/2021,15.0,15.18,15.18,14.66,748.0,-1.12,K
15/10/2021,15.17,15.2,15.25,14.72,553.6,-0.2,K
14/10/2021,15.2,15.22,15.32,14.65,640.5,1.4,K
13/10/2021,14.99,15.0,15.56,14.99,602.4,-1.38,K
11/10/2021,15.2,15.31,15.37,15.08,396.3,-0.39,K
08/10/2021,15.26,15.4,15.96,15.23,357.9,-0.13,K
07/10/2021,15.28,15.92,15.92,15.15,561.0,-2.68,K
06/10/2021,15.7,16.0,16.03,15.15,1.43,-3.09,M
05/10/2021,16.2,16.62,16.62,15.93,557.1,-1.22,K
04/10/2021,16.4,17.08,17.09,15.94,864.9,-3.81,K
01/10/2021,17.05,17.16,17.25,16.6,748.0,0.29,K
30/09/2021,17.0,16.99,17.05,16.47,1.31,1.19,M
29/09/2021,16.8,16.78,17.15,16.1,1.59,1.2,M
28/09/2021,16.6,17.36,17.42,16.18,1.43,-5.14,M
27/09/2021,17.5,17.5,18.61,17.3,4.19,8.7,M
24/09/2021,16.1,16.38,16.46,15.74,379.5,-1.77,K
23/09/2021,16.39,16.32,16.84,15.86,609.5,0.86,K
22/09/2021,16.25,15.92,16.88,15.6,646.5,3.04,K
21/09/2021,15.77,15.5,16.13,15.16,742.1,0.38,K
20/09/2021,15.71,15.85,15.85,14.82,1.08,-4.15,M
17/09/2021,16.39,16.32,16.39,15.64,766.6,0.0,K
16/09/2021,16.39,16.26,16.69,15.39,1.52,0.24,M
15/09/2021,16.35,16.58,16.82,16.14,7.67,-6.3,M
14/09/2021,17.45,17.7,17.76,17.37,964.8,-1.41,K
13/09/2021,17.7,17.63,17.82,17.23,591.7,1.72,K
10/09/2021,17.4,18.0,18.0,17.33,484.1,-1.75,K
09/09/2021,17.71,17.78,18.0,16.85,879.6,-0.45,K
08/09/2021,17.79,17.64,17.79,16.6,741.3,0.23,K
06/09/2021,17.75,18.35,18.37,17.15,757.9,-2.47,K
03/09/2021,18.2,17.61,18.35,17.43,692.1,2.42,K
02/09/2021,17.77,17.87,18.05,17.61,518.6,-1.22,K
01/09/2021,17.99,17.91,17.99,17.36,701.6,1.7,K
31/08/2021,17.69,17.33,17.69,17.09,795.5,1.09,K
30/08/2021,17.5,17.47,17.5,16.5,914.5,0.86,K
27/08/2021,17.35,16.83,17.57,16.63,474.5,2.72,K
26/08/2021,16.89,17.41,17.5,16.57,670.8,-2.82,K
25/08/2021,17.38,17.17,17.57,16.88,639.7,2.12,K
24/08/2021,17.02,16.86,17.4,16.58,530.5,2.1,K
23/08/2021,16.67,16.43,17.08,16.21,1.05,1.65,M
20/08/2021,16.4,16.4,16.46,15.83,746.9,-1.03,K
19/08/2021,16.57,16.1,16.8,15.05,1.16,1.04,M
18/08/2021,16.4,16.5,17.12,16.15,956.3,-2.32,K
17/08/2021,16.79,17.47,17.47,15.85,764.5,-4.06,K
16/08/2021,17.5,18.79,18.9,17.27,363.3,-7.16,K
13/08/2021,18.85,20.42,20.42,18.52,1.65,-7.69,M
12/08/2021,20.42,21.2,21.24,20.05,392.0,-3.27,K
11/08/2021,21.11,20.47,21.81,19.97,913.1,2.98,K
10/08/2021,20.5,20.41,20.75,20.28,867.8,0.0,K
09/08/2021,20.5,20.26,20.74,20.13,295.6,0.99,K
06/08/2021,20.3,20.24,20.3,19.86,745.6,0.64,K
05/08/2021,20.17,19.07,20.84,18.82,1.46,6.95,M
04/08/2021,18.86,19.18,19.18,18.26,509.4,-1.77,K
03/08/2021,19.2,19.85,19.85,18.6,604.9,-1.99,K
02/08/2021,19.59,19.95,20.06,19.19,924.8,-0.81,K
30/07/2021,19.75,20.69,20.69,19.6,641.0,-4.59,K
29/07/2021,20.7,20.76,20.84,20.55,379.6,0.0,K
28/07/2021,20.7,21.46,21.5,20.0,1.89,-3.23,M
27/07/2021,21.39,21.2,21.65,20.54,1.09,-1.43,M
26/07/2021,21.7,22.94,22.94,21.01,1.83,-5.65,M
23/07/2021,23.0,23.33,23.56,22.77,217.2,-0.65,K
22/07/2021,23.15,23.01,23.4,22.71,380.1,0.7,K
21/07/2021,22.99,22.46,23.81,22.45,1.39,2.63,M
20/07/2021,22.4,22.31,23.05,22.21,236.8,0.9,K
19/07/2021,22.2,21.8,22.55,21.8,532.5,0.36,K
16/07/2021,22.12,21.91,22.17,21.7,272.6,1.0,K
15/07/2021,21.9,21.84,22.35,21.84,359.7,0.27,K
14/07/2021,21.84,23.27,23.27,21.12,1.55,-4.63,M
13/07/2021,22.9,23.05,23.48,21.81,624.5,-0.74,K
12/07/2021,23.07,23.3,23.99,22.86,381.3,0.3,K
08/07/2021,23.0,22.91,23.3,22.33,437.7,0.17,K
07/07/2021,22.96,23.03,23.55,22.8,452.3,-0.65,K
06/07/2021,23.11,23.31,24.09,23.07,433.9,-1.11,K
05/07/2021,23.37,23.62,23.62,23.37,244.6,-0.55,K
02/07/2021,23.5,23.37,23.74,23.31,593.9,0.86,K
01/07/2021,23.3,23.78,23.98,23.28,196.2,-2.02,K
30/06/2021,23.78,23.31,24.62,23.0,1.31,3.39,M
29/06/2021,23.0,21.34,23.15,21.34,877.2,7.78,K
28/06/2021,21.34,20.35,21.39,20.35,1.12,4.86,M
25/06/2021,20.35,20.17,20.78,20.15,1.32,1.19,M
24/06/2021,20.11,19.98,20.7,19.93,689.0,1.06,K
23/06/2021,19.9,20.0,20.99,19.82,1.07,4.57,M
22/06/2021,19.03,18.37,19.24,17.88,1.05,4.45,M
21/06/2021,18.22,17.8,18.45,17.24,429.5,4.47,K
18/06/2021,17.44,17.54,17.6,16.99,1.17,0.0,M
17/06/2021,17.44,17.11,17.44,16.63,417.0,3.81,K
16/06/2021,16.8,16.97,16.97,16.52,1.02,1.2,M
15/06/2021,16.6,15.98,17.6,15.98,651.3,3.88,K
14/06/2021,15.98,16.2,16.68,15.55,1.42,-0.75,M
11/06/2021,16.1,16.22,16.5,15.96,768.5,-0.92,K
10/06/2021,16.25,16.8,17.28,15.65,1.08,2.2,M
09/06/2021,15.9,15.93,16.2,15.79,72.9,0.0,K
08/06/2021,15.9,16.0,16.1,15.83,347.8,-0.93,K
07/06/2021,16.05,16.26,16.35,16.02,308.8,-1.83,K
04/06/2021,16.35,16.18,16.35,15.86,1.12,0.68,M
02/06/2021,16.24,16.14,16.3,15.76,197.0,0.62,K
01/06/2021,16.14,15.9,16.14,15.7,392.1,0.87,K
31/05/2021,16.0,15.9,16.0,15.73,232.8,0.63,K
28/05/2021,15.9,16.04,16.04,15.5,403.3,0.32,K
27/05/2021,15.85,15.8,15.95,15.65,749.2,0.38,K
26/05/2021,15.79,15.21,15.84,15.21,77.8,3.88,K
25/05/2021,15.2,15.01,15.49,14.8,948.2,1.33,K
24/05/2021,15.0,14.91,15.2,14.8,135.7,1.35,K
21/05/2021,14.8,14.9,15.29,14.56,584.5,-0.67,K
20/05/2021,14.9,14.45,15.4,14.32,560.1,1.57,K
19/05/2021,14.67,14.97,14.97,14.27,676.4,-2.0,K
18/05/2021,14.97,15.0,15.0,14.8,277.2,1.15,K
17/05/2021,14.8,14.8,15.1,14.8,192.2,0.0,K
14/05/2021,14.8,15.0,15.0,14.19,894.6,0.48,K
13/05/2021,14.73,15.01,15.12,14.42,639.2,-2.77,K
12/05/2021,15.15,15.32,15.63,14.55,285.0,0.13,K
11/05/2021,15.13,15.21,15.95,14.79,299.2,-0.59,K
10/05/2021,15.22,15.46,15.46,15.0,323.4,0.13,K
07/05/2021,15.2,15.96,16.12,15.2,1.22,-4.4,M
06/05/2021,15.9,16.1,16.32,15.9,368.7,0.0,K
