Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,19.0,17.8,19.38,17.66,1.95,0.05,M
23/02/2022,18.99,19.2,19.37,18.75,1.47,-0.78,M
22/02/2022,19.14,19.28,19.46,19.01,1.62,0.79,M
21/02/2022,18.99,19.87,19.93,18.87,2.06,-4.57,M
18/02/2022,19.9,20.04,20.1,19.67,1.73,-1.0,M
17/02/2022,20.1,20.21,20.47,19.94,2.75,-0.5,M
16/02/2022,20.2,20.06,20.2,19.67,1.67,0.9,M
15/02/2022,20.02,19.06,20.02,19.06,1.9,5.26,M
14/02/2022,19.02,18.76,19.26,18.73,1.01,1.55,M
11/02/2022,18.73,18.82,19.28,18.4,2.15,0.32,M
10/02/2022,18.67,19.14,19.24,18.63,1.51,-1.79,M
09/02/2022,19.01,19.0,19.37,18.55,1.42,0.96,M
08/02/2022,18.83,18.8,19.17,18.68,1.82,-0.26,M
07/02/2022,18.88,18.6,19.28,18.6,2.76,0.96,M
04/02/2022,18.7,18.5,18.79,17.79,3.46,-0.27,M
03/02/2022,18.75,19.14,19.44,18.38,2.76,-1.52,M
02/02/2022,19.04,19.3,19.62,18.58,2.62,-1.24,M
01/02/2022,19.28,20.5,20.5,19.23,4.0,-3.6,M
31/01/2022,20.0,19.99,20.0,19.61,1.7,1.11,M
28/01/2022,19.78,19.63,19.86,19.3,2.03,-1.1,M
27/01/2022,20.0,20.12,20.55,19.76,2.44,0.6,M
26/01/2022,19.88,19.8,20.42,19.68,5.49,2.21,M
25/01/2022,19.45,18.62,19.68,18.53,2.06,3.02,M
24/01/2022,18.88,19.27,19.43,18.6,1.61,-0.63,M
21/01/2022,19.0,18.56,19.56,18.39,2.34,1.23,M
20/01/2022,18.77,17.7,18.97,17.48,5.1,6.59,M
19/01/2022,17.61,17.57,18.18,17.5,2.33,1.38,M
18/01/2022,17.37,17.28,17.91,17.05,2.47,0.52,M
17/01/2022,17.28,18.24,18.25,17.26,1.66,-3.73,M
14/01/2022,17.95,17.23,17.95,16.99,1.84,3.46,M
13/01/2022,17.35,17.2,17.57,17.08,2.87,-0.63,M
12/01/2022,17.46,16.14,17.49,16.13,4.36,8.31,M
11/01/2022,16.12,15.39,16.26,15.24,1.68,4.13,M
10/01/2022,15.48,15.01,15.54,14.72,2.21,1.98,M
07/01/2022,15.18,15.03,15.6,14.65,3.21,1.0,M
06/01/2022,15.03,15.56,15.7,14.76,4.52,-2.53,M
05/01/2022,15.42,16.54,16.72,15.42,4.48,-7.78,M
04/01/2022,16.72,17.04,17.28,16.14,2.57,-1.76,M
03/01/2022,17.02,18.07,18.36,16.93,2.03,-5.81,M
30/12/2021,18.07,18.28,18.48,17.82,3.54,-0.61,M
29/12/2021,18.18,18.78,18.89,18.01,1.93,-3.14,M
28/12/2021,18.77,18.2,18.77,18.02,827.0,2.74,K
27/12/2021,18.27,18.47,18.79,17.86,1.24,-0.16,M
23/12/2021,18.3,18.09,18.3,18.02,1.54,1.39,M
22/12/2021,18.05,18.08,18.3,17.71,1.46,-0.28,M
21/12/2021,18.1,18.36,18.4,17.67,2.76,0.33,M
20/12/2021,18.04,18.7,18.94,18.04,3.97,-5.5,M
17/12/2021,19.09,18.7,19.18,18.54,2.98,0.53,M
16/12/2021,18.99,19.36,19.5,18.72,1.81,-1.09,M
15/12/2021,19.2,19.65,19.77,19.2,2.22,-2.78,M
14/12/2021,19.75,20.35,20.67,19.39,2.16,-2.76,M
13/12/2021,20.31,20.41,20.66,20.2,1.09,-1.17,M
10/12/2021,20.55,20.1,20.58,20.1,1.7,1.99,M
09/12/2021,20.15,20.5,20.7,19.79,1.06,-2.66,M
08/12/2021,20.7,20.4,20.89,19.95,4.01,2.88,M
07/12/2021,20.12,20.75,20.75,19.98,1.57,-0.59,M
06/12/2021,20.24,20.06,20.44,19.8,3.32,2.22,M
03/12/2021,19.8,18.8,20.63,18.8,4.5,5.6,M
02/12/2021,18.75,17.61,18.8,17.5,3.2,7.14,M
01/12/2021,17.5,19.0,19.52,17.5,2.98,-7.89,M
30/11/2021,19.0,19.9,20.0,18.25,3.57,-4.43,M
29/11/2021,19.88,19.91,20.4,19.61,1.43,-1.29,M
26/11/2021,20.14,21.0,21.0,19.25,2.22,-4.78,M
25/11/2021,21.15,20.3,21.15,20.06,1.72,3.68,M
24/11/2021,20.4,20.24,20.4,19.49,3.46,0.0,M
23/11/2021,20.4,20.5,21.85,19.7,2.98,-2.35,M
