Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,32.11,29.92,32.17,29.41,1.99,2.92,M
23/02/2022,31.2,31.52,32.11,30.93,1.84,-0.67,M
22/02/2022,31.41,31.16,32.2,31.0,1.11,1.49,M
21/02/2022,30.95,31.84,31.99,30.44,914.9,-2.58,K
18/02/2022,31.77,32.54,32.66,31.47,1.01,-2.31,M
17/02/2022,32.52,32.52,32.85,32.0,1.2,-0.03,M
16/02/2022,32.53,31.56,32.78,31.3,2.98,3.5,M
15/02/2022,31.43,30.75,31.78,30.75,1.44,2.68,M
14/02/2022,30.61,30.17,31.14,29.63,978.5,1.56,K
11/02/2022,30.14,31.16,31.59,29.76,1.41,-2.93,M
10/02/2022,31.05,30.66,31.66,30.03,1.03,1.54,M
09/02/2022,30.58,30.41,31.23,30.34,788.7,0.56,K
08/02/2022,30.41,30.6,30.8,30.12,687.6,-1.59,K
07/02/2022,30.9,30.8,31.28,30.23,1.4,0.19,M
04/02/2022,30.84,30.1,31.1,29.06,985.4,2.46,K
03/02/2022,30.1,29.79,30.16,29.09,1.09,0.97,M
02/02/2022,29.81,30.72,31.11,29.42,1.3,-2.96,M
01/02/2022,30.72,31.29,31.48,30.1,946.6,-1.85,K
31/01/2022,31.3,30.26,31.36,30.26,1.09,3.1,M
28/01/2022,30.36,30.19,30.77,30.0,1.26,0.2,M
27/01/2022,30.3,30.02,30.71,29.31,1.23,0.73,M
26/01/2022,30.08,29.31,30.5,28.8,2.17,2.7,M
25/01/2022,29.29,27.13,29.5,26.76,1.65,7.17,M
24/01/2022,27.33,26.88,27.33,25.86,1.52,1.49,M
21/01/2022,26.93,26.0,27.3,25.82,1.4,3.06,M
20/01/2022,26.13,24.87,27.13,24.87,1.68,5.07,M
19/01/2022,24.87,24.11,25.14,23.91,1.35,3.28,M
18/01/2022,24.08,24.89,24.89,23.78,1.29,-3.45,M
17/01/2022,24.94,24.3,25.06,24.3,665.5,1.84,K
14/01/2022,24.49,24.01,24.49,23.21,783.8,1.32,K
13/01/2022,24.17,24.49,24.49,23.81,675.8,-0.58,K
12/01/2022,24.31,23.7,24.41,23.45,717.0,3.1,K
11/01/2022,23.58,23.49,23.85,23.06,1.18,0.38,M
10/01/2022,23.49,23.85,23.85,22.42,1.39,-2.13,M
07/01/2022,24.0,23.9,24.21,23.41,1.17,0.33,M
06/01/2022,23.92,24.87,24.87,23.65,1.35,-3.9,M
05/01/2022,24.89,25.8,25.92,23.23,2.22,-3.71,M
04/01/2022,25.85,26.8,26.99,25.75,969.7,-3.47,K
03/01/2022,26.78,28.26,28.3,26.72,748.0,-4.25,K
30/12/2021,27.97,26.76,28.15,26.76,1.67,4.56,M
29/12/2021,26.75,27.48,27.6,26.67,611.4,-2.76,K
28/12/2021,27.51,27.08,28.01,27.08,735.7,0.84,K
27/12/2021,27.28,26.93,27.47,26.93,745.2,1.26,K
23/12/2021,26.94,27.34,27.51,26.82,509.3,-1.32,K
22/12/2021,27.3,27.44,27.89,27.12,715.1,-0.36,K
21/12/2021,27.4,27.45,27.5,26.52,816.6,0.96,K
20/12/2021,27.14,27.14,27.52,26.27,855.7,-1.63,K
17/12/2021,27.59,27.18,27.59,26.53,1.07,1.1,M
16/12/2021,27.29,27.9,28.2,26.93,696.7,-1.37,K
15/12/2021,27.67,26.81,27.77,26.67,575.2,2.75,K
14/12/2021,26.93,28.0,28.16,26.81,944.6,-3.41,K
13/12/2021,27.88,28.26,28.8,27.65,1.03,-0.54,M
10/12/2021,28.03,27.52,28.71,27.5,906.9,2.86,K
09/12/2021,27.25,27.15,28.18,26.9,945.0,0.04,K
08/12/2021,27.24,26.46,27.47,26.18,739.2,2.95,K
07/12/2021,26.46,26.67,27.27,26.2,1.07,-0.34,M
06/12/2021,26.55,25.92,26.73,25.75,899.9,2.55,K
03/12/2021,25.89,25.85,26.65,25.46,1.07,0.5,M
02/12/2021,25.76,24.7,25.76,24.6,1.44,4.08,M
01/12/2021,24.75,27.65,27.65,24.75,2.18,-6.74,M
30/11/2021,26.54,27.0,27.11,26.06,1.53,-2.25,M
29/11/2021,27.15,27.37,27.65,26.88,1.38,-0.04,M
26/11/2021,27.16,27.28,27.34,26.6,913.4,-3.52,K
25/11/2021,28.15,26.85,28.25,26.77,1.29,4.14,M
24/11/2021,27.03,26.9,27.06,26.33,1.39,-0.59,M
23/11/2021,27.19,28.0,28.07,26.36,1.66,-2.44,M
22/11/2021,27.87,29.07,29.35,27.71,1.27,-4.06,M
19/11/2021,29.05,29.37,29.84,28.75,1.24,1.72,M
18/11/2021,28.56,28.89,29.17,28.14,959.9,0.0,K
17/11/2021,28.56,29.34,29.5,28.0,980.9,-2.02,K
16/11/2021,29.15,29.93,30.2,28.94,955.3,-3.03,K
12/11/2021,30.06,29.66,30.22,29.19,1.5,1.11,M
11/11/2021,29.73,28.36,30.29,28.08,3.33,5.16,M
10/11/2021,28.27,27.5,28.62,27.45,2.17,2.65,M
09/11/2021,27.54,27.12,28.22,26.97,1.26,2.3,M
08/11/2021,26.92,27.31,27.79,26.8,866.2,-2.04,K
05/11/2021,27.48,27.04,27.71,26.85,1.24,1.78,M
04/11/2021,27.0,27.35,28.02,26.75,1.07,-1.96,M
03/11/2021,27.54,26.42,27.7,26.21,1.44,3.18,M
01/11/2021,26.69,26.6,26.79,25.72,1.71,1.41,M
29/10/2021,26.32,26.85,27.26,26.32,2.55,-3.09,M
28/10/2021,27.16,27.33,27.33,26.05,6.09,-2.58,M
27/10/2021,27.88,27.99,28.38,27.62,2.2,0.36,M
26/10/2021,27.78,28.5,28.58,27.51,862.6,-2.73,K
25/10/2021,28.56,27.67,28.69,27.49,1.33,4.12,M
22/10/2021,27.43,28.43,28.65,26.37,2.11,-4.33,M
21/10/2021,28.67,28.25,29.42,27.74,3.03,-0.21,M
20/10/2021,28.73,28.76,28.98,28.04,1.32,0.35,M
19/10/2021,28.63,29.5,29.7,28.43,1.17,-3.96,M
18/10/2021,29.81,29.27,30.09,28.84,824.6,0.54,K
15/10/2021,29.65,29.85,30.33,29.59,694.9,-0.24,K
14/10/2021,29.72,29.23,29.92,29.13,1.74,0.85,M
13/10/2021,29.47,27.86,29.47,27.64,1.78,6.24,M
11/10/2021,27.74,28.2,28.22,27.37,1.41,-1.7,M
08/10/2021,28.22,28.0,28.77,27.57,1.44,1.51,M
07/10/2021,27.8,28.0,28.49,27.0,2.54,0.0,M
06/10/2021,27.8,27.5,28.15,26.51,3.42,-0.54,M
05/10/2021,27.95,29.35,29.56,27.63,3.8,-3.79,M
04/10/2021,29.05,31.46,32.3,29.0,2.51,-7.13,M
01/10/2021,31.28,31.12,31.42,30.17,1.36,0.35,M
30/09/2021,31.17,31.63,31.63,30.65,1.94,-0.64,M
29/09/2021,31.37,31.66,32.01,30.73,1.37,0.13,M
28/09/2021,31.33,32.07,32.46,31.13,1.33,-3.33,M
27/09/2021,32.41,33.32,33.9,32.22,1.76,-2.14,M
24/09/2021,33.12,31.99,33.3,31.77,1.33,2.32,M
23/09/2021,32.37,31.98,32.97,31.88,2.19,2.11,M
22/09/2021,31.7,31.3,32.35,30.81,3.78,2.89,M
21/09/2021,30.81,30.25,31.58,29.41,3.81,2.7,M
20/09/2021,30.0,30.77,30.98,29.57,2.72,-2.76,M
17/09/2021,30.85,30.41,31.2,29.77,2.91,1.48,M
16/09/2021,30.4,29.93,30.59,29.51,1.4,1.03,M
15/09/2021,30.09,30.45,30.83,29.72,2.35,-1.05,M
14/09/2021,30.41,30.0,31.22,29.72,2.13,1.37,M
13/09/2021,30.0,29.21,30.2,28.85,3.01,4.17,M
10/09/2021,28.8,28.5,28.82,27.64,4.03,2.86,M
09/09/2021,28.0,27.42,28.5,26.64,1.98,1.82,M
08/09/2021,27.5,27.79,28.18,27.25,1.75,-2.83,M
06/09/2021,28.3,28.33,28.53,28.0,1.04,-0.84,M
03/09/2021,28.54,28.59,28.59,27.55,2.84,0.92,M
02/09/2021,28.28,28.93,28.93,28.12,1.2,-2.28,M
01/09/2021,28.94,29.11,29.54,28.33,2.02,0.14,M
31/08/2021,28.9,29.32,29.55,28.75,1.66,-1.6,M
30/08/2021,29.37,30.14,30.76,29.37,1.52,-2.1,M
27/08/2021,30.0,29.87,30.45,29.81,2.59,0.5,M
26/08/2021,29.85,29.65,30.92,29.4,2.93,0.3,M
25/08/2021,29.76,28.49,29.93,28.0,2.9,6.29,M
24/08/2021,28.0,28.4,28.78,27.77,1.21,1.08,M
23/08/2021,27.7,28.55,28.55,27.27,1.02,-2.98,M
20/08/2021,28.55,26.99,28.8,26.34,2.42,4.96,M
19/08/2021,27.2,25.68,27.24,25.15,2.29,4.13,M
18/08/2021,26.12,25.47,26.46,24.75,3.95,2.15,M
17/08/2021,25.57,25.71,25.93,24.21,3.39,-3.36,M
16/08/2021,26.46,28.11,28.11,25.2,4.38,-6.86,M
13/08/2021,28.41,28.55,28.6,27.02,1.98,-0.59,M
12/08/2021,28.58,29.87,30.26,28.16,2.31,-4.35,M
11/08/2021,29.88,29.81,30.15,29.26,984.2,0.07,K
10/08/2021,29.86,30.07,30.36,29.38,803.3,-0.63,K
09/08/2021,30.05,30.5,31.12,29.8,1.3,-1.48,M
06/08/2021,30.5,30.23,30.5,29.6,1.3,1.67,M
05/08/2021,30.0,29.99,30.0,29.21,1.09,1.69,M
04/08/2021,29.5,29.75,29.89,29.14,942.7,-1.63,K
03/08/2021,29.99,30.2,30.32,29.1,1.04,0.81,M
02/08/2021,29.75,29.41,30.72,29.4,2.75,2.94,M
30/07/2021,28.9,28.03,29.61,28.01,4.45,2.85,M
29/07/2021,28.1,27.65,28.13,27.31,2.91,1.92,M
28/07/2021,27.57,27.0,27.6,26.23,1.62,2.83,M
27/07/2021,26.81,27.12,27.22,26.12,1.39,-1.07,M
26/07/2021,27.1,27.67,27.82,27.03,1.44,-2.8,M
23/07/2021,27.88,28.04,28.04,27.32,750.1,-0.21,K
22/07/2021,27.94,27.9,28.07,27.6,1.05,-0.21,M
21/07/2021,28.0,28.1,28.18,27.21,2.24,0.0,M
20/07/2021,28.0,28.08,28.42,27.63,742.7,-0.25,K
19/07/2021,28.07,28.0,28.43,27.7,1.29,-0.6,M
16/07/2021,28.24,27.95,28.31,27.68,751.9,0.97,K
15/07/2021,27.97,28.17,28.62,27.43,1.32,-0.71,M
14/07/2021,28.17,27.61,28.31,27.56,1.43,1.7,M
13/07/2021,27.7,27.68,27.81,27.12,604.4,-0.14,K
12/07/2021,27.74,27.69,27.9,26.75,1.37,2.74,M
08/07/2021,27.0,27.32,27.32,26.65,1.23,-2.17,M
07/07/2021,27.6,27.5,27.8,26.67,1.08,0.69,M
06/07/2021,27.41,27.38,27.58,27.14,1.17,0.11,M
05/07/2021,27.38,28.04,28.08,26.9,1.82,-2.35,M
02/07/2021,28.04,28.2,28.52,27.94,952.6,-0.92,K
01/07/2021,28.3,28.45,28.47,27.62,1.87,-1.39,M
30/06/2021,28.7,28.63,28.79,27.79,2.17,0.03,M
