Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.16,3.09,3.21,3.01,19.82,-0.32,M
23/02/2022,3.17,3.21,3.29,3.16,10.02,-1.25,M
22/02/2022,3.21,3.17,3.27,3.16,12.59,2.56,M
21/02/2022,3.13,3.22,3.28,3.11,11.24,-2.8,M
18/02/2022,3.22,3.3,3.36,3.21,11.4,-2.13,M
17/02/2022,3.29,3.32,3.38,3.26,8.02,-1.5,M
16/02/2022,3.34,3.3,3.34,3.27,9.35,1.83,M
15/02/2022,3.28,3.23,3.3,3.22,8.14,2.82,M
14/02/2022,3.19,3.18,3.25,3.15,9.32,0.31,M
11/02/2022,3.18,3.16,3.42,3.15,30.48,0.95,M
10/02/2022,3.15,3.12,3.15,3.08,11.1,0.96,M
09/02/2022,3.12,3.07,3.12,3.03,11.5,1.3,M
08/02/2022,3.08,2.99,3.09,2.97,12.48,2.67,M
07/02/2022,3.0,3.0,3.04,2.97,12.41,-0.66,M
04/02/2022,3.02,2.95,3.06,2.81,32.7,2.37,M
03/02/2022,2.95,3.01,3.05,2.95,16.1,-2.32,M
02/02/2022,3.02,3.25,3.28,3.0,50.74,-9.04,M
01/02/2022,3.32,3.27,3.41,3.27,17.09,1.53,M
31/01/2022,3.27,3.21,3.27,3.16,17.95,1.87,M
28/01/2022,3.21,3.19,3.26,3.16,12.64,-0.62,M
27/01/2022,3.23,3.28,3.35,3.2,17.26,-1.22,M
26/01/2022,3.27,3.3,3.34,3.23,16.12,-0.3,M
25/01/2022,3.28,3.14,3.28,3.11,17.42,3.8,M
24/01/2022,3.16,3.31,3.32,3.16,24.58,-5.39,M
21/01/2022,3.34,3.5,3.51,3.33,19.97,-5.11,M
20/01/2022,3.52,3.36,3.56,3.36,16.75,4.45,M
19/01/2022,3.37,3.36,3.44,3.35,10.52,0.6,M
18/01/2022,3.35,3.45,3.47,3.33,14.54,-3.74,M
17/01/2022,3.48,3.51,3.58,3.47,11.61,-1.69,M
14/01/2022,3.54,3.53,3.57,3.48,11.47,0.28,M
13/01/2022,3.53,3.62,3.66,3.53,11.34,-2.75,M
12/01/2022,3.63,3.6,3.7,3.6,8.33,1.11,M
11/01/2022,3.59,3.55,3.64,3.53,9.69,1.41,M
10/01/2022,3.54,3.65,3.68,3.52,11.32,-3.01,M
07/01/2022,3.65,3.61,3.7,3.56,10.45,1.39,M
06/01/2022,3.6,3.65,3.7,3.58,13.1,-1.1,M
05/01/2022,3.64,3.78,3.82,3.64,12.48,-4.21,M
04/01/2022,3.8,4.05,4.05,3.79,13.88,-2.81,M
03/01/2022,3.91,4.05,4.1,3.88,12.16,-2.74,M
30/12/2021,4.02,3.95,4.04,3.95,8.7,2.29,M
29/12/2021,3.93,4.08,4.12,3.93,11.91,-2.96,M
28/12/2021,4.05,4.01,4.09,4.0,8.82,0.75,M
27/12/2021,4.02,3.93,4.02,3.93,8.68,2.81,M
23/12/2021,3.91,4.03,4.03,3.91,9.57,-2.74,M
22/12/2021,4.02,4.05,4.1,3.99,11.63,-0.99,M
21/12/2021,4.06,4.18,4.23,4.04,15.45,-3.1,M
20/12/2021,4.19,4.27,4.28,4.19,9.64,-3.46,M
17/12/2021,4.34,4.41,4.42,4.2,17.15,-2.25,M
16/12/2021,4.44,4.36,4.49,4.36,14.92,2.3,M
15/12/2021,4.34,4.4,4.4,4.25,10.43,-0.46,M
14/12/2021,4.36,4.43,4.47,4.34,8.2,-0.91,M
13/12/2021,4.4,4.38,4.49,4.36,8.53,0.69,M
10/12/2021,4.37,4.31,4.39,4.31,7.31,1.86,M
09/12/2021,4.29,4.34,4.44,4.26,9.1,-1.38,M
08/12/2021,4.35,4.26,4.37,4.19,12.47,2.84,M
07/12/2021,4.23,4.4,4.41,4.21,12.97,-2.31,M
06/12/2021,4.33,4.18,4.42,4.17,14.35,3.59,M
03/12/2021,4.18,4.24,4.35,4.16,17.05,-1.65,M
02/12/2021,4.25,4.2,4.35,4.2,12.3,2.16,M
01/12/2021,4.16,4.35,4.37,4.12,11.61,-3.48,M
30/11/2021,4.31,4.19,4.31,4.09,13.43,2.86,M
29/11/2021,4.19,4.2,4.26,4.14,6.9,1.21,M
26/11/2021,4.14,4.07,4.23,4.07,11.64,-2.59,M
25/11/2021,4.25,4.19,4.27,4.18,6.33,1.19,M
24/11/2021,4.2,4.07,4.23,4.05,11.57,2.69,M
23/11/2021,4.09,4.04,4.12,3.96,15.17,2.25,M
22/11/2021,4.0,4.15,4.17,3.99,16.18,-2.91,M
19/11/2021,4.12,4.23,4.3,4.12,16.39,-2.14,M
18/11/2021,4.21,4.31,4.38,4.21,18.87,-2.09,M
17/11/2021,4.3,4.62,4.65,4.3,20.15,-5.7,M
16/11/2021,4.56,4.74,4.76,4.56,17.66,-3.39,M
12/11/2021,4.72,4.9,4.95,4.7,27.89,-5.79,M
11/11/2021,5.01,4.9,5.15,4.88,22.59,3.09,M
10/11/2021,4.86,4.88,5.01,4.85,11.55,-0.61,M
09/11/2021,4.89,4.78,4.94,4.77,12.17,2.73,M
08/11/2021,4.76,4.81,4.81,4.73,9.16,-0.63,M
05/11/2021,4.79,4.86,4.94,4.77,11.4,-0.21,M
04/11/2021,4.8,4.9,4.98,4.77,11.93,-1.84,M
03/11/2021,4.89,4.82,4.95,4.78,15.24,0.62,M
01/11/2021,4.86,4.74,4.92,4.72,16.24,3.62,M
29/10/2021,4.69,4.83,4.85,4.68,18.12,-1.68,M
28/10/2021,4.77,4.85,4.93,4.77,13.06,-1.65,M
27/10/2021,4.85,4.87,4.97,4.84,12.36,-0.21,M
26/10/2021,4.86,5.03,5.05,4.85,13.19,-3.76,M
25/10/2021,5.05,5.02,5.13,5.0,14.09,0.8,M
22/10/2021,5.01,4.99,5.06,4.75,30.66,-0.79,M
21/10/2021,5.05,5.16,5.25,5.0,24.02,-3.26,M
20/10/2021,5.22,5.17,5.39,5.15,16.76,1.75,M
19/10/2021,5.13,5.24,5.36,5.11,20.66,-1.72,M
18/10/2021,5.22,5.16,5.29,5.07,11.08,0.77,M
15/10/2021,5.18,5.13,5.24,5.13,7.45,0.58,M
14/10/2021,5.15,5.18,5.2,5.07,9.25,-0.19,M
