Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.92,9.88,9.96,9.72,26.05,-1.59,M
23/02/2022,10.08,10.25,10.32,10.03,21.57,-1.47,M
22/02/2022,10.23,10.22,10.39,10.13,24.78,0.2,M
21/02/2022,10.21,10.53,10.53,10.15,24.14,-2.95,M
18/02/2022,10.52,10.51,10.58,10.47,22.16,0.48,M
17/02/2022,10.47,10.57,10.6,10.45,16.51,-1.04,M
16/02/2022,10.58,10.6,10.69,10.53,25.69,-0.28,M
15/02/2022,10.61,10.56,10.65,10.5,23.56,1.24,M
14/02/2022,10.48,10.54,10.56,10.45,24.24,-0.38,M
11/02/2022,10.52,10.51,10.65,10.36,74.48,4.26,M
10/02/2022,10.09,9.98,10.13,9.92,29.45,1.1,M
09/02/2022,9.98,10.13,10.15,9.94,38.07,-1.67,M
08/02/2022,10.15,10.12,10.18,10.04,14.6,0.2,M
07/02/2022,10.13,10.25,10.33,10.13,19.66,-1.36,M
04/02/2022,10.27,10.02,10.31,9.98,31.37,1.99,M
03/02/2022,10.07,10.07,10.13,9.96,16.9,0.3,M
02/02/2022,10.04,10.22,10.22,9.99,26.62,-1.67,M
01/02/2022,10.21,10.17,10.26,10.15,15.0,0.2,M
31/01/2022,10.19,10.05,10.26,10.0,27.76,1.19,M
28/01/2022,10.07,9.94,10.09,9.88,18.86,1.0,M
27/01/2022,9.97,9.88,10.1,9.87,21.54,1.32,M
26/01/2022,9.84,9.78,9.9,9.72,29.47,1.03,M
25/01/2022,9.74,9.5,9.78,9.44,25.85,2.53,M
24/01/2022,9.5,9.54,9.62,9.4,25.39,-0.52,M
21/01/2022,9.55,9.59,9.71,9.51,26.75,-0.62,M
20/01/2022,9.61,9.65,9.69,9.57,21.44,-0.1,M
19/01/2022,9.62,9.6,9.71,9.52,27.93,0.1,M
18/01/2022,9.61,9.5,9.71,9.48,41.69,0.73,M
17/01/2022,9.54,9.48,9.6,9.42,14.59,-1.34,M
14/01/2022,9.67,9.61,9.72,9.58,38.31,1.15,M
13/01/2022,9.56,9.27,9.59,9.26,41.08,2.8,M
12/01/2022,9.3,9.34,9.44,9.2,31.06,-0.32,M
11/01/2022,9.33,9.17,9.35,9.1,37.64,1.63,M
10/01/2022,9.18,9.15,9.22,9.08,21.68,0.0,M
07/01/2022,9.18,9.07,9.19,9.01,21.45,1.21,M
06/01/2022,9.07,8.98,9.14,8.94,25.38,0.89,M
05/01/2022,8.99,9.05,9.11,8.92,34.71,-1.1,M
04/01/2022,9.09,9.03,9.17,8.97,38.83,0.78,M
03/01/2022,9.02,9.02,9.19,8.92,28.54,1.01,M
