Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,24.96,24.75,25.13,24.34,44.03,-1.69,M
23/02/2022,25.39,25.77,26.08,25.33,22.51,-1.4,M
22/02/2022,25.75,25.75,26.14,25.49,30.29,0.86,M
21/02/2022,25.53,26.23,26.28,25.23,22.42,-2.45,M
18/02/2022,26.17,26.22,26.55,26.06,26.37,0.38,M
17/02/2022,26.07,26.4,26.48,25.96,33.71,-1.4,M
16/02/2022,26.44,26.78,26.87,26.38,39.2,-1.05,M
15/02/2022,26.72,26.8,26.9,26.5,29.42,0.94,M
14/02/2022,26.47,26.6,26.69,26.27,37.99,-0.23,M
11/02/2022,26.53,26.35,27.0,26.17,160.67,5.91,M
10/02/2022,25.05,24.55,25.31,24.46,60.31,1.91,M
09/02/2022,24.58,24.95,25.41,24.57,89.08,-3.98,M
08/02/2022,25.6,25.28,25.72,25.03,37.33,1.11,M
07/02/2022,25.32,25.45,25.55,25.23,23.1,-0.55,M
04/02/2022,25.46,25.24,25.76,25.2,34.59,0.32,M
03/02/2022,25.38,25.2,25.53,24.71,41.71,1.16,M
02/02/2022,25.09,25.47,25.51,24.92,34.51,-1.57,M
01/02/2022,25.49,25.29,25.69,25.18,28.77,0.63,M
31/01/2022,25.33,24.67,25.51,24.52,44.24,2.18,M
28/01/2022,24.79,24.16,24.81,24.13,29.44,1.35,M
27/01/2022,24.46,24.49,24.92,24.2,41.54,0.37,M
26/01/2022,24.37,24.33,24.5,23.81,55.88,1.08,M
25/01/2022,24.11,23.06,24.15,23.0,39.35,3.61,M
24/01/2022,23.27,23.35,23.55,22.87,39.65,-0.13,M
21/01/2022,23.3,23.18,23.65,23.12,37.58,0.04,M
20/01/2022,23.29,23.54,23.67,23.18,25.94,-0.81,M
19/01/2022,23.48,23.82,24.08,23.4,30.93,-0.68,M
18/01/2022,23.64,23.39,23.96,23.27,43.59,0.6,M
17/01/2022,23.5,23.46,23.75,23.15,17.61,0.0,M
14/01/2022,23.5,23.57,23.85,23.41,29.92,-0.76,M
13/01/2022,23.68,23.09,23.82,23.05,43.41,1.85,M
12/01/2022,23.25,23.26,23.5,22.93,41.68,-0.43,M
11/01/2022,23.35,22.79,23.35,22.7,55.92,2.23,M
10/01/2022,22.84,22.57,22.88,22.31,41.59,0.93,M
07/01/2022,22.63,22.09,22.65,21.88,42.89,2.21,M
06/01/2022,22.14,21.64,22.24,21.52,35.86,2.03,M
05/01/2022,21.7,22.09,22.22,21.53,31.64,-1.9,M
04/01/2022,22.12,21.62,22.18,21.43,43.95,2.84,M
03/01/2022,21.51,21.17,21.81,21.09,32.85,2.67,M
30/12/2021,20.95,21.44,21.44,20.95,40.0,-1.64,M
29/12/2021,21.3,21.53,21.58,21.23,12.86,-0.84,M
28/12/2021,21.48,21.63,21.7,21.4,15.29,-0.37,M
27/12/2021,21.56,21.48,21.7,21.31,14.03,1.03,M
23/12/2021,21.34,21.33,21.57,21.17,22.38,0.52,M
22/12/2021,21.23,21.23,21.31,20.97,18.09,0.38,M
21/12/2021,21.15,21.19,21.31,21.03,24.89,0.14,M
20/12/2021,21.12,21.48,21.49,20.91,22.34,-1.54,M
17/12/2021,21.45,21.63,21.85,21.32,35.01,-2.19,M
16/12/2021,21.93,21.9,21.96,21.57,25.16,1.01,M
15/12/2021,21.71,21.91,21.97,21.38,31.72,-0.32,M
14/12/2021,21.78,21.76,22.16,21.68,31.48,0.97,M
13/12/2021,21.57,22.2,22.42,21.57,48.53,-2.66,M
10/12/2021,22.16,22.28,22.43,21.87,20.7,0.14,M
09/12/2021,22.13,22.78,22.79,21.95,27.96,-2.68,M
08/12/2021,22.74,23.09,23.14,22.45,37.93,-0.96,M
07/12/2021,22.96,23.62,23.64,22.8,30.69,-1.25,M
06/12/2021,23.25,23.1,23.77,23.0,37.25,1.17,M
03/12/2021,22.98,22.97,23.6,22.82,35.5,-0.35,M
02/12/2021,23.06,22.44,23.16,22.34,31.35,3.78,M
01/12/2021,22.22,22.56,22.92,22.2,23.85,-0.71,M
30/11/2021,22.38,22.68,22.75,22.05,61.04,-1.24,M
29/11/2021,22.66,23.07,23.19,22.6,33.71,-0.66,M
26/11/2021,22.81,22.76,22.96,22.48,32.28,-1.89,M
25/11/2021,23.25,23.1,23.49,23.05,17.77,0.91,M
24/11/2021,23.04,22.21,23.17,22.14,46.13,2.67,M
23/11/2021,22.44,22.25,22.44,21.91,38.63,1.68,M
22/11/2021,22.07,22.01,22.48,21.88,27.95,-0.94,M
19/11/2021,22.28,22.4,22.48,22.09,28.78,-0.85,M
18/11/2021,22.47,22.81,22.97,22.19,33.25,-1.66,M
17/11/2021,22.85,22.93,23.18,22.66,29.84,0.4,M
16/11/2021,22.76,23.08,23.41,22.56,24.73,-1.04,M
12/11/2021,23.0,23.03,23.4,22.76,36.76,-0.22,M
11/11/2021,23.05,23.43,23.47,22.82,39.67,-0.22,M
10/11/2021,23.1,22.53,23.53,22.42,47.92,2.53,M
09/11/2021,22.53,22.86,23.19,22.38,43.46,-1.01,M
08/11/2021,22.76,22.8,23.18,22.63,33.21,-0.52,M
05/11/2021,22.88,23.5,23.55,22.54,111.3,-1.21,M
04/11/2021,23.16,24.48,24.73,23.02,71.29,-5.28,M
03/11/2021,24.45,24.01,24.87,24.01,61.48,0.95,M
01/11/2021,24.22,23.71,24.37,23.65,35.26,3.99,M
29/10/2021,23.29,23.92,24.12,23.28,35.1,-2.35,M
28/10/2021,23.85,23.65,23.96,23.36,36.58,-0.21,M
27/10/2021,23.9,23.86,24.42,23.76,29.39,0.76,M
26/10/2021,23.72,23.67,23.97,23.46,28.73,-1.08,M
25/10/2021,23.98,23.65,24.28,23.65,39.68,1.96,M
22/10/2021,23.52,24.1,24.25,22.89,93.11,-3.84,M
21/10/2021,24.46,24.36,25.13,24.1,70.55,-1.69,M
20/10/2021,24.88,24.53,25.03,24.29,37.2,2.3,M
19/10/2021,24.32,24.68,24.77,24.15,41.92,-2.37,M
18/10/2021,24.91,24.56,25.03,24.35,28.66,0.69,M
15/10/2021,24.74,24.2,24.85,24.06,52.23,2.57,M
14/10/2021,24.12,24.41,24.59,23.82,36.64,-0.5,M
13/10/2021,24.24,24.28,24.43,23.76,42.0,0.12,M
11/10/2021,24.21,24.56,24.79,24.2,42.4,-1.75,M
08/10/2021,24.64,24.64,25.33,24.61,48.44,0.74,M
07/10/2021,24.46,25.11,25.23,24.38,38.31,-2.12,M
06/10/2021,24.99,24.53,25.11,24.34,39.02,0.32,M
05/10/2021,24.91,24.58,25.36,24.32,49.06,2.43,M
04/10/2021,24.32,24.73,24.79,23.82,58.6,-1.66,M
01/10/2021,24.73,24.27,24.9,24.12,42.64,2.61,M
30/09/2021,24.1,24.24,24.35,23.91,41.55,0.08,M
29/09/2021,24.08,23.87,24.14,23.65,52.43,1.82,M
28/09/2021,23.65,24.09,24.67,23.64,61.15,-2.27,M
27/09/2021,24.2,23.69,24.44,23.35,58.35,2.59,M
24/09/2021,23.59,23.74,23.89,23.55,41.35,-1.38,M
23/09/2021,23.92,23.27,24.12,23.17,50.16,3.46,M
22/09/2021,23.12,22.77,23.32,22.74,38.68,2.35,M
21/09/2021,22.59,22.76,22.95,22.55,33.26,-0.26,M
20/09/2021,22.65,22.74,23.02,22.38,43.81,-2.29,M
17/09/2021,23.18,23.72,23.74,23.18,43.38,-2.36,M
16/09/2021,23.74,23.59,23.88,23.46,46.3,-0.08,M
15/09/2021,23.76,24.2,24.22,23.76,26.22,-1.61,M
14/09/2021,24.15,24.24,24.46,24.08,24.13,-0.62,M
13/09/2021,24.3,24.44,24.51,24.12,30.97,1.25,M
10/09/2021,24.0,24.58,24.71,23.82,35.93,-0.99,M
09/09/2021,24.24,24.13,24.59,23.63,55.32,1.3,M
08/09/2021,23.93,25.03,25.08,23.8,47.81,-4.74,M
06/09/2021,25.12,24.72,25.22,24.68,27.15,1.29,M
03/09/2021,24.8,25.1,25.13,24.39,49.25,-0.56,M
02/09/2021,24.94,25.73,25.74,24.81,32.4,-3.63,M
01/09/2021,25.88,25.88,26.35,25.83,28.58,0.47,M
31/08/2021,25.76,25.51,26.04,25.42,43.43,1.3,M
30/08/2021,25.43,25.56,25.65,25.26,18.75,-0.7,M
27/08/2021,25.61,25.33,25.7,25.06,22.16,1.71,M
26/08/2021,25.18,25.73,25.76,25.12,35.01,-2.44,M
25/08/2021,25.81,25.61,25.86,25.41,17.44,0.16,M
24/08/2021,25.77,25.19,25.82,25.18,30.07,2.79,M
23/08/2021,25.07,24.86,25.17,24.8,21.46,1.05,M
20/08/2021,24.81,24.65,24.92,24.32,34.55,-0.36,M
19/08/2021,24.9,24.9,25.67,24.69,39.61,-1.27,M
18/08/2021,25.22,25.08,25.91,24.99,47.25,0.2,M
17/08/2021,25.17,25.24,25.46,24.76,38.57,-0.36,M
16/08/2021,25.26,25.53,25.95,25.21,35.53,-1.1,M
13/08/2021,25.54,25.25,25.68,25.0,30.18,1.35,M
12/08/2021,25.2,25.59,25.8,25.2,27.22,-1.91,M
11/08/2021,25.69,25.23,25.97,25.01,34.8,1.14,M
10/08/2021,25.4,25.86,25.87,25.37,31.62,-1.89,M
09/08/2021,25.89,25.54,26.08,25.54,33.74,1.17,M
06/08/2021,25.59,25.0,25.76,24.86,33.26,2.77,M
05/08/2021,24.9,25.06,25.37,24.65,49.24,0.32,M
04/08/2021,24.82,25.38,25.5,24.76,50.42,-2.82,M
03/08/2021,25.54,26.06,26.08,25.03,54.92,0.99,M
02/08/2021,25.29,25.56,26.15,25.29,37.21,0.64,M
30/07/2021,25.13,25.22,25.79,24.93,42.36,-1.1,M
29/07/2021,25.41,25.61,25.7,25.13,23.1,-0.51,M
28/07/2021,25.54,25.01,25.9,24.97,69.62,3.23,M
27/07/2021,24.74,24.47,24.9,24.33,36.38,1.02,M
26/07/2021,24.49,24.12,24.67,24.12,24.13,1.74,M
23/07/2021,24.07,24.23,24.33,23.89,16.72,-0.29,M
22/07/2021,24.14,24.4,24.49,24.01,17.18,-1.03,M
21/07/2021,24.39,24.27,24.6,24.25,13.38,0.41,M
20/07/2021,24.29,23.86,24.45,23.74,26.32,1.34,M
19/07/2021,23.97,23.81,24.13,23.73,34.39,-0.58,M
16/07/2021,24.11,24.69,24.71,24.07,18.22,-1.63,M
15/07/2021,24.51,24.77,24.94,24.37,22.51,-1.21,M
14/07/2021,24.81,25.05,25.59,24.74,42.5,0.12,M
13/07/2021,24.78,24.47,24.91,24.19,31.43,0.61,M
12/07/2021,24.63,24.39,24.88,24.32,26.85,1.36,M
08/07/2021,24.3,24.18,24.61,24.02,48.88,-1.3,M
07/07/2021,24.62,24.54,24.83,24.18,39.11,1.4,M
06/07/2021,24.28,24.45,24.66,24.25,24.58,-1.1,M
05/07/2021,24.55,24.65,24.77,24.51,12.08,-1.37,M
02/07/2021,24.89,24.79,24.97,24.53,25.17,1.06,M
01/07/2021,24.63,24.71,24.87,24.32,20.2,-0.32,M
30/06/2021,24.71,24.87,25.1,24.68,22.32,-1.16,M
29/06/2021,25.0,25.09,25.24,24.73,30.46,-0.99,M
28/06/2021,25.25,25.57,25.62,24.91,35.98,-1.14,M
25/06/2021,25.54,26.51,26.64,25.38,38.84,-3.15,M
24/06/2021,26.37,26.67,26.7,26.1,23.74,0.04,M
23/06/2021,26.36,26.57,27.04,26.24,28.51,-0.75,M
22/06/2021,26.56,26.72,26.91,26.37,40.49,-1.26,M
21/06/2021,26.9,26.71,27.14,26.58,27.31,0.45,M
18/06/2021,26.78,27.15,27.33,26.6,40.99,-1.83,M
17/06/2021,27.28,27.91,28.47,27.24,49.39,-1.16,M
16/06/2021,27.6,27.09,27.87,26.9,66.89,2.0,M
15/06/2021,27.06,27.16,27.22,26.77,17.59,0.0,M
14/06/2021,27.06,27.31,27.41,26.83,23.65,-0.33,M
11/06/2021,27.15,27.39,27.48,26.83,23.08,-1.2,M
10/06/2021,27.48,27.86,28.09,27.29,49.85,-0.33,M
09/06/2021,27.57,27.09,28.35,26.88,89.54,1.36,M
08/06/2021,27.2,27.21,27.48,26.75,72.12,-0.69,M
07/06/2021,27.39,26.76,27.51,26.42,59.35,2.35,M
04/06/2021,26.76,26.17,26.85,26.07,36.77,2.06,M
02/06/2021,26.22,25.41,26.36,25.39,56.54,3.35,M
01/06/2021,25.37,24.74,25.37,24.71,43.08,3.64,M
31/05/2021,24.48,24.59,24.8,24.35,15.42,-0.29,M
28/05/2021,24.55,24.08,24.64,24.03,26.3,1.61,M
27/05/2021,24.16,24.36,24.45,23.92,59.68,-0.82,M
26/05/2021,24.36,24.1,24.5,24.1,20.99,1.37,M
25/05/2021,24.03,24.3,24.35,23.85,33.5,-1.03,M
24/05/2021,24.28,24.42,24.49,24.16,25.03,-0.29,M
21/05/2021,24.35,24.26,24.39,23.94,27.71,0.5,M
20/05/2021,24.23,24.15,24.59,24.04,32.07,0.54,M
19/05/2021,24.1,23.6,24.19,23.33,26.42,0.75,M
18/05/2021,23.92,23.83,24.2,23.73,26.26,-0.21,M
17/05/2021,23.97,23.88,24.02,23.47,37.12,-0.08,M
14/05/2021,23.99,23.71,24.14,23.44,44.56,2.22,M
13/05/2021,23.47,22.84,23.64,22.81,42.62,2.89,M
12/05/2021,22.81,22.92,23.0,22.65,22.94,-1.47,M
11/05/2021,23.15,22.95,23.3,22.93,25.24,-0.22,M
10/05/2021,23.2,22.89,23.36,22.77,28.66,1.49,M
07/05/2021,22.86,22.68,22.92,22.53,26.59,1.24,M
06/05/2021,22.58,22.63,22.85,22.41,23.78,-0.66,M
05/05/2021,22.73,22.25,22.87,21.94,50.09,2.85,M
04/05/2021,22.1,23.25,23.45,22.05,78.7,-4.25,M
03/05/2021,23.08,22.92,23.32,22.82,41.3,1.41,M
30/04/2021,22.76,22.47,22.81,22.28,42.27,0.75,M
29/04/2021,22.59,23.3,23.44,22.55,33.38,-3.13,M
28/04/2021,23.32,22.75,23.4,22.69,37.23,4.34,M
27/04/2021,22.35,22.67,22.9,22.29,29.52,-1.54,M
26/04/2021,22.7,22.83,22.98,22.51,20.35,-0.04,M
23/04/2021,22.71,22.65,23.02,22.61,17.1,0.44,M
22/04/2021,22.61,22.71,22.87,22.47,24.08,0.04,M
20/04/2021,22.6,22.62,22.92,22.5,19.71,-0.48,M
19/04/2021,22.71,23.0,23.07,22.65,26.91,-1.52,M
16/04/2021,23.06,22.68,23.19,22.68,20.12,1.1,M
15/04/2021,22.81,22.82,23.17,22.6,29.82,0.0,M
14/04/2021,22.81,22.57,23.18,22.32,40.55,1.29,M
13/04/2021,22.52,22.42,22.64,22.18,26.91,-0.04,M
12/04/2021,22.53,22.11,22.53,22.09,24.74,2.5,M
09/04/2021,21.98,21.89,22.27,21.87,20.44,-0.14,M
08/04/2021,22.01,22.29,22.36,22.01,26.54,-0.81,M
07/04/2021,22.19,22.29,22.57,21.99,31.17,-0.85,M
06/04/2021,22.38,22.69,22.8,22.24,23.03,-1.19,M
05/04/2021,22.65,22.57,22.76,22.38,23.89,1.3,M
01/04/2021,22.36,23.21,23.21,22.36,31.54,-3.08,M
31/03/2021,23.07,23.35,23.49,22.83,29.33,-1.91,M
30/03/2021,23.52,22.96,23.54,22.95,23.5,1.64,M
29/03/2021,23.14,23.19,23.26,22.76,22.82,-0.04,M
26/03/2021,23.15,22.69,23.18,22.67,32.63,1.71,M
25/03/2021,22.76,22.22,22.78,22.12,51.97,1.79,M
24/03/2021,22.36,22.75,22.88,22.36,39.96,-1.76,M
23/03/2021,22.76,23.05,23.48,22.75,31.61,-2.53,M
22/03/2021,23.35,23.04,23.36,22.64,35.68,0.56,M
19/03/2021,23.22,23.25,23.53,22.84,47.05,0.22,M
18/03/2021,23.17,22.99,23.64,22.92,45.65,0.56,M
17/03/2021,23.04,22.11,23.09,22.04,35.87,3.88,M
16/03/2021,22.18,22.64,22.67,21.9,21.76,-2.03,M
15/03/2021,22.64,22.35,22.71,22.21,27.97,1.21,M
12/03/2021,22.37,22.35,22.64,22.27,24.57,-0.67,M
11/03/2021,22.52,22.72,22.95,22.21,34.54,0.13,M
10/03/2021,22.49,22.32,22.63,21.9,37.35,0.76,M
09/03/2021,22.32,21.91,22.69,21.69,37.49,1.36,M
08/03/2021,22.02,22.14,23.03,21.86,57.14,-3.17,M
05/03/2021,22.74,22.0,22.9,21.83,77.66,3.69,M
04/03/2021,21.93,21.42,22.31,21.34,65.74,3.15,M
03/03/2021,21.26,21.21,21.64,20.43,61.55,0.24,M
02/03/2021,21.21,20.03,21.67,19.69,66.48,4.02,M
01/03/2021,20.39,21.32,21.38,20.39,45.13,-3.0,M
26/02/2021,21.02,21.55,21.71,20.99,48.3,-1.45,M
25/02/2021,21.33,22.0,22.14,21.25,40.97,-2.87,M
24/02/2021,21.96,22.44,22.51,21.77,35.65,-1.48,M
23/02/2021,22.29,21.2,22.44,21.15,76.46,6.4,M
22/02/2021,20.95,21.72,21.77,20.88,86.49,-7.26,M
19/02/2021,22.59,22.81,23.07,22.36,26.92,-1.05,M
18/02/2021,22.83,22.84,23.31,22.75,49.32,-0.7,M
17/02/2021,22.99,22.74,23.13,22.61,24.64,1.23,M
12/02/2021,22.71,22.52,22.99,22.41,24.87,0.26,M
11/02/2021,22.65,22.9,23.01,22.5,22.4,0.0,M
10/02/2021,22.65,22.82,23.06,22.4,28.66,-0.7,M
09/02/2021,22.81,22.49,23.24,22.27,37.76,1.2,M
08/02/2021,22.54,22.9,23.07,22.5,28.94,-1.87,M
05/02/2021,22.97,23.16,23.27,22.81,39.29,-0.43,M
04/02/2021,23.07,23.34,23.36,22.81,65.45,-0.43,M
03/02/2021,23.17,23.53,23.64,23.08,41.44,-0.47,M
02/02/2021,23.28,23.79,23.97,22.9,100.33,-2.14,M
01/02/2021,23.79,23.72,24.07,23.51,46.37,2.68,M
29/01/2021,23.17,23.89,24.16,23.13,46.31,-3.58,M
28/01/2021,24.03,23.13,24.23,23.08,52.03,4.12,M
