Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.58,9.91,10.63,9.86,673.4,3.12,K
23/02/2022,10.26,10.35,10.39,10.17,324.2,-0.58,K
22/02/2022,10.32,10.12,10.42,10.07,544.7,2.28,K
21/02/2022,10.09,10.64,10.66,10.0,739.8,-5.17,K
18/02/2022,10.64,10.77,10.77,10.6,465.1,-0.56,K
17/02/2022,10.7,10.7,10.84,10.6,1.22,0.0,M
16/02/2022,10.7,10.35,10.82,10.29,1.3,3.98,M
15/02/2022,10.29,10.34,10.55,10.19,816.5,-0.29,K
14/02/2022,10.32,10.06,10.5,10.03,1.17,2.69,M
11/02/2022,10.05,10.0,10.39,9.75,1.71,2.03,M
10/02/2022,9.85,9.78,9.95,9.72,944.8,1.34,K
09/02/2022,9.72,9.39,9.74,9.38,691.3,3.4,K
08/02/2022,9.4,9.55,9.55,9.39,360.4,-1.78,K
07/02/2022,9.57,9.38,9.71,9.25,595.2,1.7,K
04/02/2022,9.41,9.55,9.58,9.17,571.2,-1.47,K
03/02/2022,9.55,9.81,9.81,9.5,729.3,-2.35,K
02/02/2022,9.78,10.01,10.07,9.78,477.2,-2.4,K
01/02/2022,10.02,9.99,10.2,9.92,953.1,0.0,K
31/01/2022,10.02,9.83,10.09,9.72,703.8,1.93,K
28/01/2022,9.83,9.56,9.92,9.48,657.9,2.82,K
27/01/2022,9.56,9.7,9.7,9.45,413.0,-1.44,K
26/01/2022,9.7,9.82,9.92,9.59,635.6,-0.61,K
25/01/2022,9.76,9.81,9.86,9.64,411.0,-0.51,K
24/01/2022,9.81,9.83,9.87,9.62,609.4,-0.41,K
21/01/2022,9.85,9.85,10.03,9.73,788.2,-0.51,K
20/01/2022,9.9,9.94,10.32,9.89,789.9,-0.4,K
19/01/2022,9.94,9.59,9.94,9.53,1.17,3.65,M
18/01/2022,9.59,9.46,9.6,9.11,913.2,1.37,K
17/01/2022,9.46,9.6,9.75,9.42,611.6,-3.07,K
14/01/2022,9.76,9.64,10.0,9.51,591.6,1.99,K
13/01/2022,9.57,9.64,9.76,9.53,640.0,-0.62,K
12/01/2022,9.63,9.52,9.75,9.52,549.0,-0.21,K
11/01/2022,9.65,9.69,9.79,9.52,591.4,-1.03,K
10/01/2022,9.75,9.9,9.96,9.55,555.2,-1.81,K
07/01/2022,9.93,10.05,10.28,9.78,398.1,-1.19,K
06/01/2022,10.05,10.05,10.15,9.74,630.6,0.0,K
05/01/2022,10.05,10.19,10.3,9.96,721.5,-1.57,K
04/01/2022,10.21,10.05,10.32,9.87,866.7,1.59,K
03/01/2022,10.05,10.22,10.35,9.59,3.06,-3.74,M
30/12/2021,10.44,10.1,10.63,9.89,2.67,5.78,M
29/12/2021,9.87,9.84,10.08,9.84,762.2,0.3,K
28/12/2021,9.84,9.77,9.93,9.68,623.5,0.82,K
27/12/2021,9.76,9.75,9.83,9.61,415.1,0.93,K
23/12/2021,9.67,9.5,9.83,9.48,565.2,1.79,K
22/12/2021,9.5,9.34,9.64,9.34,542.1,2.04,K
21/12/2021,9.31,9.4,9.59,9.31,634.4,-0.21,K
20/12/2021,9.33,9.38,9.58,9.31,483.5,-2.41,K
17/12/2021,9.56,9.48,9.62,9.31,272.4,1.16,K
16/12/2021,9.45,9.55,9.69,9.4,255.8,-0.94,K
15/12/2021,9.54,9.65,9.74,9.51,333.3,-0.93,K
14/12/2021,9.63,9.58,9.66,9.26,709.4,0.84,K
13/12/2021,9.55,9.36,9.68,9.36,370.8,-0.52,K
10/12/2021,9.6,9.92,9.92,9.5,257.2,-0.41,K
09/12/2021,9.64,9.61,9.64,9.44,215.8,-1.83,K
08/12/2021,9.82,9.59,9.86,9.52,505.8,2.29,K
07/12/2021,9.6,9.42,9.72,9.41,425.8,2.89,K
06/12/2021,9.33,9.21,9.39,9.11,408.1,1.74,K
03/12/2021,9.17,9.02,9.23,8.93,842.5,1.89,K
02/12/2021,9.0,8.99,9.03,8.77,636.5,0.11,K
01/12/2021,8.99,9.0,9.36,8.7,1.18,-0.55,M
30/11/2021,9.04,9.13,9.21,8.88,751.9,-2.38,K
29/11/2021,9.26,9.35,9.38,9.09,316.0,0.11,K
26/11/2021,9.25,9.48,9.48,9.1,326.3,-4.84,K
25/11/2021,9.72,9.7,9.83,9.65,409.8,0.1,K
24/11/2021,9.71,9.75,9.9,9.56,284.1,-0.51,K
23/11/2021,9.76,10.02,10.02,9.43,744.6,-2.69,K
22/11/2021,10.03,10.03,10.2,9.75,874.7,-0.2,K
19/11/2021,10.05,10.11,10.11,9.78,490.7,-0.59,K
18/11/2021,10.11,9.54,10.16,9.41,940.2,5.53,K
17/11/2021,9.58,10.05,10.07,9.42,1.45,-4.68,M
16/11/2021,10.05,10.14,10.28,9.58,1.76,-1.28,M
12/11/2021,10.18,10.46,10.64,10.16,746.9,-1.83,K
11/11/2021,10.37,10.3,10.45,10.0,806.3,2.67,K
10/11/2021,10.1,10.28,10.28,10.02,680.7,-1.94,K
09/11/2021,10.3,10.26,10.48,10.09,803.3,0.49,K
08/11/2021,10.25,9.9,10.29,9.88,707.6,3.54,K
05/11/2021,9.9,9.49,10.2,9.48,1.82,4.43,M
04/11/2021,9.48,9.24,9.67,9.07,961.5,1.83,K
03/11/2021,9.31,9.6,9.6,9.21,819.3,-3.02,K
01/11/2021,9.6,9.39,9.7,9.2,2.91,9.46,M
29/10/2021,8.77,8.7,8.77,8.29,784.0,0.92,K
28/10/2021,8.69,8.9,8.95,8.57,564.3,-3.66,K
27/10/2021,9.02,9.07,9.13,8.9,264.5,0.56,K
26/10/2021,8.97,9.22,9.22,8.94,378.8,-3.03,K
25/10/2021,9.25,9.25,9.42,9.03,906.6,-0.11,K
22/10/2021,9.26,9.09,9.88,8.64,593.8,1.65,K
21/10/2021,9.11,9.4,9.44,9.07,360.0,-4.31,K
20/10/2021,9.52,9.73,9.73,9.45,400.1,-0.83,K
19/10/2021,9.6,10.02,10.02,9.41,616.2,-4.86,K
18/10/2021,10.09,9.96,10.17,9.85,522.2,0.9,K
15/10/2021,10.0,10.19,10.24,9.89,1.16,-0.99,M
14/10/2021,10.1,10.03,10.2,9.97,516.7,1.0,K
13/10/2021,10.0,9.96,10.09,9.81,730.2,0.0,K
11/10/2021,10.0,9.61,10.14,9.55,1.68,4.17,M
08/10/2021,9.6,9.67,9.79,9.38,385.4,1.05,K
07/10/2021,9.5,9.6,9.65,9.41,405.4,-1.04,K
06/10/2021,9.6,9.62,9.69,9.46,166.8,-1.54,K
05/10/2021,9.75,9.64,9.91,9.51,631.2,0.83,K
04/10/2021,9.67,9.6,9.69,9.43,262.4,0.73,K
01/10/2021,9.6,9.4,9.75,9.29,550.7,2.13,K
30/09/2021,9.4,9.21,9.4,8.9,1.23,1.62,M
29/09/2021,9.25,9.32,9.44,9.15,256.9,-0.96,K
28/09/2021,9.34,9.53,9.8,9.1,592.5,-3.81,K
27/09/2021,9.71,9.68,9.82,9.59,205.0,0.41,K
24/09/2021,9.67,9.45,9.75,9.35,480.1,1.79,K
23/09/2021,9.5,9.63,9.75,9.44,302.4,-1.04,K
22/09/2021,9.6,9.54,9.6,9.33,224.3,2.67,K
21/09/2021,9.35,9.35,9.51,9.26,217.9,0.0,K
20/09/2021,9.35,9.83,9.83,9.01,986.9,-6.22,K
17/09/2021,9.97,10.1,10.1,9.77,338.3,-1.29,K
16/09/2021,10.1,9.88,10.25,9.7,1.07,2.12,M
15/09/2021,9.89,9.85,10.05,9.75,747.9,0.41,K
14/09/2021,9.85,9.91,10.02,9.71,321.0,-0.61,K
13/09/2021,9.91,9.62,9.95,9.62,273.7,3.12,K
10/09/2021,9.61,9.94,9.95,9.61,286.6,-3.13,K
09/09/2021,9.92,9.39,9.99,9.2,894.3,6.1,K
08/09/2021,9.35,9.9,10.11,9.26,688.3,-5.75,K
06/09/2021,9.92,10.19,10.2,9.92,356.5,-1.68,K
03/09/2021,10.09,9.64,10.26,9.58,1.89,5.21,M
02/09/2021,9.59,9.44,9.8,9.24,1.69,1.48,M
01/09/2021,9.45,9.09,9.59,8.98,819.3,3.85,K
31/08/2021,9.1,9.26,9.41,8.95,784.0,-2.67,K
30/08/2021,9.35,9.35,9.48,9.2,264.4,0.43,K
27/08/2021,9.31,9.52,9.57,9.31,569.0,-2.72,K
26/08/2021,9.57,9.52,9.7,9.34,619.0,0.53,K
25/08/2021,9.52,9.35,9.7,9.26,638.5,2.37,K
24/08/2021,9.3,9.26,9.5,9.18,512.9,0.65,K
23/08/2021,9.24,8.92,9.3,8.92,618.6,4.29,K
20/08/2021,8.86,8.92,9.15,8.72,563.1,-1.01,K
19/08/2021,8.95,8.46,9.25,8.46,644.0,2.29,K
18/08/2021,8.75,8.69,8.85,8.42,866.5,1.16,K
17/08/2021,8.65,9.1,9.38,8.08,2.9,-3.67,M
16/08/2021,8.98,9.6,9.6,8.72,1.11,-6.46,M
13/08/2021,9.6,9.81,9.88,9.53,1.25,-2.04,M
12/08/2021,9.8,9.9,10.0,9.79,402.7,-1.01,K
11/08/2021,9.9,9.78,10.03,9.78,435.8,1.23,K
10/08/2021,9.78,9.85,9.85,9.59,426.5,0.1,K
09/08/2021,9.77,9.9,9.93,9.71,1.74,-1.31,M
06/08/2021,9.9,9.82,10.05,9.33,626.5,0.1,K
05/08/2021,9.89,10.12,10.12,9.81,320.2,-1.2,K
04/08/2021,10.01,10.33,10.39,10.01,490.0,-3.1,K
03/08/2021,10.33,10.0,10.55,9.67,948.7,3.4,K
02/08/2021,9.99,9.98,10.04,9.88,453.6,0.1,K
30/07/2021,9.98,9.93,10.1,9.83,292.1,-0.2,K
29/07/2021,10.0,10.07,10.15,10.0,337.2,-0.7,K
28/07/2021,10.07,10.1,10.21,9.78,532.2,-1.18,K
27/07/2021,10.19,9.92,10.19,9.87,651.7,1.9,K
26/07/2021,10.0,10.05,10.18,9.86,518.0,-0.2,K
23/07/2021,10.02,10.04,10.2,9.9,1.66,0.2,M
22/07/2021,10.0,9.99,10.0,9.85,351.2,0.2,K
21/07/2021,9.98,10.09,10.29,9.8,668.9,-1.29,K
20/07/2021,10.11,9.94,10.11,9.84,467.7,1.92,K
19/07/2021,9.92,9.81,10.12,9.78,506.4,-0.2,K
16/07/2021,9.94,10.0,10.08,9.77,1.22,-0.7,M
15/07/2021,10.01,10.13,10.5,10.01,648.2,-1.48,K
14/07/2021,10.16,10.5,10.5,9.94,887.5,-2.87,K
13/07/2021,10.46,10.36,10.49,10.2,953.5,0.58,K
12/07/2021,10.4,10.29,10.71,10.25,719.6,1.96,K
08/07/2021,10.2,10.36,10.48,10.16,1.08,-2.49,M
07/07/2021,10.46,10.7,10.89,10.35,1.01,-3.15,M
06/07/2021,10.8,10.72,10.89,10.59,1.63,0.09,M
05/07/2021,10.79,10.78,10.89,10.55,1.43,-0.09,M
02/07/2021,10.8,10.22,10.92,10.22,590.6,5.78,K
01/07/2021,10.21,10.18,10.37,10.0,812.1,0.2,K
30/06/2021,10.19,10.3,10.79,10.06,1.49,-1.74,M
29/06/2021,10.37,10.3,10.52,10.09,1.18,1.77,M
28/06/2021,10.19,10.08,10.43,9.81,907.9,0.49,K
25/06/2021,10.14,9.83,10.15,9.82,2.28,4.21,M
24/06/2021,9.73,9.55,9.8,9.39,1.68,3.73,M
23/06/2021,9.38,9.28,9.48,9.21,833.5,1.08,K
22/06/2021,9.28,9.34,9.4,9.18,426.0,-0.11,K
21/06/2021,9.29,9.26,9.3,9.04,488.6,0.98,K
18/06/2021,9.2,9.31,9.34,9.2,260.4,-1.08,K
17/06/2021,9.3,9.38,9.38,9.22,555.3,-1.27,K
16/06/2021,9.42,9.36,9.5,9.19,541.1,0.32,K
15/06/2021,9.39,9.32,9.46,9.32,731.1,0.86,K
14/06/2021,9.31,9.65,9.75,9.31,776.3,-3.02,K
11/06/2021,9.6,9.55,9.63,9.41,359.2,0.1,K
10/06/2021,9.59,9.65,9.85,9.58,1.61,0.31,M
09/06/2021,9.56,9.25,9.67,9.18,1.1,3.91,M
08/06/2021,9.2,9.31,9.49,8.95,1.0,-1.08,M
07/06/2021,9.3,8.93,9.4,8.93,1.14,4.14,M
04/06/2021,8.93,8.93,9.07,8.89,554.4,0.34,K
02/06/2021,8.9,9.06,9.08,8.9,1.91,-1.11,M
01/06/2021,9.0,8.83,9.1,8.8,650.0,1.81,K
31/05/2021,8.84,8.85,8.86,8.75,256.3,0.68,K
28/05/2021,8.78,8.84,8.86,8.76,234.1,0.23,K
27/05/2021,8.76,8.75,8.99,8.65,489.1,1.04,K
26/05/2021,8.67,8.87,8.88,8.66,456.4,-2.03,K
25/05/2021,8.85,8.72,8.85,8.64,399.5,1.26,K
24/05/2021,8.74,8.79,8.94,8.47,731.3,0.0,K
21/05/2021,8.74,8.9,9.0,8.74,545.6,-1.24,K
20/05/2021,8.85,8.81,8.9,8.73,675.3,0.57,K
19/05/2021,8.8,8.9,9.14,8.51,1.03,-1.68,M
18/05/2021,8.95,8.96,9.04,8.76,286.5,0.22,K
17/05/2021,8.93,8.94,8.95,8.76,235.9,1.71,K
14/05/2021,8.78,8.91,9.0,8.75,452.3,-0.9,K
13/05/2021,8.86,9.01,9.06,8.8,489.9,-2.1,K
12/05/2021,9.05,8.98,9.1,8.9,1.05,0.78,M
11/05/2021,8.98,8.95,9.15,8.8,695.3,0.0,K
10/05/2021,8.98,8.83,9.05,8.83,3.33,2.05,M
07/05/2021,8.8,8.9,9.09,8.8,1.51,-0.56,M
06/05/2021,8.85,8.99,9.05,8.74,471.6,-1.12,K
05/05/2021,8.95,8.9,9.08,8.74,838.3,2.4,K
04/05/2021,8.74,8.9,9.08,8.62,472.7,-1.8,K
03/05/2021,8.9,8.86,8.95,8.8,576.3,0.56,K
30/04/2021,8.85,8.87,8.98,8.7,303.3,0.0,K
29/04/2021,8.85,8.89,8.96,8.61,296.1,0.34,K
28/04/2021,8.82,8.89,9.14,8.4,682.2,0.46,K
27/04/2021,8.78,8.85,9.28,8.78,1.05,0.0,M
26/04/2021,8.78,8.94,9.0,8.56,880.9,-2.12,K
23/04/2021,8.97,8.5,9.0,8.5,1.44,5.78,M
22/04/2021,8.48,8.5,8.6,8.42,685.7,0.95,K
20/04/2021,8.4,8.27,8.6,8.22,1.15,1.57,M
19/04/2021,8.27,8.25,8.29,8.11,241.5,0.61,K
16/04/2021,8.22,8.16,8.3,8.15,283.1,0.98,K
15/04/2021,8.14,8.25,8.39,8.1,680.3,-0.49,K
14/04/2021,8.18,8.14,8.31,8.08,400.0,0.99,K
13/04/2021,8.1,8.1,8.28,8.08,299.7,0.0,K
12/04/2021,8.1,8.01,8.32,8.01,367.8,1.12,K
09/04/2021,8.01,7.96,8.08,7.96,192.0,0.75,K
08/04/2021,7.95,8.1,8.14,7.95,229.0,-1.0,K
07/04/2021,8.03,7.88,8.49,7.87,1.27,2.55,M
06/04/2021,7.83,7.95,8.1,7.79,616.5,-0.25,K
05/04/2021,7.85,8.0,8.15,7.85,406.6,-2.36,K
01/04/2021,8.04,7.88,8.04,7.77,896.2,2.29,K
31/03/2021,7.86,7.88,7.97,7.58,302.1,-1.38,K
30/03/2021,7.97,7.89,7.97,7.8,697.6,1.66,K
29/03/2021,7.84,7.94,8.04,7.83,569.4,-2.61,K
26/03/2021,8.05,8.18,8.26,7.94,685.5,-1.35,K
25/03/2021,8.16,8.39,8.46,8.07,869.9,-2.28,K
24/03/2021,8.35,8.61,8.7,8.25,989.9,-3.02,K
23/03/2021,8.61,8.34,8.85,8.34,1.45,3.49,M
22/03/2021,8.32,7.9,8.32,7.9,1.39,7.91,M
19/03/2021,7.71,7.53,7.97,7.35,681.6,4.19,K
18/03/2021,7.4,7.73,7.8,7.35,769.0,-4.52,K
17/03/2021,7.75,7.47,7.83,7.37,1.0,1.84,M
16/03/2021,7.61,7.75,7.8,7.53,776.5,-1.55,K
15/03/2021,7.73,7.7,7.84,7.7,275.4,0.39,K
12/03/2021,7.7,8.0,8.05,7.7,498.5,-2.9,K
11/03/2021,7.93,8.3,8.46,7.71,1.42,-4.46,M
10/03/2021,8.3,8.13,8.3,7.88,1.09,3.49,M
09/03/2021,8.02,7.93,8.14,7.93,922.2,-0.99,K
08/03/2021,8.1,8.28,8.29,7.92,1.08,-2.41,M
05/03/2021,8.3,8.44,8.44,8.25,587.9,0.0,K
04/03/2021,8.3,8.39,8.48,8.21,429.8,-0.24,K
03/03/2021,8.32,8.31,8.5,8.05,3.38,0.24,M
02/03/2021,8.3,8.24,8.5,8.2,735.1,0.97,K
01/03/2021,8.22,8.61,8.68,8.22,834.2,-0.96,K
26/02/2021,8.3,8.46,8.56,8.21,2.55,-1.78,M
25/02/2021,8.45,8.73,8.79,8.45,645.7,-1.63,K
24/02/2021,8.59,8.65,8.79,8.45,528.8,-0.69,K
23/02/2021,8.65,8.51,8.81,8.33,1.42,2.13,M
22/02/2021,8.47,8.7,8.7,8.4,1.21,-4.29,M
19/02/2021,8.85,8.74,8.99,8.72,534.0,-0.56,K
18/02/2021,8.9,8.85,8.97,8.51,656.5,2.3,K
17/02/2021,8.7,8.6,9.18,8.4,1.17,3.69,M
12/02/2021,8.39,8.42,8.45,8.2,1.63,-0.12,M
11/02/2021,8.4,8.5,8.6,8.3,1.65,-1.18,M
10/02/2021,8.5,8.61,8.63,8.32,3.2,-2.3,M
09/02/2021,8.7,9.1,9.29,8.56,4.95,-3.76,M
