Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,36.5,35.5,36.62,35.33,8.64,-0.25,M
23/02/2022,36.59,36.9,37.22,35.76,8.65,-0.54,M
22/02/2022,36.79,36.23,36.93,36.04,13.02,2.59,M
21/02/2022,35.86,36.48,36.58,35.59,4.3,-1.21,M
18/02/2022,36.3,37.48,37.59,36.1,7.12,-2.6,M
17/02/2022,37.27,37.1,37.57,36.96,16.93,0.24,M
16/02/2022,37.18,37.52,37.69,36.67,67.65,-3.88,M
15/02/2022,38.68,38.73,39.05,38.35,6.09,0.36,M
14/02/2022,38.54,38.84,39.14,37.8,7.86,0.05,M
11/02/2022,38.52,38.38,39.08,38.22,8.53,0.73,M
10/02/2022,38.24,38.21,39.6,37.68,14.79,0.18,M
09/02/2022,38.17,37.89,38.81,37.33,9.13,1.57,M
08/02/2022,37.58,35.78,37.77,35.7,14.36,4.62,M
07/02/2022,35.92,35.21,36.09,34.89,10.5,4.91,M
04/02/2022,34.24,33.85,34.82,33.71,6.26,1.09,M
03/02/2022,33.87,34.85,35.29,33.64,9.61,-2.67,M
02/02/2022,34.8,35.0,35.12,34.57,7.15,-0.51,M
01/02/2022,34.98,34.99,36.11,34.45,10.87,-0.31,M
31/01/2022,35.09,36.11,36.35,34.9,9.75,-2.69,M
28/01/2022,36.06,35.01,36.37,34.98,7.72,2.21,M
27/01/2022,35.28,35.06,35.39,34.43,11.87,0.77,M
26/01/2022,35.01,36.41,36.84,34.85,11.42,-3.13,M
25/01/2022,36.14,35.74,36.27,35.47,5.84,0.61,M
24/01/2022,35.92,36.5,37.11,35.65,8.14,-1.07,M
21/01/2022,36.31,36.23,36.82,35.83,5.48,-0.03,M
20/01/2022,36.32,36.85,37.14,36.11,7.75,-0.79,M
19/01/2022,36.61,36.8,37.15,36.33,6.53,0.03,M
18/01/2022,36.6,37.23,37.23,36.18,5.06,-1.03,M
17/01/2022,36.98,37.08,37.78,36.69,4.02,-1.1,M
14/01/2022,37.39,37.05,38.23,37.01,5.96,0.89,M
13/01/2022,37.06,36.2,37.45,36.19,6.25,1.73,M
12/01/2022,36.43,35.61,36.65,35.16,7.44,2.02,M
11/01/2022,35.71,35.8,35.99,35.2,5.95,-0.53,M
10/01/2022,35.9,35.23,36.46,35.06,6.5,1.87,M
07/01/2022,35.24,35.86,36.18,35.15,5.85,-2.6,M
06/01/2022,36.18,36.28,36.52,35.65,6.79,0.06,M
05/01/2022,36.16,36.09,36.61,35.21,6.38,-0.22,M
04/01/2022,36.24,36.57,37.0,35.79,7.33,-0.3,M
03/01/2022,36.35,37.99,37.99,36.19,9.04,-4.22,M
30/12/2021,37.95,38.22,38.25,37.73,6.62,-0.26,M
29/12/2021,38.05,37.92,38.11,37.5,3.35,0.42,M
28/12/2021,37.89,37.55,37.9,36.97,3.51,1.12,M
27/12/2021,37.47,37.98,37.98,37.26,2.74,-0.66,M
23/12/2021,37.72,37.37,38.24,37.26,4.64,1.23,M
22/12/2021,37.26,37.95,38.07,36.96,5.01,-1.35,M
21/12/2021,37.77,37.99,38.25,37.42,4.88,0.53,M
20/12/2021,37.57,36.94,37.85,36.6,8.01,1.43,M
17/12/2021,37.04,37.66,38.31,36.66,13.66,-1.65,M
16/12/2021,37.66,38.01,38.44,36.77,94.18,-1.39,M
15/12/2021,38.19,37.82,38.95,37.82,13.67,2.44,M
14/12/2021,37.28,35.67,37.43,35.59,11.88,5.34,M
13/12/2021,35.39,35.3,35.76,34.74,6.67,0.57,M
10/12/2021,35.19,35.17,35.54,34.74,5.07,1.35,M
09/12/2021,34.72,34.95,35.13,34.31,4.77,0.2,M
08/12/2021,34.65,34.68,35.0,34.11,5.89,0.7,M
07/12/2021,34.41,33.92,34.92,33.79,6.93,1.99,M
06/12/2021,33.74,33.46,34.07,33.07,7.32,0.99,M
03/12/2021,33.41,34.4,34.43,33.18,12.75,-4.84,M
02/12/2021,35.11,34.22,35.12,34.11,8.91,3.33,M
01/12/2021,33.98,35.99,36.26,33.77,11.15,-4.68,M
30/11/2021,35.65,34.76,35.75,34.52,16.21,2.65,M
29/11/2021,34.73,34.89,35.24,34.56,6.17,1.02,M
26/11/2021,34.38,34.46,35.75,34.07,8.38,-2.8,M
25/11/2021,35.37,36.33,36.33,35.36,7.43,-2.45,M
24/11/2021,36.26,36.76,37.01,36.23,5.4,-1.63,M
23/11/2021,36.86,36.97,37.12,36.15,6.18,0.57,M
22/11/2021,36.65,37.52,37.77,36.65,6.31,-1.72,M
19/11/2021,37.29,37.08,38.09,37.08,6.1,-0.11,M
18/11/2021,37.33,36.5,37.44,36.24,7.26,2.7,M
17/11/2021,36.35,37.45,37.45,36.01,14.21,-4.32,M
16/11/2021,37.99,38.46,38.59,37.25,7.65,-0.6,M
12/11/2021,38.22,38.64,38.88,37.71,6.48,0.08,M
11/11/2021,38.19,39.31,39.36,37.86,13.46,0.87,M
10/11/2021,37.86,37.63,38.18,37.27,5.84,0.32,M
09/11/2021,37.74,37.82,38.37,37.2,6.13,-0.58,M
08/11/2021,37.96,38.62,38.96,37.68,5.53,-2.09,M
05/11/2021,38.77,37.93,38.92,37.57,10.53,2.35,M
04/11/2021,37.88,36.76,38.13,36.73,11.35,3.05,M
03/11/2021,36.76,37.06,37.42,35.81,15.47,-1.08,M
01/11/2021,37.16,39.19,39.47,37.15,12.35,-4.84,M
29/10/2021,39.05,37.6,39.78,37.55,13.0,4.19,M
28/10/2021,37.48,37.47,38.05,37.19,7.64,-0.11,M
27/10/2021,37.52,37.48,38.67,37.47,9.74,1.71,M
26/10/2021,36.89,37.43,37.43,36.41,8.85,-0.75,M
25/10/2021,37.17,36.88,37.69,36.53,7.76,-0.4,M
22/10/2021,37.32,36.71,37.77,36.31,13.04,-0.19,M
