Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.59,5.43,5.64,5.34,8.35,-2.44,M
23/02/2022,5.73,5.77,5.9,5.73,2.64,-0.69,M
22/02/2022,5.77,5.7,5.84,5.67,3.38,1.94,M
21/02/2022,5.66,5.91,5.92,5.55,4.29,-4.07,M
18/02/2022,5.9,5.95,6.01,5.88,2.35,-0.67,M
17/02/2022,5.94,6.03,6.06,5.92,2.75,-1.98,M
16/02/2022,6.06,6.13,6.18,6.01,3.0,-0.82,M
15/02/2022,6.11,5.91,6.11,5.91,3.4,3.91,M
14/02/2022,5.88,5.8,5.91,5.75,3.34,1.03,M
11/02/2022,5.82,5.88,6.01,5.73,4.82,-0.85,M
10/02/2022,5.87,5.93,5.97,5.81,2.73,-0.84,M
09/02/2022,5.92,5.96,6.01,5.79,4.06,0.85,M
08/02/2022,5.87,5.85,5.91,5.76,4.31,0.34,M
07/02/2022,5.85,5.94,5.95,5.81,5.07,-1.68,M
04/02/2022,5.95,6.21,6.23,5.84,4.83,-4.49,M
03/02/2022,6.23,6.11,6.35,6.02,6.78,1.14,M
02/02/2022,6.16,6.27,6.44,6.15,5.58,-1.6,M
01/02/2022,6.26,6.43,6.47,6.22,6.14,-2.64,M
31/01/2022,6.43,6.2,6.43,6.15,5.19,3.71,M
28/01/2022,6.2,6.14,6.28,6.12,9.72,0.65,M
27/01/2022,6.16,6.2,6.26,6.07,9.51,0.33,M
26/01/2022,6.14,5.93,6.2,5.88,11.41,5.5,M
25/01/2022,5.82,5.47,5.85,5.39,7.35,6.2,M
24/01/2022,5.48,5.45,5.56,5.3,5.41,0.18,M
21/01/2022,5.47,5.15,5.53,5.14,7.89,5.8,M
20/01/2022,5.17,5.05,5.31,5.05,8.84,4.44,M
19/01/2022,4.95,4.94,5.03,4.9,4.22,1.23,M
18/01/2022,4.89,4.83,4.93,4.77,3.47,1.66,M
17/01/2022,4.81,4.85,4.97,4.79,2.42,-0.82,M
14/01/2022,4.85,4.75,4.9,4.68,3.32,2.32,M
13/01/2022,4.74,4.79,4.84,4.72,2.85,-1.86,M
12/01/2022,4.83,4.61,4.88,4.61,5.82,4.77,M
11/01/2022,4.61,4.52,4.64,4.52,3.64,0.66,M
10/01/2022,4.58,4.58,4.6,4.44,4.47,-0.65,M
07/01/2022,4.61,4.66,4.74,4.61,4.25,-2.12,M
06/01/2022,4.71,4.86,4.88,4.66,6.12,-2.89,M
05/01/2022,4.85,4.99,5.02,4.8,4.72,-2.81,M
04/01/2022,4.99,5.21,5.26,4.91,8.58,-4.22,M
