Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.89,22.13,22.92,21.86,6.35,1.06,M
23/02/2022,22.65,23.44,23.69,22.46,7.45,-3.37,M
22/02/2022,23.44,23.4,23.58,23.15,5.94,0.77,M
21/02/2022,23.26,23.18,23.48,22.97,3.64,0.3,M
18/02/2022,23.19,23.3,23.49,22.96,4.43,-0.04,M
17/02/2022,23.2,22.97,23.43,22.72,6.3,0.74,M
16/02/2022,23.03,23.08,23.17,22.67,8.48,-0.22,M
15/02/2022,23.08,23.63,23.76,22.84,11.23,-3.67,M
14/02/2022,23.96,23.97,24.17,23.71,3.71,0.46,M
11/02/2022,23.85,24.73,24.74,23.66,7.32,-3.6,M
10/02/2022,24.74,25.13,25.26,24.34,6.56,-1.16,M
09/02/2022,25.03,25.05,25.73,24.9,5.02,-0.56,M
08/02/2022,25.17,24.85,25.5,24.64,4.27,0.4,M
07/02/2022,25.07,25.21,25.54,24.81,4.63,-0.91,M
04/02/2022,25.3,24.81,25.51,24.31,5.18,2.02,M
03/02/2022,24.8,24.51,25.08,24.46,4.51,1.27,M
02/02/2022,24.49,24.62,25.01,24.49,3.17,-0.45,M
01/02/2022,24.6,24.82,25.14,24.45,5.23,-1.13,M
31/01/2022,24.88,24.79,25.24,24.66,4.48,0.24,M
28/01/2022,24.82,24.57,25.16,24.14,4.15,0.32,M
27/01/2022,24.74,24.2,24.96,24.12,4.38,2.78,M
26/01/2022,24.07,24.23,24.5,23.99,7.05,-0.25,M
25/01/2022,24.13,24.15,24.21,23.77,6.49,-0.7,M
24/01/2022,24.3,24.75,24.78,24.08,4.11,-1.82,M
21/01/2022,24.75,25.5,25.5,24.7,3.8,-3.36,M
20/01/2022,25.61,25.7,26.14,25.26,4.73,-0.31,M
19/01/2022,25.69,25.32,25.78,25.19,4.17,2.23,M
18/01/2022,25.13,24.49,25.21,24.3,4.77,2.11,M
17/01/2022,24.61,25.23,25.29,24.4,4.32,-2.8,M
14/01/2022,25.32,25.49,25.86,25.22,4.22,-0.67,M
13/01/2022,25.49,25.58,26.14,25.3,5.3,-0.82,M
12/01/2022,25.7,24.94,26.0,24.81,6.52,2.8,M
11/01/2022,25.0,25.22,25.5,24.91,5.14,-0.87,M
10/01/2022,25.22,25.21,25.4,24.8,4.09,0.0,M
07/01/2022,25.22,25.7,25.72,25.05,4.64,-2.32,M
06/01/2022,25.82,25.73,26.3,25.56,6.34,0.55,M
05/01/2022,25.68,26.18,26.5,25.55,6.62,-1.87,M
04/01/2022,26.17,25.54,26.36,25.37,7.24,2.55,M
03/01/2022,25.52,25.74,25.91,24.96,5.03,-0.55,M
30/12/2021,25.66,26.0,26.07,25.63,3.67,0.04,M
29/12/2021,25.65,25.71,25.79,25.48,1.96,-0.5,M
28/12/2021,25.78,26.1,26.1,25.48,1.92,-1.07,M
27/12/2021,26.06,26.0,26.2,25.84,1.87,0.19,M
23/12/2021,26.01,26.17,26.5,25.68,4.09,-0.65,M
22/12/2021,26.18,26.15,26.19,25.88,4.29,0.15,M
21/12/2021,26.14,25.9,26.19,25.71,4.5,0.23,M
20/12/2021,26.08,26.32,26.39,25.73,3.96,-1.1,M
17/12/2021,26.37,25.92,26.58,25.89,8.42,1.27,M
16/12/2021,26.04,25.69,26.3,25.55,5.65,1.32,M
15/12/2021,25.7,25.72,25.87,25.35,5.77,0.51,M
14/12/2021,25.57,25.72,26.29,25.44,6.13,0.24,M
13/12/2021,25.51,25.7,25.75,25.3,4.41,-0.31,M
10/12/2021,25.59,25.45,25.71,25.11,5.26,1.87,M
09/12/2021,25.12,25.18,25.28,24.9,3.95,-0.51,M
08/12/2021,25.25,25.15,25.42,24.96,5.85,0.8,M
07/12/2021,25.05,25.25,25.55,24.87,8.22,-0.32,M
