Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.44,5.15,5.47,5.07,1.51,1.68,M
23/02/2022,5.35,5.16,5.35,5.15,1.16,3.88,M
22/02/2022,5.15,5.13,5.27,5.1,675.0,0.0,K
21/02/2022,5.15,5.43,5.43,5.08,893.4,-4.1,K
18/02/2022,5.37,5.34,5.44,5.3,819.2,-0.37,K
17/02/2022,5.39,5.46,5.49,5.34,481.2,-1.28,K
16/02/2022,5.46,5.6,5.6,5.41,754.4,-1.62,K
15/02/2022,5.55,5.42,5.55,5.35,403.9,2.97,K
14/02/2022,5.39,5.38,5.43,5.27,624.4,0.0,K
11/02/2022,5.39,5.5,5.64,5.35,498.6,-2.0,K
10/02/2022,5.5,5.5,5.61,5.42,499.0,0.0,K
09/02/2022,5.5,5.49,5.55,5.35,731.4,0.0,K
08/02/2022,5.5,5.49,5.52,5.34,598.1,-0.18,K
07/02/2022,5.51,5.51,5.61,5.29,984.0,0.36,K
04/02/2022,5.49,5.84,5.84,5.49,1.43,-5.18,M
03/02/2022,5.79,5.76,5.87,5.71,981.7,1.05,K
02/02/2022,5.73,5.76,5.87,5.69,507.7,-0.52,K
01/02/2022,5.76,5.79,5.86,5.7,616.0,-0.35,K
31/01/2022,5.78,5.62,5.78,5.58,634.8,2.85,K
28/01/2022,5.62,5.55,5.63,5.52,526.4,0.18,K
27/01/2022,5.61,5.53,5.63,5.49,600.5,2.0,K
26/01/2022,5.5,5.5,5.6,5.45,1.02,0.36,M
25/01/2022,5.48,5.17,5.5,5.15,1.29,5.79,M
24/01/2022,5.18,5.3,5.32,5.13,727.3,-3.18,K
21/01/2022,5.35,5.23,5.35,5.15,818.1,1.52,K
20/01/2022,5.27,4.98,5.28,4.91,1.38,5.82,M
19/01/2022,4.98,4.89,5.01,4.89,734.5,2.68,K
18/01/2022,4.85,5.05,5.11,4.85,534.8,-4.15,K
17/01/2022,5.06,5.04,5.09,4.92,466.0,1.0,K
14/01/2022,5.01,4.91,5.01,4.74,1.15,2.04,M
13/01/2022,4.91,4.95,4.97,4.79,701.5,-1.01,K
12/01/2022,4.96,4.96,5.01,4.88,882.7,2.48,K
11/01/2022,4.84,4.7,4.86,4.6,1.27,3.2,M
10/01/2022,4.69,4.94,4.94,4.67,1.39,-3.3,M
