Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,25.85,25.15,26.14,24.8,3.45,0.04,M
23/02/2022,25.84,26.9,26.99,25.78,4.09,-5.28,M
22/02/2022,27.28,25.83,27.51,25.79,6.61,6.07,M
21/02/2022,25.72,25.84,26.34,25.59,1.02,-1.04,M
18/02/2022,25.99,26.29,26.56,25.82,1.57,-0.8,M
17/02/2022,26.2,26.64,26.69,25.83,1.43,-1.21,M
16/02/2022,26.52,27.04,27.35,26.02,2.52,-1.34,M
15/02/2022,26.88,25.97,27.03,25.97,1.76,3.5,M
14/02/2022,25.97,25.46,26.33,25.3,2.24,2.81,M
11/02/2022,25.26,25.28,25.84,25.04,2.9,0.72,M
10/02/2022,25.08,25.14,25.51,24.9,1.18,-0.28,M
09/02/2022,25.15,24.82,25.59,24.79,2.46,1.41,M
08/02/2022,24.8,24.78,25.01,24.1,3.02,0.08,M
07/02/2022,24.78,24.96,26.41,24.61,3.49,-1.98,M
04/02/2022,25.28,25.38,25.38,24.16,4.15,-0.59,M
03/02/2022,25.43,25.93,26.27,25.17,3.2,-1.62,M
02/02/2022,25.85,26.17,26.4,25.26,2.86,-1.26,M
01/02/2022,26.18,26.09,26.41,25.59,1.58,-0.19,M
31/01/2022,26.23,25.5,26.27,25.34,1.93,2.38,M
28/01/2022,25.62,25.2,25.73,24.85,1.83,-0.89,M
27/01/2022,25.85,25.83,26.21,25.24,1.82,1.33,M
26/01/2022,25.51,25.0,26.31,24.94,2.97,2.78,M
25/01/2022,24.82,23.75,25.06,23.42,1.57,3.81,M
24/01/2022,23.91,24.44,24.46,23.81,1.42,-2.25,M
21/01/2022,24.46,24.2,24.55,23.6,1.65,0.58,M
20/01/2022,24.32,22.59,24.79,22.48,4.41,8.33,M
19/01/2022,22.45,22.44,22.94,22.2,1.35,0.99,M
18/01/2022,22.23,22.44,22.44,21.67,1.71,-1.72,M
17/01/2022,22.62,22.64,22.84,22.28,870.8,-1.14,K
14/01/2022,22.88,22.13,23.0,21.89,2.19,3.44,M
13/01/2022,22.12,21.8,22.3,21.58,3.45,0.05,M
12/01/2022,22.11,21.83,22.24,21.67,2.52,1.28,M
11/01/2022,21.83,21.53,22.16,21.43,1.99,0.88,M
10/01/2022,21.64,21.8,21.84,21.02,2.01,-1.64,M
07/01/2022,22.0,22.42,22.68,21.89,3.54,-1.87,M
06/01/2022,22.42,21.97,22.59,21.79,3.77,2.42,M
05/01/2022,21.89,22.54,23.09,21.89,2.94,-3.61,M
04/01/2022,22.71,22.67,23.0,22.31,2.98,0.58,M
03/01/2022,22.58,23.51,23.74,22.5,3.78,-3.96,M
30/12/2021,23.51,23.24,23.72,23.04,7.24,1.12,M
29/12/2021,23.25,23.98,24.05,23.18,2.96,-3.29,M
28/12/2021,24.04,24.49,24.62,23.69,1.96,-1.88,M
27/12/2021,24.5,24.39,24.91,24.27,2.44,0.41,M
23/12/2021,24.4,24.95,25.03,23.9,3.43,-1.69,M
22/12/2021,24.82,25.15,25.27,24.65,1.81,-0.96,M
21/12/2021,25.06,25.07,25.24,24.39,2.09,0.28,M
20/12/2021,24.99,25.24,25.31,24.37,2.94,-1.96,M
17/12/2021,25.49,26.41,26.71,25.23,4.64,-5.35,M
16/12/2021,26.93,26.9,27.6,26.34,5.18,1.16,M
15/12/2021,26.62,25.68,27.4,25.39,7.87,4.43,M
14/12/2021,25.49,25.77,25.97,25.33,2.66,-0.08,M
13/12/2021,25.51,25.27,26.0,25.07,4.11,1.07,M
10/12/2021,25.24,24.73,25.93,24.64,4.1,3.06,M
09/12/2021,24.49,24.55,24.85,24.01,3.02,-0.77,M
08/12/2021,24.68,23.94,24.71,23.46,3.24,3.74,M
07/12/2021,23.79,24.58,24.66,23.49,3.46,-1.65,M
