Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,27.16,27.58,27.7,26.47,316.6,-2.9,K
23/02/2022,27.97,27.99,28.5,27.61,223.3,0.54,K
22/02/2022,27.82,27.97,28.22,27.62,203.4,-0.29,K
21/02/2022,27.9,29.08,29.29,27.88,320.6,-3.83,K
18/02/2022,29.01,29.75,29.8,29.01,158.2,-2.39,K
17/02/2022,29.72,30.1,30.43,29.6,239.9,-0.93,K
16/02/2022,30.0,30.19,30.88,30.0,211.5,0.0,K
15/02/2022,30.0,30.0,30.61,30.0,115.9,0.44,K
14/02/2022,29.87,30.12,30.83,29.77,195.4,-1.09,K
11/02/2022,30.2,31.15,31.93,30.2,273.6,-2.52,K
10/02/2022,30.98,31.23,32.08,30.98,152.4,-0.8,K
09/02/2022,31.23,30.97,31.63,30.93,103.6,0.9,K
08/02/2022,30.95,30.47,31.48,30.46,154.1,-0.29,K
07/02/2022,31.04,30.59,31.31,30.09,158.9,1.14,K
04/02/2022,30.69,31.07,31.08,29.91,172.5,-1.48,K
03/02/2022,31.15,32.41,32.47,31.11,246.5,-3.86,K
02/02/2022,32.4,32.71,33.11,32.02,172.5,-0.98,K
01/02/2022,32.72,32.78,33.6,32.05,231.9,0.12,K
31/01/2022,32.68,32.2,33.37,31.82,262.7,1.49,K
28/01/2022,32.2,31.55,32.2,31.3,203.5,1.04,K
27/01/2022,31.87,31.79,32.12,31.1,210.9,0.6,K
26/01/2022,31.68,32.1,34.15,31.4,373.6,-1.43,K
25/01/2022,32.14,30.22,32.14,29.81,470.7,4.45,K
24/01/2022,30.77,30.57,30.77,29.1,388.8,0.46,K
21/01/2022,30.63,31.61,31.85,30.6,256.8,-2.42,K
20/01/2022,31.39,31.22,31.89,30.69,250.4,1.03,K
19/01/2022,31.07,31.04,31.48,30.82,212.5,0.19,K
18/01/2022,31.01,30.46,31.05,30.23,276.1,1.14,K
17/01/2022,30.66,31.09,31.45,30.66,206.2,-2.57,K
14/01/2022,31.47,31.99,32.37,30.68,293.8,-2.18,K
13/01/2022,32.17,32.49,32.86,31.71,225.9,-0.4,K
12/01/2022,32.3,30.86,32.7,30.72,415.8,5.52,K
11/01/2022,30.61,30.11,31.0,29.7,390.4,1.69,K
10/01/2022,30.1,31.31,31.35,29.85,267.6,-3.83,K
07/01/2022,31.3,30.1,31.47,29.79,474.4,3.44,K
06/01/2022,30.26,30.3,30.43,29.48,730.0,0.23,K
05/01/2022,30.19,32.31,32.31,29.89,538.9,-6.56,K
04/01/2022,32.31,30.54,32.64,30.54,563.1,5.11,K
03/01/2022,30.74,30.44,31.0,29.81,514.5,-0.19,K
30/12/2021,30.8,31.3,31.76,30.8,803.7,-1.25,K
29/12/2021,31.19,32.0,32.95,31.01,237.8,-2.53,K
28/12/2021,32.0,31.86,32.91,31.56,395.3,1.94,K
27/12/2021,31.39,31.03,31.99,31.03,221.9,1.16,K
23/12/2021,31.03,31.13,31.59,30.55,321.9,0.55,K
22/12/2021,30.86,31.65,31.87,30.77,184.1,-2.19,K
21/12/2021,31.55,31.5,32.01,30.3,390.2,1.71,K
20/12/2021,31.02,31.54,31.54,30.3,619.9,-5.46,K
17/12/2021,32.81,32.91,32.91,31.64,314.7,-0.76,K
16/12/2021,33.06,32.11,34.45,32.11,722.0,3.67,K
15/12/2021,31.89,31.65,31.89,30.85,345.1,1.59,K
14/12/2021,31.39,31.63,32.0,30.75,501.8,0.06,K
13/12/2021,31.37,31.98,31.98,31.13,334.4,-0.48,K
10/12/2021,31.52,31.6,32.01,31.14,360.8,0.1,K
09/12/2021,31.49,32.16,32.16,31.2,211.8,-2.2,K
08/12/2021,32.2,31.34,32.75,31.11,281.4,3.21,K
07/12/2021,31.2,30.81,31.71,30.81,262.3,1.96,K
06/12/2021,30.6,29.74,31.24,29.45,503.6,5.05,K
03/12/2021,29.13,28.4,29.49,28.31,383.9,2.39,K
02/12/2021,28.45,28.75,28.91,28.04,314.1,0.0,K
01/12/2021,28.45,29.6,29.92,27.87,602.1,-2.87,K
30/11/2021,29.29,30.1,30.33,28.57,705.1,-3.43,K
29/11/2021,30.33,30.08,30.58,29.61,407.4,1.44,K
26/11/2021,29.9,30.19,30.2,29.04,399.5,-2.61,K
25/11/2021,30.7,30.69,30.99,30.42,170.2,0.33,K
24/11/2021,30.6,30.46,31.0,30.21,441.6,-0.07,K
23/11/2021,30.62,30.97,30.97,29.99,416.0,-1.16,K
22/11/2021,30.98,30.23,31.0,29.76,473.0,2.55,K
19/11/2021,30.21,30.75,31.2,30.02,264.0,-1.79,K
18/11/2021,30.76,31.5,31.5,30.41,392.2,-1.79,K
17/11/2021,31.32,30.92,31.89,30.25,704.0,2.52,K
16/11/2021,30.55,33.06,33.68,30.32,949.4,-7.51,K
12/11/2021,33.03,34.89,35.81,32.8,439.6,-4.18,K
11/11/2021,34.47,33.41,35.35,33.41,543.1,3.17,K
10/11/2021,33.41,32.81,34.37,32.8,348.5,1.09,K
09/11/2021,33.05,34.06,34.41,32.82,526.7,-1.67,K
08/11/2021,33.61,33.05,34.91,33.05,467.8,1.79,K
05/11/2021,33.02,33.54,34.16,32.69,435.5,-0.78,K
04/11/2021,33.28,35.58,35.85,33.01,693.1,-6.28,K
03/11/2021,35.51,34.6,36.39,34.0,699.1,1.46,K
01/11/2021,35.0,34.16,35.54,33.68,781.9,2.7,K
29/10/2021,34.08,36.56,36.8,34.05,981.5,-6.4,K
28/10/2021,36.41,35.13,37.3,35.05,712.9,1.45,K
27/10/2021,35.89,37.79,38.1,35.57,931.3,-4.62,K
26/10/2021,37.63,38.94,39.04,37.39,643.5,-4.05,K
25/10/2021,39.22,38.18,39.95,37.0,1.12,2.32,M
22/10/2021,38.33,42.7,42.7,37.56,1.9,-10.74,M
21/10/2021,42.94,42.8,43.23,41.93,1.07,-0.74,M
20/10/2021,43.26,41.63,43.79,41.34,1.19,4.39,M
19/10/2021,41.44,41.14,42.0,40.51,923.3,-0.65,K
18/10/2021,41.71,40.66,42.16,40.61,813.6,2.78,K
15/10/2021,40.58,39.45,40.81,38.99,912.3,4.88,K
14/10/2021,38.69,39.77,40.19,38.01,637.9,-2.54,K
13/10/2021,39.7,38.76,40.23,38.62,590.1,3.36,K
11/10/2021,38.41,37.66,39.4,37.42,605.8,2.07,K
08/10/2021,37.63,36.96,38.29,36.86,539.1,1.98,K
07/10/2021,36.9,36.43,37.48,36.34,361.2,1.85,K
06/10/2021,36.23,36.24,36.41,35.4,518.8,-1.98,K
05/10/2021,36.96,38.13,38.23,36.91,488.5,-2.81,K
04/10/2021,38.03,38.58,38.97,37.8,399.0,-2.69,K
01/10/2021,39.08,37.75,39.23,36.99,573.9,3.58,K
30/09/2021,37.73,37.67,38.15,36.89,499.6,0.86,K
29/09/2021,37.41,37.37,38.3,36.9,418.7,1.33,K
28/09/2021,36.92,39.79,40.02,36.53,716.6,-7.68,K
27/09/2021,39.99,40.08,40.67,39.29,427.6,-0.05,K
