Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.65,9.72,9.81,9.35,3.32,-3.88,M
23/02/2022,10.04,9.78,10.21,9.77,3.87,3.08,M
22/02/2022,9.74,9.84,10.05,9.71,3.11,-0.1,M
21/02/2022,9.75,9.82,9.97,9.61,3.39,-0.2,M
18/02/2022,9.77,10.35,10.4,9.75,5.89,-5.33,M
17/02/2022,10.32,10.93,11.3,10.29,4.47,-5.84,M
16/02/2022,10.96,10.79,11.24,10.79,8.51,1.67,M
15/02/2022,10.78,10.91,11.12,10.69,1.41,-0.83,M
14/02/2022,10.87,10.75,10.98,10.65,1.33,1.12,M
11/02/2022,10.75,10.85,11.25,10.65,1.49,-0.92,M
10/02/2022,10.85,10.77,11.12,10.67,1.05,1.12,M
09/02/2022,10.73,10.72,10.92,10.62,1.05,0.19,M
08/02/2022,10.71,10.57,10.91,10.52,1.3,0.94,M
07/02/2022,10.61,10.77,10.82,10.51,1.48,-1.76,M
04/02/2022,10.8,11.11,11.13,10.72,1.32,-2.96,M
03/02/2022,11.13,11.3,11.52,11.05,1.29,-1.5,M
02/02/2022,11.3,11.65,11.74,11.26,1.83,-2.92,M
01/02/2022,11.64,11.6,11.83,11.51,1.52,0.26,M
31/01/2022,11.61,11.42,11.66,11.26,1.51,2.29,M
28/01/2022,11.35,10.92,11.35,10.8,1.23,3.94,M
27/01/2022,10.92,10.94,11.31,10.81,1.6,0.92,M
26/01/2022,10.82,11.04,11.35,10.8,2.07,-1.46,M
25/01/2022,10.98,10.22,11.1,10.19,2.45,6.6,M
24/01/2022,10.3,10.52,10.64,10.1,1.97,-2.18,M
21/01/2022,10.53,10.72,10.85,10.46,1.22,-2.23,M
20/01/2022,10.77,10.36,10.89,10.36,1.53,3.56,M
19/01/2022,10.4,10.29,10.52,10.24,1.32,2.06,M
18/01/2022,10.19,10.34,10.4,10.1,1.51,-1.36,M
17/01/2022,10.33,10.36,10.62,10.27,1.05,-1.15,M
14/01/2022,10.45,10.43,10.53,10.06,1.8,-0.38,M
13/01/2022,10.49,10.32,10.55,10.31,1.22,1.16,M
12/01/2022,10.37,10.11,10.44,10.01,1.74,2.98,M
11/01/2022,10.07,9.77,10.11,9.75,1.83,2.44,M
10/01/2022,9.83,9.95,10.1,9.79,1.64,-2.67,M
07/01/2022,10.1,10.22,10.3,9.92,3.12,-1.46,M
06/01/2022,10.25,10.65,10.7,10.13,3.56,-2.75,M
05/01/2022,10.54,10.76,11.09,10.54,2.47,-2.59,M
04/01/2022,10.82,11.11,11.17,10.54,2.6,-2.7,M
03/01/2022,11.12,11.81,11.89,11.08,1.55,-5.36,M
30/12/2021,11.75,11.68,11.83,11.5,1.95,1.64,M
29/12/2021,11.56,11.74,12.01,11.49,1.55,-1.53,M
28/12/2021,11.74,11.69,11.84,11.51,1.07,0.34,M
27/12/2021,11.7,11.57,11.76,11.51,1.34,1.12,M
23/12/2021,11.57,11.5,11.6,11.36,1.47,0.61,M
22/12/2021,11.5,11.21,11.51,11.09,2.03,2.59,M
21/12/2021,11.21,11.24,11.32,10.99,2.15,0.27,M
20/12/2021,11.18,11.01,11.28,10.95,2.58,0.27,M
17/12/2021,11.15,11.03,11.49,10.96,2.29,0.36,M
16/12/2021,11.11,11.15,11.42,10.94,3.07,1.09,M
15/12/2021,10.99,10.83,11.08,10.27,3.17,1.95,M
14/12/2021,10.78,11.24,11.3,10.68,2.89,-2.8,M
13/12/2021,11.09,11.43,11.64,11.0,2.64,-2.72,M
10/12/2021,11.4,11.86,11.96,11.16,4.57,-2.06,M
09/12/2021,11.64,11.99,12.78,11.32,10.11,-3.0,M
08/12/2021,12.0,12.64,12.78,11.91,4.71,-2.12,M
07/12/2021,12.26,11.91,12.51,11.66,5.01,3.37,M
06/12/2021,11.86,12.4,12.49,11.64,4.01,-4.05,M
03/12/2021,12.36,11.64,12.44,11.59,4.26,6.64,M
02/12/2021,11.59,11.25,11.79,11.21,3.17,4.13,M
01/12/2021,11.13,12.15,12.41,11.13,3.5,-7.56,M
30/11/2021,12.04,12.28,12.43,11.85,4.98,-2.03,M
29/11/2021,12.29,12.6,12.7,12.29,2.49,-1.36,M
26/11/2021,12.46,12.03,12.78,12.01,3.47,-1.81,M
25/11/2021,12.69,11.86,12.69,11.84,4.12,7.18,M
24/11/2021,11.84,11.52,12.09,11.43,3.5,2.69,M
23/11/2021,11.53,11.09,11.58,10.95,1.86,5.01,M
22/11/2021,10.98,11.14,11.46,10.85,1.56,-1.17,M
19/11/2021,11.11,11.18,11.41,10.96,1.57,-0.71,M
18/11/2021,11.19,11.14,11.64,11.1,2.15,0.72,M
17/11/2021,11.11,11.7,11.73,10.99,3.9,-4.22,M
16/11/2021,11.6,11.82,12.1,11.44,4.1,-1.02,M
12/11/2021,11.72,12.53,12.74,11.56,2.4,-5.79,M
11/11/2021,12.44,11.97,12.96,11.96,3.82,4.19,M
10/11/2021,11.94,11.26,12.03,11.19,3.69,6.8,M
09/11/2021,11.18,10.84,11.42,10.81,3.91,3.9,M
08/11/2021,10.76,10.45,11.13,10.38,2.75,2.18,M
05/11/2021,10.53,10.24,10.61,10.19,5.06,4.15,M
04/11/2021,10.11,10.63,10.66,10.0,2.98,-5.16,M
03/11/2021,10.66,10.11,10.94,10.07,3.42,4.82,M
01/11/2021,10.17,9.85,10.37,9.85,2.12,5.06,M
29/10/2021,9.68,10.14,10.2,9.68,3.6,-3.68,M
28/10/2021,10.05,10.52,10.53,10.03,2.34,-4.19,M
27/10/2021,10.49,10.55,11.08,10.39,9.73,-0.19,M
26/10/2021,10.51,11.02,11.1,10.43,5.72,-5.4,M
25/10/2021,11.11,10.88,11.2,10.83,2.38,2.68,M
22/10/2021,10.82,11.4,11.46,10.31,10.4,-6.32,M
21/10/2021,11.55,12.2,12.31,11.49,5.25,-6.25,M
20/10/2021,12.32,12.44,12.68,12.26,1.02,0.0,M
19/10/2021,12.32,13.0,13.09,12.3,1.95,-6.24,M
18/10/2021,13.14,13.03,13.19,12.82,1.05,0.08,M
15/10/2021,13.13,12.97,13.15,12.92,830.0,1.23,K
14/10/2021,12.97,13.18,13.36,12.83,1.18,-1.52,M
13/10/2021,13.17,12.87,13.39,12.87,1.68,1.78,M
11/10/2021,12.94,12.71,13.06,12.55,1.36,1.89,M
08/10/2021,12.7,12.58,12.83,12.53,1.74,1.84,M
07/10/2021,12.47,12.48,12.71,12.35,1.17,0.65,M
06/10/2021,12.39,12.82,12.82,12.12,3.02,-3.95,M
05/10/2021,12.9,13.09,13.09,12.81,1.22,-1.07,M
04/10/2021,13.04,13.4,13.42,12.89,903.8,-2.47,K
01/10/2021,13.37,13.22,13.4,13.0,1.56,1.83,M
30/09/2021,13.13,13.72,13.81,13.01,3.26,-3.38,M
29/09/2021,13.59,13.89,14.27,13.56,2.96,-1.38,M
28/09/2021,13.78,13.64,14.02,13.52,2.24,0.51,M
27/09/2021,13.71,13.93,13.95,13.6,2.37,-1.79,M
24/09/2021,13.96,13.58,14.04,13.43,1.57,1.6,M
23/09/2021,13.74,13.71,14.25,13.64,2.57,0.96,M
22/09/2021,13.61,14.17,14.17,13.56,2.45,-2.72,M
21/09/2021,13.99,13.56,14.16,13.43,2.39,3.63,M
20/09/2021,13.5,13.87,14.11,13.29,2.2,-4.12,M
17/09/2021,14.08,13.83,14.18,13.63,1.94,1.51,M
16/09/2021,13.87,13.86,14.1,13.66,2.07,-0.22,M
15/09/2021,13.9,14.15,14.17,13.84,1.78,-1.7,M
14/09/2021,14.14,14.05,14.44,14.03,1.57,0.5,M
13/09/2021,14.07,14.16,14.35,14.02,1.63,1.01,M
10/09/2021,13.93,13.78,14.16,13.64,3.21,1.83,M
09/09/2021,13.68,13.37,13.71,13.06,2.61,2.47,M
08/09/2021,13.35,14.05,14.12,13.3,3.32,-5.12,M
06/09/2021,14.07,13.84,14.31,13.73,1.49,1.52,M
03/09/2021,13.86,14.26,14.3,13.86,2.33,-3.28,M
02/09/2021,14.33,14.73,14.81,14.21,12.15,-3.7,M
01/09/2021,14.88,13.94,14.92,13.84,3.93,7.44,M
31/08/2021,13.85,14.23,14.31,13.79,2.29,-2.6,M
30/08/2021,14.22,15.19,15.19,14.21,3.14,-6.57,M
27/08/2021,15.22,15.7,15.7,15.1,1.43,-2.5,M
26/08/2021,15.61,15.4,15.79,15.07,3.54,1.04,M
25/08/2021,15.45,15.46,15.72,15.29,1.91,-0.13,M
24/08/2021,15.47,15.05,15.5,14.9,1.76,3.41,M
23/08/2021,14.96,14.82,15.04,14.64,1.91,0.94,M
20/08/2021,14.82,14.62,15.03,14.6,1.8,0.0,M
19/08/2021,14.82,13.9,15.21,13.61,4.28,5.86,M
18/08/2021,14.0,14.56,14.56,13.97,2.45,-3.65,M
17/08/2021,14.53,14.98,15.02,14.18,2.72,-3.07,M
16/08/2021,14.99,15.21,15.3,14.98,2.58,-1.77,M
13/08/2021,15.26,14.49,15.26,14.41,3.29,4.66,M
12/08/2021,14.58,14.39,14.85,14.27,1.73,1.25,M
11/08/2021,14.4,13.99,14.47,13.88,1.84,2.93,M
10/08/2021,13.99,14.16,14.27,13.92,1.54,-1.2,M
09/08/2021,14.16,14.18,14.41,14.08,1.11,-0.35,M
