Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,8.25,8.0,8.25,7.51,3.06,0.0,M
23/02/2022,8.25,8.35,8.6,8.23,1.85,-0.96,M
22/02/2022,8.33,8.33,8.5,8.26,5.63,1.22,M
21/02/2022,8.23,8.75,8.82,8.23,1.88,-5.94,M
18/02/2022,8.75,9.2,9.2,8.7,2.92,-2.78,M
17/02/2022,9.0,9.3,9.41,8.86,2.42,-3.12,M
16/02/2022,9.29,9.3,9.55,9.16,1.74,-0.11,M
15/02/2022,9.3,9.11,9.47,9.03,8.08,4.85,M
14/02/2022,8.87,9.14,9.38,8.79,2.18,-2.85,M
11/02/2022,9.13,9.29,9.63,9.05,2.26,-1.72,M
10/02/2022,9.29,9.26,9.4,8.93,2.29,0.65,M
09/02/2022,9.23,9.19,9.5,9.11,1.29,0.33,M
08/02/2022,9.2,9.4,9.41,9.19,1.45,-2.34,M
07/02/2022,9.42,9.53,9.9,9.42,2.01,-2.38,M
04/02/2022,9.65,10.29,10.29,9.39,2.5,-4.74,M
03/02/2022,10.13,10.28,10.58,10.01,2.0,-0.59,M
02/02/2022,10.19,10.31,10.63,10.13,1.41,-0.49,M
01/02/2022,10.24,10.15,10.46,9.99,1.34,0.99,M
31/01/2022,10.14,9.95,10.37,9.92,1.9,1.91,M
28/01/2022,9.95,10.21,10.47,9.84,2.86,-2.64,M
27/01/2022,10.22,10.3,10.47,9.98,3.47,0.1,M
26/01/2022,10.21,9.36,10.29,9.36,9.37,10.14,M
25/01/2022,9.27,8.71,9.34,8.71,2.7,5.7,M
24/01/2022,8.77,8.99,9.04,8.68,2.36,-2.77,M
21/01/2022,9.02,8.77,9.35,8.71,2.96,2.38,M
20/01/2022,8.81,8.24,8.93,8.24,9.7,7.18,M
19/01/2022,8.22,8.43,8.73,8.19,8.76,-1.67,M
18/01/2022,8.36,8.78,8.88,8.16,4.01,-6.38,M
17/01/2022,8.93,9.2,9.27,8.85,1.34,-2.08,M
14/01/2022,9.12,9.23,9.36,8.93,2.57,-1.83,M
13/01/2022,9.29,9.47,9.58,9.15,1.43,-2.93,M
12/01/2022,9.57,9.34,9.75,9.32,1.84,1.92,M
11/01/2022,9.39,8.97,9.45,8.96,1.64,4.68,M
10/01/2022,8.97,8.9,8.97,8.57,1.85,0.11,M
07/01/2022,8.96,9.12,9.27,8.84,1.96,-2.08,M
06/01/2022,9.15,9.49,9.56,9.05,3.0,-2.76,M
05/01/2022,9.41,9.92,10.09,9.3,2.56,-5.14,M
04/01/2022,9.92,10.76,10.76,9.84,2.95,-7.46,M
03/01/2022,10.72,11.22,11.3,10.46,2.56,-4.2,M
30/12/2021,11.19,10.97,11.41,10.92,1.71,2.1,M
29/12/2021,10.96,11.45,11.46,10.94,1.02,-3.69,M
28/12/2021,11.38,11.31,11.46,11.09,1.03,1.25,M
27/12/2021,11.24,10.9,11.37,10.88,1.16,2.84,M
23/12/2021,10.93,10.89,10.98,10.41,3.32,-0.55,M
22/12/2021,10.99,11.02,11.1,10.31,3.7,-1.35,M
21/12/2021,11.14,11.63,11.63,10.75,2.94,-1.68,M
20/12/2021,11.33,11.3,11.67,11.17,1.97,-1.31,M
17/12/2021,11.48,11.16,11.71,10.86,3.28,2.32,M
16/12/2021,11.22,11.15,11.6,11.04,2.62,2.47,M
15/12/2021,10.95,10.81,10.98,10.52,1.9,1.3,M
14/12/2021,10.81,11.06,11.32,10.71,1.73,-2.26,M
13/12/2021,11.06,11.0,11.46,10.74,2.26,1.37,M
10/12/2021,10.91,10.87,11.02,10.74,1.38,2.83,M
09/12/2021,10.61,10.97,10.97,10.42,1.93,-3.46,M
08/12/2021,10.99,10.76,11.55,10.46,3.9,3.97,M
07/12/2021,10.57,10.91,11.03,10.55,1.13,-0.66,M
06/12/2021,10.64,10.7,10.91,10.48,1.37,0.38,M
03/12/2021,10.6,9.83,10.63,9.78,2.76,9.05,M
02/12/2021,9.72,9.9,10.1,9.43,2.85,0.41,M
01/12/2021,9.68,10.24,10.42,9.68,3.13,-4.44,M
30/11/2021,10.13,10.35,10.5,9.91,1.44,-3.06,M
29/11/2021,10.45,10.85,10.88,10.27,2.56,-2.25,M
26/11/2021,10.69,10.96,10.96,10.51,2.09,-5.48,M
25/11/2021,11.31,10.95,11.45,10.9,1.09,3.1,M
24/11/2021,10.97,10.69,11.29,10.56,1.75,1.95,M
23/11/2021,10.76,10.99,11.0,10.52,1.89,-1.56,M
22/11/2021,10.93,11.33,11.46,10.79,2.75,-3.1,M
19/11/2021,11.28,11.3,12.08,11.11,2.79,1.08,M
18/11/2021,11.16,11.18,11.8,11.04,2.72,0.72,M
17/11/2021,11.08,11.77,11.9,10.91,5.62,-4.81,M
16/11/2021,11.64,12.52,12.57,11.64,2.03,-6.58,M
12/11/2021,12.46,12.7,12.95,12.46,2.21,-2.12,M
11/11/2021,12.73,12.56,12.99,12.47,2.7,2.33,M
10/11/2021,12.44,12.15,12.72,11.97,2.07,4.1,M
09/11/2021,11.95,11.92,12.52,11.8,2.48,1.62,M
08/11/2021,11.76,12.04,12.09,11.55,1.72,-1.84,M
05/11/2021,11.98,11.87,12.4,11.73,1.74,2.39,M
04/11/2021,11.7,12.15,12.22,11.6,1.98,-3.47,M
03/11/2021,12.12,11.53,12.34,11.45,2.51,3.86,M
01/11/2021,11.67,11.7,12.05,11.62,1.99,0.78,M
29/10/2021,11.58,11.89,12.11,11.5,3.05,-3.5,M
28/10/2021,12.0,12.55,12.7,11.85,3.82,-4.76,M
27/10/2021,12.6,12.59,13.09,12.52,1.84,0.48,M
26/10/2021,12.54,13.06,13.15,12.44,2.33,-4.78,M
25/10/2021,13.17,13.16,13.47,13.07,3.31,1.78,M
22/10/2021,12.94,13.1,13.33,12.5,6.21,-3.43,M
21/10/2021,13.4,14.21,14.31,13.17,3.31,-6.75,M
20/10/2021,14.37,14.73,15.0,14.37,2.68,-2.44,M
19/10/2021,14.73,15.18,15.24,14.33,3.66,-3.98,M
18/10/2021,15.34,15.15,15.85,14.98,3.43,0.46,M
15/10/2021,15.27,15.74,15.77,15.04,2.3,-2.43,M
14/10/2021,15.65,15.38,15.8,15.27,3.46,2.42,M
13/10/2021,15.28,15.52,15.8,14.98,6.56,-2.05,M
11/10/2021,15.6,16.04,16.05,15.48,1.68,-2.5,M
08/10/2021,16.0,15.76,16.33,15.71,1.65,1.52,M
07/10/2021,15.76,16.04,16.13,15.52,1.73,-1.13,M
