Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,26.58,26.3,26.81,26.21,402.5,-3.13,K
23/02/2022,27.44,26.81,28.32,26.74,837.8,2.69,K
22/02/2022,26.72,26.29,27.29,26.25,186.3,1.98,K
21/02/2022,26.2,27.26,27.29,25.92,380.4,-3.78,K
18/02/2022,27.23,27.56,27.85,27.03,351.5,-1.2,K
17/02/2022,27.56,27.61,27.9,27.04,690.8,-0.18,K
16/02/2022,27.61,27.87,27.91,27.45,180.6,0.04,K
15/02/2022,27.6,27.34,28.11,27.22,316.2,-1.92,K
14/02/2022,28.14,28.49,28.58,28.06,314.7,0.14,K
11/02/2022,28.1,28.53,28.75,27.84,331.0,0.68,K
10/02/2022,27.91,28.29,28.65,27.78,243.9,-0.32,K
09/02/2022,28.0,27.94,28.55,27.75,445.1,2.79,K
08/02/2022,27.24,27.7,27.95,27.24,187.6,-1.66,K
07/02/2022,27.7,27.95,27.96,27.22,246.9,-0.5,K
04/02/2022,27.84,28.44,28.46,27.3,234.1,-1.59,K
03/02/2022,28.29,28.21,28.95,27.28,459.0,1.33,K
02/02/2022,27.92,27.91,28.45,27.76,403.1,-0.14,K
01/02/2022,27.96,28.97,29.22,27.8,515.8,-1.13,K
31/01/2022,28.28,28.04,28.56,27.96,360.1,0.96,K
28/01/2022,28.01,28.49,28.88,28.01,244.8,-2.61,K
27/01/2022,28.76,28.74,29.18,28.37,309.1,-0.28,K
26/01/2022,28.84,28.78,29.5,28.63,871.7,1.19,K
25/01/2022,28.5,27.67,28.7,27.59,502.8,2.3,K
24/01/2022,27.86,28.16,28.33,27.57,479.8,-1.03,K
21/01/2022,28.15,27.25,28.25,26.91,826.2,3.3,K
20/01/2022,27.25,25.52,27.83,25.52,1.38,5.7,M
19/01/2022,25.78,25.15,25.84,25.13,555.4,2.91,K
18/01/2022,25.05,25.0,25.35,24.72,814.9,0.2,K
17/01/2022,25.0,24.49,25.57,24.49,712.2,0.16,K
14/01/2022,24.96,23.95,25.22,23.7,795.5,3.78,K
13/01/2022,24.05,23.53,24.21,23.5,681.7,1.05,K
12/01/2022,23.8,23.44,24.45,23.44,1.3,0.17,M
11/01/2022,23.76,22.94,23.97,22.82,463.6,3.17,K
10/01/2022,23.03,23.23,23.37,22.75,798.1,-1.79,K
07/01/2022,23.45,23.42,23.95,23.06,862.0,-0.42,K
06/01/2022,23.55,23.14,24.15,22.93,891.8,1.51,K
05/01/2022,23.2,23.53,23.89,23.1,981.2,-2.52,K
04/01/2022,23.8,24.27,24.4,23.48,1.25,-2.02,M
03/01/2022,24.29,25.45,25.45,23.7,1.4,-3.95,M
30/12/2021,25.29,24.31,25.29,23.91,1.13,4.72,M
29/12/2021,24.15,24.51,25.04,24.01,633.7,-1.59,K
28/12/2021,24.54,23.65,24.69,23.6,659.9,2.0,K
27/12/2021,24.06,23.39,24.18,23.16,741.7,4.11,K
23/12/2021,23.11,23.99,23.99,23.09,648.7,-3.43,K
22/12/2021,23.93,23.39,24.1,22.99,818.7,2.92,K
21/12/2021,23.25,23.78,24.13,23.07,866.7,-1.69,K
20/12/2021,23.65,24.29,24.71,23.61,1.06,-4.64,M
17/12/2021,24.8,23.75,24.83,23.21,1.05,2.31,M
16/12/2021,24.24,23.48,24.24,23.33,926.1,2.49,K
15/12/2021,23.65,24.02,24.3,23.3,783.7,-3.07,K
14/12/2021,24.4,25.35,25.39,24.07,935.0,-2.48,K
13/12/2021,25.02,25.31,25.83,24.88,911.9,-1.26,K
10/12/2021,25.34,24.18,25.44,24.18,716.6,5.32,K
09/12/2021,24.06,24.52,24.8,23.51,641.4,-2.59,K
08/12/2021,24.7,23.11,24.9,22.89,972.1,6.05,K
07/12/2021,23.29,24.54,24.95,23.22,735.6,-4.67,K
06/12/2021,24.43,23.19,24.52,23.17,664.2,5.3,K
03/12/2021,23.2,22.8,24.35,22.62,840.7,1.75,K
02/12/2021,22.8,22.3,23.13,22.11,740.0,3.26,K
01/12/2021,22.08,22.36,23.58,21.96,568.3,0.32,K
30/11/2021,22.01,23.0,23.06,21.83,1.09,-4.39,M
29/11/2021,23.02,23.74,24.18,23.02,334.5,-2.5,K
26/11/2021,23.61,23.56,23.79,22.64,780.8,-2.88,K
25/11/2021,24.31,23.81,24.81,23.79,392.9,1.55,K
24/11/2021,23.94,23.43,24.29,23.19,387.1,2.35,K
23/11/2021,23.39,24.01,24.01,22.96,797.2,-0.93,K
22/11/2021,23.61,23.72,24.34,23.42,491.5,-0.38,K
19/11/2021,23.7,23.76,24.95,23.68,515.1,-0.88,K
18/11/2021,23.91,23.28,24.02,23.02,675.4,3.69,K
17/11/2021,23.06,23.66,24.26,22.51,1.23,-1.37,M
