Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,24.9,24.3,25.0,23.89,319.1,0.12,K
23/02/2022,24.87,25.38,25.54,24.57,733.3,-2.01,K
22/02/2022,25.38,25.29,26.32,24.99,678.6,1.93,K
21/02/2022,24.9,25.9,25.92,24.83,1.1,-3.49,M
18/02/2022,25.8,26.66,26.77,25.71,415.4,-1.53,K
17/02/2022,26.2,26.16,26.78,26.11,397.8,0.19,K
16/02/2022,26.15,25.55,26.23,25.44,403.0,2.99,K
15/02/2022,25.39,25.3,25.57,25.1,388.9,0.55,K
14/02/2022,25.25,24.46,25.46,24.19,542.9,4.17,K
11/02/2022,24.24,24.37,24.63,23.96,589.8,-0.04,K
10/02/2022,24.25,24.2,24.43,24.0,446.7,0.21,K
09/02/2022,24.2,24.07,24.35,23.79,283.4,0.83,K
08/02/2022,24.0,23.38,24.4,23.38,446.7,2.7,K
07/02/2022,23.37,23.3,23.64,22.48,698.7,0.26,K
04/02/2022,23.31,22.68,23.31,22.14,314.2,2.78,K
03/02/2022,22.68,22.5,22.86,22.22,427.3,0.62,K
02/02/2022,22.54,22.38,22.85,22.38,418.2,-0.35,K
01/02/2022,22.62,22.39,22.63,21.85,476.9,1.98,K
31/01/2022,22.18,21.59,22.33,21.56,634.6,3.74,K
28/01/2022,21.38,20.74,21.38,20.7,271.6,1.91,K
27/01/2022,20.98,20.75,21.37,20.75,330.2,1.4,K
26/01/2022,20.69,20.9,20.9,20.59,645.3,0.0,K
25/01/2022,20.69,20.45,20.8,20.45,469.3,0.63,K
24/01/2022,20.56,20.9,20.9,20.45,662.0,-1.58,K
21/01/2022,20.89,21.06,21.06,20.59,622.6,-1.32,K
20/01/2022,21.17,20.68,21.23,20.49,647.7,3.02,K
19/01/2022,20.55,20.78,20.99,20.43,828.7,-0.77,K
18/01/2022,20.71,21.93,22.04,20.64,1.05,-6.08,M
17/01/2022,22.05,21.47,22.17,21.15,736.2,2.94,K
14/01/2022,21.42,20.7,22.57,20.3,2.89,1.56,M
13/01/2022,21.09,24.15,24.27,20.76,1.45,-12.85,M
12/01/2022,24.2,23.72,24.25,23.72,823.2,1.3,K
11/01/2022,23.89,23.6,23.89,23.36,534.6,0.59,K
10/01/2022,23.75,23.75,23.78,23.05,857.1,-0.21,K
07/01/2022,23.8,23.69,23.8,23.49,399.1,0.59,K
06/01/2022,23.66,23.7,23.7,23.19,764.0,-0.04,K
05/01/2022,23.67,23.75,23.86,23.53,1.07,-0.38,M
04/01/2022,23.76,23.87,23.98,23.51,1.13,0.25,M
03/01/2022,23.7,23.7,23.88,23.5,658.5,0.42,K
30/12/2021,23.6,23.5,23.79,23.47,2.05,0.43,M
29/12/2021,23.5,23.13,23.52,23.05,521.6,1.29,K
28/12/2021,23.2,23.15,23.2,22.93,727.2,0.43,K
27/12/2021,23.1,22.97,23.18,22.83,487.2,0.83,K
23/12/2021,22.91,22.83,22.95,22.59,456.0,0.48,K
22/12/2021,22.8,22.73,22.83,22.65,485.0,0.09,K
21/12/2021,22.78,22.95,22.95,22.67,346.0,0.13,K
20/12/2021,22.75,22.68,22.95,22.58,514.0,0.0,K
17/12/2021,22.75,22.85,23.1,22.68,697.1,-0.7,K
16/12/2021,22.91,23.27,23.27,22.62,976.1,-0.48,K
15/12/2021,23.02,23.02,23.18,22.7,861.9,0.52,K
14/12/2021,22.9,22.82,23.05,22.69,518.8,0.53,K
13/12/2021,22.78,23.01,23.65,22.51,2.06,0.66,M
10/12/2021,22.63,22.29,22.76,22.29,616.4,1.94,K
09/12/2021,22.2,22.44,22.58,22.13,269.2,-1.29,K
08/12/2021,22.49,21.99,22.54,21.83,456.7,2.93,K
07/12/2021,21.85,21.7,22.1,21.34,390.9,1.82,K
06/12/2021,21.46,20.99,21.93,20.91,537.0,2.48,K
03/12/2021,20.94,20.63,21.14,20.63,639.8,1.16,K
02/12/2021,20.7,20.66,20.97,20.49,713.3,1.32,K
01/12/2021,20.43,20.87,20.94,20.34,680.2,-1.07,K
30/11/2021,20.65,20.81,21.03,20.52,1.21,-1.48,M
29/11/2021,20.96,21.17,21.2,20.77,565.6,0.29,K
26/11/2021,20.9,20.85,20.93,20.54,792.6,-0.99,K
25/11/2021,21.11,21.1,21.24,21.03,287.6,0.33,K
24/11/2021,21.04,20.98,21.25,20.66,583.6,0.53,K
23/11/2021,20.93,21.08,21.22,20.62,615.2,0.43,K
22/11/2021,20.84,21.12,21.39,20.61,953.4,-0.86,K
19/11/2021,21.02,21.07,21.33,20.9,477.4,0.24,K
18/11/2021,20.97,21.14,21.39,20.9,648.9,-0.47,K
17/11/2021,21.07,21.09,21.43,20.75,636.2,-0.61,K
16/11/2021,21.2,21.33,21.4,20.74,837.2,-0.33,K
12/11/2021,21.27,21.32,21.56,21.19,329.8,-0.93,K
11/11/2021,21.47,21.71,21.94,21.4,926.9,0.56,K
10/11/2021,21.35,21.34,21.64,21.11,328.5,0.23,K
09/11/2021,21.3,21.3,21.45,21.07,320.2,0.52,K
08/11/2021,21.19,21.28,21.47,21.08,343.9,-1.07,K
05/11/2021,21.42,21.3,21.5,21.1,483.3,1.04,K
04/11/2021,21.2,21.45,21.73,21.07,526.7,-1.4,K
03/11/2021,21.5,21.24,22.1,21.19,961.5,0.61,K
01/11/2021,21.37,21.3,21.42,21.05,627.7,0.8,K
29/10/2021,21.2,21.45,21.45,21.0,792.0,0.47,K
28/10/2021,21.1,21.1,21.32,20.99,1.07,-0.14,M
27/10/2021,21.13,21.45,21.68,21.13,734.0,-1.12,K
26/10/2021,21.37,21.52,21.75,21.3,430.8,-1.97,K
25/10/2021,21.8,21.65,21.92,21.35,695.3,1.87,K
22/10/2021,21.4,21.11,21.73,20.85,1.51,0.38,M
21/10/2021,21.32,21.69,21.81,21.11,1.23,-2.91,M
20/10/2021,21.96,21.97,22.04,21.63,536.8,0.05,K
19/10/2021,21.95,22.33,22.48,21.81,899.3,-2.23,K
18/10/2021,22.45,22.39,22.67,22.23,1.5,0.0,M
15/10/2021,22.45,22.69,22.71,22.39,980.1,-1.1,K
14/10/2021,22.7,22.69,22.85,22.36,1.31,0.67,M
13/10/2021,22.55,22.58,22.78,22.33,1.15,-0.57,M
11/10/2021,22.68,22.72,22.74,22.33,841.6,0.8,K
08/10/2021,22.5,21.97,22.5,21.86,1.3,3.02,M
07/10/2021,21.84,22.04,22.11,21.62,697.5,-0.68,K
06/10/2021,21.99,22.13,22.13,21.6,889.0,-1.39,K
05/10/2021,22.3,22.16,22.58,21.92,1.06,1.13,M
04/10/2021,22.05,22.12,22.35,21.91,1.04,0.05,M
01/10/2021,22.04,21.94,22.23,21.79,993.7,0.18,K
30/09/2021,22.0,22.23,22.33,21.62,1.07,-0.45,M
29/09/2021,22.1,22.06,22.2,21.87,668.0,1.05,K
28/09/2021,21.87,22.32,22.36,21.62,1.0,-2.5,M
27/09/2021,22.43,22.29,22.85,22.16,958.0,0.99,K
24/09/2021,22.21,22.05,22.29,21.79,848.3,0.54,K
23/09/2021,22.09,21.74,22.23,21.66,1.19,1.84,M
22/09/2021,21.69,21.8,21.8,21.55,654.5,0.42,K
21/09/2021,21.6,21.46,21.98,21.24,1.35,1.79,M
20/09/2021,21.22,21.28,21.49,20.86,1.77,-1.3,M
17/09/2021,21.5,21.0,22.0,20.41,5.03,7.5,M
16/09/2021,20.0,22.0,22.5,20.0,6.6,33.78,M
15/09/2021,14.95,15.37,15.38,14.84,361.4,-2.54,K
14/09/2021,15.34,15.39,15.69,15.16,628.4,0.66,K
13/09/2021,15.24,14.79,15.4,14.7,617.5,5.69,K
10/09/2021,14.42,14.97,15.3,14.42,713.7,-3.29,K
09/09/2021,14.91,14.57,14.98,14.34,436.9,2.26,K
08/09/2021,14.58,15.38,15.44,14.32,479.9,-6.24,K
06/09/2021,15.55,15.04,15.68,14.99,287.4,3.25,K
03/09/2021,15.06,15.17,15.39,14.83,714.0,0.47,K
02/09/2021,14.99,15.42,15.54,14.88,666.5,-3.73,K
01/09/2021,15.57,15.8,15.87,15.5,431.2,-1.64,K
31/08/2021,15.83,16.11,16.36,15.83,296.9,-2.16,K
30/08/2021,16.18,16.17,16.5,15.97,375.9,-0.55,K
27/08/2021,16.27,15.74,16.32,15.72,288.7,3.37,K
26/08/2021,15.74,15.79,16.51,15.7,480.2,-0.63,K
25/08/2021,15.84,15.54,15.84,15.32,362.4,2.72,K
24/08/2021,15.42,15.46,15.75,15.41,434.4,0.78,K
23/08/2021,15.3,15.82,16.4,15.3,756.5,-1.1,K
20/08/2021,15.47,15.5,15.65,15.36,319.8,-0.96,K
19/08/2021,15.62,15.25,15.72,15.03,591.2,0.77,K
18/08/2021,15.5,16.23,16.27,15.5,869.9,-4.38,K
17/08/2021,16.21,16.06,16.43,15.69,1.16,0.93,M
16/08/2021,16.06,17.17,17.3,15.95,1.34,-6.9,M
13/08/2021,17.25,18.1,18.2,17.25,721.4,-4.43,K
12/08/2021,18.05,18.68,18.87,18.02,799.0,-3.84,K
11/08/2021,18.77,19.1,19.13,18.66,379.4,-1.05,K
10/08/2021,18.97,19.42,19.49,18.88,439.9,-1.3,K
09/08/2021,19.22,18.41,19.3,18.29,547.0,4.12,K
06/08/2021,18.46,18.25,18.46,18.07,424.4,1.48,K
05/08/2021,18.19,18.48,18.79,18.19,402.0,-0.87,K
04/08/2021,18.35,18.3,18.84,18.16,432.2,-0.6,K
03/08/2021,18.46,18.24,18.56,17.85,1.03,0.98,M
02/08/2021,18.28,18.23,18.63,18.14,412.3,1.27,K
30/07/2021,18.05,18.41,18.41,17.96,450.3,-2.43,K
29/07/2021,18.5,18.25,18.5,18.19,299.0,1.2,K
28/07/2021,18.28,18.11,18.49,18.03,484.4,1.22,K
27/07/2021,18.06,18.36,18.36,17.8,806.7,-1.85,K
26/07/2021,18.4,18.6,18.71,18.35,231.0,-1.13,K
