Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,25.51,25.15,25.97,24.36,12.81,-0.74,M
23/02/2022,25.7,25.9,27.07,25.53,10.59,-0.89,M
22/02/2022,25.93,26.66,26.92,25.81,10.56,-1.67,M
21/02/2022,26.37,27.46,27.46,25.92,7.32,-4.46,M
18/02/2022,27.6,27.55,27.72,26.96,9.45,1.36,M
17/02/2022,27.23,27.46,28.03,27.21,9.63,-1.02,M
16/02/2022,27.51,27.19,27.67,26.77,11.69,1.48,M
15/02/2022,27.11,26.3,27.24,26.16,11.34,4.63,M
14/02/2022,25.91,25.52,26.27,25.51,8.0,2.21,M
11/02/2022,25.35,25.63,26.33,24.86,13.09,-0.9,M
10/02/2022,25.58,26.03,26.16,25.36,8.56,-1.27,M
09/02/2022,25.91,26.33,26.43,25.57,5.65,1.29,M
08/02/2022,25.58,25.31,25.77,24.72,9.22,-0.43,M
07/02/2022,25.69,26.11,26.52,25.36,5.8,-1.95,M
04/02/2022,26.2,26.5,26.62,25.4,7.01,-1.76,M
03/02/2022,26.67,26.68,27.25,26.19,7.04,0.3,M
02/02/2022,26.59,27.1,27.49,26.08,8.88,-1.45,M
01/02/2022,26.98,28.05,28.61,26.72,11.84,-4.05,M
31/01/2022,28.12,28.09,28.47,27.82,11.33,-0.11,M
28/01/2022,28.15,27.55,28.36,27.39,11.47,0.79,M
27/01/2022,27.93,28.2,28.89,27.6,15.59,0.65,M
26/01/2022,27.75,27.91,28.87,27.28,16.69,2.74,M
25/01/2022,27.01,25.62,27.29,25.57,18.35,4.37,M
24/01/2022,25.88,26.34,26.38,25.54,8.09,-2.12,M
21/01/2022,26.44,25.9,26.99,25.54,17.27,1.15,M
20/01/2022,26.14,25.3,26.62,25.16,22.42,5.19,M
19/01/2022,24.85,23.8,25.14,23.67,12.69,5.74,M
18/01/2022,23.5,23.43,23.75,23.05,6.35,0.04,M
17/01/2022,23.49,23.95,24.23,23.44,4.1,-2.0,M
14/01/2022,23.97,24.7,24.77,23.72,8.44,-3.19,M
13/01/2022,24.76,24.41,25.0,24.15,9.71,0.45,M
12/01/2022,24.65,23.45,24.89,23.3,20.97,5.98,M
11/01/2022,23.26,22.66,23.52,22.35,10.2,2.29,M
10/01/2022,22.74,22.74,23.11,22.36,7.37,-1.09,M
07/01/2022,22.99,22.75,23.39,22.27,15.52,0.83,M
06/01/2022,22.8,21.87,22.94,21.44,21.41,5.12,M
05/01/2022,21.69,22.72,22.98,21.65,13.08,-4.87,M
04/01/2022,22.8,23.25,23.55,22.44,16.18,-1.21,M
03/01/2022,23.08,24.45,24.65,23.08,11.67,-5.56,M
30/12/2021,24.44,23.95,24.76,23.91,7.55,2.26,M
29/12/2021,23.9,24.47,24.51,23.9,7.02,-2.29,M
28/12/2021,24.46,24.53,24.85,24.17,7.08,0.37,M
27/12/2021,24.37,24.15,24.86,24.11,6.87,0.83,M
23/12/2021,24.17,24.7,24.89,23.88,5.95,-1.75,M
22/12/2021,24.6,24.66,24.74,23.85,14.93,-0.36,M
21/12/2021,24.69,25.5,25.67,24.55,10.89,-2.26,M
20/12/2021,25.26,25.81,26.15,25.13,10.78,-3.73,M
17/12/2021,26.24,25.82,26.71,25.41,14.74,0.15,M
16/12/2021,26.2,27.2,27.27,25.93,12.15,-2.93,M
15/12/2021,26.99,26.57,27.13,25.97,15.09,2.04,M
14/12/2021,26.45,28.06,28.27,26.29,16.0,-4.89,M
13/12/2021,27.81,28.51,28.76,27.81,10.72,-2.08,M
10/12/2021,28.4,28.65,29.04,28.14,8.84,0.53,M
09/12/2021,28.25,29.32,29.58,27.86,11.89,-4.56,M
08/12/2021,29.6,29.4,29.94,28.76,9.57,0.48,M
07/12/2021,29.46,30.19,30.32,28.96,9.47,-1.11,M
06/12/2021,29.79,29.47,30.0,28.98,9.55,1.85,M
03/12/2021,29.25,28.74,30.38,28.64,10.78,2.24,M
02/12/2021,28.61,28.76,29.09,28.16,14.85,1.13,M
01/12/2021,28.29,28.9,29.66,27.97,10.69,-0.56,M
30/11/2021,28.45,28.6,29.31,27.8,19.59,-1.69,M
29/11/2021,28.94,29.75,30.07,28.7,8.82,-1.43,M
26/11/2021,29.36,30.0,30.0,28.6,12.98,-4.58,M
25/11/2021,30.77,30.72,31.48,30.42,8.93,0.52,M
24/11/2021,30.61,31.08,31.46,29.99,11.3,-1.73,M
23/11/2021,31.15,31.41,31.71,30.16,9.64,-0.1,M
22/11/2021,31.18,32.45,32.66,30.96,7.21,-3.53,M
19/11/2021,32.32,31.9,33.41,31.83,14.47,1.48,M
18/11/2021,31.85,31.08,31.87,30.85,9.4,2.81,M
17/11/2021,30.98,31.71,31.88,30.1,8.7,-0.74,M
16/11/2021,31.21,32.57,32.73,30.85,11.84,-3.16,M
12/11/2021,32.23,33.8,33.8,31.94,20.34,-5.01,M
11/11/2021,33.93,33.17,34.76,32.87,13.96,3.57,M
10/11/2021,32.76,32.03,33.83,32.03,12.07,1.36,M
09/11/2021,32.32,31.17,33.0,31.1,7.94,4.26,M
08/11/2021,31.0,31.66,31.66,30.62,5.42,-1.9,M
05/11/2021,31.6,31.43,32.8,31.31,9.84,-7.33,M
04/11/2021,34.1,34.85,35.31,33.73,9.53,-2.18,M
03/11/2021,34.86,33.03,35.49,32.97,12.29,5.0,M
01/11/2021,33.2,32.25,33.47,32.25,7.1,3.01,M
29/10/2021,32.23,32.66,32.92,31.87,9.36,-0.37,M
28/10/2021,32.35,31.74,32.96,31.74,10.08,-0.06,M
27/10/2021,32.37,31.62,33.19,31.52,12.54,2.79,M
26/10/2021,31.49,32.5,32.74,31.26,11.46,-4.14,M
25/10/2021,32.85,32.15,33.4,31.87,12.64,2.5,M
22/10/2021,32.05,33.0,33.11,30.4,33.21,-4.01,M
21/10/2021,33.39,33.99,35.14,33.12,17.87,-4.44,M
20/10/2021,34.94,34.18,35.93,34.18,12.58,1.48,M
19/10/2021,34.43,35.5,35.5,33.83,12.72,-4.33,M
18/10/2021,35.99,35.69,36.63,34.9,8.22,0.67,M
15/10/2021,35.75,34.44,36.0,34.24,10.15,3.32,M
14/10/2021,34.6,34.84,35.16,34.15,4.68,-0.52,M
13/10/2021,34.78,34.08,35.4,33.84,13.79,2.6,M
11/10/2021,33.9,34.94,34.94,33.76,6.94,-2.31,M
08/10/2021,34.7,34.2,36.0,34.12,10.93,2.75,M
07/10/2021,33.77,34.08,34.3,33.44,7.31,-0.09,M
06/10/2021,33.8,33.4,33.9,32.45,10.98,-1.26,M
05/10/2021,34.23,34.37,34.88,33.88,11.95,-0.26,M
04/10/2021,34.32,36.03,36.13,33.97,7.53,-5.25,M
01/10/2021,36.22,34.48,36.3,34.14,10.44,5.23,M
30/09/2021,34.42,34.51,35.18,34.15,7.11,-0.17,M
29/09/2021,34.48,34.44,35.48,34.2,6.16,0.7,M
28/09/2021,34.24,35.62,35.66,33.78,10.51,-4.49,M
27/09/2021,35.85,37.11,37.16,35.52,6.07,-3.06,M
24/09/2021,36.98,36.96,37.08,36.53,4.92,-0.59,M
23/09/2021,37.2,36.76,37.47,36.56,10.27,1.61,M
22/09/2021,36.61,36.71,36.87,35.93,7.35,0.52,M
21/09/2021,36.42,35.82,37.13,35.62,7.31,2.35,M
20/09/2021,35.59,36.05,36.48,35.1,7.25,-2.3,M
17/09/2021,36.42,36.95,37.27,36.38,11.15,-1.88,M
16/09/2021,37.12,36.62,37.35,36.34,6.33,1.25,M
15/09/2021,36.66,37.51,37.85,36.2,9.65,-1.58,M
14/09/2021,37.25,37.17,37.84,36.93,8.61,0.56,M
13/09/2021,37.04,36.57,37.4,36.33,6.79,2.76,M
10/09/2021,36.04,36.43,36.95,35.69,9.19,1.01,M
09/09/2021,35.68,35.2,36.19,34.44,10.8,1.79,M
08/09/2021,35.06,36.93,37.05,34.94,11.42,-5.23,M
06/09/2021,36.99,36.71,37.32,36.68,2.53,0.0,M
03/09/2021,36.99,36.67,36.99,35.93,10.6,1.62,M
02/09/2021,36.4,37.27,37.27,36.4,7.01,-2.59,M
01/09/2021,37.37,37.67,38.09,37.02,10.3,-1.47,M
31/08/2021,37.93,38.03,38.69,37.15,7.91,0.21,M
30/08/2021,37.85,38.07,38.25,37.51,3.89,-0.6,M
27/08/2021,38.08,37.93,38.41,37.4,7.29,0.79,M
26/08/2021,37.78,38.85,39.11,37.69,8.66,-3.59,M
25/08/2021,39.18,38.71,39.63,38.34,5.79,1.08,M
24/08/2021,38.76,38.09,39.04,38.09,6.01,2.23,M
23/08/2021,37.92,38.97,39.46,37.55,9.08,-2.93,M
20/08/2021,39.06,38.54,39.39,38.47,8.89,-0.63,M
19/08/2021,39.31,38.52,39.98,38.09,10.15,1.15,M
18/08/2021,38.86,39.37,39.74,38.25,10.3,-1.22,M
17/08/2021,39.34,39.43,39.48,38.17,13.97,-0.7,M
16/08/2021,39.62,40.61,41.01,38.86,10.24,-2.64,M
13/08/2021,40.7,41.06,41.42,39.38,11.37,1.26,M
12/08/2021,40.19,40.51,40.88,39.77,6.74,-1.15,M
11/08/2021,40.66,40.35,40.99,39.98,5.44,0.62,M
10/08/2021,40.41,41.21,41.26,40.29,5.65,-1.36,M
09/08/2021,40.97,41.0,41.74,40.78,7.48,-0.22,M
06/08/2021,41.06,41.11,41.72,40.74,7.99,-0.05,M
05/08/2021,41.08,41.73,41.78,40.42,11.87,-0.63,M
04/08/2021,41.33,41.45,41.86,40.92,6.42,-1.1,M
03/08/2021,41.79,41.4,41.89,40.74,6.43,0.62,M
02/08/2021,41.53,41.84,42.67,41.4,7.89,0.92,M
30/07/2021,41.16,41.55,41.8,40.86,7.79,-1.97,M
29/07/2021,41.98,41.8,42.39,41.61,4.08,0.17,M
28/07/2021,41.91,41.85,42.19,41.32,8.87,0.17,M
27/07/2021,41.84,42.08,42.16,41.23,5.59,-1.29,M
26/07/2021,42.39,43.18,43.21,41.93,5.91,-1.78,M
23/07/2021,43.16,43.53,43.76,42.81,6.74,-1.23,M
22/07/2021,43.7,43.11,43.9,43.11,5.42,1.53,M
21/07/2021,43.04,43.35,43.59,42.79,7.15,-0.71,M
20/07/2021,43.35,43.61,43.9,42.92,10.17,-1.02,M
19/07/2021,43.8,44.4,44.56,43.44,7.19,-2.4,M
16/07/2021,44.87,45.07,45.56,44.49,6.56,0.13,M
15/07/2021,44.81,44.99,45.48,44.4,6.67,-0.6,M
14/07/2021,45.08,45.74,45.76,44.79,9.19,-0.29,M
13/07/2021,45.21,44.48,45.32,43.95,8.5,1.07,M
12/07/2021,44.73,44.58,44.93,44.11,8.38,0.72,M
08/07/2021,44.41,43.61,44.72,43.05,9.71,0.34,M
07/07/2021,44.26,43.59,44.63,43.26,9.11,2.59,M
06/07/2021,43.15,43.28,43.53,42.94,6.88,-0.48,M
05/07/2021,43.36,43.39,43.99,42.92,5.35,0.28,M
02/07/2021,43.24,43.13,43.85,42.92,7.59,1.31,M
01/07/2021,42.68,44.17,44.49,42.14,19.17,-3.17,M
30/06/2021,44.08,43.85,44.32,43.0,20.18,0.07,M
29/06/2021,44.05,45.14,45.14,43.58,15.24,-2.43,M
