Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.73,9.55,10.94,9.46,20.84,5.61,M
23/02/2022,10.16,10.13,10.69,10.05,15.69,0.4,M
22/02/2022,10.12,9.9,10.32,9.8,15.15,3.79,M
21/02/2022,9.75,10.24,10.35,9.51,15.07,-4.22,M
18/02/2022,10.18,11.17,11.18,10.18,14.94,-7.12,M
17/02/2022,10.96,10.93,11.22,10.68,10.69,0.27,M
16/02/2022,10.93,11.1,11.12,10.62,13.56,-1.97,M
15/02/2022,11.15,9.94,11.29,9.86,23.37,15.31,M
14/02/2022,9.67,9.98,10.27,9.57,14.26,-1.93,M
11/02/2022,9.86,9.82,10.51,9.7,24.25,0.82,M
10/02/2022,9.78,10.22,10.4,9.65,25.88,-3.93,M
09/02/2022,10.18,9.88,10.63,9.85,16.89,3.46,M
08/02/2022,9.84,9.9,10.07,9.61,11.64,-1.7,M
07/02/2022,10.01,9.61,10.11,9.27,16.48,2.88,M
04/02/2022,9.73,8.84,9.78,8.17,26.09,11.33,M
03/02/2022,8.74,9.48,9.66,8.67,19.8,-7.51,M
02/02/2022,9.45,10.36,10.46,9.37,16.67,-5.22,M
01/02/2022,9.97,9.7,10.08,9.55,11.63,2.78,M
31/01/2022,9.7,9.2,9.81,9.13,10.11,5.66,M
28/01/2022,9.18,9.1,9.38,8.61,12.52,-0.43,M
27/01/2022,9.22,9.15,9.96,9.15,17.42,1.99,M
26/01/2022,9.04,9.28,9.6,8.9,15.1,-0.55,M
25/01/2022,9.09,8.42,9.17,8.24,13.69,6.44,M
24/01/2022,8.54,8.89,8.94,8.0,16.58,-5.11,M
21/01/2022,9.0,8.39,9.17,8.3,14.92,4.17,M
20/01/2022,8.64,8.85,9.37,8.53,18.62,0.0,M
19/01/2022,8.64,7.75,8.77,7.75,19.97,12.65,M
18/01/2022,7.67,8.33,8.4,7.67,15.9,-10.61,M
17/01/2022,8.58,8.3,8.71,8.07,8.46,2.26,M
14/01/2022,8.39,8.74,9.06,8.16,20.49,-4.11,M
13/01/2022,8.75,9.49,9.7,8.53,26.74,-8.38,M
12/01/2022,9.55,9.96,10.17,9.42,27.97,-3.44,M
11/01/2022,9.89,9.81,10.14,9.63,31.5,0.92,M
10/01/2022,9.8,9.72,9.95,9.48,7.84,-1.11,M
07/01/2022,9.91,10.11,10.56,9.91,7.54,-2.27,M
06/01/2022,10.14,10.48,10.59,9.89,12.25,-2.22,M
05/01/2022,10.37,11.8,11.82,10.34,12.65,-12.78,M
04/01/2022,11.89,12.88,13.04,11.8,8.93,-6.75,M
03/01/2022,12.75,13.28,13.48,12.39,6.08,-3.12,M
30/12/2021,13.16,12.59,13.43,12.59,6.08,5.2,M
29/12/2021,12.51,12.98,13.19,12.39,4.77,-3.02,M
28/12/2021,12.9,13.26,13.76,12.75,4.09,-2.35,M
27/12/2021,13.21,13.52,13.85,12.96,5.05,-2.0,M
23/12/2021,13.48,13.59,14.03,13.04,6.69,-0.15,M
22/12/2021,13.5,13.47,13.95,13.17,7.98,-0.66,M
21/12/2021,13.59,13.03,13.65,12.85,7.13,6.5,M
20/12/2021,12.76,13.21,13.48,12.69,5.78,-7.13,M
17/12/2021,13.74,13.19,13.82,12.91,6.36,1.4,M
16/12/2021,13.55,14.0,14.37,13.48,7.53,-2.1,M
15/12/2021,13.84,13.2,13.97,12.54,12.04,4.85,M
14/12/2021,13.2,15.0,15.16,13.13,11.12,-11.11,M
13/12/2021,14.85,15.01,15.9,14.63,9.19,-0.07,M
10/12/2021,14.86,14.0,14.96,13.92,6.13,7.68,M
09/12/2021,13.8,14.28,14.5,13.6,9.07,-5.15,M
08/12/2021,14.55,13.81,14.96,13.26,11.24,5.28,M
07/12/2021,13.82,13.23,13.92,13.02,10.36,6.97,M
06/12/2021,12.92,12.9,12.96,12.2,8.84,1.33,M
03/12/2021,12.75,11.81,13.12,11.81,16.29,8.6,M
02/12/2021,11.74,12.05,12.64,11.34,14.03,-1.18,M
01/12/2021,11.88,13.68,13.94,11.81,16.94,-9.93,M
30/11/2021,13.19,14.5,14.55,12.94,11.91,-10.09,M
29/11/2021,14.67,14.11,14.9,13.95,6.74,6.77,M
26/11/2021,13.74,13.72,14.68,13.38,8.16,-3.98,M
25/11/2021,14.31,14.06,14.6,13.85,8.17,3.32,M
24/11/2021,13.85,13.09,14.56,13.0,19.12,4.84,M
23/11/2021,13.21,13.67,13.86,12.12,25.64,-3.29,M
22/11/2021,13.66,15.29,15.29,13.56,11.33,-9.24,M
19/11/2021,15.05,15.71,16.26,14.96,10.81,-4.26,M
18/11/2021,15.72,15.35,15.9,14.87,20.24,3.01,M
17/11/2021,15.26,16.97,17.48,15.26,19.22,-9.44,M
16/11/2021,16.85,19.16,19.43,16.22,19.06,-11.78,M
12/11/2021,19.1,21.1,21.26,18.84,7.98,-8.61,M
11/11/2021,20.9,21.0,21.5,19.04,9.75,-0.48,M
10/11/2021,21.0,21.62,22.07,20.87,4.43,-3.31,M
09/11/2021,21.72,21.51,22.26,21.15,4.0,1.73,M
08/11/2021,21.35,22.05,22.59,21.3,3.82,-3.17,M
05/11/2021,22.05,21.08,22.39,20.67,5.31,6.94,M
04/11/2021,20.62,20.17,21.68,20.07,5.79,1.48,M
03/11/2021,20.32,18.61,20.4,18.43,7.99,9.07,M
01/11/2021,18.63,18.6,19.2,18.44,5.52,1.8,M
29/10/2021,18.3,20.2,20.2,18.3,6.17,-8.5,M
28/10/2021,20.0,19.99,20.91,19.81,5.92,-1.96,M
27/10/2021,20.4,19.74,20.79,19.47,6.25,3.71,M
26/10/2021,19.67,20.55,20.83,19.45,6.91,-6.06,M
25/10/2021,20.94,20.35,21.52,19.95,8.49,3.77,M
22/10/2021,20.18,21.55,22.2,19.53,19.19,-8.89,M
21/10/2021,22.15,21.79,22.7,21.53,7.52,-1.47,M
20/10/2021,22.48,21.46,22.86,21.39,8.68,5.19,M
19/10/2021,21.37,22.68,22.68,21.1,7.75,-7.05,M
18/10/2021,22.99,21.58,23.41,21.3,4.88,4.26,M
15/10/2021,22.05,22.45,22.52,21.77,3.74,-1.3,M
14/10/2021,22.34,21.88,22.64,21.48,4.04,2.85,M
13/10/2021,21.72,21.49,22.08,21.32,7.79,1.02,M
11/10/2021,21.5,22.07,22.37,21.42,4.49,-2.93,M
08/10/2021,22.15,21.36,22.7,21.36,4.17,3.89,M
07/10/2021,21.32,21.7,21.83,21.1,4.48,-0.37,M
06/10/2021,21.4,21.9,21.97,20.95,11.75,-4.46,M
05/10/2021,22.4,23.25,23.36,22.3,5.49,-1.88,M
04/10/2021,22.83,23.2,23.22,22.31,4.09,-2.27,M
01/10/2021,23.36,22.88,23.5,22.64,6.15,2.1,M
30/09/2021,22.88,22.05,23.07,21.67,8.38,4.86,M
29/09/2021,21.82,22.2,22.49,21.8,5.07,-0.5,M
28/09/2021,21.93,22.54,22.66,21.61,8.67,-4.65,M
27/09/2021,23.0,23.74,23.77,22.47,7.96,-3.04,M
24/09/2021,23.72,23.31,24.01,23.18,4.08,0.34,M
