Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.75,13.7,15.75,13.63,772.2,5.14,K
23/02/2022,14.98,15.47,15.75,14.66,431.0,-3.29,K
22/02/2022,15.49,15.28,15.75,15.0,604.1,2.38,K
21/02/2022,15.13,15.76,15.9,15.13,184.1,-4.0,K
18/02/2022,15.76,15.82,16.04,15.62,687.0,-0.19,K
17/02/2022,15.79,15.54,16.09,15.51,338.6,0.0,K
16/02/2022,15.79,15.8,15.92,15.38,329.6,0.96,K
15/02/2022,15.64,15.37,15.8,15.25,567.2,2.16,K
14/02/2022,15.31,14.84,15.31,14.78,361.8,3.52,K
11/02/2022,14.79,15.13,15.53,14.46,475.5,-1.27,K
10/02/2022,14.98,15.01,15.18,14.54,289.9,-0.33,K
09/02/2022,15.03,14.55,15.03,14.34,571.9,3.37,K
08/02/2022,14.54,14.33,14.88,14.2,341.4,0.55,K
07/02/2022,14.46,14.88,14.88,14.46,894.3,-2.76,K
04/02/2022,14.87,15.4,15.4,14.46,901.3,-2.56,K
03/02/2022,15.26,15.41,15.92,15.26,454.8,-1.29,K
02/02/2022,15.46,15.76,16.04,15.21,746.4,-2.46,K
01/02/2022,15.85,15.57,16.0,15.52,736.0,-0.25,K
31/01/2022,15.89,14.88,15.94,14.7,522.4,6.72,K
28/01/2022,14.89,14.58,14.9,14.24,749.5,1.15,K
27/01/2022,14.72,14.98,15.05,14.61,661.9,-1.21,K
26/01/2022,14.9,14.52,15.23,14.04,1.14,2.48,M
25/01/2022,14.54,14.39,14.95,14.12,884.6,0.28,K
24/01/2022,14.5,14.25,14.51,13.5,504.9,1.47,K
21/01/2022,14.29,13.45,14.49,13.22,2.16,5.07,M
20/01/2022,13.6,12.22,13.6,12.22,962.3,10.84,K
19/01/2022,12.27,11.51,12.27,11.45,537.5,8.49,K
18/01/2022,11.31,11.53,11.7,11.25,789.7,-3.42,K
17/01/2022,11.71,11.51,12.02,11.51,569.3,0.17,K
14/01/2022,11.69,11.65,11.75,11.26,581.7,0.34,K
13/01/2022,11.65,11.9,11.96,11.53,1.01,-2.02,M
12/01/2022,11.89,11.35,11.89,11.15,972.1,5.31,K
11/01/2022,11.29,11.0,11.55,11.0,771.3,4.06,K
10/01/2022,10.85,11.2,11.32,10.66,562.4,-5.07,K
07/01/2022,11.43,11.45,11.71,11.26,690.9,0.35,K
06/01/2022,11.39,11.55,11.72,11.12,757.0,-0.96,K
05/01/2022,11.5,12.2,12.46,11.21,1.1,-5.51,M
04/01/2022,12.17,13.54,13.59,12.17,922.9,-10.12,K
03/01/2022,13.54,13.65,13.69,13.22,535.0,0.3,K
30/12/2021,13.5,13.21,14.0,13.1,2.23,3.77,M
29/12/2021,13.01,12.95,13.16,12.66,596.6,0.62,K
28/12/2021,12.93,13.09,13.09,12.54,529.1,-0.54,K
27/12/2021,13.0,13.12,13.19,12.88,572.5,0.15,K
23/12/2021,12.98,13.4,13.55,12.78,797.6,-1.67,K
22/12/2021,13.2,15.0,15.13,13.16,1.98,-11.82,M
21/12/2021,14.97,14.79,15.01,14.55,286.9,1.49,K
20/12/2021,14.75,14.87,15.34,14.54,667.7,-1.99,K
17/12/2021,15.05,15.25,15.45,14.85,3.15,-1.25,M
16/12/2021,15.24,15.22,15.77,15.02,1.11,0.59,M
15/12/2021,15.15,15.86,16.08,15.03,891.4,-4.78,K
14/12/2021,15.91,16.7,17.0,15.91,390.8,-4.73,K
13/12/2021,16.7,16.9,17.08,16.66,403.1,-1.76,K
10/12/2021,17.0,17.12,17.44,16.9,645.2,-1.73,K
09/12/2021,17.3,17.06,17.46,16.87,638.4,0.41,K
08/12/2021,17.23,16.67,17.36,16.39,966.3,3.67,K
07/12/2021,16.62,16.3,16.62,15.9,441.4,2.28,K
06/12/2021,16.25,15.58,16.25,15.41,783.2,4.84,K
03/12/2021,15.5,14.55,15.51,14.52,573.3,7.19,K
02/12/2021,14.46,14.15,14.67,13.85,1.37,3.51,M
01/12/2021,13.97,14.69,14.83,13.78,771.9,-3.25,K
30/11/2021,14.44,15.26,15.62,14.44,2.26,-5.62,M
29/11/2021,15.3,14.81,15.34,14.78,518.8,4.79,K
26/11/2021,14.6,14.7,15.02,14.5,415.4,-2.8,K
25/11/2021,15.02,15.15,15.41,15.0,311.3,-0.2,K
24/11/2021,15.05,15.5,15.5,15.02,284.4,-1.51,K
23/11/2021,15.28,15.84,15.98,15.28,323.2,-4.44,K
22/11/2021,15.99,15.65,16.12,15.24,796.0,2.63,K
19/11/2021,15.58,15.8,16.22,15.58,315.5,-2.63,K
18/11/2021,16.0,15.58,16.0,15.53,197.3,2.7,K
17/11/2021,15.58,16.39,16.49,15.28,496.4,-4.94,K
16/11/2021,16.39,16.09,16.39,15.84,517.7,2.82,K
12/11/2021,15.94,16.21,16.44,15.86,449.8,-1.3,K
11/11/2021,16.15,15.87,16.4,15.82,490.1,2.87,K
10/11/2021,15.7,16.7,16.7,15.7,1.68,-5.36,M
09/11/2021,16.59,16.12,16.68,16.12,602.0,3.04,K
08/11/2021,16.1,16.29,16.36,15.95,611.2,-1.83,K
05/11/2021,16.4,16.06,16.4,15.84,718.2,3.27,K
04/11/2021,15.88,15.69,16.25,15.5,775.0,0.57,K
03/11/2021,15.79,14.7,15.88,14.7,346.8,5.9,K
01/11/2021,14.91,14.68,14.95,14.27,710.7,1.91,K
29/10/2021,14.63,15.31,15.31,14.45,671.2,-3.3,K
28/10/2021,15.13,15.52,15.65,14.88,395.1,-3.32,K
27/10/2021,15.65,15.4,15.65,15.16,220.6,1.95,K
26/10/2021,15.35,15.81,15.81,15.0,484.5,-3.76,K
25/10/2021,15.95,15.4,16.14,15.25,618.2,3.57,K
22/10/2021,15.4,15.24,15.4,14.38,465.8,0.0,K
21/10/2021,15.4,16.0,16.31,15.2,924.7,-6.1,K
20/10/2021,16.4,16.3,16.56,15.95,574.0,0.61,K
19/10/2021,16.3,17.15,17.2,16.06,868.5,-6.32,K
18/10/2021,17.4,16.95,17.46,16.72,605.7,1.05,K
