Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.89,22.96,23.09,22.09,2.77,-3.62,M
23/02/2022,23.75,23.03,23.75,22.95,1.84,3.85,M
22/02/2022,22.87,23.14,23.14,22.64,1.43,-0.17,M
21/02/2022,22.91,22.93,23.05,22.45,1.7,-0.35,M
18/02/2022,22.99,22.92,23.44,22.92,1.35,0.39,M
17/02/2022,22.9,23.16,23.56,22.84,1.5,-1.25,M
16/02/2022,23.19,22.59,23.74,22.52,2.22,2.7,M
15/02/2022,22.58,22.65,22.79,22.4,1.22,0.13,M
14/02/2022,22.55,22.18,22.98,22.18,1.34,1.81,M
11/02/2022,22.15,22.03,22.82,21.96,2.28,0.91,M
10/02/2022,21.95,22.38,22.62,21.76,2.73,-10.04,M
09/02/2022,24.4,24.16,24.67,24.14,2.4,1.62,M
08/02/2022,24.01,24.02,24.5,23.91,2.83,0.04,M
07/02/2022,24.0,22.9,24.24,22.9,9.27,9.09,M
04/02/2022,22.0,22.27,22.34,21.73,1.54,-1.08,M
03/02/2022,22.24,22.76,22.89,22.24,1.12,-2.2,M
02/02/2022,22.74,23.39,23.53,22.71,1.27,-2.78,M
01/02/2022,23.39,23.12,23.67,23.1,1.02,1.12,M
31/01/2022,23.13,23.2,23.38,22.83,1.28,-0.43,M
28/01/2022,23.23,23.36,23.54,23.11,926.7,-0.6,K
27/01/2022,23.37,23.19,23.48,22.8,1.0,1.92,M
26/01/2022,22.93,23.6,23.6,22.91,1.51,-2.13,M
25/01/2022,23.43,22.75,23.52,22.63,1.66,3.22,M
24/01/2022,22.7,23.0,23.24,22.58,887.2,-1.73,K
21/01/2022,23.1,22.93,23.67,22.78,927.3,0.22,K
20/01/2022,23.05,23.01,23.46,22.96,923.1,0.22,K
19/01/2022,23.0,22.7,23.57,22.66,1.55,1.37,M
18/01/2022,22.69,23.04,23.04,22.35,1.04,-1.52,M
17/01/2022,23.04,23.31,23.44,23.0,545.4,-1.16,K
14/01/2022,23.31,23.35,23.5,22.89,943.0,0.52,K
13/01/2022,23.19,23.01,23.59,22.88,1.07,0.78,M
12/01/2022,23.01,22.59,23.17,22.52,1.37,1.72,M
11/01/2022,22.62,23.15,23.22,22.53,990.0,-2.71,K
10/01/2022,23.25,23.64,23.66,22.91,921.1,-1.57,K
07/01/2022,23.62,23.82,24.03,23.31,1.19,-0.63,M
06/01/2022,23.77,24.09,24.16,23.52,1.12,-1.08,M
05/01/2022,24.03,24.98,24.98,24.03,1.08,-3.73,M
04/01/2022,24.96,25.28,25.32,24.74,840.8,-0.48,K
03/01/2022,25.08,25.65,25.86,24.91,1.04,-1.61,M
30/12/2021,25.49,25.47,25.62,25.2,938.2,0.63,K
29/12/2021,25.33,25.41,25.49,25.14,638.6,0.36,K
28/12/2021,25.24,24.96,25.46,24.96,858.0,0.8,K
27/12/2021,25.04,25.01,25.18,24.68,615.3,0.89,K
23/12/2021,24.82,24.69,24.94,24.54,873.2,0.28,K
22/12/2021,24.75,24.99,24.99,24.24,1.34,-1.0,M
21/12/2021,25.0,25.25,25.34,24.71,1.1,-1.11,M
20/12/2021,25.28,25.4,25.72,25.05,1.16,-0.9,M
17/12/2021,25.51,26.0,26.12,25.42,1.19,-2.48,M
16/12/2021,26.16,27.21,27.27,26.01,1.84,-2.9,M
15/12/2021,26.94,27.28,27.29,26.21,1.66,-0.59,M
14/12/2021,27.1,27.5,27.87,27.05,1.27,-1.45,M
13/12/2021,27.5,27.56,28.04,27.46,868.4,-0.4,K
10/12/2021,27.61,27.75,27.97,27.36,817.5,0.04,K
09/12/2021,27.6,28.31,28.31,27.42,973.8,-2.75,K
08/12/2021,28.38,28.28,28.66,27.9,1.02,1.1,M
07/12/2021,28.07,27.99,28.44,27.76,1.64,1.48,M
06/12/2021,27.66,28.06,28.24,27.61,1.5,-1.36,M
03/12/2021,28.04,27.92,28.61,27.87,943.3,0.68,K
02/12/2021,27.85,27.65,27.95,27.46,817.2,1.72,K
01/12/2021,27.38,28.07,28.09,27.24,1.11,-1.44,M
30/11/2021,27.78,27.9,28.24,27.5,1.23,-1.14,M
29/11/2021,28.1,28.62,28.68,28.0,985.4,-0.64,K
26/11/2021,28.28,28.39,28.39,27.78,1.21,-1.74,M
25/11/2021,28.78,28.63,28.96,28.53,701.4,0.91,K
24/11/2021,28.52,28.53,29.04,28.38,894.0,-0.83,K
23/11/2021,28.76,29.16,29.16,28.47,840.9,-1.1,K
22/11/2021,29.08,29.69,30.04,28.89,1.1,-1.89,M
19/11/2021,29.64,30.04,30.46,29.53,1.45,-1.27,M
18/11/2021,30.02,31.04,31.17,29.78,1.86,-2.91,M
17/11/2021,30.92,31.46,31.66,30.55,1.82,-1.06,M
16/11/2021,31.25,31.82,31.82,31.13,1.49,-1.33,M
12/11/2021,31.67,31.9,32.47,31.57,1.24,-0.94,M
11/11/2021,31.97,32.95,33.02,31.91,1.5,-1.99,M
10/11/2021,32.62,32.06,32.85,31.95,1.28,1.94,M
09/11/2021,32.0,31.88,32.52,31.87,1.42,0.6,M
08/11/2021,31.81,30.71,33.25,30.56,4.27,4.12,M
05/11/2021,30.55,31.33,31.41,30.27,886.2,-1.74,K
04/11/2021,31.09,31.59,32.04,30.98,1.24,-1.68,M
03/11/2021,31.62,31.09,31.98,30.76,1.69,1.41,M
01/11/2021,31.18,31.26,31.27,30.59,547.5,0.74,K
29/10/2021,30.95,31.4,31.4,30.85,1.43,-0.58,M
28/10/2021,31.13,30.37,31.43,30.17,1.48,2.0,M
27/10/2021,30.52,30.37,31.12,30.22,3.11,0.89,M
26/10/2021,30.25,30.25,30.45,29.62,2.57,-1.27,M
25/10/2021,30.64,30.58,30.81,30.02,830.9,1.26,K
22/10/2021,30.26,30.28,30.5,29.21,1.22,-1.24,M
21/10/2021,30.64,30.8,30.9,29.89,1.8,-1.29,M
20/10/2021,31.04,31.13,31.34,30.54,562.7,0.16,K
19/10/2021,30.99,31.52,31.69,30.64,676.5,-2.73,K
18/10/2021,31.86,31.49,32.26,31.3,498.0,0.38,K
15/10/2021,31.74,31.69,31.81,31.11,406.1,0.79,K
14/10/2021,31.49,31.66,31.91,31.3,522.6,-0.54,K
13/10/2021,31.66,30.97,31.91,30.78,596.6,2.1,K
11/10/2021,31.01,30.71,31.68,30.34,1.11,1.64,M
08/10/2021,30.51,30.84,31.27,30.49,1.01,-0.62,M
07/10/2021,30.7,30.53,31.04,28.55,3.09,0.69,M
06/10/2021,30.49,30.93,31.36,30.06,3.03,-2.37,M
05/10/2021,31.23,32.8,32.99,31.15,1.01,-4.47,M
04/10/2021,32.69,32.7,32.84,32.35,602.1,-0.18,K
01/10/2021,32.75,32.99,33.05,32.36,661.5,-0.88,K
30/09/2021,33.04,33.22,33.55,33.04,1.07,-0.42,M
29/09/2021,33.18,32.36,33.46,32.0,1.32,4.31,M
28/09/2021,31.81,32.14,32.38,31.68,746.8,-1.76,K
27/09/2021,32.38,31.48,32.59,31.41,735.4,2.44,K
24/09/2021,31.61,31.08,31.63,30.99,620.5,0.96,K
23/09/2021,31.31,31.65,32.11,31.31,655.2,-1.2,K
22/09/2021,31.69,31.49,31.88,31.13,879.3,1.96,K
21/09/2021,31.08,31.06,31.73,30.82,948.4,0.26,K
20/09/2021,31.0,30.6,31.1,30.23,662.6,-0.58,K
17/09/2021,31.18,30.95,31.49,30.35,1.69,0.16,M
16/09/2021,31.13,30.99,31.22,30.78,889.2,0.32,K
15/09/2021,31.03,31.52,31.56,30.53,1.1,-1.49,M
14/09/2021,31.5,31.86,32.15,31.5,509.5,-0.69,K
13/09/2021,31.72,31.93,32.17,31.54,942.1,0.16,K
10/09/2021,31.67,31.88,32.12,31.55,737.3,0.22,K
09/09/2021,31.6,30.96,31.79,30.62,1.49,2.07,M
