Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.58,2.5,2.58,2.41,2.26,0.0,M
23/02/2022,2.58,2.63,2.69,2.57,1.48,-1.9,M
22/02/2022,2.63,2.66,2.7,2.6,1.23,0.38,M
21/02/2022,2.62,2.74,2.74,2.6,1.18,-3.32,M
18/02/2022,2.71,2.73,2.76,2.71,843.3,-0.37,K
17/02/2022,2.72,2.74,2.77,2.7,1.02,-1.09,M
16/02/2022,2.75,2.68,2.75,2.66,1.41,3.38,M
15/02/2022,2.66,2.64,2.68,2.61,1.7,1.92,M
14/02/2022,2.61,2.61,2.68,2.59,1.22,-1.14,M
11/02/2022,2.64,2.78,2.82,2.63,2.28,-5.04,M
10/02/2022,2.78,2.78,2.83,2.72,2.31,1.09,M
09/02/2022,2.75,2.8,2.85,2.74,1.11,-1.79,M
08/02/2022,2.8,2.68,2.8,2.66,1.17,4.09,M
07/02/2022,2.69,2.66,2.72,2.66,1.21,0.75,M
04/02/2022,2.67,2.76,2.77,2.66,2.02,-3.26,M
03/02/2022,2.76,2.8,2.8,2.7,1.37,-0.72,M
02/02/2022,2.78,2.68,2.85,2.64,4.1,4.91,M
01/02/2022,2.65,2.6,2.66,2.58,1.57,1.15,M
31/01/2022,2.62,2.43,2.62,2.42,1.92,8.26,M
28/01/2022,2.42,2.45,2.5,2.36,1.78,-2.02,M
27/01/2022,2.47,2.41,2.47,2.41,1.52,3.35,M
26/01/2022,2.39,2.42,2.45,2.38,1.97,0.0,M
25/01/2022,2.39,2.3,2.4,2.27,1.9,3.02,M
24/01/2022,2.32,2.32,2.38,2.24,1.86,-0.85,M
21/01/2022,2.34,2.25,2.39,2.22,2.03,4.0,M
20/01/2022,2.25,2.19,2.28,2.19,1.99,4.17,M
19/01/2022,2.16,2.09,2.16,2.09,1.5,4.85,M
18/01/2022,2.06,2.13,2.15,2.06,1.72,-3.74,M
17/01/2022,2.14,2.18,2.19,2.14,684.0,-1.38,K
14/01/2022,2.17,2.18,2.21,2.15,1.08,-0.91,M
13/01/2022,2.19,2.17,2.26,2.17,1.41,-0.9,M
12/01/2022,2.21,2.15,2.22,2.14,1.49,3.76,M
11/01/2022,2.13,2.08,2.14,2.07,1.91,1.91,M
10/01/2022,2.09,2.13,2.14,2.08,1.27,-1.42,M
07/01/2022,2.12,2.16,2.24,2.1,2.66,-2.3,M
06/01/2022,2.17,2.17,2.2,2.09,2.64,1.88,M
05/01/2022,2.13,2.26,2.28,2.13,2.64,-5.75,M
04/01/2022,2.26,2.35,2.38,2.26,1.77,-3.83,M
03/01/2022,2.35,2.46,2.49,2.34,2.23,-3.29,M
30/12/2021,2.43,2.42,2.5,2.39,2.5,0.83,M
29/12/2021,2.41,2.51,2.52,2.41,1.86,-4.37,M
28/12/2021,2.52,2.43,2.52,2.43,1.86,3.7,M
27/12/2021,2.43,2.45,2.46,2.39,1.22,0.83,M
23/12/2021,2.41,2.43,2.44,2.4,890.7,-0.82,K
22/12/2021,2.43,2.45,2.49,2.4,1.56,-1.22,M
21/12/2021,2.46,2.54,2.55,2.46,1.88,-2.77,M
20/12/2021,2.53,2.59,2.6,2.51,2.3,-3.07,M
17/12/2021,2.61,2.62,2.64,2.56,2.27,-0.76,M
16/12/2021,2.63,2.73,2.76,2.61,3.37,-2.59,M
15/12/2021,2.7,2.7,2.71,2.64,2.19,0.37,M
14/12/2021,2.69,2.78,2.79,2.69,2.33,-2.89,M
13/12/2021,2.77,2.82,2.88,2.74,2.16,-1.77,M
10/12/2021,2.82,2.76,2.82,2.73,2.08,3.3,M
09/12/2021,2.73,2.72,2.82,2.69,3.76,-0.73,M
08/12/2021,2.75,2.78,2.9,2.74,2.68,-0.72,M
07/12/2021,2.77,2.83,2.87,2.77,1.95,-0.36,M
06/12/2021,2.78,2.72,2.84,2.7,2.28,3.35,M
03/12/2021,2.69,2.67,2.77,2.67,1.76,0.75,M
02/12/2021,2.67,2.64,2.71,2.61,2.36,2.69,M
01/12/2021,2.6,2.7,2.77,2.6,2.2,-2.99,M
30/11/2021,2.68,2.73,2.74,2.6,2.63,-1.83,M
29/11/2021,2.73,2.78,2.83,2.73,1.26,0.0,M
26/11/2021,2.73,2.84,2.84,2.7,3.86,-6.19,M
25/11/2021,2.91,2.87,2.99,2.87,980.3,2.11,K
24/11/2021,2.85,2.86,2.93,2.84,1.15,-0.35,M
23/11/2021,2.86,2.89,2.91,2.79,1.89,0.0,M
22/11/2021,2.86,2.96,3.02,2.86,1.79,-3.05,M
19/11/2021,2.95,2.94,3.06,2.92,1.38,0.68,M
18/11/2021,2.93,2.97,3.07,2.92,1.21,-1.01,M
17/11/2021,2.96,3.08,3.11,2.92,1.93,-3.27,M
16/11/2021,3.06,3.16,3.25,3.03,2.51,-3.16,M
12/11/2021,3.16,3.23,3.32,3.12,4.61,-2.17,M
11/11/2021,3.23,3.08,3.23,3.08,3.33,5.21,M
10/11/2021,3.07,3.03,3.15,3.01,2.64,1.66,M
09/11/2021,3.02,3.0,3.1,2.99,2.26,1.34,M
08/11/2021,2.98,3.08,3.1,2.97,3.51,-3.56,M
05/11/2021,3.09,3.03,3.12,3.02,2.61,3.69,M
04/11/2021,2.98,3.19,3.19,2.96,3.11,-6.88,M
03/11/2021,3.2,2.9,3.2,2.88,6.05,9.97,M
01/11/2021,2.91,2.84,2.95,2.82,2.59,3.56,M
29/10/2021,2.81,2.92,2.94,2.81,3.11,-3.44,M
28/10/2021,2.91,3.0,3.05,2.91,3.07,-3.96,M
27/10/2021,3.03,3.1,3.16,3.02,2.17,-1.62,M
26/10/2021,3.08,3.17,3.24,3.06,2.31,-4.64,M
25/10/2021,3.23,3.02,3.27,3.02,4.6,8.75,M
22/10/2021,2.97,3.01,3.05,2.8,8.82,-2.62,M
21/10/2021,3.05,3.03,3.09,2.94,6.36,-1.29,M
20/10/2021,3.09,3.16,3.17,3.06,3.41,-1.59,M
19/10/2021,3.14,3.27,3.27,3.12,4.42,-4.27,M
18/10/2021,3.28,3.26,3.33,3.21,2.91,-0.3,M
15/10/2021,3.29,3.27,3.31,3.25,1.48,0.61,M
14/10/2021,3.27,3.38,3.41,3.24,2.6,-2.97,M
13/10/2021,3.37,3.29,3.42,3.26,2.58,3.06,M
11/10/2021,3.27,3.28,3.36,3.24,1.85,-0.91,M
08/10/2021,3.3,3.22,3.36,3.21,3.21,3.12,M
07/10/2021,3.2,3.24,3.27,3.17,2.7,-0.31,M
06/10/2021,3.21,3.22,3.22,3.12,3.86,-1.23,M
05/10/2021,3.25,3.33,3.33,3.24,2.32,-2.4,M
04/10/2021,3.33,3.4,3.4,3.26,1.64,-2.06,M
01/10/2021,3.4,3.24,3.44,3.18,4.6,6.25,M
30/09/2021,3.2,3.26,3.31,3.2,2.26,-1.23,M
29/09/2021,3.24,3.27,3.33,3.21,2.74,0.31,M
28/09/2021,3.23,3.36,3.37,3.21,2.46,-5.0,M
27/09/2021,3.4,3.42,3.45,3.35,1.65,-0.29,M
24/09/2021,3.41,3.32,3.41,3.28,1.68,2.1,M
23/09/2021,3.34,3.37,3.44,3.34,2.04,-0.89,M
22/09/2021,3.37,3.3,3.39,3.29,2.82,3.37,M
21/09/2021,3.26,3.29,3.34,3.23,2.65,1.56,M
20/09/2021,3.21,3.25,3.29,3.16,4.07,-4.18,M
17/09/2021,3.35,3.33,3.35,3.24,2.73,0.9,M
16/09/2021,3.32,3.35,3.42,3.3,2.81,-1.48,M
15/09/2021,3.37,3.4,3.42,3.31,2.23,-0.59,M
14/09/2021,3.39,3.48,3.55,3.38,2.77,-2.87,M
13/09/2021,3.49,3.4,3.55,3.37,3.34,4.18,M
10/09/2021,3.35,3.37,3.54,3.35,4.01,-0.3,M
09/09/2021,3.36,3.17,3.38,3.16,3.62,6.67,M
08/09/2021,3.15,3.37,3.39,3.15,5.37,-6.53,M
06/09/2021,3.37,3.29,3.42,3.27,2.49,2.43,M
03/09/2021,3.29,3.42,3.45,3.25,13.52,-2.66,M
02/09/2021,3.38,3.58,3.6,3.37,4.86,-5.59,M
01/09/2021,3.58,3.67,3.69,3.55,2.15,-2.19,M
31/08/2021,3.66,3.63,3.68,3.55,1.95,1.1,M
30/08/2021,3.62,3.76,3.76,3.62,1.75,-3.72,M
27/08/2021,3.76,3.74,3.81,3.71,1.3,1.62,M
26/08/2021,3.7,3.8,3.86,3.7,1.72,-3.39,M
25/08/2021,3.83,3.82,3.86,3.74,1.8,0.26,M
24/08/2021,3.82,3.85,3.9,3.79,2.52,-0.26,M
23/08/2021,3.83,3.79,3.86,3.75,2.44,1.06,M
20/08/2021,3.79,3.62,3.79,3.6,2.91,4.12,M
19/08/2021,3.64,3.46,3.65,3.42,2.79,3.41,M
18/08/2021,3.52,3.4,3.61,3.4,4.43,3.83,M
17/08/2021,3.39,3.5,3.5,3.32,4.36,-3.14,M
16/08/2021,3.5,3.61,3.67,3.48,4.02,-4.11,M
13/08/2021,3.65,3.64,3.7,3.51,5.28,2.24,M
12/08/2021,3.57,3.5,3.62,3.49,4.41,2.0,M
11/08/2021,3.5,3.7,3.71,3.48,11.12,-5.41,M
10/08/2021,3.7,3.74,3.82,3.66,4.56,-1.07,M
09/08/2021,3.74,3.71,3.76,3.68,1.68,0.0,M
06/08/2021,3.74,3.66,3.8,3.61,6.4,1.91,M
05/08/2021,3.67,3.83,3.84,3.59,5.9,-3.42,M
04/08/2021,3.8,3.85,3.85,3.74,2.72,-1.3,M
03/08/2021,3.85,3.81,3.86,3.7,3.4,0.79,M
02/08/2021,3.82,3.94,3.97,3.82,3.94,-1.55,M
30/07/2021,3.88,3.92,3.95,3.85,3.47,-2.02,M
29/07/2021,3.96,3.99,4.05,3.92,2.65,-0.75,M
28/07/2021,3.99,3.94,4.05,3.91,2.64,1.53,M
27/07/2021,3.93,4.0,4.02,3.85,3.63,-2.24,M
26/07/2021,4.02,4.1,4.13,4.0,2.02,-1.95,M
23/07/2021,4.1,4.16,4.2,4.1,2.37,-1.68,M
22/07/2021,4.17,4.2,4.24,4.1,3.75,-0.71,M
21/07/2021,4.2,4.03,4.26,3.98,7.24,4.48,M
20/07/2021,4.02,3.96,4.06,3.91,2.45,1.52,M
19/07/2021,3.96,3.9,4.0,3.87,3.07,0.51,M
16/07/2021,3.94,4.01,4.07,3.92,3.0,-1.5,M
15/07/2021,4.0,4.09,4.12,4.0,3.3,-2.2,M
14/07/2021,4.09,4.15,4.29,4.09,4.47,-2.39,M
13/07/2021,4.19,4.12,4.24,4.11,2.5,0.0,M
12/07/2021,4.19,3.87,4.24,3.87,7.78,8.55,M
08/07/2021,3.86,3.86,3.89,3.79,3.02,-1.78,M
07/07/2021,3.93,3.88,3.95,3.81,3.69,1.81,M
06/07/2021,3.86,3.95,3.98,3.85,4.2,-3.02,M
05/07/2021,3.98,4.05,4.05,3.94,2.09,0.0,M
02/07/2021,3.98,3.96,4.05,3.96,3.22,1.02,M
01/07/2021,3.94,4.06,4.08,3.93,5.73,-3.19,M
30/06/2021,4.07,4.05,4.12,4.01,3.29,0.0,M
29/06/2021,4.07,4.16,4.17,4.01,5.2,-2.16,M
28/06/2021,4.16,4.29,4.34,4.09,5.9,-3.26,M
25/06/2021,4.3,4.4,4.42,4.25,4.9,-1.38,M
24/06/2021,4.36,4.42,4.44,4.33,3.17,-0.91,M
23/06/2021,4.4,4.34,4.48,4.26,6.14,0.69,M
22/06/2021,4.37,4.56,4.65,4.33,9.41,-2.89,M
21/06/2021,4.5,4.38,4.54,4.32,8.7,4.9,M
18/06/2021,4.29,4.19,4.3,4.17,2.83,2.39,M
17/06/2021,4.19,4.36,4.36,4.13,5.27,-3.68,M
16/06/2021,4.35,4.37,4.41,4.29,4.26,0.0,M
15/06/2021,4.35,4.38,4.46,4.29,4.3,-0.46,M
14/06/2021,4.37,4.29,4.49,4.27,5.98,1.86,M
11/06/2021,4.29,4.38,4.39,4.24,2.87,-1.83,M
10/06/2021,4.37,4.37,4.41,4.28,3.52,0.0,M
09/06/2021,4.37,4.45,4.5,4.35,7.61,0.69,M
08/06/2021,4.34,4.23,4.39,4.23,4.65,2.36,M
07/06/2021,4.24,4.28,4.37,4.2,6.95,-0.7,M
04/06/2021,4.27,4.11,4.29,4.09,6.04,3.89,M
02/06/2021,4.11,4.1,4.15,4.03,4.41,0.24,M
01/06/2021,4.1,4.07,4.2,4.05,10.9,2.76,M
31/05/2021,3.99,3.94,4.05,3.88,4.21,1.27,M
28/05/2021,3.94,3.89,3.96,3.85,4.5,1.81,M
27/05/2021,3.87,3.9,3.98,3.85,5.07,0.0,M
26/05/2021,3.87,3.78,3.87,3.75,3.77,2.11,M
25/05/2021,3.79,3.79,3.87,3.78,2.7,0.0,M
24/05/2021,3.79,3.84,3.85,3.78,2.35,-0.52,M
21/05/2021,3.81,3.87,3.98,3.81,4.83,-1.3,M
20/05/2021,3.86,3.85,3.97,3.83,6.41,0.52,M
19/05/2021,3.84,3.78,3.85,3.75,3.02,0.26,M
18/05/2021,3.83,3.72,3.84,3.68,3.67,3.23,M
17/05/2021,3.71,3.62,3.72,3.6,2.93,2.49,M
14/05/2021,3.62,3.51,3.64,3.51,3.28,3.72,M
13/05/2021,3.49,3.55,3.6,3.46,3.53,-1.69,M
12/05/2021,3.55,3.63,3.65,3.52,2.37,-3.01,M
11/05/2021,3.66,3.63,3.68,3.58,2.7,0.0,M
10/05/2021,3.66,3.67,3.72,3.63,3.39,0.0,M
07/05/2021,3.66,3.6,3.71,3.59,3.34,2.23,M
06/05/2021,3.58,3.62,3.66,3.58,3.06,-1.38,M
05/05/2021,3.63,3.64,3.69,3.63,2.53,0.0,M
04/05/2021,3.63,3.69,3.74,3.62,4.27,-1.36,M
03/05/2021,3.68,3.75,3.77,3.65,4.56,-1.6,M
30/04/2021,3.74,3.8,3.83,3.72,3.77,-2.86,M
29/04/2021,3.85,3.66,3.89,3.65,7.82,5.77,M
28/04/2021,3.64,3.74,3.74,3.6,3.92,-1.89,M
27/04/2021,3.71,3.79,3.82,3.7,3.29,-2.37,M
26/04/2021,3.8,3.79,3.86,3.75,4.15,0.53,M
23/04/2021,3.78,3.77,3.81,3.71,3.47,0.27,M
22/04/2021,3.77,3.92,3.92,3.74,7.37,-3.08,M
20/04/2021,3.89,3.98,4.0,3.86,4.84,-2.26,M
19/04/2021,3.98,4.15,4.17,3.98,5.42,-2.93,M
16/04/2021,4.1,4.03,4.17,3.97,7.7,1.74,M
15/04/2021,4.03,3.96,4.05,3.9,6.87,2.28,M
14/04/2021,3.94,3.91,3.95,3.85,3.79,0.77,M
13/04/2021,3.91,3.95,4.07,3.91,7.78,-0.26,M
12/04/2021,3.92,3.91,3.94,3.86,2.99,0.51,M
09/04/2021,3.9,3.86,3.94,3.81,4.22,1.04,M
08/04/2021,3.86,3.89,3.97,3.85,3.97,-0.52,M
07/04/2021,3.88,3.92,4.0,3.85,4.27,-1.52,M
06/04/2021,3.94,3.95,3.99,3.89,3.86,-0.25,M
05/04/2021,3.95,3.81,3.96,3.8,4.93,5.33,M
01/04/2021,3.75,3.87,3.93,3.74,5.95,-2.6,M
31/03/2021,3.85,3.78,3.85,3.65,7.32,1.32,M
30/03/2021,3.8,3.44,3.82,3.39,15.2,9.83,M
29/03/2021,3.46,3.5,3.57,3.43,4.14,-1.98,M
26/03/2021,3.53,3.68,3.69,3.49,2.73,-3.02,M
25/03/2021,3.64,3.5,3.67,3.36,4.91,4.6,M
24/03/2021,3.48,3.6,3.66,3.48,4.49,-3.06,M
23/03/2021,3.59,3.56,3.74,3.53,5.59,0.28,M
22/03/2021,3.58,3.51,3.65,3.51,4.23,0.0,M
19/03/2021,3.58,3.44,3.59,3.43,4.1,4.68,M
18/03/2021,3.42,3.54,3.57,3.42,4.12,-3.93,M
17/03/2021,3.56,3.36,3.6,3.29,7.67,5.33,M
16/03/2021,3.38,3.64,3.66,3.34,11.5,-7.4,M
15/03/2021,3.65,3.53,3.68,3.44,10.51,5.8,M
12/03/2021,3.45,3.4,3.46,3.35,4.36,-0.58,M
11/03/2021,3.47,3.08,3.47,3.07,14.07,13.03,M
10/03/2021,3.07,3.07,3.09,2.9,15.0,0.66,M
09/03/2021,3.05,3.1,3.14,3.01,6.46,-1.29,M
08/03/2021,3.09,3.21,3.27,3.0,8.37,-5.79,M
05/03/2021,3.28,3.03,3.33,3.02,17.64,7.89,M
04/03/2021,3.04,3.05,3.16,2.99,10.85,-1.3,M
03/03/2021,3.08,2.96,3.08,2.84,10.79,2.67,M
02/03/2021,3.0,2.98,3.02,2.85,8.63,1.01,M
01/03/2021,2.97,3.17,3.18,2.97,6.47,-4.19,M
26/02/2021,3.1,3.3,3.3,3.1,14.39,-4.91,M
25/02/2021,3.26,3.4,3.43,3.24,4.96,-4.68,M
24/02/2021,3.42,3.35,3.44,3.31,4.65,2.4,M
23/02/2021,3.34,3.42,3.42,3.32,4.42,-0.6,M
22/02/2021,3.36,3.46,3.49,3.35,8.2,-4.82,M
19/02/2021,3.53,3.59,3.64,3.5,6.15,-1.67,M
18/02/2021,3.59,3.6,3.71,3.58,4.4,-0.55,M
17/02/2021,3.61,3.67,3.67,3.57,2.87,-1.1,M
12/02/2021,3.65,3.53,3.67,3.46,6.07,2.53,M
11/02/2021,3.56,3.51,3.68,3.46,14.19,5.95,M
10/02/2021,3.36,3.53,3.54,3.35,6.47,-4.55,M
09/02/2021,3.52,3.57,3.59,3.48,5.85,-1.4,M
08/02/2021,3.57,3.63,3.64,3.57,3.93,-1.11,M
05/02/2021,3.61,3.66,3.68,3.59,5.23,-0.55,M
04/02/2021,3.63,3.7,3.71,3.61,4.42,-1.63,M
03/02/2021,3.69,3.64,3.75,3.58,8.56,2.22,M
02/02/2021,3.61,3.61,3.7,3.59,4.61,1.12,M
01/02/2021,3.57,3.57,3.64,3.48,6.71,1.42,M
29/01/2021,3.52,3.61,3.71,3.51,6.03,-3.56,M
28/01/2021,3.65,3.48,3.66,3.48,5.78,3.11,M
27/01/2021,3.54,3.64,3.64,3.46,10.43,-3.01,M
26/01/2021,3.65,3.69,3.79,3.61,6.16,-1.62,M
22/01/2021,3.71,3.64,3.73,3.6,5.11,0.0,M
21/01/2021,3.71,3.67,3.73,3.59,5.34,1.09,M
20/01/2021,3.67,3.65,3.67,3.5,12.96,0.82,M
19/01/2021,3.64,3.92,3.96,3.58,27.86,-9.0,M
18/01/2021,4.0,3.99,4.1,3.97,4.84,2.3,M
15/01/2021,3.91,3.89,3.99,3.84,4.93,-0.76,M
14/01/2021,3.94,3.85,3.95,3.83,8.4,2.87,M
13/01/2021,3.83,3.87,3.92,3.79,7.59,-1.29,M
12/01/2021,3.88,3.82,3.93,3.81,7.85,1.84,M
11/01/2021,3.81,3.9,3.97,3.75,8.89,-2.81,M
08/01/2021,3.92,3.84,3.95,3.82,6.76,2.62,M
07/01/2021,3.82,4.02,4.04,3.82,10.65,-4.26,M
06/01/2021,3.99,4.07,4.16,3.96,8.31,-2.21,M
05/01/2021,4.08,4.14,4.15,3.95,10.58,-0.97,M
04/01/2021,4.12,4.26,4.27,4.07,8.7,-2.14,M
30/12/2020,4.21,4.17,4.28,4.12,9.73,0.96,M
29/12/2020,4.17,4.22,4.29,4.14,7.32,-1.18,M
28/12/2020,4.22,4.2,4.24,4.07,10.34,1.44,M
23/12/2020,4.16,4.32,4.4,4.13,22.64,-3.26,M
22/12/2020,4.3,4.62,4.73,4.25,23.27,-6.93,M
21/12/2020,4.62,4.61,4.73,4.52,21.95,-5.13,M
18/12/2020,4.87,4.87,5.01,4.81,15.85,0.0,M
17/12/2020,4.87,4.93,5.07,4.8,25.85,-1.22,M
16/12/2020,4.93,4.67,4.97,4.63,24.1,5.12,M
15/12/2020,4.69,4.32,4.77,4.3,37.5,9.07,M
14/12/2020,4.3,4.36,4.39,4.26,4.81,0.0,M
11/12/2020,4.3,4.22,4.34,4.18,5.6,1.18,M
10/12/2020,4.25,4.33,4.34,4.18,9.08,-1.39,M
09/12/2020,4.31,4.43,4.46,4.27,10.19,-2.05,M
08/12/2020,4.4,4.3,4.48,4.26,11.7,2.33,M
07/12/2020,4.3,4.31,4.37,4.25,8.13,0.0,M
04/12/2020,4.3,4.39,4.39,4.23,7.43,-0.46,M
03/12/2020,4.32,4.32,4.49,4.28,17.45,0.47,M
02/12/2020,4.3,4.32,4.37,4.22,12.56,-0.23,M
01/12/2020,4.31,4.31,4.45,4.23,14.54,2.62,M
30/11/2020,4.2,4.29,4.46,4.16,21.17,-2.1,M
27/11/2020,4.29,4.3,4.42,4.22,17.02,-0.46,M
26/11/2020,4.31,4.15,4.4,4.11,9.3,3.86,M
25/11/2020,4.15,3.96,4.15,3.95,11.32,4.27,M
24/11/2020,3.98,3.98,4.02,3.9,7.98,1.02,M
