Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.43,9.9,10.5,9.72,1.19,2.66,M
23/02/2022,10.16,10.13,10.39,10.09,1.53,0.4,M
22/02/2022,10.12,9.71,10.28,9.43,2.65,6.53,M
21/02/2022,9.5,9.62,9.69,9.42,1.66,-1.25,M
18/02/2022,9.62,9.94,10.0,9.55,2.75,-2.83,M
17/02/2022,9.9,10.03,10.19,9.86,1.54,-1.3,M
16/02/2022,10.03,9.78,10.11,9.77,2.68,2.56,M
15/02/2022,9.78,9.98,10.18,9.74,4.86,-1.71,M
14/02/2022,9.95,9.89,10.0,9.59,3.01,1.02,M
11/02/2022,9.85,10.2,10.34,9.8,1.28,-2.67,M
10/02/2022,10.12,10.22,10.35,10.11,1.16,-0.3,M
09/02/2022,10.15,10.51,10.66,10.15,15.99,-3.52,M
08/02/2022,10.52,10.61,10.71,10.46,1.26,-1.31,M
07/02/2022,10.66,11.05,11.08,10.39,7.47,-3.53,M
04/02/2022,11.05,11.37,11.37,10.87,877.5,-2.3,K
03/02/2022,11.31,11.42,11.5,11.08,767.5,0.98,K
02/02/2022,11.2,11.63,11.63,11.14,1.86,-3.11,M
01/02/2022,11.56,11.64,11.77,11.32,1.4,-0.17,M
31/01/2022,11.58,11.51,11.73,11.22,3.0,0.78,M
28/01/2022,11.49,11.0,11.7,10.6,5.64,6.39,M
27/01/2022,10.8,11.44,11.44,10.72,3.42,-3.91,M
26/01/2022,11.24,11.73,11.86,11.24,7.39,-3.52,M
25/01/2022,11.65,11.74,11.92,11.35,1.82,-0.43,M
24/01/2022,11.7,12.5,12.6,11.62,1.25,-7.51,M
21/01/2022,12.65,12.74,12.87,12.3,1.8,-1.25,M
20/01/2022,12.81,12.5,13.02,12.33,2.04,4.4,M
19/01/2022,12.27,11.95,12.45,11.95,1.56,2.59,M
18/01/2022,11.96,11.97,12.04,11.7,1.21,-0.08,M
17/01/2022,11.97,11.88,12.27,11.88,797.5,-1.16,K
14/01/2022,12.11,11.92,12.29,11.83,2.23,-0.33,M
13/01/2022,12.15,12.1,12.33,11.93,1.72,0.41,M
12/01/2022,12.1,11.36,12.19,11.35,2.3,4.4,M
11/01/2022,11.59,11.33,11.73,11.15,1.79,2.2,M
10/01/2022,11.34,11.48,11.48,11.0,1.23,-1.22,M
07/01/2022,11.48,11.5,11.7,11.05,1.05,1.15,M
06/01/2022,11.35,11.77,12.19,11.23,4.93,-2.41,M
05/01/2022,11.63,11.73,12.55,11.31,6.39,-3.49,M
04/01/2022,12.05,12.4,12.4,11.74,2.7,-2.82,M
03/01/2022,12.4,12.89,12.89,12.21,1.5,-1.98,M
30/12/2021,12.65,12.29,12.84,12.07,3.05,2.02,M
29/12/2021,12.4,12.69,12.7,11.93,1.94,-2.97,M
28/12/2021,12.78,12.0,12.78,11.28,4.81,8.31,M
27/12/2021,11.8,12.5,13.26,11.49,994.2,-57.2,K
23/12/2021,27.57,27.91,28.19,27.34,834.9,-0.86,K
22/12/2021,27.81,28.24,28.24,27.15,934.1,-1.03,K
21/12/2021,28.1,27.76,28.24,27.67,2.29,1.3,M
20/12/2021,27.74,27.01,28.0,27.0,2.04,0.58,M
17/12/2021,27.58,25.87,27.66,25.87,3.76,5.55,M
16/12/2021,26.13,26.24,26.84,26.05,836.0,-0.46,K
15/12/2021,26.25,25.97,26.25,24.75,5.4,1.98,M
14/12/2021,25.74,27.01,27.36,25.71,541.1,-5.02,K
13/12/2021,27.1,27.01,27.49,26.76,637.2,0.15,K
10/12/2021,27.06,27.81,27.81,26.95,500.4,-0.51,K
09/12/2021,27.2,28.11,28.21,27.01,643.4,-3.24,K
08/12/2021,28.11,27.98,28.84,27.56,827.9,0.75,K
07/12/2021,27.9,28.27,28.49,27.75,908.1,-0.53,K
06/12/2021,28.05,28.48,28.48,27.58,5.76,-0.28,M
03/12/2021,28.13,27.14,28.23,26.9,1.17,3.65,M
02/12/2021,27.14,26.51,27.41,26.35,2.05,3.43,M
01/12/2021,26.24,27.08,27.39,25.88,2.0,-3.32,M
30/11/2021,27.14,28.56,28.56,26.76,2.66,-5.14,M
29/11/2021,28.61,28.75,28.82,27.94,1.18,0.18,M
26/11/2021,28.56,29.07,29.32,28.5,639.5,-3.58,K
25/11/2021,29.62,29.32,30.07,29.08,975.8,0.1,K
24/11/2021,29.59,29.45,29.9,29.09,1.3,0.31,M
23/11/2021,29.5,29.73,29.76,28.92,913.1,0.2,K
