Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,6.12,5.55,6.16,5.33,165.7,3.55,M
23/02/2022,5.91,6.14,6.49,5.91,147.45,-2.64,M
22/02/2022,6.07,6.17,6.31,6.01,130.96,0.83,M
21/02/2022,6.02,6.42,6.45,6.02,86.56,-5.35,M
18/02/2022,6.36,6.72,6.82,6.36,120.82,-4.07,M
17/02/2022,6.63,6.81,6.93,6.59,97.37,-2.79,M
16/02/2022,6.82,6.83,6.98,6.72,100.34,-0.29,M
15/02/2022,6.84,6.61,6.84,6.61,94.93,5.56,M
14/02/2022,6.48,6.35,6.62,6.32,117.3,2.05,M
11/02/2022,6.35,6.98,7.02,6.3,194.91,-8.5,M
10/02/2022,6.94,6.67,6.98,6.43,156.93,5.15,M
09/02/2022,6.6,6.59,6.85,6.38,108.64,0.92,M
08/02/2022,6.54,6.31,6.54,6.24,87.22,3.65,M
07/02/2022,6.31,6.33,6.6,6.23,106.14,-0.32,M
04/02/2022,6.33,6.55,6.6,6.2,115.69,-3.06,M
03/02/2022,6.53,6.6,6.85,6.34,165.15,0.31,M
02/02/2022,6.51,7.09,7.25,6.44,208.15,-7.13,M
01/02/2022,7.01,7.0,7.33,6.88,154.38,0.14,M
31/01/2022,7.0,6.8,7.11,6.67,149.36,4.32,M
28/01/2022,6.71,7.21,7.23,6.62,185.69,-7.06,M
27/01/2022,7.22,6.91,7.28,6.88,161.79,6.96,M
26/01/2022,6.75,6.95,7.08,6.6,135.59,0.45,M
25/01/2022,6.72,6.36,6.76,6.2,172.08,5.16,M
24/01/2022,6.39,6.89,7.0,6.39,133.1,-7.39,M
21/01/2022,6.9,6.54,7.08,6.46,150.87,3.76,M
20/01/2022,6.65,6.36,6.81,6.35,140.78,5.39,M
19/01/2022,6.31,6.01,6.6,6.01,197.82,7.13,M
18/01/2022,5.89,6.08,6.23,5.89,117.01,-3.76,M
17/01/2022,6.12,6.27,6.38,6.12,61.8,-3.32,M
14/01/2022,6.33,6.11,6.42,6.08,104.05,3.94,M
13/01/2022,6.09,6.25,6.28,5.9,129.18,-3.49,M
