Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,6.16,5.87,6.2,5.64,1.86,-0.48,M
23/02/2022,6.19,6.2,6.33,6.12,1.15,-0.64,M
22/02/2022,6.23,5.95,6.23,5.95,1.13,5.24,M
21/02/2022,5.92,6.34,6.35,5.92,691.7,-6.92,K
18/02/2022,6.36,6.37,6.51,6.25,859.5,0.32,K
17/02/2022,6.34,6.49,6.62,6.34,986.5,-2.31,K
16/02/2022,6.49,6.72,6.77,6.49,1.03,-2.99,M
15/02/2022,6.69,6.28,6.7,6.23,1.79,6.53,M
14/02/2022,6.28,6.14,6.28,6.02,1.18,2.11,M
11/02/2022,6.15,6.49,6.64,5.92,3.74,-2.07,M
10/02/2022,6.28,5.97,6.35,5.84,3.36,5.72,M
09/02/2022,5.94,6.02,6.16,5.84,1.11,-2.14,M
08/02/2022,6.07,5.85,6.07,5.81,474.0,3.06,K
07/02/2022,5.89,6.05,6.09,5.85,469.4,-2.97,K
04/02/2022,6.07,6.27,6.27,5.96,847.5,-3.65,K
03/02/2022,6.3,6.27,6.34,6.05,698.6,0.64,K
02/02/2022,6.26,6.47,6.59,6.26,664.0,-3.1,K
01/02/2022,6.46,6.46,6.58,6.37,658.5,0.62,K
31/01/2022,6.42,6.3,6.6,6.26,1.33,1.74,M
28/01/2022,6.31,6.31,6.38,6.13,644.3,-1.41,K
27/01/2022,6.4,6.25,6.44,6.2,1.22,2.73,M
26/01/2022,6.23,6.05,6.32,6.05,980.4,2.98,K
25/01/2022,6.05,5.85,6.08,5.72,1.25,2.2,M
24/01/2022,5.92,5.72,5.92,5.53,1.1,2.6,M
21/01/2022,5.77,5.73,5.8,5.64,654.3,0.35,K
20/01/2022,5.75,5.59,5.84,5.58,1.97,3.23,M
19/01/2022,5.57,5.4,5.66,5.4,877.0,4.11,K
18/01/2022,5.35,5.57,5.57,5.3,588.8,-4.97,K
17/01/2022,5.63,5.4,5.65,5.37,509.1,4.26,K
14/01/2022,5.4,5.39,5.46,5.24,1.08,-0.37,M
13/01/2022,5.42,5.32,5.46,5.3,567.8,0.74,K
12/01/2022,5.38,5.22,5.48,5.21,1.16,3.26,M
11/01/2022,5.21,5.05,5.22,5.02,848.1,2.36,K
10/01/2022,5.09,5.09,5.15,4.92,929.9,-2.49,K
07/01/2022,5.22,5.15,5.28,5.05,1.26,0.97,M
