Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.93,5.86,6.06,5.79,4.13,-2.63,M
23/02/2022,6.09,6.34,6.48,5.96,1.64,-3.49,M
22/02/2022,6.31,6.24,6.54,6.22,1.13,1.94,M
21/02/2022,6.19,6.35,6.48,6.12,1.98,-2.52,M
18/02/2022,6.35,6.57,6.6,6.35,1.85,-2.31,M
17/02/2022,6.5,6.52,6.59,6.43,1.36,-0.91,M
16/02/2022,6.56,6.57,6.65,6.47,1.88,0.0,M
15/02/2022,6.56,6.42,6.7,6.35,1.92,2.66,M
14/02/2022,6.39,6.23,6.47,6.18,1.73,2.9,M
11/02/2022,6.21,6.61,6.61,6.15,4.45,-4.9,M
10/02/2022,6.53,6.74,6.78,6.47,2.98,-1.51,M
09/02/2022,6.63,6.84,7.01,6.63,1.41,-2.93,M
08/02/2022,6.83,6.84,6.86,6.67,1.24,-0.29,M
07/02/2022,6.85,6.85,6.97,6.7,824.3,-0.15,K
04/02/2022,6.86,6.98,6.98,6.65,1.58,-1.58,M
03/02/2022,6.97,7.4,7.5,6.95,815.1,-5.81,K
02/02/2022,7.4,7.44,7.7,7.35,1.21,-0.8,M
01/02/2022,7.46,7.68,7.74,7.36,1.75,-2.99,M
31/01/2022,7.69,7.33,7.83,7.29,1.85,4.91,M
28/01/2022,7.33,7.36,7.43,7.23,1.62,-0.68,M
27/01/2022,7.38,7.2,7.68,7.2,3.15,2.93,M
26/01/2022,7.17,7.04,7.36,7.0,2.89,3.61,M
25/01/2022,6.92,6.79,7.0,6.77,1.67,1.17,M
24/01/2022,6.84,6.91,6.95,6.64,906.3,-1.3,K
21/01/2022,6.93,7.02,7.09,6.83,1.26,-1.7,M
20/01/2022,7.05,6.92,7.24,6.86,1.17,2.62,M
19/01/2022,6.87,6.73,6.99,6.73,405.5,2.38,K
18/01/2022,6.71,6.91,6.97,6.62,1.07,-4.55,M
17/01/2022,7.03,7.2,7.25,6.9,294.2,-0.99,K
14/01/2022,7.1,6.93,7.1,6.75,612.4,1.14,K
13/01/2022,7.02,7.12,7.28,6.88,606.3,-3.17,K
12/01/2022,7.25,7.19,7.38,7.12,799.1,0.69,K
11/01/2022,7.2,6.8,7.2,6.71,840.5,4.8,K
10/01/2022,6.87,6.89,6.96,6.59,2.9,-1.29,M
07/01/2022,6.96,7.2,7.34,6.86,765.9,-3.6,K
06/01/2022,7.22,7.15,7.28,6.93,4.45,1.98,M
05/01/2022,7.08,7.56,7.66,7.03,894.6,-6.1,K
04/01/2022,7.54,8.14,8.19,7.51,747.9,-7.37,K
03/01/2022,8.14,8.48,8.52,8.02,1.12,-2.51,M
30/12/2021,8.35,8.23,8.44,8.02,3.93,3.73,M
29/12/2021,8.05,8.47,8.47,7.94,1.8,-4.85,M
28/12/2021,8.46,8.41,8.54,8.25,1.02,-0.35,M
27/12/2021,8.49,8.27,8.49,8.11,1.41,3.66,M
23/12/2021,8.19,8.25,8.52,8.05,1.67,-0.73,M
22/12/2021,8.25,8.03,8.57,7.98,1.41,1.85,M
21/12/2021,8.1,7.99,8.12,7.86,892.2,2.02,K
20/12/2021,7.94,8.05,8.18,7.86,1.47,-3.05,M
17/12/2021,8.19,7.96,8.19,7.8,6.53,3.15,M
16/12/2021,7.94,8.12,8.21,7.86,883.4,-1.73,K
15/12/2021,8.08,7.86,8.17,7.78,698.1,2.8,K
14/12/2021,7.86,8.2,8.32,7.86,762.7,-3.08,K
13/12/2021,8.11,8.14,8.42,8.05,1.36,-0.37,M
10/12/2021,8.14,8.22,8.44,8.06,948.1,0.37,K
09/12/2021,8.11,8.04,8.13,7.86,1.02,-0.12,M
08/12/2021,8.12,7.57,8.25,7.44,1.72,6.84,M
07/12/2021,7.6,7.18,7.67,7.12,1.96,7.5,M
06/12/2021,7.07,7.1,7.2,6.88,1.22,0.57,M
03/12/2021,7.03,6.92,7.18,6.85,1.16,2.03,M
02/12/2021,6.89,6.38,6.89,6.35,2.07,9.89,M
01/12/2021,6.27,6.87,6.89,6.22,3.11,-5.86,M
30/11/2021,6.66,7.25,7.44,6.65,10.31,-8.89,M
29/11/2021,7.31,7.31,7.5,7.21,1.64,0.83,M
26/11/2021,7.25,7.09,7.29,6.97,1.21,-2.68,M
25/11/2021,7.45,7.2,7.45,7.01,897.5,4.05,K
24/11/2021,7.16,7.01,7.38,6.95,1.21,0.7,M
23/11/2021,7.11,7.02,7.11,6.79,3.1,1.28,M
22/11/2021,7.02,7.01,7.4,6.91,1.1,0.86,M
19/11/2021,6.96,6.87,7.39,6.83,1.04,1.9,M
18/11/2021,6.83,7.04,7.07,6.81,1.64,-2.71,M
17/11/2021,7.02,7.07,7.12,6.75,3.33,0.29,M
16/11/2021,7.0,7.53,7.58,6.91,2.37,-6.17,M
12/11/2021,7.46,7.04,7.57,6.99,1.66,6.42,M
11/11/2021,7.01,6.82,7.26,6.8,1.62,4.16,M
10/11/2021,6.73,6.99,6.99,6.63,1.43,-3.72,M
09/11/2021,6.99,6.6,7.0,6.57,2.29,6.72,M
08/11/2021,6.55,6.77,6.81,6.5,1.69,-4.52,M
05/11/2021,6.86,6.63,6.86,6.39,3.81,4.26,M
04/11/2021,6.58,7.01,7.02,6.5,2.53,-5.87,M
03/11/2021,6.99,6.57,7.03,6.4,1.38,5.75,M
01/11/2021,6.61,6.47,6.7,6.36,822.6,2.32,K
29/10/2021,6.46,6.38,6.54,6.27,1.51,1.57,M
28/10/2021,6.36,6.61,6.8,6.35,1.95,-4.36,M
27/10/2021,6.65,6.9,7.0,6.58,4.21,-3.06,M
26/10/2021,6.86,7.1,7.1,6.77,4.37,-4.46,M
25/10/2021,7.18,6.88,7.27,6.87,1.64,5.9,M
22/10/2021,6.78,7.11,7.19,6.53,4.52,-5.17,M
21/10/2021,7.15,7.45,7.48,7.1,1.86,-5.55,M
20/10/2021,7.57,7.68,7.84,7.32,4.97,-0.39,M
19/10/2021,7.6,8.01,8.14,7.6,913.0,-5.12,K
18/10/2021,8.01,8.27,8.27,7.93,958.7,-3.84,K
15/10/2021,8.33,8.38,8.44,8.12,796.5,0.12,K
14/10/2021,8.32,8.26,8.41,8.11,1.51,0.73,M
13/10/2021,8.26,7.91,8.26,7.79,1.21,4.29,M
11/10/2021,7.92,7.89,8.03,7.7,828.0,0.89,K
08/10/2021,7.85,7.99,8.3,7.78,1.83,-0.88,M
07/10/2021,7.92,7.65,7.93,7.52,4.64,-1.98,M
06/10/2021,8.08,7.25,8.13,7.25,25.12,16.09,M
05/10/2021,6.96,7.54,7.56,6.91,3.95,-7.08,M
04/10/2021,7.49,7.78,7.78,7.41,1.63,-4.46,M
01/10/2021,7.84,7.5,7.84,7.32,1.4,4.67,M
30/09/2021,7.49,7.29,7.51,7.22,1.76,4.03,M
29/09/2021,7.2,7.3,7.39,7.12,2.68,-0.55,M
28/09/2021,7.24,7.45,7.51,7.16,2.5,-4.23,M
27/09/2021,7.56,7.86,7.86,7.5,1.32,-4.18,M
24/09/2021,7.89,7.47,8.06,7.47,1.41,5.06,M
23/09/2021,7.51,7.38,7.75,7.25,6.17,2.46,M
22/09/2021,7.33,7.57,7.57,7.26,1.76,-1.87,M
