Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.99,12.61,12.99,12.0,456.3,0.31,K
23/02/2022,12.95,13.37,13.65,12.71,787.8,-1.67,K
22/02/2022,13.17,13.4,13.62,13.07,481.1,-1.64,K
21/02/2022,13.39,13.73,13.76,13.18,1.25,-1.4,M
18/02/2022,13.58,13.66,14.01,13.42,530.6,-1.88,K
17/02/2022,13.84,14.11,14.2,13.6,552.6,-3.01,K
16/02/2022,14.27,13.85,14.27,13.63,461.5,3.41,K
15/02/2022,13.8,13.3,13.82,13.3,302.4,3.92,K
14/02/2022,13.28,13.51,13.63,13.06,298.8,-1.41,K
11/02/2022,13.47,13.28,13.75,12.95,1.09,1.35,M
10/02/2022,13.29,13.7,14.08,13.01,676.6,-3.97,K
09/02/2022,13.84,12.96,13.94,12.96,499.5,7.7,K
08/02/2022,12.85,12.71,12.85,12.55,297.5,0.0,K
07/02/2022,12.85,13.31,13.37,12.75,195.9,-1.31,K
04/02/2022,13.02,12.66,13.02,12.17,702.2,2.52,K
03/02/2022,12.7,13.06,13.16,12.41,235.5,-3.64,K
02/02/2022,13.18,13.41,13.65,12.96,171.0,-1.64,K
01/02/2022,13.4,13.55,13.63,13.11,771.1,-0.67,K
31/01/2022,13.49,12.99,13.58,12.73,1.71,4.01,M
28/01/2022,12.97,12.85,13.1,12.57,738.6,-0.23,K
27/01/2022,13.0,13.12,13.42,12.83,519.8,-1.29,K
26/01/2022,13.17,12.89,13.33,12.65,1.25,2.81,M
25/01/2022,12.81,12.18,12.81,11.93,2.19,4.91,M
24/01/2022,12.21,12.1,12.23,11.53,1.72,0.91,M
21/01/2022,12.1,12.25,12.59,11.86,692.8,-2.42,K
20/01/2022,12.4,11.98,12.69,11.92,1.89,3.85,M
19/01/2022,11.94,11.59,12.09,11.37,1.18,2.84,M
18/01/2022,11.61,11.81,12.0,11.48,223.0,-2.44,K
17/01/2022,11.9,11.97,12.18,11.72,330.1,0.34,K
14/01/2022,11.86,12.3,12.3,11.72,385.5,-3.58,K
13/01/2022,12.3,12.65,12.66,12.15,805.4,-4.73,K
12/01/2022,12.91,12.8,12.96,12.4,1.64,0.86,M
11/01/2022,12.8,11.85,13.03,11.52,3.17,7.74,M
10/01/2022,11.88,12.1,12.1,11.16,2.98,-1.82,M
07/01/2022,12.1,11.65,12.33,11.6,10.25,44.91,M
06/01/2022,8.35,9.0,9.21,8.35,1.08,-7.02,M
05/01/2022,8.98,10.05,10.09,8.98,771.2,-10.29,K
04/01/2022,10.01,11.13,11.4,10.01,425.8,-8.42,K
03/01/2022,10.93,10.8,11.47,10.71,725.0,1.2,K
30/12/2021,10.8,10.49,11.05,10.23,1.81,9.42,M
29/12/2021,9.87,10.29,10.49,9.87,198.5,-3.42,K
28/12/2021,10.22,10.65,10.75,10.22,251.8,-4.49,K
27/12/2021,10.7,10.26,10.85,10.26,180.0,1.52,K
23/12/2021,10.54,10.59,10.6,10.23,145.2,1.84,K
22/12/2021,10.35,10.63,10.9,10.07,173.6,-3.45,K
21/12/2021,10.72,10.19,10.72,9.73,420.8,6.14,K
20/12/2021,10.1,10.05,10.51,10.05,238.8,-4.27,K
17/12/2021,10.55,9.8,10.55,9.5,387.2,5.08,K
16/12/2021,10.04,9.45,10.08,9.42,1.49,7.38,M
15/12/2021,9.35,9.68,9.69,9.27,508.6,-3.61,K
14/12/2021,9.7,10.83,10.83,9.58,1.2,-9.6,M
13/12/2021,10.73,11.15,11.44,10.73,182.0,-2.45,K
10/12/2021,11.0,10.55,11.19,10.45,847.3,4.27,K
09/12/2021,10.55,10.47,10.62,10.06,348.7,-0.28,K
08/12/2021,10.58,10.46,10.8,10.34,357.2,0.76,K
07/12/2021,10.5,10.61,10.69,10.44,428.7,0.48,K
06/12/2021,10.45,10.66,10.97,10.45,226.5,-0.48,K
03/12/2021,10.5,10.54,10.77,10.4,509.7,0.96,K
