Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,7.82,7.35,7.87,7.15,869.2,3.58,K
23/02/2022,7.55,7.85,8.09,7.55,543.9,-3.58,K
22/02/2022,7.83,7.74,8.08,7.73,565.2,0.77,K
21/02/2022,7.77,8.1,8.19,7.77,585.5,-4.55,K
18/02/2022,8.14,8.35,8.54,8.05,1.09,-2.4,M
17/02/2022,8.34,8.22,8.56,8.08,995.9,0.85,K
16/02/2022,8.27,8.38,8.57,8.24,755.2,-2.13,K
15/02/2022,8.45,7.72,8.5,7.68,1.06,10.46,M
14/02/2022,7.65,7.47,7.83,7.36,650.9,2.27,K
11/02/2022,7.48,7.63,7.76,7.43,484.8,-1.84,K
10/02/2022,7.62,7.66,7.89,7.62,394.7,-2.18,K
09/02/2022,7.79,7.57,7.9,7.57,628.2,0.78,K
08/02/2022,7.73,7.28,7.81,7.17,796.0,6.18,K
07/02/2022,7.28,7.25,7.4,7.15,442.8,0.55,K
04/02/2022,7.24,7.44,7.44,7.07,616.7,-1.5,K
03/02/2022,7.35,7.7,7.77,7.25,623.7,-3.92,K
02/02/2022,7.65,8.24,8.31,7.62,1.24,-6.13,M
01/02/2022,8.15,8.48,8.8,8.15,620.6,-3.89,K
31/01/2022,8.48,8.18,8.57,8.02,454.7,4.05,K
28/01/2022,8.15,8.2,8.29,7.9,325.0,-2.04,K
27/01/2022,8.32,7.96,8.57,7.9,694.2,3.74,K
26/01/2022,8.02,7.93,8.38,7.93,592.4,2.82,K
25/01/2022,7.8,7.54,8.03,7.45,520.4,1.69,K
24/01/2022,7.67,8.01,8.09,7.45,394.4,-4.84,K
21/01/2022,8.06,8.38,8.47,8.03,469.0,-4.05,K
20/01/2022,8.4,7.75,8.46,7.74,592.1,8.39,K
19/01/2022,7.75,7.8,7.9,7.62,432.3,1.71,K
18/01/2022,7.62,7.91,7.91,7.53,358.3,-4.15,K
17/01/2022,7.95,8.04,8.08,7.83,359.6,-2.45,K
14/01/2022,8.15,7.6,8.27,7.5,1.03,7.1,M
13/01/2022,7.61,7.82,7.82,7.45,775.2,-2.69,K
12/01/2022,7.82,7.65,8.13,7.61,367.2,1.56,K
11/01/2022,7.7,7.23,7.76,7.23,411.0,5.34,K
10/01/2022,7.31,7.31,7.4,7.2,298.5,-1.48,K
07/01/2022,7.42,7.5,7.79,7.32,404.2,-1.07,K
06/01/2022,7.5,7.52,7.7,7.36,653.0,-0.4,K
05/01/2022,7.53,7.79,7.9,7.25,542.8,-1.31,K
04/01/2022,7.63,8.36,8.37,7.62,680.1,-7.74,K
03/01/2022,8.27,8.61,8.75,8.13,320.6,-3.5,K
30/12/2021,8.57,8.55,8.84,8.41,630.8,0.59,K
29/12/2021,8.52,8.55,8.72,8.43,354.5,1.43,K
28/12/2021,8.4,8.55,8.64,8.4,226.5,-1.64,K
27/12/2021,8.54,8.63,8.89,8.45,380.2,-0.7,K
23/12/2021,8.6,8.71,8.78,8.36,697.1,-0.92,K
22/12/2021,8.68,8.22,8.73,8.11,946.9,5.6,K
21/12/2021,8.22,8.46,8.68,8.09,631.2,-2.14,K
20/12/2021,8.4,8.61,8.79,8.39,535.7,-2.78,K
17/12/2021,8.64,9.07,9.08,8.59,739.6,-4.32,K
16/12/2021,9.03,9.33,9.63,8.92,656.4,-4.14,K
15/12/2021,9.42,8.96,9.42,8.55,768.4,5.49,K
14/12/2021,8.93,10.13,10.27,8.88,1.12,-10.88,M
13/12/2021,10.02,10.9,10.95,10.02,663.1,-6.96,K
10/12/2021,10.77,10.0,10.85,9.75,946.7,12.3,K
09/12/2021,9.59,9.89,10.2,9.4,908.5,-4.2,K
08/12/2021,10.01,9.95,10.43,9.83,584.7,0.5,K
07/12/2021,9.96,9.6,10.13,9.52,1.47,6.75,M
06/12/2021,9.33,9.37,9.6,9.02,814.3,1.41,K
03/12/2021,9.2,8.63,9.62,8.63,1.35,8.24,M
02/12/2021,8.5,8.75,8.95,8.43,1.19,1.07,M
01/12/2021,8.41,8.96,9.19,8.41,1.21,-3.89,M
30/11/2021,8.75,9.15,9.36,8.49,772.2,-4.99,K
29/11/2021,9.21,9.2,9.47,9.03,537.8,3.02,K
26/11/2021,8.94,9.3,9.32,8.73,868.2,-7.36,K
25/11/2021,9.65,8.77,9.7,8.77,952.0,8.67,K
24/11/2021,8.88,8.45,8.93,8.34,772.5,5.09,K
23/11/2021,8.45,8.6,8.77,8.21,1.16,-1.74,M
22/11/2021,8.6,8.96,9.24,8.58,643.5,-3.37,K
19/11/2021,8.9,8.98,9.46,8.82,980.9,-1.0,K
18/11/2021,8.99,8.89,9.39,8.7,938.5,1.47,K
17/11/2021,8.86,9.44,9.46,8.55,1.55,-5.54,M
16/11/2021,9.38,10.15,10.3,9.25,893.0,-7.13,K
12/11/2021,10.1,10.64,10.76,10.1,836.5,-5.25,K
11/11/2021,10.66,10.11,10.88,10.0,1.19,6.6,M
10/11/2021,10.0,9.69,10.36,9.61,1.37,3.2,M
09/11/2021,9.69,9.84,10.03,9.55,1.14,-0.72,M
08/11/2021,9.76,10.18,10.2,9.73,602.8,-4.69,K
05/11/2021,10.24,10.3,10.47,10.08,844.3,0.59,K
04/11/2021,10.18,10.8,10.99,10.14,777.4,-6.09,K
03/11/2021,10.84,10.55,11.05,10.39,2.06,0.37,M
01/11/2021,10.8,10.14,10.91,10.14,943.8,6.3,K
29/10/2021,10.16,10.88,11.04,10.01,1.36,-6.27,M
28/10/2021,10.84,11.05,11.3,10.72,916.6,-3.39,K
27/10/2021,11.22,11.21,11.6,11.1,1.05,2.0,M
26/10/2021,11.0,11.4,11.56,10.93,738.3,-5.09,K
25/10/2021,11.59,11.55,12.13,11.55,1.3,0.35,M
22/10/2021,11.55,11.95,11.95,10.7,2.17,-3.27,M
21/10/2021,11.94,12.7,12.93,11.49,1.66,-8.22,M
20/10/2021,13.01,13.29,13.41,12.79,1.04,-1.29,M
19/10/2021,13.18,13.5,13.89,13.05,1.04,-4.15,M
18/10/2021,13.75,13.5,14.0,13.12,1.43,0.59,M
15/10/2021,13.67,13.29,13.9,13.2,1.19,2.86,M
14/10/2021,13.29,12.85,13.44,12.81,1.69,3.99,M
13/10/2021,12.78,11.92,12.91,11.92,1.73,8.03,M
11/10/2021,11.83,12.79,12.83,11.79,1.38,-8.22,M
08/10/2021,12.89,12.11,13.22,12.1,2.21,8.14,M
07/10/2021,11.92,11.95,12.36,11.68,2.26,0.93,M
06/10/2021,11.81,11.5,11.95,11.02,4.39,-1.99,M
05/10/2021,12.05,13.46,13.7,11.98,4.02,-9.53,M
04/10/2021,13.32,15.11,15.75,13.26,10.26,5.55,M
01/10/2021,12.62,11.38,12.68,11.29,1.48,8.79,M
30/09/2021,11.6,11.24,11.94,10.82,2.22,3.11,M
29/09/2021,11.25,11.84,11.84,11.21,1.79,-1.32,M
28/09/2021,11.4,11.76,11.88,11.07,2.14,-5.55,M
27/09/2021,12.07,12.76,12.86,11.92,1.43,-5.78,M
24/09/2021,12.81,13.38,13.38,12.75,1.52,-4.76,M
23/09/2021,13.45,12.5,13.58,12.32,1.46,8.12,M
22/09/2021,12.44,12.42,12.74,12.23,1.06,1.47,M
