Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,16.78,16.5,16.95,16.3,3.91,-2.21,M
23/02/2022,17.16,17.19,17.34,16.58,4.68,0.41,M
22/02/2022,17.09,16.2,17.25,16.11,9.67,8.85,M
21/02/2022,15.7,15.89,16.19,15.52,2.2,-1.26,M
18/02/2022,15.9,16.08,16.2,15.83,1.54,-0.69,M
17/02/2022,16.01,16.43,16.58,15.96,1.93,-2.97,M
16/02/2022,16.5,16.49,16.6,16.28,2.66,0.98,M
15/02/2022,16.34,15.92,16.49,15.92,3.0,3.16,M
14/02/2022,15.84,15.49,16.03,15.49,1.67,1.86,M
11/02/2022,15.55,16.03,16.08,15.47,3.29,-2.51,M
10/02/2022,15.95,15.76,16.1,15.56,2.12,1.27,M
09/02/2022,15.75,15.34,15.89,15.27,2.56,2.74,M
08/02/2022,15.33,15.46,15.55,15.18,2.61,-1.03,M
07/02/2022,15.49,15.6,15.71,15.28,1.87,-1.15,M
04/02/2022,15.67,15.95,15.95,15.27,2.2,-1.94,M
03/02/2022,15.98,16.27,16.56,15.89,2.27,-1.66,M
02/02/2022,16.25,16.44,16.73,16.09,2.27,-1.04,M
01/02/2022,16.42,16.42,16.87,16.22,1.89,-0.36,M
31/01/2022,16.48,16.19,16.58,16.03,2.3,1.79,M
28/01/2022,16.19,16.27,16.29,15.82,1.93,-1.1,M
27/01/2022,16.37,16.42,16.65,16.08,2.73,0.18,M
26/01/2022,16.34,15.69,16.77,15.59,4.65,5.22,M
25/01/2022,15.53,15.0,15.62,14.97,1.66,2.92,M
24/01/2022,15.09,15.35,15.35,14.64,1.7,-1.57,M
21/01/2022,15.33,15.1,15.37,14.88,2.17,0.79,M
20/01/2022,15.21,13.99,15.34,13.95,3.43,9.03,M
19/01/2022,13.95,13.98,14.34,13.91,1.61,-0.07,M
18/01/2022,13.96,14.16,14.23,13.56,2.62,-1.69,M
