Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.98,21.71,23.1,21.64,7.51,3.51,M
23/02/2022,22.2,22.19,22.38,22.06,4.25,0.32,M
22/02/2022,22.13,21.45,22.29,21.31,6.86,3.85,M
21/02/2022,21.31,22.33,22.42,21.15,3.61,-4.57,M
18/02/2022,22.33,22.73,22.95,22.33,2.73,-1.72,M
17/02/2022,22.72,21.77,22.79,21.71,13.93,4.22,M
16/02/2022,21.8,22.43,22.5,21.78,4.84,-2.2,M
15/02/2022,22.29,22.53,22.75,22.07,4.5,-0.36,M
14/02/2022,22.37,23.06,23.46,22.13,6.33,-2.53,M
11/02/2022,22.95,22.99,23.21,22.67,4.74,0.26,M
10/02/2022,22.89,22.51,23.08,22.22,4.69,2.46,M
09/02/2022,22.34,21.94,22.65,21.84,5.47,1.96,M
08/02/2022,21.91,20.91,21.99,20.91,8.72,4.98,M
07/02/2022,20.87,20.19,21.03,20.19,7.5,2.71,M
04/02/2022,20.32,20.24,20.61,20.01,5.27,0.89,M
03/02/2022,20.14,21.75,21.75,20.14,9.26,-7.4,M
02/02/2022,21.75,22.24,22.76,21.58,8.28,-2.51,M
01/02/2022,22.31,22.39,23.35,22.21,5.87,-0.76,M
31/01/2022,22.48,22.64,22.68,22.23,4.14,-0.4,M
28/01/2022,22.57,22.29,22.75,22.18,3.77,0.8,M
27/01/2022,22.39,23.32,23.45,22.2,5.93,-2.99,M
26/01/2022,23.08,23.79,24.27,23.08,5.5,-2.33,M
25/01/2022,23.63,23.26,24.09,23.07,8.46,0.6,M
24/01/2022,23.49,22.4,23.73,22.4,9.05,4.68,M
21/01/2022,22.44,22.37,22.68,21.88,4.31,0.4,M
20/01/2022,22.35,22.82,23.16,22.25,6.18,-1.5,M
19/01/2022,22.69,22.9,23.13,22.61,4.14,0.31,M
18/01/2022,22.62,23.24,23.24,22.62,4.11,-2.71,M
17/01/2022,23.25,23.51,23.79,23.19,4.38,-1.11,M
14/01/2022,23.51,22.84,23.7,22.6,7.08,3.39,M
13/01/2022,22.74,21.68,22.95,21.49,7.58,5.18,M
12/01/2022,21.62,21.36,21.68,20.98,4.69,1.6,M
11/01/2022,21.28,21.43,21.5,20.76,6.54,-0.84,M
10/01/2022,21.46,21.26,22.32,21.26,6.13,1.37,M
07/01/2022,21.17,21.24,21.65,21.07,4.7,-0.8,M
06/01/2022,21.34,21.45,21.93,21.17,6.04,0.0,M
05/01/2022,21.34,21.42,21.94,21.26,5.38,-0.79,M
04/01/2022,21.51,21.41,21.99,21.02,6.65,1.13,M
03/01/2022,21.27,22.0,22.0,21.1,6.7,-3.62,M
30/12/2021,22.07,23.07,23.1,22.07,11.29,-3.71,M
29/12/2021,22.92,22.71,23.19,22.55,3.75,0.61,M
28/12/2021,22.78,22.4,22.8,22.27,3.02,2.29,M
27/12/2021,22.27,22.79,22.96,22.14,3.8,-2.02,M
23/12/2021,22.73,21.81,22.83,21.81,4.57,4.17,M
22/12/2021,21.82,22.35,22.45,21.54,3.68,-6.71,M
21/12/2021,23.39,23.5,23.89,23.17,4.23,0.26,M
20/12/2021,23.33,23.48,23.75,23.05,5.11,-1.89,M
17/12/2021,23.78,23.61,24.24,23.27,10.37,3.71,M
16/12/2021,22.93,23.5,23.54,22.79,5.22,-1.42,M
15/12/2021,23.26,23.85,24.31,23.06,8.51,-1.32,M
14/12/2021,23.57,22.3,23.57,22.2,8.69,6.8,M
13/12/2021,22.07,22.02,22.35,21.76,2.91,0.23,M
10/12/2021,22.02,22.28,22.43,21.92,3.4,0.09,M
09/12/2021,22.0,22.41,22.51,21.82,5.11,-2.61,M
08/12/2021,22.59,21.72,22.71,21.65,10.73,6.31,M
07/12/2021,21.25,21.28,21.75,20.79,7.6,1.92,M
06/12/2021,20.85,20.75,21.49,20.59,7.41,-0.1,M
03/12/2021,20.87,21.84,21.84,20.19,14.56,-5.74,M
02/12/2021,22.14,22.13,22.33,21.94,4.68,1.23,M
01/12/2021,21.87,23.83,23.96,21.82,10.79,-7.21,M
30/11/2021,23.57,23.88,23.88,22.82,6.91,-1.3,M
29/11/2021,23.88,24.06,24.24,23.72,3.29,0.76,M
26/11/2021,23.7,23.8,24.33,23.56,4.04,-3.07,M
25/11/2021,24.45,25.3,25.3,24.41,4.26,-2.86,M
24/11/2021,25.17,25.82,25.82,25.17,3.97,-2.14,M
23/11/2021,25.72,25.45,25.76,25.02,4.75,2.67,M
22/11/2021,25.05,25.83,26.11,25.05,5.01,-3.24,M
19/11/2021,25.89,25.92,26.55,25.65,5.23,-0.38,M
18/11/2021,25.99,25.59,25.99,25.25,4.19,2.2,M
17/11/2021,25.43,26.01,26.09,25.04,5.19,-1.09,M
16/11/2021,25.71,26.5,26.5,25.1,9.03,-3.02,M
12/11/2021,26.51,26.33,26.6,25.87,6.17,1.38,M
11/11/2021,26.15,26.4,26.68,26.0,17.12,0.58,M
10/11/2021,26.0,26.98,27.1,25.85,6.95,-3.13,M
09/11/2021,26.84,26.85,27.49,26.36,5.53,-0.15,M
08/11/2021,26.88,26.34,27.0,26.2,4.99,1.93,M
05/11/2021,26.37,26.99,27.05,26.33,5.2,-1.53,M
04/11/2021,26.78,25.85,27.07,25.79,8.19,3.6,M
03/11/2021,25.85,25.23,26.1,24.79,7.32,1.61,M
01/11/2021,25.44,26.95,27.04,25.05,11.54,-4.0,M
29/10/2021,26.5,25.26,26.94,24.93,10.65,5.33,M
28/10/2021,25.16,25.12,25.67,24.85,11.04,-0.44,M
27/10/2021,25.27,25.21,25.54,24.73,10.36,2.68,M
26/10/2021,24.61,24.52,25.31,24.52,7.15,-0.85,M
25/10/2021,24.82,25.33,25.36,24.65,6.98,-1.19,M
22/10/2021,25.12,25.12,25.67,24.4,10.46,-0.67,M
21/10/2021,25.29,25.26,25.67,24.74,9.71,-1.52,M
20/10/2021,25.68,25.86,26.31,25.64,6.2,-1.31,M
19/10/2021,26.02,26.23,26.75,25.84,8.25,-1.77,M
18/10/2021,26.49,26.99,27.47,26.35,6.69,-2.43,M
15/10/2021,27.15,27.84,27.97,27.15,5.35,-1.99,M
14/10/2021,27.7,27.12,28.06,26.94,7.76,2.37,M
13/10/2021,27.06,26.5,27.53,26.32,6.92,2.66,M
11/10/2021,26.36,26.2,26.65,26.03,4.68,0.8,M
08/10/2021,26.15,25.84,26.35,25.55,5.06,1.71,M
07/10/2021,25.71,26.18,26.18,25.52,7.31,-1.27,M
06/10/2021,26.04,25.98,26.51,25.56,10.58,-0.72,M
05/10/2021,26.23,25.9,26.5,25.75,8.13,1.47,M
04/10/2021,25.85,25.52,26.23,25.48,5.19,0.19,M
01/10/2021,25.8,25.65,25.93,25.33,7.23,0.55,M
30/09/2021,25.66,25.51,25.69,24.65,15.88,1.34,M
29/09/2021,25.32,24.59,25.35,24.29,12.51,4.03,M
28/09/2021,24.34,24.17,24.53,23.96,7.73,0.25,M
27/09/2021,24.28,22.62,24.37,22.46,11.29,7.15,M
24/09/2021,22.66,22.33,22.95,22.14,5.72,1.12,M
23/09/2021,22.41,21.51,22.5,21.46,6.74,4.43,M
22/09/2021,21.46,21.39,21.78,21.32,4.57,1.04,M
21/09/2021,21.24,20.91,21.48,20.83,6.15,1.87,M
20/09/2021,20.85,20.68,21.02,20.51,6.0,-1.74,M
17/09/2021,21.22,21.55,21.61,21.01,6.66,-1.9,M
16/09/2021,21.63,21.31,21.82,21.3,5.49,1.03,M
15/09/2021,21.41,21.4,21.47,21.0,5.55,-0.46,M
14/09/2021,21.51,21.41,21.65,21.31,4.92,0.56,M
13/09/2021,21.39,21.58,21.75,21.09,10.83,-6.92,M
10/09/2021,22.98,22.66,23.29,22.46,12.49,2.45,M
09/09/2021,22.43,21.93,22.7,21.89,11.34,2.61,M
08/09/2021,21.86,21.97,22.27,21.73,9.84,-0.14,M
06/09/2021,21.89,21.17,22.02,20.88,6.66,2.58,M
03/09/2021,21.34,21.15,21.59,21.01,6.73,1.47,M
02/09/2021,21.03,21.59,21.96,21.0,8.92,-2.14,M
01/09/2021,21.49,20.55,21.54,20.51,17.2,4.88,M
31/08/2021,20.49,20.97,21.06,20.49,4.28,-2.29,M
30/08/2021,20.97,20.89,21.1,20.56,4.88,-0.14,M
27/08/2021,21.0,20.96,21.08,20.72,5.22,0.19,M
26/08/2021,20.96,21.03,21.36,20.84,7.83,0.24,M
25/08/2021,20.91,20.79,21.01,20.62,4.0,0.1,M
24/08/2021,20.89,20.85,21.28,20.8,5.74,0.19,M
23/08/2021,20.85,20.3,21.07,20.2,7.58,3.42,M
20/08/2021,20.16,19.8,20.35,19.72,6.53,1.05,M
19/08/2021,19.95,19.25,20.07,19.22,8.21,2.84,M
18/08/2021,19.4,19.14,19.57,19.1,7.07,0.94,M
17/08/2021,19.22,19.18,19.29,18.99,8.54,0.0,M
16/08/2021,19.22,19.31,19.45,18.81,9.8,-1.18,M
13/08/2021,19.45,19.5,19.65,19.25,5.61,0.21,M
12/08/2021,19.41,19.73,20.03,19.34,11.5,-1.42,M
11/08/2021,19.69,20.07,20.07,19.45,13.62,0.66,M
10/08/2021,19.56,19.61,19.7,19.36,6.39,0.2,M
09/08/2021,19.52,18.92,19.63,18.9,10.15,3.66,M
06/08/2021,18.83,18.8,19.03,18.66,8.64,0.0,M
05/08/2021,18.83,19.16,19.27,18.63,6.41,-1.21,M
04/08/2021,19.06,19.33,19.39,18.9,6.81,-2.26,M
