Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.06,11.75,12.25,11.56,3.78,-1.95,M
23/02/2022,12.3,12.39,12.72,12.21,4.43,-0.73,M
22/02/2022,12.39,12.36,12.71,12.18,10.9,1.23,M
21/02/2022,12.24,12.79,12.82,12.22,3.59,-4.3,M
18/02/2022,12.79,12.55,13.1,12.47,8.81,2.73,M
17/02/2022,12.45,12.76,12.94,12.45,3.33,-2.35,M
16/02/2022,12.75,12.67,12.83,12.44,3.71,1.03,M
15/02/2022,12.62,12.34,12.67,12.34,2.65,3.27,M
14/02/2022,12.22,12.1,12.36,11.99,3.31,0.99,M
11/02/2022,12.1,12.13,12.54,11.96,5.75,-0.08,M
10/02/2022,12.11,12.45,12.53,12.08,4.81,-2.18,M
09/02/2022,12.38,12.46,12.65,12.32,3.41,0.49,M
08/02/2022,12.32,12.29,12.41,12.15,3.22,-0.16,M
07/02/2022,12.34,12.42,12.57,12.28,3.25,-0.96,M
04/02/2022,12.46,12.94,12.95,12.33,5.75,-3.86,M
03/02/2022,12.96,12.93,13.19,12.71,3.62,0.62,M
02/02/2022,12.88,13.17,13.29,12.78,4.72,-2.35,M
01/02/2022,13.19,13.4,13.51,12.98,3.96,-1.64,M
31/01/2022,13.41,13.28,13.51,13.12,6.93,1.06,M
28/01/2022,13.27,13.33,13.63,13.16,6.32,-1.7,M
27/01/2022,13.5,13.23,13.58,13.14,6.69,3.29,M
26/01/2022,13.07,12.77,13.52,12.74,12.29,4.31,M
25/01/2022,12.53,11.89,12.7,11.8,6.21,4.59,M
24/01/2022,11.98,12.01,12.12,11.72,6.97,-0.5,M
21/01/2022,12.04,11.74,12.19,11.73,5.11,2.03,M
20/01/2022,11.8,11.34,12.06,11.32,9.03,4.98,M
19/01/2022,11.24,10.84,11.46,10.83,8.9,4.46,M
18/01/2022,10.76,11.08,11.08,10.63,7.15,-2.18,M
17/01/2022,11.0,11.1,11.19,10.76,3.15,-0.81,M
14/01/2022,11.09,10.88,11.09,10.78,4.67,1.37,M
13/01/2022,10.94,10.87,11.0,10.71,2.33,0.18,M
12/01/2022,10.92,10.55,10.96,10.49,6.15,3.51,M
11/01/2022,10.55,10.39,10.68,10.39,3.83,0.96,M
10/01/2022,10.45,10.55,10.61,10.28,3.48,-1.23,M
07/01/2022,10.58,10.44,10.75,10.26,5.03,0.47,M
06/01/2022,10.53,10.52,10.75,10.31,8.0,0.1,M
05/01/2022,10.52,10.94,11.01,10.42,7.74,-3.93,M
04/01/2022,10.95,11.38,11.38,10.87,5.41,-3.18,M
03/01/2022,11.31,12.01,12.09,11.26,6.04,-5.75,M
30/12/2021,12.0,11.89,12.15,11.66,6.14,2.21,M
29/12/2021,11.74,11.82,12.08,11.64,3.86,-0.42,M
28/12/2021,11.79,11.68,11.86,11.63,3.18,1.2,M
27/12/2021,11.65,11.35,11.83,11.35,3.22,2.37,M
23/12/2021,11.38,11.48,11.49,11.15,2.97,-0.18,M
22/12/2021,11.4,11.44,11.59,11.26,2.42,-0.09,M
21/12/2021,11.41,11.49,11.69,11.25,2.99,-0.61,M
20/12/2021,11.48,11.58,11.6,11.28,3.84,-1.8,M
17/12/2021,11.69,11.58,11.85,11.44,2.95,-0.09,M
16/12/2021,11.7,11.99,12.14,11.65,4.08,-1.1,M
15/12/2021,11.83,11.76,11.88,11.43,4.22,0.94,M
14/12/2021,11.72,12.26,12.28,11.72,3.88,-2.98,M
13/12/2021,12.08,12.28,12.53,11.99,6.19,-1.79,M
10/12/2021,12.3,11.85,12.49,11.83,8.38,5.31,M
09/12/2021,11.68,12.15,12.19,11.64,5.89,-4.65,M
08/12/2021,12.25,11.6,12.35,11.37,6.82,5.88,M
07/12/2021,11.57,12.11,12.18,11.5,6.22,-4.38,M
06/12/2021,12.1,12.05,12.36,11.88,6.43,1.09,M
03/12/2021,11.97,11.34,12.45,11.33,10.56,5.28,M
02/12/2021,11.37,11.2,11.45,11.07,7.57,4.6,M
01/12/2021,10.87,11.13,11.46,10.86,7.12,-1.98,M
30/11/2021,11.09,11.13,11.19,10.67,7.87,-1.51,M
29/11/2021,11.26,11.52,11.55,11.17,4.18,-0.97,M
26/11/2021,11.37,11.49,11.54,11.18,4.2,-4.37,M
25/11/2021,11.89,11.42,11.89,11.41,3.7,4.02,M
24/11/2021,11.43,11.31,11.71,11.21,5.15,-0.52,M
23/11/2021,11.49,11.49,11.53,11.16,3.89,0.09,M
22/11/2021,11.48,11.79,11.94,11.37,3.25,-2.63,M
19/11/2021,11.79,11.53,11.98,11.48,4.54,2.25,M
18/11/2021,11.53,11.45,12.13,11.35,5.41,0.79,M
17/11/2021,11.44,11.75,11.94,11.32,7.2,-1.97,M
16/11/2021,11.67,12.31,12.37,11.51,5.85,-4.81,M
12/11/2021,12.26,12.45,12.75,12.2,4.52,-1.68,M
11/11/2021,12.47,12.43,12.8,12.35,5.67,1.63,M
10/11/2021,12.27,11.81,12.62,11.65,7.82,4.69,M
09/11/2021,11.72,11.32,12.0,11.3,5.54,3.72,M
08/11/2021,11.3,11.32,11.49,11.19,3.98,-1.14,M
05/11/2021,11.43,11.13,11.5,11.06,4.18,4.0,M
04/11/2021,10.99,11.07,11.48,10.89,5.57,-0.72,M
03/11/2021,11.07,10.5,11.32,10.5,5.91,4.24,M
01/11/2021,10.62,10.38,10.77,10.2,4.0,4.63,M
29/10/2021,10.15,10.4,10.51,10.06,4.88,-1.55,M
28/10/2021,10.31,10.59,10.93,10.25,4.4,-3.64,M
27/10/2021,10.7,10.52,10.91,10.47,6.36,2.79,M
26/10/2021,10.41,10.74,10.92,10.36,5.1,-4.41,M
25/10/2021,10.89,10.63,11.0,10.46,6.05,3.32,M
22/10/2021,10.54,10.63,10.79,9.86,16.35,-1.95,M
21/10/2021,10.75,11.28,11.47,10.59,13.87,-6.6,M
20/10/2021,11.51,11.71,11.87,11.44,6.14,-0.78,M
19/10/2021,11.6,12.5,12.5,11.51,6.89,-7.05,M
18/10/2021,12.48,12.25,12.77,12.13,5.11,0.73,M
15/10/2021,12.39,12.3,12.54,12.2,2.19,0.73,M
14/10/2021,12.3,12.47,12.62,12.16,3.53,-1.05,M
13/10/2021,12.43,12.12,12.62,12.07,4.49,3.07,M
11/10/2021,12.06,12.25,12.35,12.06,3.22,-1.55,M
08/10/2021,12.25,11.81,12.46,11.81,4.03,4.7,M
07/10/2021,11.7,11.87,12.07,11.69,5.79,-0.85,M
06/10/2021,11.8,11.75,11.85,11.4,5.83,0.0,M
05/10/2021,11.8,12.24,12.24,11.8,4.6,-2.32,M
04/10/2021,12.08,12.52,12.55,12.02,4.6,-4.66,M
01/10/2021,12.67,12.48,13.03,12.45,15.43,3.09,M
30/09/2021,12.29,12.39,12.79,12.29,6.58,-0.24,M
29/09/2021,12.32,12.61,12.78,12.27,7.05,-1.28,M
28/09/2021,12.48,13.24,13.24,12.48,5.42,-5.74,M
27/09/2021,13.24,13.46,13.51,13.09,3.64,-1.34,M
24/09/2021,13.42,13.43,13.51,13.11,5.79,-0.81,M
23/09/2021,13.53,13.9,14.0,13.48,8.95,-2.66,M
22/09/2021,13.9,14.01,14.09,13.77,10.88,0.65,M
21/09/2021,13.81,13.61,13.93,13.46,7.65,2.22,M
20/09/2021,13.51,13.5,13.68,13.24,6.61,-1.89,M
17/09/2021,13.77,13.79,13.9,13.62,10.6,-0.36,M
16/09/2021,13.82,13.75,14.05,13.63,3.88,-0.65,M
15/09/2021,13.91,14.08,14.15,13.62,4.13,-1.21,M
14/09/2021,14.08,14.0,14.37,13.87,8.74,0.5,M
13/09/2021,14.01,13.68,14.2,13.54,6.1,4.32,M
10/09/2021,13.43,13.8,14.17,13.38,10.28,-1.32,M
09/09/2021,13.61,12.93,13.61,12.55,6.14,5.1,M
08/09/2021,12.95,13.7,13.7,12.87,6.8,-5.61,M
06/09/2021,13.72,13.15,13.85,13.09,2.82,3.78,M
03/09/2021,13.22,13.25,13.54,13.2,5.34,0.0,M
02/09/2021,13.22,13.59,13.71,13.22,4.1,-2.94,M
01/09/2021,13.62,13.7,13.91,13.51,4.93,-0.51,M
31/08/2021,13.69,13.61,14.25,13.5,10.64,1.86,M
30/08/2021,13.44,13.65,13.66,13.23,4.17,-1.68,M
27/08/2021,13.67,13.33,13.85,13.13,7.02,4.75,M
26/08/2021,13.05,13.49,13.49,13.01,4.28,-3.83,M
25/08/2021,13.57,13.33,13.59,13.18,6.46,1.88,M
24/08/2021,13.32,12.61,13.45,12.57,5.83,6.65,M
23/08/2021,12.49,12.89,12.94,12.3,5.24,-2.88,M
20/08/2021,12.86,12.65,12.95,12.58,3.97,0.55,M
19/08/2021,12.79,12.52,12.86,12.41,3.65,1.11,M
18/08/2021,12.65,12.85,12.95,12.56,4.95,-1.25,M
17/08/2021,12.81,12.96,13.01,12.53,5.73,-1.69,M
16/08/2021,13.03,13.14,13.26,12.77,6.29,-1.06,M
13/08/2021,13.17,13.23,13.77,13.14,7.76,-0.23,M
12/08/2021,13.2,13.5,13.5,12.71,9.28,-2.44,M
11/08/2021,13.53,13.47,13.74,13.46,5.65,0.07,M
10/08/2021,13.52,13.88,13.91,13.46,4.85,-2.03,M
09/08/2021,13.8,13.69,13.94,13.61,3.04,0.8,M
06/08/2021,13.69,13.59,13.84,13.42,2.87,0.59,M
05/08/2021,13.61,14.19,14.26,13.61,3.45,-3.13,M
04/08/2021,14.05,14.04,14.26,13.78,4.71,-0.21,M
03/08/2021,14.08,14.42,14.43,13.78,6.95,-2.22,M
02/08/2021,14.4,14.55,14.75,14.39,4.09,0.42,M
30/07/2021,14.34,14.53,14.72,14.31,4.23,-2.32,M
29/07/2021,14.68,14.87,15.05,14.65,4.01,-0.94,M
28/07/2021,14.82,15.01,15.01,14.44,8.35,-0.67,M
27/07/2021,14.92,15.16,15.19,14.8,3.56,-1.91,M
26/07/2021,15.21,15.37,15.41,15.12,3.3,-1.3,M
23/07/2021,15.41,15.82,15.85,15.3,2.17,-2.41,M
22/07/2021,15.79,15.76,15.83,15.5,3.14,0.32,M
21/07/2021,15.74,15.77,15.92,15.47,4.45,-0.13,M
20/07/2021,15.76,16.07,16.07,15.67,4.25,-1.99,M
19/07/2021,16.08,15.98,16.19,15.84,2.35,-0.37,M
16/07/2021,16.14,16.8,16.8,16.14,2.39,-2.18,M
15/07/2021,16.5,16.72,16.78,16.33,1.94,-1.32,M
14/07/2021,16.72,16.53,16.91,16.51,3.52,2.26,M
13/07/2021,16.35,16.3,16.52,16.16,2.44,-0.06,M
12/07/2021,16.36,16.09,16.48,16.02,2.97,2.38,M
08/07/2021,15.98,15.81,16.12,15.65,2.91,-0.5,M
07/07/2021,16.06,15.89,16.16,15.78,2.59,1.45,M
06/07/2021,15.83,16.16,16.17,15.7,2.61,-2.04,M
05/07/2021,16.16,16.25,16.3,16.15,1.01,-0.8,M
02/07/2021,16.29,16.28,16.38,16.1,1.76,1.05,M
01/07/2021,16.12,16.36,16.45,16.02,2.42,-1.29,M
30/06/2021,16.33,16.22,16.46,16.17,2.59,0.06,M
29/06/2021,16.32,16.51,16.54,16.16,2.72,-1.09,M
28/06/2021,16.5,16.81,16.93,16.47,2.42,-1.84,M
25/06/2021,16.81,17.01,17.02,16.66,2.45,-1.0,M
24/06/2021,16.98,16.87,17.24,16.87,3.62,1.31,M
23/06/2021,16.76,16.68,16.95,16.65,4.84,0.36,M
22/06/2021,16.7,16.8,16.81,16.55,2.5,-0.89,M
21/06/2021,16.85,16.93,17.13,16.72,3.06,0.48,M
18/06/2021,16.77,17.03,17.27,16.77,4.75,-1.93,M
17/06/2021,17.1,17.28,17.4,16.99,2.5,-1.16,M
16/06/2021,17.3,17.49,17.56,17.24,4.53,-1.37,M
15/06/2021,17.54,17.29,17.57,17.2,3.57,1.5,M
14/06/2021,17.28,17.19,17.43,17.15,2.12,1.17,M
11/06/2021,17.08,17.51,17.52,16.92,4.26,-2.95,M
10/06/2021,17.6,17.64,17.68,17.13,3.63,0.23,M
09/06/2021,17.56,18.09,18.1,17.49,2.51,-2.44,M
08/06/2021,18.0,17.95,18.22,17.82,3.11,0.11,M
07/06/2021,17.98,18.05,18.18,17.91,2.17,-0.39,M
04/06/2021,18.05,18.0,18.15,17.77,3.18,1.01,M
02/06/2021,17.87,17.73,18.02,17.65,3.94,0.56,M
01/06/2021,17.77,17.5,17.94,17.5,9.08,2.19,M
31/05/2021,17.39,17.54,17.95,17.17,5.53,-0.97,M
28/05/2021,17.56,17.55,17.67,17.42,1.83,-0.73,M
27/05/2021,17.69,17.49,17.69,17.4,3.23,0.86,M
26/05/2021,17.54,17.31,17.58,17.24,2.83,1.74,M
25/05/2021,17.24,16.98,17.34,16.92,3.72,1.59,M
24/05/2021,16.97,16.87,17.0,16.65,3.97,0.59,M
21/05/2021,16.87,17.75,17.75,16.81,6.12,-5.12,M
20/05/2021,17.78,17.35,17.83,17.32,2.99,2.48,M
19/05/2021,17.35,17.35,17.77,17.27,2.75,-0.52,M
18/05/2021,17.44,17.68,17.79,17.44,2.57,-1.36,M
17/05/2021,17.68,17.34,17.88,17.15,3.79,1.78,M
14/05/2021,17.37,17.06,17.52,17.01,3.62,3.64,M
13/05/2021,16.76,16.84,17.13,16.71,3.77,0.06,M
12/05/2021,16.75,17.11,17.22,16.58,3.04,-2.84,M
11/05/2021,17.24,17.09,17.33,17.01,2.09,0.0,M
10/05/2021,17.24,17.42,17.53,17.19,2.08,-1.32,M
07/05/2021,17.47,17.27,17.5,17.18,2.26,1.33,M
06/05/2021,17.24,17.16,17.31,16.91,3.05,0.64,M
05/05/2021,17.13,17.06,17.29,16.88,3.05,0.88,M
04/05/2021,16.98,17.23,17.29,16.83,3.62,-1.39,M
03/05/2021,17.22,17.4,17.61,17.21,2.36,-0.75,M
30/04/2021,17.35,17.28,17.76,17.11,6.64,-1.42,M
29/04/2021,17.6,17.77,17.89,17.57,2.88,-0.17,M
28/04/2021,17.63,17.9,17.93,17.52,3.68,-1.23,M
27/04/2021,17.85,17.85,18.17,17.69,2.27,-0.34,M
26/04/2021,17.91,18.21,18.38,17.61,4.01,-1.38,M
23/04/2021,18.16,18.12,18.43,17.99,1.97,0.72,M
22/04/2021,18.03,18.11,18.4,17.96,2.88,0.06,M
20/04/2021,18.02,18.35,18.54,17.9,3.37,-2.38,M
19/04/2021,18.46,18.85,18.87,18.35,5.18,-1.86,M
16/04/2021,18.81,19.25,19.26,18.71,5.41,1.73,M
15/04/2021,18.49,18.57,18.89,18.45,2.55,-0.43,M
14/04/2021,18.57,18.14,19.29,18.09,6.61,3.22,M
13/04/2021,17.99,18.44,18.46,17.91,9.47,-2.76,M
12/04/2021,18.5,18.7,18.81,18.2,4.71,-0.59,M
09/04/2021,18.61,18.01,18.64,17.85,6.39,2.93,M
08/04/2021,18.08,18.01,18.17,17.82,5.5,0.72,M
07/04/2021,17.95,18.21,18.37,17.85,2.32,-1.43,M
06/04/2021,18.21,18.24,18.5,18.08,3.51,0.22,M
05/04/2021,18.17,18.0,18.28,17.8,3.83,2.42,M
01/04/2021,17.74,18.22,18.33,17.71,2.12,-2.53,M
31/03/2021,18.2,18.37,18.46,18.01,2.57,-0.98,M
30/03/2021,18.38,17.29,18.58,17.24,4.87,6.12,M
29/03/2021,17.32,17.34,17.47,17.12,2.31,-1.25,M
26/03/2021,17.54,17.5,17.68,17.26,2.66,0.23,M
25/03/2021,17.5,16.82,17.64,16.53,3.32,3.43,M
24/03/2021,16.92,17.52,17.55,16.9,2.78,-3.09,M
23/03/2021,17.46,17.67,17.9,17.35,2.04,-2.89,M
22/03/2021,17.98,17.65,18.0,17.55,2.97,1.41,M
19/03/2021,17.73,17.2,17.74,17.2,4.56,3.08,M
18/03/2021,17.2,17.82,17.84,17.09,3.01,-4.02,M
17/03/2021,17.92,16.96,18.15,16.92,3.83,5.47,M
16/03/2021,16.99,17.57,17.73,16.83,3.36,-3.3,M
15/03/2021,17.57,17.33,17.75,17.2,2.35,1.38,M
12/03/2021,17.33,17.04,17.51,16.92,2.41,0.64,M
11/03/2021,17.22,16.89,17.53,16.8,4.86,2.68,M
10/03/2021,16.77,15.89,16.89,15.87,6.72,6.07,M
09/03/2021,15.81,16.37,16.44,15.66,5.51,-3.48,M
08/03/2021,16.38,17.08,17.09,16.17,6.11,-4.1,M
05/03/2021,17.08,16.7,17.17,16.24,4.75,2.28,M
