Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.95,5.83,5.95,5.7,476.5,0.0,K
23/02/2022,5.95,5.95,6.09,5.85,488.7,1.36,K
22/02/2022,5.87,6.01,6.2,5.82,1.18,-2.33,M
21/02/2022,6.01,6.18,6.27,5.86,731.3,-2.59,K
18/02/2022,6.17,6.1,6.37,5.99,997.9,0.65,K
17/02/2022,6.13,6.3,6.3,6.06,280.7,-2.23,K
16/02/2022,6.27,6.47,6.48,6.24,468.0,-2.94,K
15/02/2022,6.46,6.22,6.48,6.13,567.6,3.86,K
14/02/2022,6.22,6.04,6.22,5.95,884.3,1.97,K
11/02/2022,6.1,6.19,6.36,5.97,1.36,-1.61,M
10/02/2022,6.2,6.41,6.52,6.16,687.9,-4.02,K
09/02/2022,6.46,6.59,6.72,6.38,385.4,-2.71,K
08/02/2022,6.64,6.64,6.75,6.47,395.3,0.61,K
07/02/2022,6.6,6.94,7.02,6.59,458.6,-5.17,K
04/02/2022,6.96,7.66,7.68,6.89,1.51,-9.02,M
03/02/2022,7.65,7.72,7.92,7.54,870.8,1.06,K
02/02/2022,7.57,7.56,7.72,7.41,608.6,0.13,K
01/02/2022,7.56,7.71,7.82,7.45,437.1,-0.53,K
31/01/2022,7.6,7.43,7.69,7.32,595.2,2.01,K
28/01/2022,7.45,7.58,7.58,7.37,304.1,-1.46,K
27/01/2022,7.56,7.47,7.7,7.43,744.6,2.02,K
26/01/2022,7.41,7.6,7.67,7.21,526.5,-1.85,K
25/01/2022,7.55,7.02,7.61,6.96,425.9,6.79,K
24/01/2022,7.07,7.17,7.2,6.83,363.2,-1.94,K
21/01/2022,7.21,6.78,7.22,6.78,309.8,4.34,K
20/01/2022,6.91,6.61,6.97,6.61,748.1,5.5,K
19/01/2022,6.55,6.43,6.86,6.42,406.7,1.71,K
18/01/2022,6.44,6.8,6.8,6.44,328.2,-3.74,K
17/01/2022,6.69,6.82,6.83,6.55,288.7,-2.05,K
14/01/2022,6.83,6.85,6.99,6.74,331.9,-1.59,K
13/01/2022,6.94,6.89,7.04,6.77,431.2,0.87,K
12/01/2022,6.88,6.73,7.06,6.72,478.5,1.47,K
11/01/2022,6.78,6.65,6.89,6.65,483.5,2.11,K
10/01/2022,6.64,6.65,6.79,6.44,394.1,-1.34,K
07/01/2022,6.73,6.82,6.94,6.64,740.8,-1.17,K
06/01/2022,6.81,6.74,6.99,6.51,764.8,1.79,K
05/01/2022,6.69,7.23,7.25,6.64,789.6,-8.36,K
04/01/2022,7.3,7.9,7.9,7.28,993.4,-8.06,K
03/01/2022,7.94,8.31,8.34,7.87,378.9,-5.14,K
30/12/2021,8.37,8.27,8.51,8.23,1.0,0.48,M
29/12/2021,8.33,8.26,8.44,7.94,632.8,0.6,K
28/12/2021,8.28,8.25,8.3,8.05,344.3,0.49,K
27/12/2021,8.24,8.2,8.38,7.8,641.4,3.26,K
23/12/2021,7.98,8.24,8.25,7.97,510.0,-1.36,K
22/12/2021,8.09,8.07,8.26,7.84,517.6,-0.98,K
21/12/2021,8.17,7.99,8.17,7.75,553.5,3.68,K
20/12/2021,7.88,7.97,8.09,7.69,691.2,-2.96,K
17/12/2021,8.12,8.12,8.16,7.84,594.4,1.25,K
16/12/2021,8.02,7.79,8.29,7.79,572.2,2.82,K
15/12/2021,7.8,8.04,8.07,7.49,827.1,-0.64,K
14/12/2021,7.85,8.19,8.2,7.67,400.3,-3.68,K
13/12/2021,8.15,7.93,8.24,7.84,836.9,2.9,K
10/12/2021,7.92,7.29,7.95,7.29,801.9,8.94,K
09/12/2021,7.27,7.26,7.46,7.11,355.4,-1.22,K
08/12/2021,7.36,7.01,7.38,6.97,423.9,5.14,K
07/12/2021,7.0,7.26,7.54,6.9,460.8,-2.64,K
06/12/2021,7.19,7.09,7.27,6.94,532.4,2.28,K
03/12/2021,7.03,6.99,7.35,6.77,1.47,0.43,M
02/12/2021,7.0,6.62,7.0,6.42,703.8,6.87,K
01/12/2021,6.55,6.95,7.05,6.47,834.1,-5.35,K
30/11/2021,6.92,6.78,7.08,6.6,545.3,0.73,K
29/11/2021,6.87,6.91,7.01,6.79,430.4,-0.43,K
26/11/2021,6.9,6.65,6.96,6.61,694.2,-1.43,K
25/11/2021,7.0,6.84,7.09,6.81,523.1,3.24,K
24/11/2021,6.78,6.54,6.83,6.42,490.5,3.67,K
23/11/2021,6.54,6.61,6.62,6.37,527.3,-0.15,K
22/11/2021,6.55,6.64,6.71,6.36,819.9,-0.76,K
19/11/2021,6.6,6.0,6.64,5.98,993.8,9.09,K
18/11/2021,6.05,6.08,6.26,5.95,495.5,-1.63,K
