Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,21.76,20.85,22.05,20.83,7.35,-1.09,M
23/02/2022,22.0,22.2,22.46,21.96,3.16,-0.63,M
22/02/2022,22.14,21.8,22.48,21.79,4.9,2.12,M
21/02/2022,21.68,22.31,22.36,21.48,3.78,-2.61,M
18/02/2022,22.26,22.25,22.46,22.09,4.11,0.41,M
17/02/2022,22.17,22.2,22.53,22.14,4.95,-0.58,M
16/02/2022,22.3,22.72,22.83,22.21,5.0,-1.37,M
15/02/2022,22.61,22.44,22.88,22.37,6.97,1.62,M
14/02/2022,22.25,21.8,22.4,21.79,7.61,2.2,M
11/02/2022,21.77,21.86,22.52,21.49,16.1,1.54,M
10/02/2022,21.44,21.67,21.78,21.23,5.66,-0.28,M
09/02/2022,21.5,21.12,21.68,20.93,5.62,2.58,M
08/02/2022,20.96,20.76,21.31,20.58,5.6,0.43,M
07/02/2022,20.87,20.73,20.96,20.41,3.9,0.82,M
04/02/2022,20.7,20.97,21.04,20.33,5.47,-1.43,M
03/02/2022,21.0,21.06,21.74,20.86,5.6,0.0,M
02/02/2022,21.0,21.1,21.55,20.8,3.5,-0.33,M
01/02/2022,21.07,21.49,21.68,20.91,5.97,-2.0,M
31/01/2022,21.5,21.31,21.75,21.23,5.48,1.08,M
28/01/2022,21.27,21.33,21.42,20.81,5.39,-0.14,M
27/01/2022,21.3,20.87,21.79,20.75,11.66,2.65,M
26/01/2022,20.75,20.63,21.19,20.48,10.07,1.67,M
25/01/2022,20.41,19.54,20.65,19.44,8.5,3.71,M
24/01/2022,19.68,19.9,20.15,19.48,6.11,-1.3,M
21/01/2022,19.94,19.4,20.35,19.34,9.6,1.79,M
20/01/2022,19.59,18.84,19.71,18.67,10.0,4.48,M
19/01/2022,18.75,18.53,18.98,18.53,5.3,2.4,M
18/01/2022,18.31,18.1,18.46,17.94,4.09,0.55,M
17/01/2022,18.21,18.35,18.7,18.09,6.36,-1.51,M
14/01/2022,18.49,18.15,18.58,18.13,8.42,2.04,M
13/01/2022,18.12,18.02,18.37,17.98,6.7,0.28,M
12/01/2022,18.07,17.15,18.26,17.05,14.91,6.54,M
11/01/2022,16.96,16.45,17.11,16.3,9.61,3.16,M
10/01/2022,16.44,16.56,16.66,16.16,6.2,-1.32,M
07/01/2022,16.66,16.61,16.87,16.23,8.71,-0.18,M
06/01/2022,16.69,16.73,16.99,16.47,11.49,0.06,M
05/01/2022,16.68,17.16,17.42,16.62,9.91,-3.97,M
04/01/2022,17.37,17.45,17.48,17.02,7.84,-0.46,M
03/01/2022,17.45,18.78,18.84,17.44,11.73,-6.78,M
30/12/2021,18.72,18.51,18.82,18.29,6.26,1.68,M
29/12/2021,18.41,18.82,18.98,18.23,6.64,-4.01,M
28/12/2021,19.18,19.02,19.48,18.76,4.11,1.54,M
27/12/2021,18.89,18.95,19.49,18.76,5.32,0.43,M
23/12/2021,18.81,19.04,19.1,18.79,3.18,-0.42,M
22/12/2021,18.89,19.05,19.06,18.51,4.92,0.05,M
21/12/2021,18.88,19.15,19.16,18.42,4.94,-0.74,M
20/12/2021,19.02,19.64,19.88,18.92,7.51,-4.66,M
17/12/2021,19.95,19.38,20.1,19.32,7.56,1.42,M
16/12/2021,19.67,20.12,20.2,19.55,5.23,-1.11,M
15/12/2021,19.89,19.73,20.14,19.46,6.85,0.76,M
14/12/2021,19.74,20.68,20.78,19.53,9.43,-3.75,M
13/12/2021,20.51,20.74,20.76,20.38,7.19,-0.63,M
10/12/2021,20.64,20.51,20.92,20.47,4.79,1.18,M
09/12/2021,20.4,20.61,20.98,20.21,5.24,-1.73,M
08/12/2021,20.76,20.05,20.92,19.8,7.41,3.44,M
07/12/2021,20.07,20.94,21.04,19.98,7.46,-2.81,M
06/12/2021,20.65,20.85,20.95,20.39,5.45,-0.24,M
03/12/2021,20.7,20.07,21.37,20.04,10.79,3.29,M
02/12/2021,20.04,19.4,20.17,19.15,8.83,4.27,M
01/12/2021,19.22,19.97,20.41,19.11,9.17,-1.94,M
30/11/2021,19.6,19.58,19.97,19.07,8.89,-0.1,M
29/11/2021,19.62,19.9,20.37,19.62,6.43,-0.15,M
26/11/2021,19.65,19.93,20.1,19.36,7.71,-5.07,M
25/11/2021,20.7,20.49,21.08,20.37,4.19,1.62,M
24/11/2021,20.37,20.25,20.86,20.16,7.74,-0.2,M
23/11/2021,20.41,20.54,20.58,19.92,8.98,-0.54,M
22/11/2021,20.52,21.3,21.34,20.32,5.33,-3.07,M
19/11/2021,21.17,20.81,21.5,20.69,11.36,1.63,M
18/11/2021,20.83,20.15,20.96,20.15,7.64,2.66,M
17/11/2021,20.29,20.91,21.25,19.98,10.49,-2.55,M
16/11/2021,20.82,21.23,21.44,20.47,8.93,-1.93,M
12/11/2021,21.23,21.08,21.62,20.77,9.4,0.0,M
11/11/2021,21.23,21.05,21.95,21.03,11.68,1.48,M
10/11/2021,20.92,20.32,21.28,20.21,11.68,3.36,M
09/11/2021,20.24,19.92,20.46,19.91,4.8,1.81,M
08/11/2021,19.88,20.0,20.06,19.7,5.1,-1.63,M
05/11/2021,20.21,19.88,20.36,19.77,7.76,3.06,M
04/11/2021,19.61,19.55,20.06,19.2,9.1,-0.15,M
03/11/2021,19.64,18.79,20.18,18.78,10.35,3.31,M
01/11/2021,19.01,18.79,19.43,18.59,7.74,2.65,M
29/10/2021,18.52,18.49,19.06,18.32,11.89,0.6,M
28/10/2021,18.41,17.91,18.81,17.91,15.61,1.77,M
27/10/2021,18.09,17.32,18.31,17.32,8.89,4.57,M
26/10/2021,17.3,17.82,18.07,17.24,5.64,-4.21,M
25/10/2021,18.06,17.72,18.33,17.55,8.51,2.79,M
22/10/2021,17.57,18.12,18.18,16.71,15.0,-3.78,M
21/10/2021,18.26,18.96,19.21,17.98,18.22,-5.68,M
20/10/2021,19.36,19.69,19.83,19.29,9.33,-0.72,M
19/10/2021,19.5,19.99,20.05,19.25,7.02,-4.69,M
18/10/2021,20.46,20.13,20.53,19.79,7.28,1.09,M
15/10/2021,20.24,20.27,20.35,19.94,6.86,0.25,M
14/10/2021,20.19,20.7,20.73,20.01,5.74,-1.56,M
13/10/2021,20.51,19.91,20.65,19.9,6.81,3.01,M
11/10/2021,19.91,20.23,20.34,19.87,4.41,-1.68,M
08/10/2021,20.25,19.25,20.67,19.17,12.12,6.3,M
07/10/2021,19.05,19.03,19.47,18.96,9.3,0.32,M
06/10/2021,18.99,18.69,19.01,18.2,9.07,0.9,M
05/10/2021,18.82,19.25,19.25,18.76,6.1,-1.83,M
04/10/2021,19.17,19.74,19.74,18.83,4.18,-2.29,M
01/10/2021,19.62,19.22,19.71,18.83,5.82,3.1,M
30/09/2021,19.03,19.0,19.24,18.68,7.0,1.12,M
29/09/2021,18.82,19.16,19.35,18.8,5.74,-1.0,M
28/09/2021,19.01,19.59,19.66,18.95,8.59,-3.99,M
27/09/2021,19.8,19.9,19.95,19.39,8.25,-0.8,M
24/09/2021,19.96,20.12,20.23,19.63,5.94,-1.92,M
23/09/2021,20.35,20.71,20.96,20.29,6.9,-1.45,M
22/09/2021,20.65,20.98,21.01,20.42,8.34,-0.24,M
21/09/2021,20.7,19.95,20.9,19.87,7.04,3.5,M
20/09/2021,20.0,19.7,20.0,19.6,5.6,-0.7,M
17/09/2021,20.14,20.05,20.21,19.81,4.74,-0.2,M
16/09/2021,20.18,19.99,20.45,19.92,4.42,-0.2,M
15/09/2021,20.22,20.42,20.42,19.84,4.44,-1.32,M
14/09/2021,20.49,20.8,20.92,20.32,3.73,-1.21,M
13/09/2021,20.74,20.51,20.8,20.1,5.74,2.72,M
10/09/2021,20.19,21.11,21.17,20.05,8.57,-1.46,M
09/09/2021,20.49,19.65,20.62,19.56,14.79,4.33,M
08/09/2021,19.64,20.4,20.4,19.45,9.01,-4.38,M
06/09/2021,20.54,20.16,20.65,20.13,2.74,1.83,M
03/09/2021,20.17,20.42,20.5,19.73,11.56,-0.98,M
02/09/2021,20.37,20.82,20.83,20.25,7.01,-2.4,M
01/09/2021,20.87,21.18,21.46,20.79,6.33,-1.09,M
31/08/2021,21.1,21.1,21.82,20.93,8.94,-0.52,M
30/08/2021,21.21,21.42,21.45,21.04,3.37,-1.26,M
27/08/2021,21.48,21.09,21.61,20.96,4.7,1.95,M
26/08/2021,21.07,21.63,21.81,21.01,6.2,-3.35,M
25/08/2021,21.8,21.81,21.89,21.33,6.2,-0.59,M
24/08/2021,21.93,21.3,22.17,21.27,6.74,3.15,M
23/08/2021,21.26,21.85,21.88,21.16,4.83,-2.03,M
20/08/2021,21.7,21.3,21.78,21.14,6.02,0.88,M
19/08/2021,21.51,21.22,21.7,21.03,5.55,0.89,M
18/08/2021,21.32,21.54,21.78,21.16,5.36,-1.25,M
17/08/2021,21.59,21.83,21.91,20.94,8.02,-2.26,M
16/08/2021,22.09,22.41,22.46,21.78,4.2,-1.73,M
13/08/2021,22.48,22.62,22.9,22.22,4.36,-0.35,M
12/08/2021,22.56,22.99,22.99,22.41,4.01,-1.96,M
11/08/2021,23.01,23.09,23.17,22.73,3.26,-0.35,M
10/08/2021,23.09,23.61,23.7,22.97,3.86,-1.99,M
09/08/2021,23.56,23.15,23.81,23.11,5.37,1.55,M
06/08/2021,23.2,23.29,23.55,22.92,6.42,-0.13,M
05/08/2021,23.23,23.8,24.24,22.96,7.83,-1.19,M
04/08/2021,23.51,23.77,24.11,23.23,4.1,-1.22,M
03/08/2021,23.8,24.02,24.02,23.26,4.96,-0.92,M
02/08/2021,24.02,23.71,24.33,23.52,7.2,2.87,M
30/07/2021,23.35,23.83,24.17,23.32,4.04,-3.35,M
29/07/2021,24.16,23.65,24.3,23.38,12.56,5.36,M
28/07/2021,22.93,23.07,23.5,22.93,8.65,-0.13,M
27/07/2021,22.96,23.44,23.65,22.86,8.27,-2.84,M
26/07/2021,23.63,23.74,24.09,23.44,5.24,-0.34,M
23/07/2021,23.71,24.32,24.42,23.64,5.96,-2.31,M
22/07/2021,24.27,24.36,24.66,24.07,4.57,0.04,M
21/07/2021,24.26,24.48,24.51,24.05,3.22,-0.37,M
