Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.96,15.86,16.07,15.52,1.05,-0.62,M
23/02/2022,16.06,16.09,16.33,15.97,939.6,0.25,K
22/02/2022,16.02,15.87,16.3,15.87,629.4,0.44,K
21/02/2022,15.95,16.11,16.33,15.8,846.1,-0.75,K
18/02/2022,16.07,16.25,16.41,16.01,1.17,-1.41,M
17/02/2022,16.3,16.1,16.46,16.1,944.1,0.74,K
16/02/2022,16.18,16.22,16.35,16.1,761.0,0.25,K
15/02/2022,16.14,15.73,16.2,15.65,1.05,2.87,M
14/02/2022,15.69,15.66,15.96,15.51,1.02,0.0,M
11/02/2022,15.69,15.86,15.98,15.67,1.16,-0.57,M
10/02/2022,15.78,15.96,16.05,15.78,1.21,-1.07,M
09/02/2022,15.95,16.18,16.21,15.86,754.5,-0.87,K
08/02/2022,16.09,15.81,16.09,15.74,685.1,1.77,K
07/02/2022,15.81,16.08,16.15,15.76,1.23,-1.43,M
04/02/2022,16.04,16.5,16.5,16.03,970.8,-2.79,K
03/02/2022,16.5,16.2,16.57,16.01,1.0,1.73,M
02/02/2022,16.22,16.24,16.37,16.1,724.6,0.06,K
01/02/2022,16.21,16.42,16.71,16.1,1.05,-1.4,M
31/01/2022,16.44,16.31,16.59,16.23,827.9,0.98,K
28/01/2022,16.28,16.05,16.34,16.02,1.13,1.43,M
27/01/2022,16.05,16.16,16.27,15.94,1.02,0.5,M
26/01/2022,15.97,15.99,16.18,15.94,1.82,0.31,M
25/01/2022,15.92,15.71,16.03,15.66,721.4,0.76,K
24/01/2022,15.8,15.58,15.92,15.57,1.34,0.25,M
21/01/2022,15.76,15.71,15.85,15.56,823.6,-0.13,K
20/01/2022,15.78,15.56,15.89,15.56,1.58,0.9,M
19/01/2022,15.64,15.46,15.93,15.46,1.76,1.76,M
18/01/2022,15.37,15.3,15.38,15.18,682.9,0.33,K
17/01/2022,15.32,15.19,15.39,15.11,720.2,1.19,K
14/01/2022,15.14,15.1,15.16,14.9,1.04,0.26,M
13/01/2022,15.1,15.25,15.39,15.05,1.34,-0.98,M
12/01/2022,15.25,14.72,15.45,14.72,2.95,3.88,M
11/01/2022,14.68,14.45,14.68,14.31,1.73,1.59,M
10/01/2022,14.45,14.69,14.7,14.29,1.55,-1.63,M
07/01/2022,14.69,14.9,15.1,14.69,1.62,-1.94,M
06/01/2022,14.98,15.22,15.23,14.88,1.77,-2.03,M
05/01/2022,15.29,15.52,15.63,15.25,1.43,-1.92,M
04/01/2022,15.59,15.84,15.84,15.55,1.86,-1.64,M
03/01/2022,15.85,16.02,16.26,15.73,3.23,-2.16,M
30/12/2021,16.2,16.74,16.74,15.95,8.04,-5.04,M
29/12/2021,17.06,17.25,17.3,16.94,1.26,-1.1,M
28/12/2021,17.25,17.28,17.32,17.11,760.2,-0.12,K
27/12/2021,17.27,17.08,17.39,17.08,1.33,0.12,M
23/12/2021,17.25,17.27,17.34,17.15,943.2,-0.29,K
22/12/2021,17.3,17.23,17.38,17.11,868.4,-0.46,K
21/12/2021,17.38,17.45,17.45,17.11,978.5,0.4,K
20/12/2021,17.31,17.28,17.59,17.11,2.13,-2.04,M
17/12/2021,17.67,17.39,17.72,17.37,1.97,0.63,M
16/12/2021,17.56,18.11,18.27,17.36,5.82,-3.04,M
15/12/2021,18.11,18.24,18.24,17.9,1.38,0.06,M
14/12/2021,18.1,18.15,18.55,18.06,2.11,0.0,M
13/12/2021,18.1,18.02,18.45,18.02,1.76,0.67,M
10/12/2021,17.98,17.97,18.13,17.92,1.17,0.28,M
09/12/2021,17.93,17.9,18.17,17.73,1.86,-0.28,M
08/12/2021,17.98,17.75,18.04,17.66,1.51,0.95,M
07/12/2021,17.81,18.17,18.26,17.74,1.87,-0.95,M
06/12/2021,17.98,18.28,18.48,17.98,2.72,-1.1,M
03/12/2021,18.18,18.17,18.49,17.88,2.67,0.78,M
02/12/2021,18.04,17.53,18.15,17.53,3.55,3.74,M
01/12/2021,17.39,17.54,17.87,17.35,3.94,0.06,M
30/11/2021,17.38,17.32,17.46,17.0,2.61,-0.17,M
29/11/2021,17.41,17.5,17.6,17.25,1.83,1.28,M
26/11/2021,17.19,17.16,17.37,16.99,2.98,-1.49,M
25/11/2021,17.45,16.89,17.6,16.84,2.42,3.13,M
24/11/2021,16.92,16.69,17.1,16.63,2.12,1.38,M
23/11/2021,16.69,16.52,16.76,16.36,1.81,1.64,M
22/11/2021,16.42,16.78,16.83,16.34,2.12,-1.85,M
19/11/2021,16.73,16.73,16.95,16.68,1.42,0.42,M
18/11/2021,16.66,16.73,16.79,16.51,1.43,0.73,M
17/11/2021,16.54,16.81,17.03,16.41,4.26,-1.78,M
16/11/2021,16.84,16.7,16.9,16.24,4.62,1.26,M
12/11/2021,16.63,16.58,16.76,16.44,2.23,-0.06,M
11/11/2021,16.64,16.55,16.89,16.55,2.62,1.28,M
10/11/2021,16.43,16.1,16.53,16.1,2.05,1.73,M
09/11/2021,16.15,16.16,16.28,15.99,1.15,0.62,M
08/11/2021,16.05,15.93,16.3,15.89,1.68,0.19,M
05/11/2021,16.02,15.91,16.29,15.91,1.65,1.39,M
04/11/2021,15.8,16.17,16.29,15.74,2.58,-2.29,M
03/11/2021,16.17,15.54,16.31,15.54,2.98,3.12,M
01/11/2021,15.68,15.67,15.73,15.54,979.7,1.16,K
29/10/2021,15.5,15.6,15.74,15.41,1.67,-0.26,M
28/10/2021,15.54,15.67,15.87,15.5,2.28,-1.27,M
27/10/2021,15.74,15.38,15.95,15.38,2.4,1.61,M
26/10/2021,15.49,15.66,15.67,15.23,6.11,0.0,M
25/10/2021,15.49,14.95,15.54,14.85,3.3,4.8,M
22/10/2021,14.78,14.94,15.0,14.23,3.71,-2.05,M
21/10/2021,15.09,15.32,15.41,14.81,2.25,-3.27,M
20/10/2021,15.6,15.55,15.74,15.45,1.84,1.3,M
19/10/2021,15.4,15.77,15.85,15.34,1.27,-3.33,M
18/10/2021,15.93,15.77,16.05,15.7,1.3,0.44,M
15/10/2021,15.86,15.79,16.0,15.79,1.37,0.51,M
14/10/2021,15.78,15.84,15.98,15.74,1.18,-0.44,M
13/10/2021,15.85,15.59,16.02,15.41,2.93,1.47,M
11/10/2021,15.62,15.6,15.7,15.42,901.5,0.64,K
08/10/2021,15.52,15.08,15.69,15.08,2.59,3.47,M
07/10/2021,15.0,14.72,15.13,14.64,3.08,2.67,M
06/10/2021,14.61,14.81,14.83,14.49,5.97,-1.75,M
05/10/2021,14.87,15.18,15.22,14.87,2.21,-1.46,M
04/10/2021,15.09,15.39,15.39,15.08,1.08,-1.37,M
01/10/2021,15.3,15.35,15.4,15.19,1.53,-0.07,M
30/09/2021,15.31,15.49,15.53,15.17,2.35,-0.52,M
29/09/2021,15.39,15.34,15.61,15.08,2.12,0.59,M
28/09/2021,15.3,15.71,15.72,15.23,2.28,-2.67,M
27/09/2021,15.72,15.82,15.97,15.66,1.58,-0.95,M
24/09/2021,15.87,15.84,15.9,15.7,1.01,0.13,M
23/09/2021,15.85,15.93,15.99,15.75,1.96,0.06,M
22/09/2021,15.84,16.06,16.16,15.82,2.48,-1.06,M
21/09/2021,16.01,15.98,16.34,15.85,1.68,0.69,M
20/09/2021,15.9,15.75,16.05,15.72,1.79,-0.06,M
17/09/2021,15.91,15.75,15.96,15.65,4.53,1.02,M
16/09/2021,15.75,16.18,16.24,15.55,14.73,-3.2,M
15/09/2021,16.27,16.42,16.42,16.05,1.66,-0.49,M
14/09/2021,16.35,16.35,16.52,16.26,1.48,0.43,M
13/09/2021,16.28,16.01,16.34,15.95,1.35,2.45,M
10/09/2021,15.89,16.17,16.24,15.89,1.78,-0.81,M
09/09/2021,16.02,15.74,16.02,15.49,2.38,1.84,M
08/09/2021,15.73,16.14,16.14,15.72,2.52,-2.84,M
06/09/2021,16.19,16.19,16.35,16.04,1.38,-0.25,M
03/09/2021,16.23,16.55,16.6,16.06,4.37,-1.93,M
02/09/2021,16.55,16.89,16.89,16.48,5.11,-2.13,M
01/09/2021,16.91,16.65,17.03,16.6,5.63,1.74,M
31/08/2021,16.62,16.77,16.85,16.45,1.85,-1.31,M
30/08/2021,16.84,16.81,16.85,16.66,1.09,-0.12,M
27/08/2021,16.86,17.01,17.01,16.77,1.2,-0.65,M
