Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.73,2.5,2.74,2.4,1.96,5.0,M
23/02/2022,2.6,2.62,2.78,2.6,1.19,-2.26,M
22/02/2022,2.66,2.64,2.74,2.62,1.01,0.76,M
21/02/2022,2.64,2.72,2.73,2.61,1.12,-2.58,M
18/02/2022,2.71,2.78,2.82,2.71,1.3,-2.87,M
17/02/2022,2.79,2.87,2.94,2.77,1.38,-3.46,M
16/02/2022,2.89,2.96,2.98,2.86,886.5,-2.03,K
15/02/2022,2.95,2.83,2.95,2.82,907.6,4.98,K
14/02/2022,2.81,2.77,2.83,2.65,1.61,2.18,M
11/02/2022,2.75,2.95,3.06,2.75,1.98,-7.41,M
10/02/2022,2.97,2.85,2.98,2.72,2.11,4.95,M
09/02/2022,2.83,2.9,3.0,2.81,1.82,-2.41,M
08/02/2022,2.9,2.92,2.99,2.85,1.36,1.75,M
07/02/2022,2.85,2.91,2.94,2.84,647.9,-3.06,K
04/02/2022,2.94,2.95,2.96,2.77,1.01,2.08,M
03/02/2022,2.88,2.95,2.99,2.81,985.8,-2.04,K
02/02/2022,2.94,3.09,3.1,2.94,1.31,-4.23,M
01/02/2022,3.07,3.04,3.13,2.94,1.98,0.66,M
31/01/2022,3.05,2.87,3.07,2.86,1.72,5.9,M
28/01/2022,2.88,2.82,2.91,2.73,1.15,1.05,M
27/01/2022,2.85,2.8,2.89,2.78,1.52,2.89,M
26/01/2022,2.77,2.84,2.94,2.76,1.99,-1.07,M
25/01/2022,2.8,2.68,2.83,2.66,1.17,3.7,M
24/01/2022,2.7,2.79,2.79,2.59,1.45,-2.17,M
21/01/2022,2.76,2.72,2.78,2.67,1.59,0.73,M
20/01/2022,2.74,2.56,2.79,2.56,2.82,7.45,M
19/01/2022,2.55,2.42,2.61,2.42,3.26,7.59,M
18/01/2022,2.37,2.5,2.5,2.37,1.13,-5.2,M
17/01/2022,2.5,2.48,2.54,2.45,508.2,0.0,K
14/01/2022,2.5,2.38,2.52,2.36,1.3,5.04,M
13/01/2022,2.38,2.45,2.5,2.33,1.73,-4.42,M
12/01/2022,2.49,2.36,2.5,2.34,1.57,5.51,M
11/01/2022,2.36,2.24,2.38,2.23,2.7,4.89,M
10/01/2022,2.25,2.31,2.35,2.22,1.84,-4.26,M
07/01/2022,2.35,2.27,2.39,2.25,1.47,3.52,M
06/01/2022,2.27,2.3,2.43,2.22,2.7,-2.16,M
05/01/2022,2.32,2.38,2.47,2.29,1.79,-3.73,M
04/01/2022,2.41,2.46,2.47,2.3,2.18,-0.41,M
03/01/2022,2.42,2.66,2.79,2.42,3.65,-7.98,M
30/12/2021,2.63,2.63,2.69,2.57,1.66,0.77,M
29/12/2021,2.61,2.65,2.75,2.59,1.42,-1.14,M
28/12/2021,2.64,2.66,2.73,2.62,1.27,-1.12,M
27/12/2021,2.67,2.64,2.71,2.61,1.48,2.69,M
23/12/2021,2.6,2.64,2.66,2.57,691.3,-1.14,K
22/12/2021,2.63,2.65,2.75,2.59,1.63,-0.38,M
21/12/2021,2.64,2.72,2.75,2.64,1.13,-1.86,M
20/12/2021,2.69,2.77,2.77,2.68,1.24,-3.58,M
17/12/2021,2.79,2.82,2.82,2.72,1.24,-1.06,M
16/12/2021,2.82,2.87,2.94,2.77,1.1,-0.7,M
15/12/2021,2.84,2.81,2.89,2.7,2.06,3.27,M
14/12/2021,2.75,2.97,2.99,2.73,2.67,-5.17,M
13/12/2021,2.9,2.97,3.15,2.9,2.64,-1.69,M
10/12/2021,2.95,2.85,3.01,2.78,3.56,4.61,M
09/12/2021,2.82,2.95,2.97,2.81,1.77,-5.69,M
08/12/2021,2.99,2.93,3.05,2.88,1.45,2.05,M
07/12/2021,2.93,2.92,3.07,2.91,2.76,2.81,M
06/12/2021,2.85,2.89,2.92,2.83,1.38,-1.38,M
03/12/2021,2.89,2.8,2.97,2.75,2.27,5.47,M
02/12/2021,2.74,2.75,2.82,2.62,2.48,0.74,M
01/12/2021,2.72,2.89,2.98,2.7,1.85,-3.55,M
30/11/2021,2.82,2.95,3.02,2.79,1.81,-5.69,M
29/11/2021,2.99,3.06,3.1,2.96,1.4,-0.66,M
26/11/2021,3.01,3.06,3.11,2.97,2.3,-7.38,M
25/11/2021,3.25,3.16,3.26,3.11,1.23,4.5,M
24/11/2021,3.11,3.1,3.2,3.06,931.3,0.32,K
23/11/2021,3.1,3.15,3.21,3.02,1.62,-0.32,M
