Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,23.06,21.9,23.08,21.41,15.88,2.58,M
23/02/2022,22.48,22.32,22.77,21.93,11.61,1.72,M
22/02/2022,22.1,22.88,22.88,21.99,10.31,-1.52,M
21/02/2022,22.44,23.86,24.0,22.15,11.03,-6.07,M
18/02/2022,23.89,25.21,25.65,23.78,14.2,-5.65,M
17/02/2022,25.32,25.5,26.73,25.2,25.37,1.28,M
16/02/2022,25.0,23.85,25.07,23.34,16.23,5.93,M
15/02/2022,23.6,23.6,23.79,22.79,8.44,2.48,M
14/02/2022,23.03,23.31,24.07,22.87,8.63,-1.29,M
11/02/2022,23.33,24.02,24.69,23.16,12.4,-2.43,M
10/02/2022,23.91,23.6,24.63,23.35,18.63,1.53,M
09/02/2022,23.55,21.88,24.06,21.88,19.41,7.83,M
08/02/2022,21.84,20.78,22.01,20.52,9.08,5.35,M
07/02/2022,20.73,20.94,21.94,20.63,9.01,-1.33,M
04/02/2022,21.01,21.5,21.53,20.41,7.85,-2.05,M
03/02/2022,21.45,21.9,22.26,21.02,8.01,-1.79,M
02/02/2022,21.84,23.05,23.24,21.83,6.17,-4.84,M
01/02/2022,22.95,22.59,23.8,22.34,6.94,1.1,M
31/01/2022,22.7,21.46,22.95,21.21,10.99,5.58,M
28/01/2022,21.5,22.95,23.09,21.47,20.58,-6.48,M
27/01/2022,22.99,24.0,24.28,22.8,12.05,-3.24,M
26/01/2022,23.76,23.97,24.6,23.5,12.88,2.24,M
25/01/2022,23.24,22.99,23.33,22.45,7.01,0.35,M
24/01/2022,23.16,23.29,23.6,22.24,9.68,-0.04,M
21/01/2022,23.17,22.05,23.39,21.94,14.47,4.28,M
20/01/2022,22.22,21.05,22.94,21.05,17.89,6.47,M
19/01/2022,20.87,20.41,21.47,20.33,15.81,3.11,M
18/01/2022,20.24,21.18,21.34,20.23,14.43,-4.66,M
17/01/2022,21.23,21.63,21.94,21.09,3.92,-2.61,M
14/01/2022,21.8,21.77,22.2,21.55,12.51,-0.09,M
13/01/2022,21.82,22.84,23.18,21.77,10.5,-5.09,M
12/01/2022,22.99,22.82,23.75,22.57,12.81,-0.04,M
11/01/2022,23.0,21.51,23.0,21.5,8.3,6.33,M
10/01/2022,21.63,21.95,22.34,21.35,8.78,-2.17,M
07/01/2022,22.11,23.27,23.27,22.03,8.72,-3.24,M
06/01/2022,22.85,23.27,23.55,22.5,13.17,-1.13,M
05/01/2022,23.11,24.19,24.45,22.97,8.2,-4.62,M
04/01/2022,24.23,25.74,25.94,24.18,11.55,-6.45,M
03/01/2022,25.9,25.44,26.08,24.51,8.39,1.85,M
30/12/2021,25.43,25.35,25.67,24.52,4.62,1.84,M
29/12/2021,24.97,25.45,25.72,24.97,3.6,-1.69,M
28/12/2021,25.4,25.26,25.44,24.94,4.08,0.08,M
27/12/2021,25.38,25.8,26.29,25.25,4.43,-1.17,M
23/12/2021,25.68,25.81,25.85,25.18,6.07,-0.35,M
22/12/2021,25.77,26.8,26.82,25.3,8.61,-4.02,M
21/12/2021,26.85,27.33,27.56,26.68,6.34,-1.76,M
20/12/2021,27.33,28.01,28.08,26.92,9.48,-2.25,M
17/12/2021,27.96,26.03,27.96,25.9,15.52,5.91,M
16/12/2021,26.4,26.25,26.83,25.88,7.62,1.81,M
15/12/2021,25.93,25.45,26.05,25.11,5.53,2.25,M
14/12/2021,25.36,26.1,26.82,25.15,6.84,-1.01,M
13/12/2021,25.62,26.2,26.51,25.62,6.32,-2.03,M
10/12/2021,26.15,27.08,27.08,26.0,5.56,-1.54,M
09/12/2021,26.56,27.22,27.22,26.34,4.71,-2.85,M
08/12/2021,27.34,27.21,27.72,26.46,8.89,1.03,M
07/12/2021,27.06,27.06,27.83,26.37,9.62,1.12,M
06/12/2021,26.76,26.22,26.76,25.51,8.89,3.92,M
03/12/2021,25.75,26.05,27.66,25.06,18.43,-1.15,M
02/12/2021,26.05,26.0,26.4,25.0,15.1,1.4,M
01/12/2021,25.69,26.91,27.48,25.54,13.66,-3.75,M
30/11/2021,26.69,26.75,27.25,25.84,27.15,-0.67,M
29/11/2021,26.87,27.48,27.62,26.56,10.27,-0.59,M
26/11/2021,27.03,26.78,27.68,26.5,13.51,-1.82,M
25/11/2021,27.53,28.2,28.39,27.34,8.27,-1.99,M
24/11/2021,28.09,28.87,29.57,27.93,13.0,-3.64,M
23/11/2021,29.15,29.81,29.91,28.54,7.61,-1.72,M
22/11/2021,29.66,30.6,30.98,29.1,8.54,-2.47,M
19/11/2021,30.41,30.33,31.76,30.03,8.07,0.2,M
18/11/2021,30.35,30.0,31.5,29.83,14.04,2.12,M
17/11/2021,29.72,31.2,31.32,29.36,15.8,-2.91,M
16/11/2021,30.61,33.54,34.55,30.31,37.8,-7.24,M
12/11/2021,33.0,37.83,37.83,31.9,71.82,-17.54,M
11/11/2021,40.02,40.98,41.53,39.89,4.19,-1.23,M
10/11/2021,40.52,40.68,41.92,40.0,5.4,-0.54,M
09/11/2021,40.74,38.9,41.7,38.78,5.58,4.57,M
08/11/2021,38.96,39.1,40.15,38.95,4.42,-1.34,M
05/11/2021,39.49,39.25,40.01,38.98,11.47,1.13,M
04/11/2021,39.05,40.45,40.76,38.84,10.96,-3.63,M
03/11/2021,40.52,40.02,40.95,39.52,5.67,0.9,M
