Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.22,12.07,12.29,11.76,3.02,0.41,M
23/02/2022,12.17,12.19,12.44,12.11,1.82,-0.16,M
22/02/2022,12.19,12.07,12.27,11.93,6.69,1.84,M
21/02/2022,11.97,11.94,12.19,11.86,925.8,0.5,K
18/02/2022,11.91,12.16,12.2,11.82,2.72,-1.73,M
17/02/2022,12.12,12.31,12.36,12.1,1.54,-1.46,M
16/02/2022,12.3,12.17,12.43,12.13,965.2,1.07,K
15/02/2022,12.17,12.21,12.3,12.11,1.4,0.16,M
14/02/2022,12.15,12.09,12.19,11.98,802.6,0.75,K
11/02/2022,12.06,12.12,12.34,11.98,1.2,0.08,M
10/02/2022,12.05,12.13,12.35,12.0,908.8,-0.58,K
09/02/2022,12.12,11.94,12.2,11.93,1.41,1.51,M
08/02/2022,11.94,12.15,12.15,11.94,1.11,-0.83,M
07/02/2022,12.04,12.11,12.42,12.04,839.9,-1.39,K
04/02/2022,12.21,12.25,12.25,11.91,968.4,0.08,K
03/02/2022,12.2,12.44,12.54,12.06,1.18,-2.17,M
02/02/2022,12.47,12.37,12.58,12.35,2.24,0.73,M
01/02/2022,12.38,12.48,12.61,12.18,1.6,-0.8,M
31/01/2022,12.48,12.46,12.66,12.31,1.47,0.73,M
28/01/2022,12.39,12.25,12.47,12.2,1.14,0.9,M
27/01/2022,12.28,12.68,12.71,12.17,2.13,-3.08,M
26/01/2022,12.67,12.6,12.82,12.51,1.83,2.01,M
25/01/2022,12.42,12.16,12.51,12.09,1.01,2.05,M
24/01/2022,12.17,12.45,12.53,12.15,1.41,-2.48,M
21/01/2022,12.48,12.19,12.53,12.09,2.31,2.38,M
20/01/2022,12.19,12.0,12.3,11.95,1.04,1.58,M
19/01/2022,12.0,12.17,12.23,11.73,6.86,-0.25,M
18/01/2022,12.03,12.11,12.12,11.82,1.07,-0.91,M
17/01/2022,12.14,12.08,12.27,12.04,271.6,0.5,K
14/01/2022,12.08,12.02,12.21,11.94,1.74,0.33,M
13/01/2022,12.04,12.43,12.51,12.0,2.2,-3.06,M
12/01/2022,12.42,12.29,12.55,12.28,1.28,1.14,M
11/01/2022,12.28,11.78,12.36,11.77,2.33,4.24,M
10/01/2022,11.78,12.0,12.02,11.62,1.9,-1.75,M
07/01/2022,11.99,12.0,12.11,11.59,1.74,-0.17,M
06/01/2022,12.01,11.94,12.22,11.9,3.11,1.01,M
05/01/2022,11.89,12.12,12.29,11.88,1.67,-1.49,M
04/01/2022,12.07,12.29,12.3,12.01,1.01,-1.23,M
03/01/2022,12.22,12.61,12.84,12.16,810.1,-3.02,K
30/12/2021,12.6,12.33,12.74,12.31,1.18,2.52,M
29/12/2021,12.29,12.59,12.64,12.13,2.22,-1.76,M
28/12/2021,12.51,12.48,12.69,12.45,603.7,0.48,K
27/12/2021,12.45,12.25,12.6,12.23,804.1,1.63,K
23/12/2021,12.25,12.05,12.3,12.01,1.16,2.08,M
22/12/2021,12.0,12.12,12.15,11.93,898.4,-0.99,K
21/12/2021,12.12,12.13,12.22,11.95,892.5,0.17,K
20/12/2021,12.1,11.97,12.29,11.86,1.38,0.67,M
17/12/2021,12.02,11.99,12.13,11.77,1.89,0.59,M
16/12/2021,11.95,12.51,12.59,11.92,1.87,-4.4,M
15/12/2021,12.5,12.31,12.71,12.31,2.03,1.38,M
14/12/2021,12.33,12.37,12.77,12.29,1.15,-0.32,M
13/12/2021,12.37,12.25,12.68,12.16,1.29,0.98,M
10/12/2021,12.25,12.24,12.35,12.19,757.0,0.74,K
09/12/2021,12.16,12.48,12.48,12.12,580.5,-2.95,K
08/12/2021,12.53,12.26,12.59,12.11,897.0,2.7,K
07/12/2021,12.2,12.32,12.42,12.1,1.07,0.0,M
06/12/2021,12.2,12.25,12.53,12.13,1.36,-0.33,M
03/12/2021,12.24,12.01,12.54,12.01,1.8,1.58,M
02/12/2021,12.05,11.95,12.12,11.89,1.82,1.86,M
01/12/2021,11.83,12.72,12.72,11.82,2.65,-6.04,M
30/11/2021,12.59,12.59,12.86,12.33,3.25,-0.63,M
29/11/2021,12.67,13.04,13.04,12.53,2.3,-1.02,M
26/11/2021,12.8,12.68,12.85,12.64,1.06,-1.46,M
25/11/2021,12.99,12.71,13.04,12.68,1.09,2.2,M
24/11/2021,12.71,12.87,13.17,12.6,2.54,-2.53,M
23/11/2021,13.04,13.18,13.19,12.83,1.03,-0.53,M
22/11/2021,13.11,13.38,13.52,13.08,809.6,-1.94,K
19/11/2021,13.37,13.28,13.65,13.24,1.46,0.68,M
18/11/2021,13.28,13.3,13.63,13.16,1.24,0.08,M
17/11/2021,13.27,13.7,13.76,13.03,1.34,-2.5,M
16/11/2021,13.61,14.09,14.18,13.53,994.4,-3.48,K
12/11/2021,14.1,14.12,14.31,14.01,737.6,-0.42,K
11/11/2021,14.16,14.07,14.44,14.05,872.8,1.36,K
10/11/2021,13.97,14.05,14.18,13.83,920.2,-0.99,K
09/11/2021,14.11,13.98,14.25,13.94,871.8,1.15,K
08/11/2021,13.95,13.99,14.28,13.81,1.33,-0.99,M
05/11/2021,14.09,13.85,14.12,13.76,1.23,2.25,M
04/11/2021,13.78,13.95,13.99,13.63,962.5,-0.93,K
