Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.99,9.54,10.29,9.54,1.06,-0.5,M
23/02/2022,10.04,9.75,10.24,9.75,795.5,1.93,K
22/02/2022,9.85,9.64,10.51,9.64,1.57,3.14,M
21/02/2022,9.55,9.6,9.85,9.4,1.25,-0.42,M
18/02/2022,9.59,10.04,10.04,9.48,1.45,-3.62,M
17/02/2022,9.95,10.33,11.02,9.91,1.42,-2.36,M
16/02/2022,10.19,10.32,10.6,10.14,756.8,-0.68,K
15/02/2022,10.26,10.24,10.48,9.87,2.18,0.69,M
14/02/2022,10.19,10.49,10.71,10.12,645.3,-2.86,K
11/02/2022,10.49,10.73,10.95,10.43,1.28,-2.05,M
10/02/2022,10.71,10.38,10.92,9.97,1.4,2.98,M
09/02/2022,10.4,10.7,10.8,10.23,755.4,-2.53,K
08/02/2022,10.67,10.95,11.06,10.59,655.6,-2.73,K
07/02/2022,10.97,11.3,11.31,10.91,731.8,-3.18,K
04/02/2022,11.33,10.81,11.33,10.46,965.8,5.3,K
03/02/2022,10.76,11.16,11.16,10.76,931.7,-3.24,K
02/02/2022,11.12,10.8,11.12,10.61,946.9,3.73,K
01/02/2022,10.72,10.95,11.2,10.56,441.4,-1.2,K
31/01/2022,10.85,10.65,11.0,10.35,564.2,3.63,K
28/01/2022,10.47,10.42,10.62,10.19,517.4,0.96,K
27/01/2022,10.37,10.66,10.8,10.35,354.1,-1.98,K
26/01/2022,10.58,10.19,10.89,10.08,956.4,5.69,K
25/01/2022,10.01,9.84,10.19,9.19,2.1,0.91,M
24/01/2022,9.92,10.44,10.44,9.79,599.7,-5.43,K
21/01/2022,10.49,10.26,10.74,9.94,1.49,3.66,M
20/01/2022,10.12,9.67,10.51,9.67,1.75,4.65,M
19/01/2022,9.67,9.58,9.92,9.45,1.54,1.79,M
18/01/2022,9.5,9.47,9.56,9.19,1.19,-0.42,M
17/01/2022,9.54,9.62,9.87,9.44,730.3,-0.73,K
14/01/2022,9.61,9.46,9.97,9.06,1.33,2.02,M
13/01/2022,9.42,9.92,10.01,9.35,1.72,-5.14,M
12/01/2022,9.93,9.76,10.1,9.59,715.3,1.12,K
11/01/2022,9.82,9.65,10.01,9.5,1.04,1.55,M
10/01/2022,9.67,9.63,9.76,9.13,1.1,0.42,M
07/01/2022,9.63,9.79,10.16,9.46,859.4,-1.23,K
06/01/2022,9.75,9.96,10.07,9.54,1.02,-2.11,M
05/01/2022,9.96,10.32,10.4,9.72,1.64,-4.69,M
04/01/2022,10.45,11.0,11.14,10.39,1.25,-4.91,M
03/01/2022,10.99,11.25,11.4,10.73,1.16,-2.31,M
30/12/2021,11.25,11.0,11.64,10.64,1.71,3.31,M
29/12/2021,10.89,11.34,11.38,10.89,468.5,-3.88,K
28/12/2021,11.33,11.4,11.54,11.11,586.7,-0.61,K
27/12/2021,11.4,11.88,11.88,11.34,590.2,-2.23,K
23/12/2021,11.66,11.95,12.03,11.53,768.8,-1.52,K
22/12/2021,11.84,11.91,12.01,11.5,1.47,-1.09,M
21/12/2021,11.97,12.11,12.33,11.71,746.6,0.17,K
20/12/2021,11.95,11.7,12.08,11.55,1.66,1.44,M
17/12/2021,11.78,11.7,11.9,11.44,4.06,0.68,M
16/12/2021,11.7,11.81,12.15,11.46,1.42,-0.76,M
15/12/2021,11.79,11.11,12.01,11.11,1.85,4.43,M
14/12/2021,11.29,11.71,11.81,11.12,1.45,-3.26,M
13/12/2021,11.67,11.24,11.95,11.04,3.3,4.57,M
10/12/2021,11.16,10.42,11.16,10.28,1.49,6.79,M
09/12/2021,10.45,10.49,10.79,9.89,2.26,2.75,M
08/12/2021,10.17,9.16,10.38,9.08,2.59,11.03,M
07/12/2021,9.16,9.07,9.34,8.97,791.6,2.35,K
06/12/2021,8.95,9.34,9.35,8.61,2.07,-4.28,M
03/12/2021,9.35,8.34,9.5,8.34,3.05,12.11,M
02/12/2021,8.34,7.77,8.42,7.74,2.97,9.02,M
01/12/2021,7.65,7.88,7.96,7.52,3.12,-1.42,M
30/11/2021,7.76,8.5,8.87,7.76,5.26,-10.19,M
29/11/2021,8.64,8.5,8.68,8.36,1.02,2.86,M
26/11/2021,8.4,8.26,8.45,7.84,2.09,-2.44,M
25/11/2021,8.61,8.47,8.68,8.23,1.11,1.53,M
24/11/2021,8.48,8.23,8.49,8.14,840.4,3.29,K
23/11/2021,8.21,8.62,8.81,8.08,1.69,-3.75,M
22/11/2021,8.53,9.23,9.31,8.31,2.83,-7.58,M
19/11/2021,9.23,9.49,9.72,9.21,2.22,-1.39,M
18/11/2021,9.36,8.91,9.69,8.77,1.6,5.29,M
17/11/2021,8.89,9.8,9.87,8.53,3.85,-7.49,M
16/11/2021,9.61,10.1,10.25,9.42,1.65,-4.09,M
12/11/2021,10.02,11.2,11.25,10.01,2.94,-9.57,M
11/11/2021,11.08,11.29,11.53,11.0,865.2,-0.89,K
10/11/2021,11.18,10.95,11.54,10.63,2.31,3.04,M
09/11/2021,10.85,11.02,11.47,10.51,2.26,-3.04,M
08/11/2021,11.19,11.24,11.49,10.91,1.89,-1.15,M
05/11/2021,11.32,10.66,11.32,10.56,2.23,6.09,M
04/11/2021,10.67,10.74,10.83,10.34,1.06,-0.37,M
03/11/2021,10.71,10.13,10.94,10.04,1.14,6.04,M
01/11/2021,10.1,10.14,10.47,10.0,394.3,-0.39,K
29/10/2021,10.14,10.1,10.51,9.83,567.7,-0.59,K
28/10/2021,10.2,10.56,10.84,10.2,545.2,-3.95,K
27/10/2021,10.62,10.68,10.86,10.52,268.7,-1.12,K
26/10/2021,10.74,11.0,11.0,10.38,416.3,-3.68,K
25/10/2021,11.15,10.65,11.16,10.62,358.1,5.09,K
22/10/2021,10.61,10.82,11.11,10.1,4.36,-1.21,M
21/10/2021,10.74,11.5,11.54,10.32,1.75,-7.41,M
20/10/2021,11.6,11.71,11.84,11.2,989.9,0.87,K
19/10/2021,11.5,12.2,12.32,11.5,1.1,-6.35,M
18/10/2021,12.28,12.26,12.5,12.2,365.7,0.0,K
15/10/2021,12.28,12.38,12.47,12.02,578.9,-0.89,K
14/10/2021,12.39,12.72,12.74,12.21,879.4,-1.74,K
13/10/2021,12.61,12.9,12.92,12.34,2.05,-1.94,M
11/10/2021,12.86,13.65,13.74,12.68,8.7,-8.14,M
08/10/2021,14.0,13.5,14.0,13.36,983.2,4.79,K
07/10/2021,13.36,13.42,13.52,13.01,325.0,0.75,K
06/10/2021,13.26,13.68,13.75,12.81,822.7,-3.91,K
05/10/2021,13.8,14.2,14.43,13.66,802.0,-1.78,K
04/10/2021,14.05,14.28,15.32,13.72,1.39,-4.68,M
01/10/2021,14.74,14.6,14.8,14.28,4.18,9.43,M
30/09/2021,13.47,14.3,14.37,13.38,666.3,-5.21,K
29/09/2021,14.21,14.71,15.09,14.07,1.65,-2.67,M
28/09/2021,14.6,14.96,15.08,14.39,1.58,-2.67,M
27/09/2021,15.0,15.04,15.08,14.65,516.0,-0.66,K
24/09/2021,15.1,15.2,15.39,14.87,405.2,-2.01,K
23/09/2021,15.41,15.45,15.92,15.13,359.8,0.06,K
22/09/2021,15.4,15.29,15.43,14.85,321.0,4.27,K
21/09/2021,14.77,14.64,15.43,14.43,398.3,1.93,K
20/09/2021,14.49,14.66,14.86,14.24,638.2,-3.34,K
17/09/2021,14.99,15.47,15.61,14.65,484.6,-2.98,K
16/09/2021,15.45,16.0,16.14,15.37,431.5,-3.44,K
15/09/2021,16.0,16.04,16.14,15.81,167.7,-0.25,K
14/09/2021,16.04,15.97,16.21,15.8,261.0,0.82,K
13/09/2021,15.91,16.23,16.38,15.91,401.8,-1.24,K
10/09/2021,16.11,16.81,17.18,16.11,547.6,-5.18,K
09/09/2021,16.99,17.41,17.41,16.62,922.8,-2.41,K
08/09/2021,17.41,18.59,18.95,16.78,2.55,-6.35,M
06/09/2021,18.59,17.99,18.62,17.57,1.99,2.76,M
03/09/2021,18.09,17.1,18.19,17.1,1.83,5.79,M
02/09/2021,17.1,17.2,17.8,16.81,1.99,-0.58,M
01/09/2021,17.2,17.15,17.23,16.46,1.39,1.18,M
31/08/2021,17.0,17.0,17.34,16.52,781.5,0.0,K
30/08/2021,17.0,17.22,17.35,16.9,942.0,-1.28,K
27/08/2021,17.22,17.5,17.62,17.01,736.9,-1.6,K
26/08/2021,17.5,17.4,17.69,16.74,1.32,0.57,M
25/08/2021,17.4,17.04,17.49,16.66,757.3,2.11,K
24/08/2021,17.04,16.02,17.32,15.8,2.56,7.98,M
23/08/2021,15.78,15.7,15.97,15.51,521.2,0.64,K
20/08/2021,15.68,15.45,16.05,15.11,1.43,0.19,M
19/08/2021,15.65,15.41,15.77,14.7,2.44,-0.95,M
18/08/2021,15.8,16.44,16.7,15.65,1.78,-2.47,M
17/08/2021,16.2,17.78,17.8,15.23,15.25,-8.89,M
16/08/2021,17.78,18.96,19.06,17.6,1.3,-5.68,M
13/08/2021,18.85,19.38,19.38,18.05,1.54,-2.03,M
12/08/2021,19.24,18.6,19.48,18.6,976.9,3.44,K
11/08/2021,18.6,19.1,19.17,18.06,3.46,-2.67,M
