Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.34,3.25,3.42,3.09,1.44,0.91,M
23/02/2022,3.31,3.29,3.42,3.23,1.03,0.3,M
22/02/2022,3.3,3.33,3.38,3.14,768.4,0.61,K
21/02/2022,3.28,3.44,3.5,3.24,700.9,-4.65,K
18/02/2022,3.44,3.33,3.44,3.22,874.6,3.3,K
17/02/2022,3.33,3.47,3.51,3.33,751.5,-4.58,K
16/02/2022,3.49,3.56,3.59,3.45,1.87,-1.97,M
15/02/2022,3.56,3.28,3.59,3.23,1.55,9.2,M
14/02/2022,3.26,3.36,3.42,3.19,1.17,-3.26,M
11/02/2022,3.37,3.1,3.37,3.04,2.08,7.67,M
10/02/2022,3.13,3.0,3.13,2.95,1.0,3.64,M
09/02/2022,3.02,2.92,3.04,2.88,1.52,2.72,M
08/02/2022,2.94,2.96,2.96,2.85,472.4,0.34,K
07/02/2022,2.93,2.94,2.95,2.83,677.1,1.03,K
04/02/2022,2.9,3.08,3.08,2.85,763.1,-4.92,K
03/02/2022,3.05,3.07,3.09,2.91,833.4,1.33,K
02/02/2022,3.01,2.98,3.08,2.93,888.5,0.33,K
01/02/2022,3.0,2.92,3.0,2.87,648.0,2.74,K
31/01/2022,2.92,2.81,2.99,2.74,1.73,3.91,M
28/01/2022,2.81,2.68,2.81,2.59,1.02,4.85,M
27/01/2022,2.68,2.68,2.75,2.61,685.8,0.0,K
26/01/2022,2.68,2.64,2.79,2.64,888.6,1.13,K
25/01/2022,2.65,2.52,2.65,2.51,653.8,5.16,K
24/01/2022,2.52,2.59,2.64,2.48,628.1,-3.45,K
21/01/2022,2.61,2.62,2.7,2.57,809.5,-0.38,K
20/01/2022,2.62,2.54,2.69,2.49,894.7,4.8,K
19/01/2022,2.5,2.51,2.55,2.43,874.3,0.81,K
18/01/2022,2.48,2.55,2.55,2.44,786.2,-3.12,K
17/01/2022,2.56,2.48,2.56,2.44,435.0,4.07,K
14/01/2022,2.46,2.46,2.47,2.39,725.6,0.0,K
13/01/2022,2.46,2.51,2.54,2.39,788.4,-1.99,K
12/01/2022,2.51,2.52,2.53,2.45,870.8,0.8,K
11/01/2022,2.49,2.35,2.53,2.34,1.05,5.96,M
10/01/2022,2.35,2.54,2.54,2.35,1.03,-6.0,M
07/01/2022,2.5,2.62,2.62,2.5,1.38,-4.58,M
06/01/2022,2.62,2.69,2.71,2.6,524.2,-1.13,K
05/01/2022,2.65,2.68,2.77,2.57,1.34,-0.75,M
04/01/2022,2.67,2.88,2.88,2.66,1.52,-8.87,M
03/01/2022,2.93,2.99,3.0,2.77,785.7,-2.33,K
30/12/2021,3.0,2.8,3.0,2.71,1.58,8.7,M
29/12/2021,2.76,2.81,2.82,2.73,712.6,-1.43,K
28/12/2021,2.8,2.88,2.89,2.74,1.11,-2.78,M
27/12/2021,2.88,2.81,2.89,2.75,388.9,2.86,K
23/12/2021,2.8,2.88,2.88,2.8,287.8,-2.78,K
22/12/2021,2.88,2.87,2.9,2.8,925.7,-1.03,K
21/12/2021,2.91,2.9,2.92,2.77,751.4,0.69,K
20/12/2021,2.89,2.91,2.95,2.83,519.4,-2.03,K
17/12/2021,2.95,2.72,2.99,2.64,1.9,6.88,M
16/12/2021,2.76,2.79,2.94,2.75,1.54,1.1,M
15/12/2021,2.73,2.8,2.86,2.67,1.64,-3.87,M
14/12/2021,2.84,3.0,3.0,2.81,1.04,-6.27,M
13/12/2021,3.03,3.06,3.13,2.93,1.29,-0.98,M
10/12/2021,3.06,2.95,3.07,2.92,658.4,3.73,K
09/12/2021,2.95,2.98,3.0,2.83,899.6,-2.96,K
08/12/2021,3.04,2.92,3.04,2.83,953.2,2.7,K
07/12/2021,2.96,3.0,3.08,2.9,1.16,-0.67,M
06/12/2021,2.98,2.67,2.98,2.63,1.62,12.03,M
03/12/2021,2.66,2.63,2.71,2.52,1.85,3.1,M
02/12/2021,2.58,2.59,2.65,2.53,1.12,1.57,M
01/12/2021,2.54,2.8,2.83,2.54,1.61,-7.97,M
30/11/2021,2.76,2.93,2.93,2.7,1.01,-4.5,M
29/11/2021,2.89,3.0,3.05,2.83,1.01,-3.02,M
26/11/2021,2.98,2.97,2.98,2.86,621.3,-1.32,K
25/11/2021,3.02,3.0,3.06,2.94,539.6,1.34,K
24/11/2021,2.98,2.93,3.02,2.91,854.0,1.36,K
23/11/2021,2.94,2.94,2.98,2.82,646.6,0.68,K
22/11/2021,2.92,3.07,3.18,2.92,633.1,-5.81,K
19/11/2021,3.1,3.04,3.16,3.0,926.2,2.65,K
18/11/2021,3.02,3.39,3.39,2.96,1.97,-7.65,M
17/11/2021,3.27,3.42,3.51,3.2,1.02,-6.3,M
16/11/2021,3.49,3.64,3.69,3.41,584.5,-3.59,K
12/11/2021,3.62,3.63,3.73,3.62,610.8,-0.82,K
11/11/2021,3.65,3.48,3.65,3.48,1.32,5.19,M
10/11/2021,3.47,3.56,3.63,3.46,1.21,-1.98,M
09/11/2021,3.54,3.5,3.64,3.49,961.3,1.72,K
08/11/2021,3.48,3.6,3.61,3.48,386.6,-3.06,K
05/11/2021,3.59,3.67,3.73,3.55,626.8,-1.1,K
04/11/2021,3.63,3.74,3.92,3.54,870.5,-4.22,K
03/11/2021,3.79,3.58,3.86,3.53,1.05,5.87,M
01/11/2021,3.58,3.52,3.6,3.49,769.3,3.47,K
29/10/2021,3.46,3.54,3.58,3.42,788.9,-1.42,K
28/10/2021,3.51,3.6,3.62,3.45,1.09,-2.5,M
27/10/2021,3.6,3.64,3.69,3.55,783.8,-0.28,K
26/10/2021,3.61,3.86,3.92,3.61,1.22,-6.48,M
25/10/2021,3.86,3.77,3.98,3.72,966.1,2.12,K
22/10/2021,3.78,3.84,3.84,3.57,1.74,-2.58,M
21/10/2021,3.88,3.84,3.88,3.65,1.21,0.52,M
20/10/2021,3.86,4.08,4.09,3.84,931.6,-4.69,K
19/10/2021,4.05,4.14,4.23,3.98,1.08,-3.34,M
18/10/2021,4.19,4.19,4.25,4.01,679.3,-0.24,K
15/10/2021,4.2,4.12,4.27,4.12,691.1,0.72,K
14/10/2021,4.17,4.11,4.24,4.01,1.0,0.97,M
13/10/2021,4.13,4.0,4.16,3.93,1.37,3.25,M
11/10/2021,4.0,3.99,4.02,3.88,1.09,1.27,M
08/10/2021,3.95,3.84,4.08,3.82,1.34,2.6,M
07/10/2021,3.85,3.71,3.85,3.63,1.77,3.22,M
06/10/2021,3.73,3.73,3.74,3.6,1.21,-0.53,M
