Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,29.32,28.84,29.57,28.06,295.8,-0.85,K
23/02/2022,29.57,29.39,29.7,29.2,353.7,1.27,K
22/02/2022,29.2,28.56,29.45,28.53,214.9,1.53,K
21/02/2022,28.76,29.48,29.55,28.6,205.1,-2.48,K
18/02/2022,29.49,29.54,29.85,29.21,185.6,-0.17,K
17/02/2022,29.54,29.08,29.95,29.08,276.2,0.44,K
16/02/2022,29.41,29.92,29.92,28.98,313.3,-1.18,K
15/02/2022,29.76,29.36,29.9,29.25,208.0,1.57,K
14/02/2022,29.3,29.25,29.51,28.94,180.1,1.1,K
11/02/2022,28.98,29.37,29.37,28.65,381.4,-0.82,K
10/02/2022,29.22,29.3,29.46,28.8,337.4,0.24,K
09/02/2022,29.15,29.73,30.1,28.92,397.9,-1.95,K
08/02/2022,29.73,29.3,29.89,28.9,305.0,1.23,K
07/02/2022,29.37,28.84,29.58,28.6,248.2,1.28,K
04/02/2022,29.0,28.85,29.04,28.4,439.3,0.52,K
03/02/2022,28.85,27.53,29.24,27.2,609.8,5.1,K
02/02/2022,27.45,27.59,27.68,26.92,4.54,-0.51,M
01/02/2022,27.59,29.25,29.62,26.98,1.57,-1.53,M
31/01/2022,28.02,26.49,28.13,26.49,561.6,6.14,K
28/01/2022,26.4,26.27,26.41,25.68,209.0,0.8,K
27/01/2022,26.19,26.0,26.52,25.85,287.3,0.42,K
26/01/2022,26.08,25.69,26.81,25.69,464.5,1.52,K
25/01/2022,25.69,25.13,25.89,25.1,184.5,1.42,K
24/01/2022,25.33,25.52,25.53,24.99,276.2,-1.05,K
21/01/2022,25.6,26.02,26.39,25.58,364.6,-2.07,K
20/01/2022,26.14,26.0,26.46,25.51,173.2,1.08,K
19/01/2022,25.86,26.02,26.4,25.36,357.4,-0.54,K
18/01/2022,26.0,25.56,26.23,25.1,282.2,0.7,K
17/01/2022,25.82,25.52,25.82,24.58,491.4,1.14,K
14/01/2022,25.53,24.21,25.53,24.21,1.05,5.45,M
13/01/2022,24.21,24.64,24.64,23.85,182.7,0.08,K
12/01/2022,24.19,23.92,24.45,23.8,204.3,0.83,K
11/01/2022,23.99,24.23,24.5,23.01,513.6,0.42,K
10/01/2022,23.89,23.53,24.63,22.5,460.8,2.53,K
07/01/2022,23.3,23.15,23.72,22.69,297.7,3.01,K
06/01/2022,22.62,23.04,23.04,21.97,394.1,-0.7,K
05/01/2022,22.78,23.92,23.92,22.5,453.1,-4.29,K
04/01/2022,23.8,25.59,25.59,23.64,458.3,-5.93,K
03/01/2022,25.3,26.01,26.11,24.9,1.47,-5.95,M
30/12/2021,26.9,26.3,27.26,26.23,1.07,2.71,M
29/12/2021,26.19,26.0,26.23,25.68,159.8,1.28,K
28/12/2021,25.86,26.26,26.26,25.62,252.7,0.19,K
27/12/2021,25.81,26.0,26.35,25.52,156.2,-0.54,K
23/12/2021,25.95,25.39,25.95,25.22,203.3,2.98,K
22/12/2021,25.2,25.01,25.54,24.8,247.8,-0.4,K
21/12/2021,25.3,24.99,25.39,24.16,224.4,1.81,K
20/12/2021,24.85,24.0,24.85,23.31,516.6,2.77,K
17/12/2021,24.18,23.31,24.33,22.9,651.0,3.25,K
16/12/2021,23.42,24.99,24.99,23.17,370.5,-4.1,K
15/12/2021,24.42,23.91,24.42,23.19,194.0,3.87,K
14/12/2021,23.51,24.99,24.99,23.49,307.1,-3.05,K
13/12/2021,24.25,24.28,24.79,23.89,218.2,-0.08,K
10/12/2021,24.27,24.1,24.45,22.59,405.9,0.66,K
09/12/2021,24.11,23.92,24.19,23.35,238.5,-0.58,K
08/12/2021,24.25,23.65,24.27,23.26,260.9,2.41,K
07/12/2021,23.68,23.16,24.0,22.98,348.4,2.51,K
06/12/2021,23.1,23.2,23.27,22.43,322.6,-0.43,K
03/12/2021,23.2,22.59,23.56,22.59,410.8,4.04,K
02/12/2021,22.3,22.21,22.64,21.83,372.1,2.29,K
01/12/2021,21.8,23.1,23.17,21.64,604.8,-3.33,K
30/11/2021,22.55,24.01,24.18,22.34,1.0,-6.82,M
29/11/2021,24.2,24.9,25.0,23.97,204.5,-0.82,K
26/11/2021,24.4,24.62,24.85,24.08,324.4,-2.98,K
25/11/2021,25.15,25.78,25.78,25.03,262.1,-1.1,K
24/11/2021,25.43,26.65,26.65,25.32,660.8,-3.86,K
23/11/2021,26.45,26.75,27.26,26.11,387.0,-1.82,K
22/11/2021,26.94,26.77,27.71,26.51,354.3,0.64,K
19/11/2021,26.77,26.79,26.97,26.16,294.3,-0.07,K
18/11/2021,26.79,26.61,27.24,26.32,356.9,0.79,K
17/11/2021,26.58,27.15,27.29,26.3,372.3,-1.45,K
16/11/2021,26.97,27.49,27.54,26.95,383.9,-1.89,K
12/11/2021,27.49,27.17,28.19,27.17,281.0,-0.36,K
11/11/2021,27.59,27.23,27.99,26.92,335.0,1.32,K
10/11/2021,27.23,27.62,28.02,26.87,351.3,-0.98,K
09/11/2021,27.5,28.39,28.48,27.49,328.8,-2.17,K
08/11/2021,28.11,28.89,29.1,27.56,481.4,-3.07,K
05/11/2021,29.0,27.52,29.49,27.18,893.6,5.45,K
04/11/2021,27.5,26.3,28.0,26.3,1.07,4.6,M
03/11/2021,26.29,25.03,26.45,25.0,355.5,4.33,K
01/11/2021,25.2,25.49,25.49,24.7,420.3,1.25,K
29/10/2021,24.89,24.84,25.4,24.71,256.4,-0.32,K
28/10/2021,24.97,25.38,25.56,24.85,252.7,-1.62,K
27/10/2021,25.38,25.43,25.71,25.13,267.1,0.51,K
26/10/2021,25.25,25.59,25.78,24.99,345.8,-2.51,K
25/10/2021,25.9,25.36,25.9,25.28,345.1,2.78,K
22/10/2021,25.2,25.95,25.95,24.35,362.9,-3.04,K
21/10/2021,25.99,25.91,26.32,25.26,294.0,-1.89,K
20/10/2021,26.49,26.31,26.56,25.78,323.5,0.72,K
19/10/2021,26.3,27.43,27.62,25.93,594.5,-6.07,K
18/10/2021,28.0,27.24,28.0,26.82,347.7,1.63,K
15/10/2021,27.55,27.64,27.89,27.18,611.1,2.19,K
14/10/2021,26.96,26.8,27.59,26.19,620.0,1.32,K
13/10/2021,26.61,25.53,26.92,24.71,921.9,7.08,K
11/10/2021,24.85,25.47,25.47,24.79,246.7,-3.27,K
08/10/2021,25.69,24.92,25.87,24.72,687.1,4.01,K
07/10/2021,24.7,25.71,25.71,24.63,336.6,-2.45,K
06/10/2021,25.32,26.02,26.02,24.96,346.1,-2.99,K
05/10/2021,26.1,25.92,26.7,25.55,544.5,0.81,K
04/10/2021,25.89,26.99,27.26,25.8,1.08,-4.08,M
01/10/2021,26.99,27.8,27.85,25.9,1.99,-3.09,M
30/09/2021,27.85,27.84,28.19,27.4,631.0,0.65,K
29/09/2021,27.67,28.22,28.38,27.55,295.2,-1.28,K
28/09/2021,28.03,28.39,28.55,27.8,290.3,-1.96,K
27/09/2021,28.59,29.0,29.08,28.42,305.5,-1.41,K
24/09/2021,29.0,29.15,29.15,28.26,305.6,-0.62,K
23/09/2021,29.18,29.52,29.6,28.75,295.4,-1.08,K
22/09/2021,29.5,29.7,29.7,28.9,342.9,0.51,K
21/09/2021,29.35,29.45,29.7,29.08,224.4,0.34,K
20/09/2021,29.25,29.39,29.45,28.88,260.6,-2.34,K
17/09/2021,29.95,30.37,30.47,29.49,497.1,-1.8,K
16/09/2021,30.5,30.08,30.69,30.08,302.9,0.3,K
15/09/2021,30.41,30.69,31.04,30.09,312.8,-0.43,K
14/09/2021,30.54,29.51,30.79,29.3,589.8,3.53,K
13/09/2021,29.5,29.13,29.7,28.89,353.8,2.43,K
10/09/2021,28.8,28.76,29.12,28.41,320.7,1.59,K
09/09/2021,28.35,28.23,28.72,27.62,547.3,-0.46,K
08/09/2021,28.48,29.3,29.3,28.27,418.8,-2.96,K
06/09/2021,29.35,29.79,29.99,29.15,247.2,0.51,K
03/09/2021,29.2,29.39,30.0,28.23,710.0,-0.1,K
02/09/2021,29.23,29.17,29.82,28.58,602.4,-0.27,K
01/09/2021,29.31,31.69,31.83,29.27,4.33,-0.37,M
31/08/2021,29.42,28.4,29.57,28.31,755.4,3.63,K
30/08/2021,28.39,27.5,28.66,27.36,848.9,3.12,K
27/08/2021,27.53,25.9,27.71,25.9,1.26,8.56,M
26/08/2021,25.36,24.85,25.59,24.69,836.7,2.05,K
25/08/2021,24.85,24.4,24.87,24.37,560.9,1.39,K
24/08/2021,24.51,23.98,24.83,23.78,411.5,2.25,K
23/08/2021,23.97,23.74,24.33,23.49,506.4,0.97,K
20/08/2021,23.74,23.89,23.89,23.16,472.9,-0.13,K
19/08/2021,23.77,23.43,23.97,23.01,455.6,-0.13,K
18/08/2021,23.8,23.83,24.41,23.05,576.7,-0.58,K
17/08/2021,23.94,23.56,23.94,22.87,304.0,1.23,K
16/08/2021,23.65,24.45,24.45,23.0,478.3,-3.31,K
13/08/2021,24.46,24.87,24.99,23.9,433.9,-1.65,K
12/08/2021,24.87,25.24,25.42,24.7,246.8,-2.01,K
11/08/2021,25.38,25.99,25.99,25.19,182.6,-1.25,K
10/08/2021,25.7,25.61,25.87,25.3,216.9,-0.12,K
09/08/2021,25.73,25.61,26.1,25.11,298.4,0.51,K
06/08/2021,25.6,25.37,25.94,25.1,409.7,1.19,K
05/08/2021,25.3,25.87,25.95,25.3,314.2,-2.69,K
04/08/2021,26.0,26.2,26.35,25.65,219.9,-1.4,K
03/08/2021,26.37,26.19,26.37,25.5,368.3,1.42,K
02/08/2021,26.0,26.73,26.94,24.57,4.71,-5.35,M
30/07/2021,27.47,27.56,27.89,27.32,210.2,-1.26,K
29/07/2021,27.82,28.09,28.1,27.75,171.4,-0.64,K
28/07/2021,28.0,27.87,28.34,27.5,147.2,0.11,K
27/07/2021,27.97,27.8,27.98,27.29,163.9,-0.21,K
26/07/2021,28.03,28.6,28.6,27.75,246.9,-2.33,K
23/07/2021,28.7,29.11,29.12,28.6,180.7,-0.86,K
22/07/2021,28.95,28.86,29.01,28.66,118.9,-0.1,K
