Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,19.62,19.0,19.64,18.74,340.9,1.66,K
23/02/2022,19.3,19.64,19.97,19.3,147.5,-1.68,K
22/02/2022,19.63,19.44,19.86,19.36,173.2,2.03,K
21/02/2022,19.24,20.05,20.19,19.24,154.2,-4.14,K
18/02/2022,20.07,20.15,20.34,19.95,209.8,-0.1,K
17/02/2022,20.09,20.32,20.58,19.81,198.1,-1.13,K
16/02/2022,20.32,20.59,20.75,20.3,196.9,-1.22,K
15/02/2022,20.57,20.55,21.14,20.49,146.2,0.54,K
14/02/2022,20.46,20.18,20.71,20.03,297.9,1.69,K
11/02/2022,20.12,21.32,21.32,20.01,566.1,-5.63,K
10/02/2022,21.32,21.7,22.11,21.18,296.0,-1.48,K
09/02/2022,21.64,21.27,21.86,21.09,240.3,1.22,K
08/02/2022,21.38,21.18,21.83,20.97,229.5,0.23,K
07/02/2022,21.33,21.96,21.96,20.77,373.1,-2.82,K
04/02/2022,21.95,22.69,22.7,21.75,330.7,-3.22,K
03/02/2022,22.68,22.97,23.01,21.86,557.2,-1.43,K
02/02/2022,23.01,23.05,23.67,22.93,485.1,-0.35,K
01/02/2022,23.09,22.85,23.27,22.51,325.0,0.48,K
31/01/2022,22.98,22.13,23.09,22.06,357.7,3.7,K
28/01/2022,22.16,21.59,22.23,21.46,283.9,2.26,K
27/01/2022,21.67,21.67,22.12,21.36,326.4,-0.28,K
26/01/2022,21.73,21.32,22.28,21.24,306.6,2.65,K
25/01/2022,21.17,20.34,21.4,20.31,327.6,3.77,K
24/01/2022,20.4,19.69,20.55,19.43,610.0,2.87,K
21/01/2022,19.83,19.57,19.83,19.05,539.6,0.86,K
20/01/2022,19.66,19.75,19.92,19.23,425.4,0.56,K
19/01/2022,19.55,19.81,20.24,19.49,396.9,-0.76,K
18/01/2022,19.7,19.5,19.91,19.17,400.6,0.56,K
17/01/2022,19.59,20.04,20.45,19.59,296.9,-2.2,K
14/01/2022,20.03,18.46,20.53,18.3,1.19,9.16,M
