Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.84,21.48,23.02,21.4,3.64,2.28,M
23/02/2022,22.33,21.95,22.81,21.88,2.65,1.92,M
22/02/2022,21.91,21.26,21.97,21.17,2.66,3.99,M
21/02/2022,21.07,21.2,21.38,20.95,1.21,-0.38,M
18/02/2022,21.15,21.53,21.56,21.07,1.84,-0.89,M
17/02/2022,21.34,21.9,22.17,21.22,2.76,-2.78,M
16/02/2022,21.95,21.91,22.58,21.85,2.16,0.27,M
15/02/2022,21.89,21.66,22.09,21.54,1.47,1.2,M
14/02/2022,21.63,21.8,22.12,21.48,1.31,0.37,M
11/02/2022,21.55,22.23,22.32,21.45,1.66,-1.78,M
10/02/2022,21.94,21.86,22.24,21.4,2.43,0.41,M
09/02/2022,21.85,22.47,22.5,21.58,2.42,0.46,M
08/02/2022,21.75,21.31,22.02,21.22,1.49,0.97,M
07/02/2022,21.54,21.4,21.73,21.32,1.13,0.14,M
04/02/2022,21.51,22.41,22.56,21.15,2.63,-4.23,M
03/02/2022,22.46,22.65,22.75,22.41,1.28,-0.53,M
02/02/2022,22.58,23.0,23.29,22.5,1.89,-1.61,M
01/02/2022,22.95,22.62,23.0,22.46,2.13,1.41,M
31/01/2022,22.63,21.66,22.85,21.66,3.73,4.57,M
28/01/2022,21.64,21.59,21.94,21.36,1.35,-0.37,M
27/01/2022,21.72,21.5,21.99,21.34,2.11,1.83,M
26/01/2022,21.33,21.56,21.8,21.18,2.43,-0.09,M
25/01/2022,21.35,20.32,21.49,20.18,2.72,1.91,M
24/01/2022,20.95,19.61,20.95,19.3,5.42,7.44,M
21/01/2022,19.5,19.74,19.88,19.4,2.8,-2.16,M
20/01/2022,19.93,20.0,20.37,19.85,2.58,-0.25,M
19/01/2022,19.98,19.69,20.3,19.63,2.17,1.63,M
18/01/2022,19.66,19.12,19.97,19.1,3.03,2.13,M
17/01/2022,19.25,19.91,19.91,19.1,2.4,-3.31,M
14/01/2022,19.91,19.63,20.28,19.33,1.96,1.48,M
13/01/2022,19.62,20.01,20.07,19.25,3.69,-2.68,M
12/01/2022,20.16,19.76,20.25,19.4,1.86,3.23,M
11/01/2022,19.53,19.35,19.53,18.95,1.96,0.93,M
10/01/2022,19.35,18.95,19.53,18.89,2.16,2.11,M
07/01/2022,18.95,19.55,19.55,18.95,2.45,-2.42,M
06/01/2022,19.42,20.26,20.45,19.41,3.73,-3.77,M
05/01/2022,20.18,20.95,21.23,20.18,3.36,-3.58,M
04/01/2022,20.93,20.87,21.22,20.75,2.85,0.38,M
03/01/2022,20.85,21.73,21.92,20.62,2.88,-4.05,M
30/12/2021,21.73,21.91,22.05,21.33,2.98,-0.32,M
29/12/2021,21.8,22.61,22.8,21.8,1.71,-3.45,M
28/12/2021,22.58,22.22,22.68,21.9,1.85,1.9,M
27/12/2021,22.16,22.12,22.55,21.83,1.67,-0.14,M
