Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,33.39,34.8,35.29,32.68,139.67,-2.43,M
23/02/2022,34.22,34.18,34.6,33.8,86.53,1.42,M
22/02/2022,33.74,34.22,34.68,33.21,80.21,-0.32,M
21/02/2022,33.85,33.05,34.0,33.0,51.26,2.58,M
18/02/2022,33.0,32.57,33.09,32.27,58.65,0.61,M
17/02/2022,32.8,32.85,33.29,32.55,43.26,-0.39,M
16/02/2022,32.93,32.83,33.7,32.77,65.81,1.39,M
15/02/2022,32.48,32.66,32.68,31.89,65.69,-1.58,M
14/02/2022,33.0,33.86,33.94,32.82,55.69,-2.25,M
11/02/2022,33.76,32.77,33.91,32.63,88.01,4.07,M
10/02/2022,32.44,32.3,32.9,31.94,49.53,1.53,M
09/02/2022,31.95,31.74,32.69,31.65,50.96,0.38,M
08/02/2022,31.83,31.9,31.95,31.26,62.59,-1.0,M
07/02/2022,32.15,32.55,32.78,32.13,48.87,-1.47,M
04/02/2022,32.63,32.41,33.23,31.88,59.35,1.75,M
03/02/2022,32.07,32.35,32.92,31.62,51.09,-1.38,M
02/02/2022,32.52,33.41,33.49,32.36,36.27,-1.45,M
01/02/2022,33.0,32.35,33.32,31.95,57.32,2.01,M
31/01/2022,32.35,32.5,33.0,32.07,62.45,-0.58,M
28/01/2022,32.54,33.8,34.35,32.2,117.4,-3.96,M
27/01/2022,33.88,34.25,34.64,33.17,90.63,0.03,M
26/01/2022,33.87,33.3,34.27,33.3,98.68,2.67,M
25/01/2022,32.99,31.7,33.23,31.58,98.36,3.26,M
24/01/2022,31.95,31.69,32.25,31.04,79.12,0.57,M
21/01/2022,31.77,31.57,31.88,31.53,60.38,0.16,M
20/01/2022,31.72,31.5,32.0,31.11,85.35,0.73,M
19/01/2022,31.49,31.9,32.21,31.44,77.48,-0.47,M
18/01/2022,31.64,31.56,31.98,30.97,78.2,0.44,M
17/01/2022,31.5,31.4,31.81,31.25,35.68,0.16,M
14/01/2022,31.45,30.28,31.6,30.24,96.46,3.73,M
13/01/2022,30.32,29.53,30.63,29.5,76.72,2.02,M
12/01/2022,29.72,28.95,29.91,28.95,81.38,3.05,M
11/01/2022,28.84,28.1,29.07,27.85,73.62,2.96,M
10/01/2022,28.01,27.99,28.24,27.72,37.46,-0.6,M
07/01/2022,28.18,28.11,28.29,27.82,47.51,0.46,M
06/01/2022,28.05,28.29,28.65,27.84,61.16,-0.07,M
05/01/2022,28.07,29.19,29.27,27.94,78.46,-3.87,M
04/01/2022,29.2,29.16,29.4,28.91,51.74,0.38,M
03/01/2022,29.09,28.54,29.22,28.53,52.7,2.25,M
30/12/2021,28.45,28.55,28.7,28.39,43.23,-0.32,M
29/12/2021,28.54,28.7,28.9,28.42,35.51,-0.83,M
28/12/2021,28.78,29.01,29.28,28.7,30.69,0.1,M
27/12/2021,28.75,28.32,28.78,28.15,44.23,1.48,M
23/12/2021,28.33,28.33,28.42,28.15,28.71,0.6,M
22/12/2021,28.16,28.4,28.4,27.97,33.73,-0.14,M
21/12/2021,28.2,28.55,28.72,28.12,40.45,0.14,M
20/12/2021,28.16,28.44,28.55,27.68,106.28,-2.86,M
17/12/2021,28.99,29.32,29.64,28.78,93.23,-2.36,M
16/12/2021,29.69,29.62,29.98,29.5,56.55,1.33,M
15/12/2021,29.3,29.1,29.3,28.59,55.09,0.62,M
14/12/2021,29.12,29.61,29.85,29.01,56.83,-1.19,M
13/12/2021,29.47,29.67,30.05,29.29,45.45,-0.61,M
10/12/2021,29.65,29.5,30.1,29.48,38.52,1.23,M
09/12/2021,29.29,29.1,29.49,28.79,67.67,-0.2,M
08/12/2021,29.35,29.36,30.07,29.22,71.15,-0.03,M
07/12/2021,29.36,29.28,29.57,28.8,98.98,1.63,M
06/12/2021,28.89,28.78,29.27,28.68,66.14,0.45,M
03/12/2021,28.76,28.48,28.94,28.22,105.13,1.41,M
02/12/2021,28.36,26.99,28.49,26.2,191.41,-4.19,M
01/12/2021,29.6,29.84,30.67,29.48,135.08,0.58,M
30/11/2021,29.43,29.3,29.64,28.86,129.38,-0.14,M
29/11/2021,29.47,29.36,29.82,28.81,84.67,3.51,M
26/11/2021,28.47,28.39,29.16,28.07,108.87,-3.88,M
25/11/2021,29.62,29.05,29.79,28.56,104.05,4.41,M
24/11/2021,28.37,27.78,28.44,27.51,64.26,2.05,M
23/11/2021,27.8,26.61,28.05,26.5,108.38,5.46,M
22/11/2021,26.36,26.3,27.13,26.29,59.2,1.0,M
19/11/2021,26.1,26.1,26.28,25.78,84.86,-1.66,M
18/11/2021,26.54,26.69,26.75,26.05,63.99,-0.15,M
17/11/2021,26.58,27.39,27.44,26.49,82.11,-2.53,M
16/11/2021,27.27,27.26,27.56,26.63,60.98,1.04,M
12/11/2021,26.99,26.31,27.16,26.0,85.96,2.04,M
11/11/2021,26.45,26.88,26.88,26.24,60.85,0.08,M
10/11/2021,26.43,26.6,26.93,26.16,68.18,-0.79,M
09/11/2021,26.64,26.2,26.95,26.2,73.02,1.99,M
08/11/2021,26.12,25.81,26.66,25.72,59.7,1.04,M
05/11/2021,25.85,26.29,26.54,25.78,85.79,-0.58,M
04/11/2021,26.0,27.02,27.24,25.85,91.97,-3.17,M
03/11/2021,26.85,27.71,27.85,26.8,81.99,-4.11,M
01/11/2021,28.0,27.71,28.32,27.37,101.81,2.75,M
29/10/2021,27.25,29.13,29.19,26.97,156.81,-5.9,M
28/10/2021,28.96,28.53,29.25,28.25,87.35,0.94,M
27/10/2021,28.69,28.83,29.06,28.47,57.27,-0.24,M
26/10/2021,28.76,28.8,29.23,28.6,57.54,-0.96,M
25/10/2021,29.04,27.76,29.31,27.65,135.26,6.84,M
22/10/2021,27.18,27.1,27.76,25.77,138.16,-0.98,M
21/10/2021,27.45,27.86,28.18,26.92,100.96,-3.38,M
20/10/2021,28.41,28.27,28.8,27.95,55.26,1.43,M
19/10/2021,28.01,29.24,29.32,27.86,111.0,-4.89,M
18/10/2021,29.45,29.4,29.64,28.99,68.75,-0.51,M
15/10/2021,29.6,29.8,29.84,29.51,71.6,-0.27,M
14/10/2021,29.68,29.86,30.22,29.5,75.91,0.17,M
13/10/2021,29.63,29.17,29.7,29.08,55.43,1.06,M
11/10/2021,29.32,29.5,29.85,29.15,76.3,0.69,M
08/10/2021,29.12,29.0,29.61,28.71,83.79,1.82,M
07/10/2021,28.6,28.7,28.98,28.25,60.19,-0.14,M
06/10/2021,28.64,28.95,29.17,28.47,84.2,-2.65,M
05/10/2021,29.42,29.0,29.47,28.9,99.46,2.19,M
04/10/2021,28.79,27.76,28.81,27.72,106.56,2.82,M
01/10/2021,28.0,27.12,28.0,27.07,60.61,2.83,M
30/09/2021,27.23,27.53,27.58,27.17,65.45,-0.58,M
29/09/2021,27.39,27.21,27.53,26.82,58.55,1.59,M
28/09/2021,26.96,27.19,27.89,26.72,117.5,-0.66,M
27/09/2021,27.14,27.14,27.46,26.5,88.97,0.89,M
24/09/2021,26.9,26.55,27.06,26.47,44.59,0.22,M
23/09/2021,26.84,25.95,26.95,25.91,83.86,3.83,M
22/09/2021,25.85,25.53,26.22,25.52,69.95,2.54,M
21/09/2021,25.21,25.08,25.29,24.53,64.35,2.27,M
20/09/2021,24.65,24.08,24.65,23.79,79.83,-1.12,M
17/09/2021,24.93,25.97,26.02,24.77,128.32,-4.48,M
16/09/2021,26.1,26.08,26.24,25.51,65.19,-0.87,M
15/09/2021,26.33,26.0,26.46,25.87,66.93,1.74,M
